Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0A8W5	YQGE_ECOLI	yqgE	UPF0301 protein YqgE	5	5	1.50653e+07	1.59154e+07	1.57865e+07	1.59941e+07	1.62873e+07	1.53976e+07
P0A8W8	YFBU_ECOLI	yfbU	UPF0304 protein YfbU	10	10	1.17246e+08	1.17237e+08	1.16315e+08	1.12255e+08	1.1604e+08	1.17269e+08
P0A8X0	YJGA_ECOLI	yjgA	UPF0307 protein YjgA	14	14	3.73513e+07	3.82253e+07	3.98867e+07	4.00066e+07	3.82852e+07	3.90965e+07
P0A8X2	YCEI_ECOLI	yceI	Protein YceI	6	6	4.97061e+06	5.44806e+06	5.32415e+06	5.49929e+06	5.0812e+06	5.5641e+06
P0A8Y1	YJJG_ECOLI	yjjG	Pyrimidine 5'-nucleotidase YjjG	2	2	6.04186e+06	5.73711e+06	6.47168e+06	6.31663e+06	5.73749e+06	6.33462e+06
P0A8Y3	YIHX_ECOLI	yihX	Alpha-D-glucose-1-phosphate phosphatase YihX	5	5	9.15498e+06	9.92286e+06	9.86121e+06	1.00395e+07	9.47962e+06	9.47824e+06
P0A8Y5	YIDA_ECOLI	yidA	Sugar phosphatase YidA	8	8	4.28184e+07	4.13158e+07	4.52138e+07	4.53117e+07	4.30777e+07	4.6261e+07
P0A8Z0	YCIA_ECOLI	yciA	Acyl-CoA thioester hydrolase YciA	3	3	1.45228e+07	1.48608e+07	1.61305e+07	1.60972e+07	1.50559e+07	1.60869e+07
P0A8Z3	YBGC_ECOLI	ybgC	Acyl-CoA thioester hydrolase YbgC	3	3	4.33085e+06	4.29117e+06	4.08444e+06	4.01226e+06	4.57938e+06	4.28153e+06
P0A901	BLC_ECOLI	blc	Outer membrane lipoprotein blc	3	3	2.41631e+06	2.98499e+06	2.69195e+06	2.41388e+06	2.43034e+06	2.18783e+06
