Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
P0AG48	RL21_ECOLI	rplU	50S ribosomal protein L21	9	9	4.74523e+08	6.10718e+08	5.92467e+08	5.98067e+08	5.92227e+08	5.93824e+08
P0AG51	RL30_ECOLI	rpmD	50S ribosomal protein L30	6	6	4.19781e+08	4.55008e+08	4.61895e+08	4.45062e+08	4.64033e+08	4.7954e+08
P0AG55	RL6_ECOLI	rplF	50S ribosomal protein L6	11	11	1.18305e+09	1.33368e+09	1.32332e+09	1.29173e+09	1.305e+09	1.33682e+09
P0AG59	RS14_ECOLI	rpsN	30S ribosomal protein S14	8	8	7.01039e+08	8.79157e+08	8.75389e+08	8.87375e+08	9.0139e+08	9.08194e+08
P0AG63	RS17_ECOLI	rpsQ	30S ribosomal protein S17	3	3	8.49882e+08	1.22102e+09	1.22817e+09	1.18441e+09	1.25496e+09	1.23375e+09
P0AG67	RS1_ECOLI	rpsA	30S ribosomal protein S1	43	43	1.35131e+09	1.54944e+09	1.52997e+09	1.51637e+09	1.50568e+09	1.52304e+09
P0AG71	RMUC_ECOLI	rmuC	DNA recombination protein RmuC	2	2		3.57526e+06	3.70026e+06	2.88686e+06	2.46559e+06	3.79956e+06
P0AG76	SBCD_ECOLI	sbcD	Nuclease SbcCD subunit D	2	2	603590	707672	602305	416298		
P0AG78	SUBI_ECOLI	sbp	Sulfate-binding protein	3	3	2.51166e+06	2.50234e+06	2.49492e+06	2.54714e+06	2.38031e+06	2.52803e+06
P0AG80	UGPB_ECOLI	ugpB	sn-glycerol-3-phosphate-binding periplasmic protein UgpB	2	2		1.28468e+06	1.62917e+06	1.1084e+06	1.40883e+06	1.52624e+06
