Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0AEW6	P0AEW6		gsk		2.70427e+06	2.73599e+06	2.73015e+06	2.74023e+06	2.60762e+06	2.69213e+06
P0AEW9	P0AEW9		fruK		1.57546e+07	1.59104e+07	1.61126e+07	1.60554e+07	1.55681e+07	1.59297e+07
P0AEX5	P0AEX5		prkB		1.70686e+06	1.93661e+06	1.84901e+06	1.98404e+06	1.78622e+06	1.73917e+06
P0AEX9	P0AEX9		malE		6.07895e+06	7.0266e+06	5.993e+06	7.13797e+06	6.05381e+06	7.18549e+06
P0AEY3	P0AEY3		mazG		1.10104e+06	1.14845e+06	1.16539e+06	1.09049e+06	1.15038e+06	1.14354e+06
P0AEY5	P0AEY5		mdaB		1.31436e+06	1.04149e+06	1.15158e+06	988921	1.37896e+06	874664
P0AEZ3	P0AEZ3		minD		1.66125e+07	1.46156e+07	1.63349e+07	1.48912e+07	1.60968e+07	1.4818e+07
P0AEZ9	P0AEZ9		moaB		1.1427e+07	1.18575e+07	1.11798e+07	1.15683e+07	1.12862e+07	1.12883e+07
P0AF03	P0AF03		mog		1.3102e+07	1.35847e+07	1.29992e+07	1.43529e+07	1.31097e+07	1.41389e+07
P0AF08	P0AF08		mrp		3.62853e+06	3.54036e+06	3.54749e+06	3.71213e+06	3.52215e+06	3.40385e+06
P0AF12	P0AF12		mtnN		1.94921e+07	1.762e+07	1.8467e+07	1.79845e+07	1.85272e+07	1.83073e+07
P0AF18	P0AF18		nagA		3.76243e+06	3.59395e+06	3.75325e+06	3.60456e+06	3.61379e+06	3.27657e+06
P0AF20	P0AF20		nagC		1.44753e+06	1.50859e+06	1.56673e+06	1.65648e+06	1.53319e+06	1.6548e+06
P0AF24	P0AF24		nagD		1.98059e+06	1.74488e+06	2.02201e+06	1.86539e+06	1.92111e+06	1.76959e+06
P0AF26	P0AF26		narJ		533144	691844	563378	559728	453375	623082
P0AF28	P0AF28		narL		7.24236e+06	7.37137e+06	7.42353e+06	7.53694e+06	7.10062e+06	7.20547e+06
P0AF36	P0AF36		zapB		6.80694e+06	5.63563e+06	6.64694e+06	6.58642e+06	6.85911e+06	5.71936e+06
P0AF48	P0AF48		yjbQ		748257	769052	903071	909327	803040	1.03731e+06
P0AF50	P0AF50		yjbR		7.38764e+06	7.171e+06	8.0854e+06	6.16397e+06	7.68589e+06	7.33783e+06
P0AF61	P0AF61		yjdK		1.70561e+06	1.43764e+06	1.57622e+06	1.21518e+06	1.34514e+06	1.50914e+06
P0AF63	P0AF63		nsrR		1.38394e+06	1.38476e+06	1.52878e+06	1.38009e+06	1.3713e+06	1.38214e+06
P0AF67	P0AF67		yjeE		3.7592e+06	3.747e+06	3.76001e+06	3.66882e+06	3.63835e+06	3.52212e+06
