Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P0AAN5	P0AAN5		yaiA		1.38748e+06	1.35439e+06	1.33886e+06	1.53743e+06	1.50883e+06	1.47341e+06
P0AAN9	P0AAN9		iraP		112448	141151	161821	131773	141395	166167
P0AAP3	P0AAP3		frmR		3.15531e+06	3.1955e+06	3.014e+06	2.92382e+06	2.93998e+06	2.83366e+06
P0AAQ2	P0AAQ2		yajD		4.91461e+06	4.94871e+06	5.2045e+06	5.0809e+06	5.30297e+06	5.22105e+06
P0AAR3	P0AAR3		ybaK		1.51472e+06	1.51462e+06	1.47913e+06	1.49124e+06	1.47177e+06	1.41913e+06
P0AAS0	P0AAS0		ylaC		340426	306769	377023	310869	301254	352082
P0AAS7	P0AAS7		ybcJ		2.63614e+06	2.58636e+06	2.58851e+06	2.53137e+06	2.54615e+06	2.73834e+06
P0AAT2	P0AAT2		ybdF		690002	605918	673824	738311	735352	748339
P0AAT4	P0AAT4		mscM		1.97595e+06	2.01606e+06	1.99107e+06	1.99144e+06	2.04331e+06	2.03193e+06
P0AAT6	P0AAT6		rsfS		3.66746e+06	3.62334e+06	3.52541e+06	3.7111e+06	3.78715e+06	3.76838e+06
P0AAT9	P0AAT9		ybeL		8.2498e+06	8.15651e+06	8.071e+06	8.0843e+06	7.89312e+06	7.63933e+06
P0AAU7	P0AAU7		ybfE		1.60743e+06	1.61781e+06	1.80363e+06	1.55444e+06	1.3624e+06	1.38359e+06
P0AAV4	P0AAV4		ybgJ		1.14515e+06	1.35923e+06	1.37494e+06	1.2351e+06	1.30363e+06	1.24504e+06
P0AAX8	P0AAX8		ybiS		5.5129e+06	5.39993e+06	5.481e+06	5.37367e+06	5.38373e+06	5.38818e+06
P0AAZ4	P0AAZ4		rarA		1.97087e+06	2.06833e+06	1.95052e+06	1.86362e+06	1.91399e+06	1.95603e+06
P0AAZ7	P0AAZ7		ycaR		6.25838e+06	5.95282e+06	5.73736e+06	6.42457e+06	6.27737e+06	6.3124e+06
P0AB03	P0AB03		ycbJ		914500	800653	974006	1.14023e+06	1.12019e+06	1.15823e+06
P0AB10	P0AB10		ymbA		802511	693353	748556	663992	647168	535313
P0AB12	P0AB12		yccF		719187	886988	640444	957172	646594	384078
P0AB14	P0AB14		yccJ		2.79974e+06	2.81015e+06	2.74511e+06	3.17459e+06	2.9028e+06	3.04288e+06
P0AB18	P0AB18		tusE		1.69051e+06	1.8324e+06	1.80011e+06	1.76118e+06	1.79866e+06	1.70094e+06
P0AB24	P0AB24		efeO		4.17727e+06	4.10117e+06	4.11143e+06	4.20949e+06	3.95426e+06	3.81374e+06
P0AB26	P0AB26		yceB		2.51555e+06	2.46601e+06	2.53384e+06	2.43751e+06	2.40705e+06	2.27343e+06
P0AB28	P0AB28		yceD		9.16836e+06	9.05328e+06	9.02398e+06	9.07849e+06	9.34922e+06	9.47912e+06
P0AB38	P0AB38		lpoB		5.45701e+06	5.38217e+06	5.54163e+06	5.54159e+06	5.50996e+06	5.59161e+06
P0AB43	P0AB43		ycgL		1.43954e+06	1.48512e+06	1.40358e+06	1.48465e+06	1.5028e+06	1.41535e+06
P0AB46	P0AB46		ymgD		2.08531e+06	2.039e+06	1.93898e+06	2.14797e+06	2.09133e+06	2.21303e+06
P0AB52	P0AB52		ychN		2.54743e+06	2.42212e+06	2.4616e+06	2.44309e+06	2.63522e+06	2.65702e+06
P0AB55	P0AB55		yciI		4.05817e+06	4.17533e+06	4.34469e+06	4.35161e+06	4.13304e+06	4.07935e+06
P0AB61	P0AB61		yciN		4.9099e+06	5.22209e+06	5.19229e+06	5.37809e+06	5.50417e+06	5.33055e+06
P0AB67	P0AB67		pntB		1.8935e+06	1.99378e+06	1.95725e+06	1.8316e+06	2.09061e+06	1.8671e+06
P0AB71	P0AB71		fbaA		1.60433e+08	1.58691e+08	1.59832e+08	1.58561e+08	1.59061e+08	1.58934e+08
P0AB77	P0AB77		kbl		1.70356e+07	1.68823e+07	1.70864e+07	1.86273e+07	1.79416e+07	1.87964e+07
P0AB80	P0AB80		ilvE		7.35235e+06	7.64555e+06	7.33622e+06	7.53278e+06	7.55557e+06	7.28509e+06
P0AB83	P0AB83		nth		1.56351e+06	1.70552e+06	1.50074e+06	1.68634e+06	1.58997e+06	1.53538e+06
P0AB89	P0AB89		purB		9.62779e+06	9.76472e+06	9.79224e+06	9.42961e+06	9.41614e+06	9.32917e+06
P0AB91	P0AB91		aroG		3.54568e+06	3.48652e+06	3.33591e+06	3.33024e+06	3.44282e+06	3.29119e+06
P0AB96	P0AB96		arsC		311052	303030	251859	303260	420253	321072
P0AB98	P0AB98		atpB		831147	701191	882251	854357	908199	895292
P0ABA0	P0ABA0		atpF		2.53186e+07	2.54097e+07	2.54005e+07	2.39001e+07	2.44881e+07	2.42275e+07
P0ABA4	P0ABA4		atpH		1.85321e+07	1.87102e+07	1.8691e+07	1.82822e+07	1.82683e+07	1.8556e+07
P0ABA6	P0ABA6		atpG		3.49027e+07	3.44907e+07	3.4012e+07	3.58312e+07	3.51387e+07	3.3988e+07
P0ABB0	P0ABB0		atpA		5.98916e+07	5.93618e+07	5.95453e+07	5.81219e+07	5.82587e+07	5.76415e+07
P0ABB4	P0ABB4		atpD		5.60133e+07	5.55448e+07	5.5286e+07	5.55992e+07	5.54157e+07	5.61753e+07
P0ABB8	P0ABB8		mgtA		968200	1.05389e+06	3.48388e+06	1.1077e+06	1.03452e+06	1.16538e+06
P0ABC3	P0ABC3		hflC		1.2255e+07	1.23451e+07	1.21899e+07	1.18565e+07	1.22744e+07	1.17159e+07
P0ABC7	P0ABC7		hflK		1.74185e+07	1.86836e+07	1.82653e+07	1.84931e+07	1.88146e+07	1.87902e+07
P0ABD3	P0ABD3		bfr		6.91722e+06	7.14437e+06	7.04388e+06	7.05873e+06	7.01512e+06	7.31927e+06
P0ABD5	P0ABD5		accA		1.46152e+07	1.42805e+07	1.42716e+07	1.49351e+07	1.52267e+07	1.53545e+07
P0ABD8	P0ABD8		accB		3.47044e+07	3.28384e+07	3.54223e+07	3.5132e+07	3.662e+07	3.59457e+07
P0ABE2	P0ABE2		bolA		3.70191e+06	3.89443e+06	4.02538e+06	3.7572e+06	3.78101e+06	3.34832e+06
P0ABF1	P0ABF1		pcnB		2.73036e+06	2.81724e+06	2.65053e+06	2.65265e+06	2.67982e+06	2.69818e+06
P0ABF6	P0ABF6		cdd		7.25183e+06	7.27279e+06	7.14164e+06	7.43109e+06	7.45282e+06	7.54262e+06
P0ABG4	P0ABG4		ftsW		276972	243223	289637	295724	248847	325045
P0ABH0	P0ABH0		ftsA		2.69651e+06	2.65411e+06	2.52521e+06	2.57276e+06	2.66503e+06	2.51346e+06
P0ABH7	P0ABH7		gltA		1.1169e+07	1.09734e+07	1.1044e+07	1.05198e+07	1.08551e+07	1.05854e+07
