Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	3	3	5.44881e+06	7.65615e+06	6.15861e+06	7.06625e+06	5.90943e+06	6.17022e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	5	5	2.42681e+07	2.69811e+07	2.7841e+07	2.94285e+07	2.94812e+07	2.97447e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		6	6		1.54778e+07		1.692e+07		1.68071e+07
P05458	PTRA_ECOLI	ptrA	Protease 3	11	11	5.69817e+06	5.87297e+06	5.93918e+06	6.07759e+06	5.57907e+06	5.65508e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	16	16	2.52135e+07	2.61065e+07	2.58392e+07	2.78776e+07	2.57722e+07	2.69288e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	3	3		860616	1.5013e+06	1.28243e+06	1.17909e+06	1.23855e+06
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	8.6569e+06	9.29252e+06	8.90237e+06	1.01089e+07	9.12009e+06	1.06091e+07
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	3	3	1.18198e+07	1.13618e+07	1.18431e+07	1.21525e+07	1.1442e+07	1.10228e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	13	13	1.30203e+07	1.325e+07	1.33355e+07	1.32531e+07	1.35488e+07	1.37282e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	15	15	2.16866e+07	2.16446e+07	2.13995e+07	2.22572e+07	2.24832e+07	2.12231e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	16	16	9.9938e+06	1.01412e+07	1.00946e+07	1.03335e+07	1.04317e+07	1.00026e+07
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	4	4	8.15397e+06	7.34758e+06	8.27059e+06	8.13862e+06	7.71241e+06	7.74141e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	25	25	5.18535e+07	4.99233e+07	5.02545e+07	5.18882e+07	5.10516e+07	5.02877e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	1.96616e+07	2.23877e+07	2.7581e+07	2.32252e+07	2.14412e+07	2.19865e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	20	20	2.39027e+07	2.39815e+07	2.37591e+07	2.41209e+07	2.34072e+07	2.29286e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	6.78277e+06	7.60275e+06	7.72955e+06	7.67309e+06	7.74396e+06	7.04456e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		12	12		6.89295e+06		7.06192e+06		7.03507e+06
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	6	6	5.60579e+07	5.5934e+07	5.58551e+07	5.56938e+07	5.43056e+07	5.47428e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	2	2	988493	881581	1.01898e+06		993835	
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	25	25	2.84913e+07	2.77675e+07	2.88995e+07	2.85638e+07	2.94259e+07	2.84028e+07
P06616	ERA_ECOLI	era	GTPase Era	9	9	1.12999e+07	1.08812e+07	1.13059e+07	1.07144e+07	1.18023e+07	1.01078e+07
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	6	6	5.86731e+06	6.0506e+06	5.80501e+06	5.55339e+06	6.48172e+06	5.26643e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	9	9	5.55822e+06	5.7362e+06	5.63236e+06	5.46257e+06	6.14654e+06	5.70095e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	13	13	2.32467e+07	2.40148e+07	2.39227e+07	2.44276e+07	2.39037e+07	2.41297e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	5	5	4.72281e+06	4.70615e+06	3.99422e+06	4.37465e+06	4.87276e+06	5.15696e+06
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	3.16901e+06	3.18435e+06	3.27027e+06	3.10257e+06	3.23918e+06	3.0935e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		12	12		9.1481e+06		9.47006e+06		9.22774e+06
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	7	7	4.77764e+06	4.87287e+06	4.88502e+06	4.7884e+06	4.98933e+06	4.59778e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	37	37	3.13882e+08	3.08191e+08	3.0332e+08	3.183e+08	3.05267e+08	3.14664e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	10	10	8.40632e+06	6.81919e+06	7.9344e+06	7.81884e+06	8.02262e+06	6.98302e+06
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	9.03549e+07	8.0594e+07	8.43828e+07	8.06783e+07	8.52173e+07	7.94e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	19	19	7.64559e+07	7.7898e+07	7.59548e+07	7.84366e+07	7.59096e+07	7.4403e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	9	9	8.55204e+06	8.8099e+06	8.44514e+06	8.99009e+06	9.0239e+06	7.52971e+06
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	12	12	6.23463e+07	6.18029e+07	6.04983e+07	6.17913e+07	6.01141e+07	6.05773e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	9	9	1.25763e+07	1.37815e+07	1.35031e+07	1.32806e+07	1.28088e+07	1.31016e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	10	10	2.96202e+06	3.24601e+06	3.00223e+06	3.24092e+06	3.10299e+06	3.13994e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	4.2421e+06	4.30187e+06	4.13539e+06	4.31074e+06	4.27182e+06	4.17935e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	3	3	1.39474e+08	1.29387e+08	1.32987e+08	1.28098e+08	1.38295e+08	1.30928e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	3	3	5.95775e+06	6.8531e+06	7.29144e+06	6.37039e+06		7.0386e+06
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	19	16	1.3818e+09	1.32802e+09	1.31636e+09	1.35863e+09	1.32984e+09	1.33686e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	6	6	5.58178e+06	5.27666e+06	5.35309e+06	5.43613e+06	5.35969e+06	5.3613e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.21025e+06	2.40466e+06	2.173e+06	2.25386e+06	2.50649e+06	2.62464e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	1.17592e+07	1.29531e+07	1.22871e+07	1.24193e+07	1.26768e+07	1.29781e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	8	8	1.31006e+07	1.33322e+07	1.16479e+07	1.33238e+07	1.3604e+07	1.25689e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	14	14	3.24824e+07	3.29324e+07	3.29318e+07	3.27748e+07	3.40577e+07	3.22434e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	18	18	6.67081e+07	6.38335e+07	6.30655e+07	6.35738e+07	6.44749e+07	6.12552e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	10	10	2.1552e+07	2.12108e+07	2.26931e+07	2.1345e+07	2.33949e+07	2.07713e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	16	14	6.36194e+07	6.53389e+07	6.38187e+07	6.71914e+07	6.28327e+07	6.45875e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	2.88723e+06	4.40405e+06	3.171e+06	3.93719e+06	3.28302e+06	3.98527e+06
P07023	TYRA_ECOLI	tyrA	T-protein	10	10	7.2969e+06	7.91398e+06	7.44862e+06	7.3166e+06	7.10751e+06	7.04577e+06
P07024	USHA_ECOLI	ushA	Protein UshA	14	14	2.59344e+07	2.50821e+07	2.52724e+07	2.57962e+07	2.40743e+07	2.51947e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	2	2	4.85225e+06	5.04179e+06	5.04572e+06	4.90289e+06	5.10735e+06	5.0662e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	49	49	1.10919e+08	1.10651e+08	1.08755e+08	1.12823e+08	1.10262e+08	1.10332e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	3	3	2.93214e+06	2.80656e+06	2.99691e+06	2.7123e+06	3.02315e+06	2.62325e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	14	14	1.16076e+07	1.19774e+07	1.17317e+07	1.21042e+07	1.24652e+07	1.11232e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	4	4		2.10035e+06	2.29889e+06	2.18136e+06		1.97881e+06
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	35	35	9.40895e+07	9.15648e+07	9.28416e+07	9.52585e+07	9.28694e+07	9.32534e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	10	10	8.32205e+06	8.29743e+06	8.6773e+06	8.795e+06	9.09666e+06	8.07256e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	10	10	1.75417e+07	1.82713e+07	1.83591e+07	1.76056e+07	1.79583e+07	1.76749e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	5	5	1.12015e+06	1.37432e+06	1.25167e+06	1.32096e+06	1.33413e+06	1.16546e+06
P07649	TRUA_ECOLI	truA	tRNA pseudouridine synthase A	4	4	2.79468e+06	3.21893e+06	3.24802e+06	3.4773e+06	3.23229e+06	2.94892e+06
P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	22	22	3.24658e+07	3.14396e+07	3.18042e+07	3.16323e+07	3.18229e+07	3.11266e+07
P07658	FDHF_ECOLI	fdhF	Formate dehydrogenase H	12	12	4.09735e+06	3.68059e+06	3.70923e+06	3.92571e+06	3.86484e+06	3.7646e+06
P07762	GLGB_ECOLI	glgB	1,4-alpha-glucan branching enzyme GlgB	17	17	1.06111e+07	1.12836e+07	1.12159e+07	1.08027e+07	1.13689e+07	1.06432e+07
P07813	SYL_ECOLI	leuS	Leucine--tRNA ligase	32	32	1.02166e+08	1.03689e+08	1.01122e+08	1.01863e+08	1.02888e+08	1.02746e+08
P07821	FHUC_ECOLI	fhuC	Iron(3+)-hydroxamate import ATP-binding protein FhuC	1	1		1.75089e+06	2.13141e+06	2.11791e+06	2.7347e+06	
P07822	FHUD_ECOLI	fhuD	Iron(3+)-hydroxamate-binding protein FhuD	2	2	1.07432e+06	1.18433e+06	1.23915e+06	1.09281e+06	1.24261e+06	1.19569e+06
P07862	DDLB_ECOLI	ddlB	D-alanine--D-alanine ligase B	11	11	4.44202e+07	4.52085e+07	4.41866e+07	4.4532e+07	4.60562e+07	4.28361e+07
P07913	TDH_ECOLI	tdh	L-threonine 3-dehydrogenase	7	7	3.28618e+07	3.18677e+07	3.05727e+07	3.10697e+07	3.15776e+07	3.1406e+07
