Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)	P06732ups|KCRM_HUMAN_UPS Creatine kinase M-type (Chain 1-381) - Homo sapiens (Human)				2.02156e+06	3.66519e+06	3.80816e+06	1.99545e+06	2.00818e+06	3.72449e+06
P06846	P06846		ebgR		1.90563e+06	2.04123e+06	2.13442e+06	1.9088e+06	2.20098e+06	1.90441e+06
P06959	P06959		aceF		6.66881e+07	6.70206e+07	6.61806e+07	6.6988e+07	6.48527e+07	5.99672e+07
P06961	P06961		cca		834484	1.08616e+06	1.101e+06	830065	876057	1.22112e+06
P06966	P06966		dicA		3.66891e+06	4.11806e+06	3.944e+06	3.77242e+06	3.76562e+06	3.81487e+06
P06968	P06968		dut		8.16381e+06	8.56616e+06	8.54438e+06	8.30562e+06	8.08089e+06	8.28044e+06
P06971	P06971		fhuA		1.31965e+07	1.34521e+07	1.32211e+07	1.30086e+07	1.32621e+07	1.30857e+07
P06974	P06974		fliM		1.81235e+06	1.79893e+06	1.8109e+06	1.7918e+06	1.80272e+06	1.47433e+06
P06983	P06983		hemC		1.17214e+07	1.10286e+07	1.12268e+07	1.15088e+07	1.15473e+07	1.0257e+07
P06986	P06986		hisC		3.32301e+06	3.28952e+06	3.32948e+06	3.31661e+06	3.41336e+06	3.10511e+06
P06987	P06987		hisB		1.1701e+06	1.14064e+06	1.25615e+06	1.15199e+06	1.15511e+06	1.23789e+06
P06988	P06988		hisD		5.31184e+06	5.2725e+06	5.11536e+06	5.26678e+06	5.40802e+06	4.74575e+06
P06992	P06992		rsmA		1.73378e+06	1.87683e+06	1.97199e+06	1.82236e+06	1.80586e+06	1.70383e+06
P06996	P06996		ompC		2.08181e+08	2.07071e+08	2.0959e+08	2.16906e+08	2.07754e+08	1.96457e+08
P06999	P06999		pfkB		1.84226e+06	1.75818e+06	1.92051e+06	2.052e+06	1.7957e+06	1.97628e+06
P07000	P07000		pldB		604728	519210	523188	578995	558647	499772
P07001	P07001		pntA		5.56804e+06	5.69432e+06	5.88315e+06	5.91298e+06	5.72216e+06	5.75128e+06
P07003	P07003		poxB		2.15911e+06	2.23788e+06	2.37811e+06	2.27171e+06	2.24239e+06	2.33891e+06
P07004	P07004		proA		5.24168e+06	5.32423e+06	5.15236e+06	5.03477e+06	5.15248e+06	5.01105e+06
P07012	P07012		prfB		9.02535e+06	9.60345e+06	9.43465e+06	8.74202e+06	8.83914e+06	9.16845e+06
P07014	P07014		sdhB		1.56655e+06	1.69179e+06	1.70091e+06	1.64074e+06	1.53992e+06	1.565e+06
P07017	P07017		tar		3.23536e+06	3.27559e+06	3.23744e+06	3.0985e+06	3.33001e+06	2.69205e+06
P07021	P07021		yfiB		906955	880900	879029	912034	903934	757703
P07023	P07023		tyrA		2.56538e+06	2.60356e+06	2.59517e+06	2.60666e+06	2.52072e+06	2.55308e+06
P07024	P07024		ushA		4.99657e+06	4.90531e+06	4.97345e+06	4.87391e+06	4.95943e+06	5.34747e+06
P07026	P07026		sdiA		1.76168e+06	1.70417e+06	1.76293e+06	1.79369e+06	1.80733e+06	2.14348e+06
P07118	P07118		valS		2.5127e+07	2.53488e+07	2.51966e+07	2.53646e+07	2.49433e+07	2.33059e+07
P07330	P07330		cheB		1.47963e+06	1.46056e+06	1.52904e+06	1.36129e+06	1.38913e+06	1.50748e+06
P07363	P07363		cheA		1.46538e+06	1.73385e+06	1.73495e+06	1.6338e+06	1.6189e+06	1.49867e+06
P07395	P07395		pheT		1.68365e+07	1.67294e+07	1.67736e+07	1.6784e+07	1.64356e+07	1.56356e+07
P07604	P07604		tyrR		2.43748e+06	2.45091e+06	2.2504e+06	2.36757e+06	2.39241e+06	2.54726e+06
