Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P00547	KHSE_ECOLI	thrB	Homoserine kinase	3	3	3.27058e+06	3.41521e+06	3.537e+06	3.3233e+06	3.2715e+06	3.28823e+06
P00550	PTM3C_ECOLI	mtlA	PTS system mannitol-specific EIICBA component	5	5	3.77031e+06	4.08448e+06	4.06143e+06	3.90015e+06	4.13988e+06	3.80609e+06
P00561	AK1H_ECOLI	thrA	Bifunctional aspartokinase/homoserine dehydrogenase 1	13	13	8.18707e+06	8.25938e+06	8.98634e+06	8.30205e+06	8.68216e+06	9.1568e+06
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	18	18	7.88386e+06	8.07863e+06	8.11253e+06	7.98896e+06	7.99683e+06	8.12813e+06
P00579	RPOD_ECOLI	rpoD	RNA polymerase sigma factor RpoD	20	19	1.45601e+08	1.44614e+08	1.46687e+08	1.46537e+08	1.44523e+08	1.43793e+08
P00582	DPO1_ECOLI	polA	DNA polymerase I	42	42	2.35448e+07	2.38327e+07	2.35856e+07	2.36879e+07	2.29858e+07	2.3498e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	5	5	1.43612e+07	1.42797e+07	1.54835e+07	1.41533e+07	1.51888e+07	1.43755e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	19	19	1.37442e+08	1.37913e+08	1.38437e+08	1.3567e+08	1.35484e+08	1.36865e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	5	5	6.15665e+06	6.17271e+06	6.2206e+06	6.41216e+06	6.14019e+06	6.15848e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.1958e+06	1.06204e+06	1.62818e+06	1.28687e+06	1.19618e+06	1.40827e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	41	41	6.08361e+07	6.06647e+07	6.38543e+07	6.22105e+07	6.17589e+07	6.21844e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	8.1364e+06	7.38046e+06	8.266e+06	7.23839e+06	7.70845e+06	7.80599e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.08348e+07	1.02651e+07	1.06897e+07	1.07184e+07	1.06835e+07	1.08952e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	1.03652e+06	1.18362e+06	833223	1.1292e+06	951150	1.08622e+06
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.72092e+06	1.60212e+06	1.65597e+06	1.57543e+06	1.20933e+06	1.7044e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	5	5	1.46652e+06	1.4026e+06	1.43207e+06	1.5704e+06	1.4106e+06	1.45585e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		3	3					2.02923e+06	1.96905e+06
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		6	6			1.06456e+07		1.03834e+07	1.05786e+07
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	2.93181e+06	2.97874e+06	2.75826e+06	2.85879e+06	2.55422e+06	2.66299e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	15	15	1.87989e+07	1.82367e+07	1.89142e+07	1.89108e+07	1.84762e+07	1.78738e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.80543e+06	3.05637e+06	2.74115e+06	2.8192e+06	3.19232e+06	2.78836e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	3	3	3.69941e+06	3.25604e+06	3.46028e+06	3.2769e+06	3.29531e+06	3.11345e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	4.92139e+07	5.0066e+07	5.11742e+07	4.93656e+07	5.0891e+07	5.03294e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	12	12	9.42945e+07	9.70845e+07	9.84752e+07	9.46141e+07	9.96767e+07	9.91095e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	41	41	1.1184e+08	1.14188e+08	1.14821e+08	1.12904e+08	1.15587e+08	1.15735e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	44	44	1.32038e+08	1.31602e+08	1.30457e+08	1.34413e+08	1.31961e+08	1.30522e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	33	33	6.10972e+07	6.22278e+07	6.30209e+07	6.24834e+07	6.22817e+07	6.28622e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	2.90287e+07	2.97128e+07	3.22758e+07	2.86446e+07	3.05513e+07	3.10995e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	38	38	7.36737e+07	7.4517e+07	7.54143e+07	7.48318e+07	7.50075e+07	7.57308e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	29	29	8.29344e+07	8.137e+07	8.42995e+07	8.23179e+07	8.5019e+07	8.38267e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	10	10	1.00419e+08	1.00212e+08	9.50067e+07	9.67409e+07	9.82608e+07	9.90987e+07
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	33	33	1.8815e+07	1.90274e+07	1.88261e+07	1.89045e+07	1.84389e+07	1.87505e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		5	5			8.06401e+06		8.59705e+06	8.01648e+06
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		2	2					2.54657e+06	2.28517e+06
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		2	2			1.7398e+07		1.82712e+07	1.66693e+07
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		2	2			3.61523e+06		3.51727e+06	3.81229e+06
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		2	2			6.81404e+06		6.94692e+06	6.4967e+06
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		4	4			5.59667e+06		5.52171e+06	5.61863e+06
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	11	11	9.59209e+08	9.18792e+08	1.00638e+09	9.1379e+08	9.42804e+08	1.00354e+09
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	9.81292e+08	9.6708e+08	9.65641e+08	9.7508e+08	9.64225e+08	9.68684e+08
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	13	13	8.07877e+08	8.12102e+08	8.09077e+08	8.42131e+08	7.8318e+08	7.90533e+08
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		6	6	858644		1.40922e+07		1.40395e+07	1.30156e+07
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		4	4			3.1127e+06		3.2958e+06	2.99212e+06
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		8	8			1.33448e+07		1.39286e+07	1.37472e+07
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	8	8	5.72385e+06	5.11872e+06	6.27366e+06	5.94186e+06	5.8819e+06	5.79438e+06
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	18	18	3.16558e+07	3.19231e+07	3.32888e+07	3.1761e+07	3.09681e+07	3.22822e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	12	12	4.23397e+07	4.20504e+07	4.22103e+07	4.07392e+07	4.23927e+07	4.22007e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	16	16	1.29801e+08	1.29866e+08	1.2528e+08	1.27833e+08	1.2809e+08	1.26188e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	19	17	2.06323e+08	2.00043e+08	2.11519e+08	1.98619e+08	2.04832e+08	2.1032e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	1	1	1.04556e+06	1.04619e+06	1.15004e+06	878250	988596	1.18939e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	16	14	6.57417e+07	6.6746e+07	6.90922e+07	6.62686e+07	6.73866e+07	6.55238e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	6.78711e+06	7.36268e+06	7.93275e+06	6.46288e+06	7.36237e+06	7.47406e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	14	14	7.0397e+06	7.38748e+06	7.29648e+06	6.99048e+06	7.70661e+06	6.84739e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	3	3	1.86095e+06	2.56706e+06	1.67592e+06	1.67692e+06	2.19019e+06	2.06144e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	10	10	9.74602e+06	1.05239e+07	1.07526e+07	1.09677e+07	1.07084e+07	1.10104e+07
P03023	LACI_ECOLI	lacI	Lactose operon repressor	1	1	3.04814e+06	2.90357e+06	2.74481e+06	2.71781e+06	2.0653e+06	2.64874e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	7.02613e+06	6.7632e+06	6.87631e+06	6.63408e+06	6.84268e+06	7.06609e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	4.01913e+07	4.06809e+07	3.91939e+07	4.0113e+07	3.98153e+07	3.98161e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	3.33233e+07	3.37689e+07	3.24951e+07	3.44209e+07	3.28891e+07	3.48199e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	8	8	3.32934e+07	3.45017e+07	3.33196e+07	3.36372e+07	3.47133e+07	3.38199e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		3	3			2.15626e+06		2.20352e+06	2.1479e+06
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	7.88066e+07	8.04575e+07	8.302e+07	7.97841e+07	8.07801e+07	8.03987e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	12	12	2.48272e+07	2.53582e+07	2.49597e+07	2.49989e+07	2.53931e+07	2.4459e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	15	15	3.61201e+07	3.55737e+07	3.74647e+07	3.66001e+07	3.79095e+07	3.7876e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.54365e+07	2.59469e+07	2.579e+07	2.55251e+07	2.59645e+07	2.55205e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	23	23	1.40737e+08	1.45826e+08	1.47308e+08	1.47242e+08	1.46091e+08	1.45111e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	26	26	7.33899e+07	7.32501e+07	7.52332e+07	7.36232e+07	7.41106e+07	7.27093e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	2	2	8.2857e+06	8.40214e+06	7.98996e+06	8.09579e+06	7.97539e+06	7.92018e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	4.24159e+08	4.18529e+08	3.93492e+08	4.04636e+08	4.12282e+08	4.20955e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	7	7	3.65937e+07	3.77757e+07	3.73603e+07	3.74238e+07	3.63073e+07	3.87358e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	4	4	2.29816e+06	1.99635e+06	2.15765e+06	2.11916e+06	2.14143e+06	2.22839e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	6.04301e+06	5.89417e+06	6.04807e+06	6.06246e+06	6.0008e+06	6.34553e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	3	3	4.23796e+06	4.26214e+06	4.42958e+06	4.89266e+06	4.27759e+06	5.0669e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	8.76486e+06	8.50218e+06	9.13299e+06	8.76079e+06	8.43195e+06	8.54654e+06
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	12	12	2.01407e+07	1.94587e+07	1.9468e+07	1.93593e+07	1.93727e+07	1.92837e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	3	3	5.70277e+06	5.46764e+06	5.43258e+06	6.11685e+06	6.02337e+06	5.72318e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	35	35	1.91925e+08	1.93051e+08	1.9202e+08	1.94093e+08	1.90171e+08	1.90406e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	2	2	6.19018e+06	6.28987e+06	6.17205e+06	6.36547e+06	6.67292e+06	6.54834e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	5	5	2.70454e+07	2.69141e+07	2.88228e+07	2.57174e+07	2.85083e+07	2.69994e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		3	3			7.55034e+06		7.27126e+06	7.86237e+06
P05458	PTRA_ECOLI	ptrA	Protease 3	11	11	6.39548e+06	6.35834e+06	6.49863e+06	6.21214e+06	6.07594e+06	6.32001e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	15	15	4.11676e+07	4.1585e+07	4.12643e+07	3.88391e+07	4.22184e+07	4.11545e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	3	3	541354	546833	736572	745898	789144	
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	9.0199e+06	9.60529e+06	1.14343e+07	7.55091e+06	9.35733e+06	1.1304e+07
P05706	PTHA_ECOLI	srlB	Glucitol/sorbitol-specific phosphotransferase enzyme IIA component	1	1	1.23361e+06		1.26941e+06	1.43413e+06		
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	4	4	1.29386e+07	1.25734e+07	1.28917e+07	1.27786e+07	1.24606e+07	1.11555e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	14	14	1.22795e+07	1.24371e+07	1.17668e+07	1.24106e+07	1.23015e+07	1.25134e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	15	15	2.95252e+07	2.90723e+07	2.7384e+07	2.92324e+07	2.78366e+07	2.70957e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	17	17	9.31814e+06	9.80929e+06	9.87966e+06	9.43152e+06	9.58077e+06	9.13769e+06
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	3	3	8.14009e+06	9.29585e+06	8.70375e+06	9.32442e+06	8.33278e+06	8.70023e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	24	24	5.34688e+07	5.46805e+07	5.46638e+07	5.40933e+07	5.50665e+07	5.49067e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	4	4	7.1852e+07	5.76759e+07	6.563e+07	6.89632e+07	7.00962e+07	7.19093e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	19	19	3.07397e+07	2.94123e+07	3.12474e+07	2.90961e+07	3.0249e+07	3.05646e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	5.49263e+06	5.80807e+06	5.88717e+06	5.42145e+06	5.64955e+06	6.22999e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		4	4			1.84546e+06		2.37166e+06	2.16936e+06
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	8	8	5.19431e+07	5.12027e+07	5.24595e+07	4.95803e+07	5.08809e+07	5.11723e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	2	2	1.23219e+06	1.30453e+06	1.35321e+06	1.20803e+06	1.29299e+06	1.24606e+06
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	24	24	2.82962e+07	2.79943e+07	2.81664e+07	2.79135e+07	2.82179e+07	2.82378e+07
P06616	ERA_ECOLI	era	GTPase Era	8	8	1.07e+07	1.04551e+07	9.8314e+06	1.02996e+07	1.00006e+07	9.6917e+06
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	6	6	5.23568e+06	5.98069e+06	6.18825e+06	6.41109e+06	6.12452e+06	6.0427e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	8	8	5.58518e+06	5.79099e+06	5.74852e+06	5.9187e+06	5.30789e+06	5.91563e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	14	14	2.60635e+07	2.64045e+07	2.74147e+07	2.64449e+07	2.64653e+07	2.70299e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	3	3	1.16004e+06	1.5e+06	1.31451e+06	1.18099e+06	1.31472e+06	771744
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	4	4	2.64554e+06	2.61713e+06	2.73436e+06	2.72835e+06	2.70189e+06	2.6489e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		8	8			3.42751e+06		3.37249e+06	3.32916e+06
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	9	9	4.92279e+06	5.03655e+06	5.10781e+06	4.82207e+06	5.14069e+06	4.78123e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	36	36	3.28643e+08	3.20202e+08	3.23693e+08	3.27446e+08	3.15075e+08	3.16682e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	9	9	7.45627e+06	8.1237e+06	8.75723e+06	8.63718e+06	8.63418e+06	9.01221e+06
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	8.67622e+07	8.80163e+07	8.72987e+07	8.28359e+07	8.7825e+07	8.67328e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	19	19	7.66403e+07	7.47711e+07	7.76289e+07	7.72834e+07	7.56344e+07	7.63415e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	7	7	1.62951e+07	1.69237e+07	1.70505e+07	1.63458e+07	1.57622e+07	1.60032e+07
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	13	13	5.53845e+07	5.50729e+07	5.41555e+07	5.69644e+07	5.29087e+07	5.42557e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	9	9	1.26656e+07	1.21791e+07	1.27288e+07	1.28244e+07	1.21183e+07	1.24842e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	9	9	4.81177e+06	4.60155e+06	4.837e+06	4.46752e+06	5.01491e+06	4.92818e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	4.73652e+06	4.91837e+06	4.94036e+06	5.01626e+06	5.14605e+06	5.11032e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	3	3	1.40999e+08	1.39813e+08	1.38098e+08	1.33898e+08	1.44541e+08	1.46945e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	3	3	7.75841e+06	6.6217e+06	7.72289e+06	4.26437e+06	7.3383e+06	5.41837e+06
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	18	15	1.32056e+09	1.32434e+09	1.29475e+09	1.28382e+09	1.26697e+09	1.32771e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	4	4	4.94926e+06	4.89037e+06	4.93454e+06	4.90808e+06	5.13052e+06	4.93413e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.02316e+06	1.9145e+06	1.6469e+06	1.95593e+06	1.91923e+06	1.72344e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	2.00764e+07	2.11245e+07	1.95221e+07	1.96656e+07	2.13426e+07	2.15877e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	8	8	1.21739e+07	1.15534e+07	1.11282e+07	1.22679e+07	1.13114e+07	1.10885e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	15	15	3.22485e+07	3.24763e+07	3.21462e+07	3.23058e+07	3.14988e+07	3.13117e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	18	18	6.51259e+07	6.51996e+07	6.70042e+07	6.46769e+07	6.46388e+07	6.62959e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	9	9	2.05641e+07	2.0434e+07	2.12309e+07	1.97108e+07	2.04011e+07	2.15145e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	14	14	1.93961e+07	1.95048e+07	1.90504e+07	1.99254e+07	1.99436e+07	1.93467e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	5.13622e+06	5.08267e+06	5.38915e+06	5.34938e+06	5.03915e+06	5.03632e+06
P07023	TYRA_ECOLI	tyrA	T-protein	6	6	6.14574e+06	7.15402e+06	6.65297e+06	6.22235e+06	7.28704e+06	6.47291e+06
P07024	USHA_ECOLI	ushA	Protein UshA	12	12	2.39872e+07	2.43195e+07	2.39619e+07	2.37108e+07	2.3633e+07	2.3962e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	1	1	5.50761e+06	4.93385e+06	4.75634e+06	4.6062e+06	5.18937e+06	4.87528e+06
P07117	PUTP_ECOLI	putP	Sodium/proline symporter	1	1	2.53948e+06	2.11901e+06	2.28935e+06	2.41972e+06	1.9537e+06	
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	47	47	1.14255e+08	1.14088e+08	1.19845e+08	1.15535e+08	1.17388e+08	1.172e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	6	6	3.30759e+06	3.04604e+06	3.03984e+06	3.13813e+06	2.99609e+06	3.12076e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	14	14	1.1717e+07	1.17351e+07	1.22742e+07	1.23068e+07	1.17649e+07	1.22819e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	2	2	202351	130841	172555	172288	166486	165319
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	35	35	8.71205e+07	8.74107e+07	8.66283e+07	8.8414e+07	8.61982e+07	8.95886e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	9	9	7.99851e+06	8.40656e+06	8.92121e+06	8.21745e+06	7.97271e+06	8.37861e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	10	10	1.6534e+07	1.70955e+07	1.71861e+07	1.63321e+07	1.73051e+07	1.70214e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	4	4	1.35247e+06	1.39564e+06	1.7353e+06	1.57204e+06	988663	1.21668e+06
P07649	TRUA_ECOLI	truA	tRNA pseudouridine synthase A	3	3	5.74393e+06	5.88154e+06	6.03144e+06	5.80015e+06	5.90521e+06	6.02784e+06
P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	25	25	2.93638e+07	2.9937e+07	2.84357e+07	2.96937e+07	2.8843e+07	2.91096e+07
P07658	FDHF_ECOLI	fdhF	Formate dehydrogenase H	13	13	4.62776e+06	4.68165e+06	4.84938e+06	4.6183e+06	4.76014e+06	4.51434e+06
P07762	GLGB_ECOLI	glgB	1,4-alpha-glucan branching enzyme GlgB	21	21	1.20516e+07	1.16214e+07	1.23879e+07	1.17653e+07	1.19001e+07	1.2199e+07
P07813	SYL_ECOLI	leuS	Leucine--tRNA ligase	30	30	9.27178e+07	9.32455e+07	1.00928e+08	9.45828e+07	9.68812e+07	9.44896e+07
P07821	FHUC_ECOLI	fhuC	Iron(3+)-hydroxamate import ATP-binding protein FhuC	3	3	3.39473e+06	3.29463e+06	3.66316e+06	4.32349e+06	4.21083e+06	
P07822	FHUD_ECOLI	fhuD	Iron(3+)-hydroxamate-binding protein FhuD	3	3	1.86051e+06	1.64726e+06	1.7727e+06	1.77708e+06	1.53493e+06	1.68555e+06
P07862	DDLB_ECOLI	ddlB	D-alanine--D-alanine ligase B	11	11	3.85575e+07	4.09745e+07	4.24822e+07	4.0987e+07	4.26636e+07	4.14985e+07
P07913	TDH_ECOLI	tdh	L-threonine 3-dehydrogenase	7	7	3.22618e+07	3.1511e+07	3.27471e+07	3.19259e+07	3.27653e+07	3.33707e+07
