Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0C0K3	P0C0K3		rdoA		2.12345e+06	2.1624e+06	2.16034e+06	2.0798e+06	2.05119e+06	2.11107e+06
P0C0L2	P0C0L2		osmC		5.35812e+06	5.44827e+06	5.41289e+06	5.65948e+06	5.32115e+06	5.66409e+06
P0C0L7	P0C0L7		proP		2.30352e+06	2.40362e+06	2.17773e+06	2.30748e+06	2.29812e+06	2.536e+06
P0C0L9	P0C0L9		iscX		1.46358e+06	1.64504e+06	1.42784e+06	1.40164e+06	1.60546e+06	1.56727e+06
P0C0R7	P0C0R7		rlmE		3.10314e+06	3.04919e+06	2.77301e+06	3.07317e+06	2.83929e+06	3.1693e+06
P0C0S1	P0C0S1		mscS		7.58138e+06	7.8441e+06	7.39051e+06	7.91659e+06	7.68339e+06	8.04712e+06
P0C0V0	P0C0V0		degP		1.36679e+07	1.34918e+07	1.34663e+07	1.38941e+07	1.35381e+07	1.36822e+07
P0C960	P0C960		emtA							62782.1
P0CB39	P0CB39		eptC		1.82701e+06	1.59672e+06	1.8171e+06	2.01017e+06	1.63906e+06	1.61178e+06
P0CE47	P0CE47		tufA		1.47462e+09	1.39768e+09	1.45525e+09	1.44787e+09	1.37546e+09	1.40692e+09
P0CG19	P0CG19		rph		6.96091e+06	6.57737e+06	6.95606e+06	6.77082e+06	5.97471e+06	6.00109e+06
P0CK95	P0CK95		yghJ		5.18599e+06	5.08864e+06	5.15894e+06	4.98032e+06	5.1214e+06	5.05657e+06
P10100	P10100		rlpA		3.25753e+06	3.23448e+06	3.3381e+06	3.34651e+06	3.40745e+06	3.26391e+06
P10121	P10121		ftsY		5.02781e+06	4.90078e+06	4.97958e+06	5.07941e+06	4.83994e+06	4.81385e+06
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)				817488	7.69549e+06	391046	220304	7.51501e+06	7.60377e+06
P10346	P10346		glnQ		2.95475e+06	2.95318e+06	2.80772e+06	2.80072e+06	2.69988e+06	2.81387e+06
P10371	P10371		hisA		2.70467e+06	2.53072e+06	2.91691e+06	2.74926e+06	2.36689e+06	2.60226e+06
P10384	P10384		fadL		1.42088e+07	1.32299e+07	1.43406e+07	1.44088e+07	1.29924e+07	1.351e+07
P10408	P10408		secA		9.66838e+06	8.99611e+06	9.60573e+06	9.59804e+06	9.07053e+06	9.29066e+06
P10441	P10441		lpxB		1.00374e+06	987402	956564	1.01998e+06	1.03766e+06	1.06216e+06
P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)	P10599ups|THIO_HUMAN_UPS Thioredoxin (Chain 2-105, N-terminal His tag)- Homo sapiens (Human)				672866	2.34634e+06			2.4755e+06	2.39529e+06
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)				626845	1.22211e+07	785718	616427	1.23923e+07	1.16762e+07
P10903	P10903		narK		3.12988e+06	2.50134e+06	2.78536e+06	2.75536e+06	2.47949e+06	2.29655e+06
P10908	P10908		ugpQ		548841	586948	626597	587669	764187	670200
P11349	P11349		narH		1.51532e+06	1.34555e+06	1.54373e+06	1.50773e+06	1.34971e+06	1.45862e+06
P11447	P11447		argH		1.97249e+06	1.67301e+06	1.9435e+06	1.92002e+06	1.65172e+06	1.38486e+06
P11557	P11557		damX		8.62583e+06	7.31767e+06	8.11246e+06	8.35215e+06	7.31112e+06	7.14219e+06
P11875	P11875		argS		1.29336e+07	1.28344e+07	1.29112e+07	1.27446e+07	1.26038e+07	1.24884e+07
P11880	P11880		murF		5.05937e+06	4.5438e+06	5.0117e+06	5.01439e+06	4.39155e+06	4.47998e+06
P12008	P12008		aroC		3.55057e+06	3.48802e+06	3.61944e+06	3.54648e+06	3.70794e+06	3.74275e+06
