protein	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P69795	3344389.587783501	1972710.09334416	3145795.41231758	1839868.677819396	2231884.21980916	2004669.1853872847	0	0.19849255464006652	0.477929196603916	False	0.014649209486166008	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ADC1	14068754.153989768	15411920.149016278	19456382.07959485	17666542.245095525	21414602.39690789	19123930.151892856	0	0.19858663420732242	-0.25021762021193505	False	0.014673913043478263	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AEM0	39221118.96651081	37175249.04846119	39139421.32418591	32519641.46135957	35264252.22481893	38391346.36918925	0	0.19913357279833147	0.12189245171054877	False	0.014698616600790514	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AG78	8305522.233565639	6916633.56640412	7236011.322337335	8370583.953688243	9158793.542086966	7685365.320766875	0	0.19921811728897595	-0.16702732035919352	False	0.014723320158102767	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P33235	58576476.39499935	52670093.60966186	56682846.50489311	53808858.66627361	51468713.24485391	53049303.00125214	0	0.19933714854175819	0.0849488080448176	False	0.01474802371541502	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P77182	8610239.82073305	9813696.286271468	9681236.769318853	10606158.27888367	9388803.064408123	11282448.249250231	0	0.19986269304887005	-0.15428534398838978	False	0.014772727272727274	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P52108	39553650.614640735	40314478.44651264	41178994.04583554	40243354.44776306	42598026.9226912	43259549.051356345	0	0.2004979392532228	-0.05901012885562367	False	0.014797430830039527	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P76193	24919619.172399502	27802855.749711838	27030397.95973516	25399392.56785846	23419390.306876477	25749814.801330674	0	0.20180901380476	0.09696827829589544	False	0.014822134387351778	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AG27	451076120.71893615	439647986.32917565	441746083.1268799	445363801.0499085	453851073.9181356	464882579.4195573	0	0.2018894261197339	-0.033843460044864916	False	0.014846837944664033	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P64581	399960502.61782575	457076631.50023216	456231388.1187838	472051030.0345376	473396050.31699616	473842187.3236263	0	0.20233041081202305	-0.112006725116451	False	0.014871541501976285	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
Q46919	1619358.0663625812	1363093.624999999	1451394.458125336	1488538.8516339432	1190602.830559696	1094940.6455049862	0	0.20480744731392359	0.23243281666054413	False	0.014896245059288538	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P37128	7490329.274686138	7066436.105612792	6755281.453692126	6141605.131003585	7147633.794434456	5727064.460768204	0	0.20504855947761277	0.16443233255863238	False	0.014920948616600791	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AGJ7	32822330.63980442	32225864.44875934	31974924.89352768	32810293.337016672	32481385.589502595	33308119.06936106	0	0.20534373138875742	-0.02325611775099591	False	0.014945652173913044	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P62768	186371819.18569595	193505696.067922	187064926.36984184	179936102.218413	185172000.93393505	187445782.5421149	0	0.205829262986253	0.03708710949048873	False	0.014970355731225297	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P00370	81118834.35007803	77363792.91255392	79175952.56977345	73172008.62523231	76126026.45801839	79010739.06909035	0	0.20683665986038327	0.057904181088739765	False	0.01499505928853755	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P08839	2161039724.610708	2275689206.249214	2186867546.755211	2143844500.6753235	2179811040.352545	2110359220.0198088	0	0.20745063205280576	0.041895537870686075	False	0.015019762845849804	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P76342	3315015.2124913363	3630615.499999998	89671.98180856215	3884943.7997605302	4798513.844542414	4494616.854488806	1	0.20746978125586546	-0.9054551858518667	False	0.015044466403162057	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A7E9	74427574.03475395	70700747.81912163	68817871.50810203	67726180.17307757	69800905.1632707	67567457.07177483	0	0.20810149671068873	0.06095890800581755	False	0.015069169960474308	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P67338	4192689.778580386	4800981.000000005	5826475.307624823	3142015.86599545	3952080.827210022	4740969.279602101	0	0.20819998861388914	0.3244919205677343	False	0.01509387351778656	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AGL2	237386171.28722927	229244625.4919931	224844876.0260452	207527805.03616703	221216375.4133629	228792922.1578509	0	0.20867249755183348	0.07260619287146779	False	0.015118577075098815	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P42641	115724053.29443808	110942285.78551374	109923584.09474362	119767174.2382978	113375665.29742783	115124342.78984286	0	0.21102123799021805	-0.04920254635256066	False	0.015143280632411068	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P00561	45048296.46259244	42279539.21004882	39924492.44235131	45518786.13516634	44331517.64844636	45338705.97455768	0	0.21112560444498674	-0.0872858209168833	False	0.015167984189723321	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
Q46851	6622924.735633975	6200760.481804359	6628001.178045614	6534298.547394053	5437236.074954178	4844168.459748213	0	0.21229227759441244	0.21008613670791146	False	0.015192687747035574	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P63235	61774025.81393927	58683511.39477231	63774034.50075042	63702439.2402464	64453446.78790501	64043124.485586815	0	0.21274319431196587	-0.06108059195876064	False	0.015217391304347827	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A7A7	81958986.45633458	78481213.02584821	81330095.46808836	79138463.32603027	78308997.30654676	71494012.19555426	0	0.21274896833659485	0.07865816781204575	False	0.01524209486166008	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A7F6	25729307.344852928	26906408.64482836	24752207.438522942	24801561.78755474	25357037.37621262	23631005.80430889	0	0.21282116042945254	0.06869085542517461	False	0.015266798418972332	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P76270	52703228.5699983	57462945.81465346	47615836.69838519	46920887.3200732	49989913.22704643	45815886.812377445	0	0.2128388238729537	0.1446776129038432	False	0.015291501976284587	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ACP7	80903270.8099941	89391251.23702823	85425164.93107925	79811356.13865584	80696874.41664925	82174056.97622058	0	0.21285069219280842	0.0754944175380186	False	0.015316205533596838	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P75694	3270392.521815722	2368720.982135342	2688126.93715985	2214963.289830633	2237109.8031698647	61921.95710385033	1	0.21329492034149902	0.8834336444835363	False	0.01534090909090909	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P75863	34639806.96931036	33612793.253934056	35802289.16685972	34445095.99587563	33214392.729854014	32802497.628749453	0	0.21381231828821368	0.050695051178879416	False	0.015365612648221345	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A8N7	42532389.82842288	43892619.87493663	46136595.9295556	44285273.23825243	39112770.38357415	40804838.06406173	0	0.2151918761915742	0.09396433565769201	False	0.015390316205533598	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P52126	1056237.262365785	1638476.3750000014	1308930.587619557	1450256.2014630062	1620304.6970657145	1855442.7409994924	0	0.21712622802639348	-0.29910391580139556	False	0.015415019762845851	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P14900	77421072.57219367	77591201.33920266	75423269.8203744	77107228.26319055	79081652.94945908	82531028.95688185	0	0.21723622919373373	-0.050955634117561495	False	0.015439723320158102	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P75820	879163.1487258051	820352.7073095336	1087837.1352148012	1287528.789146667	1423676.1400229756	900552.9814641584	0	0.21724468183914492	-0.37380547755334376	False	0.015464426877470357	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P12008	27767131.80843606	25245460.50027976	26659910.03203781	27819401.56055503	28047976.27257905	27668662.002150062	0	0.2176066737996034	-0.06831686421009778	False	0.01548913043478261	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AEJ4	732116.2019758773	831337.5625	762651.2935106149	710582.9009592467	95444.94282135296	547397.286928244	1	0.21784233618569399	0.7813011750621057	False	0.015513833992094862	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P03813	219403.09294453397	283769.4375000003	297985.1991356645	218907.31186594864	233679.09196125963	61921.95710385033	1	0.2179727014542675	0.6388917825774997	False	0.015538537549407117	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P07395	872136760.8262264	868354176.0875868	901590120.9251643	883559572.4229417	912411374.6205356	906382458.4793248	0	0.21842305712306004	-0.032541629763664225	False	0.015563241106719368	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ABS1	467610988.71685183	468270539.7176334	490840819.8613336	431308730.2816613	428018188.1058025	480022658.2053955	0	0.21950213959416073	0.09117204194917765	False	0.01558794466403162	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
