protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P01008ups|ANT3_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	15269142.839144394	14799160.212565534	16353376.15782098	3	0.0008588602837590755	-7.294493665071952	False	0.0004431314623338257	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
O76070ups|SYUG_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	36343381.47212341	33753637.10662945	32759726.67482406	3	0.0009675431898198304	-8.442259457402184	False	0.0004677498769079272	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	10613784.664466128	9407549.019380355	9875757.71244098	3	0.0011837258897464554	-6.659700090414298	False	0.0004923682914820286	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P68871ups|HBB_HUMAN_UPS	7821715.902564128	8503593.744930165	6533442.423087444	18093433.759276018	15470060.76792398	18039662.810131334	0	0.0014426815715495752	-1.174712695040435	False	0.00051698670605613	False	False	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P01375ups|TNFA_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	5837508.675950608	6742225.01165889	6302610.116028953	3	0.001588532715866115	-5.99673280773233	False	0.0005416051206302314	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P0AFK9	200790574.5029693	197116190.2502488	200736724.19040105	211330773.041358	211741274.16907173	215420538.62381583	0	0.0017547129745561008	-0.09297277907457466	False	0.0005662235352043329	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P10636-8ups|TAU_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	7004300.795343254	6011930.193772899	6498163.37483679	3	0.0018243268695476943	-6.044233643823103	False	0.0005908419497784343	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P13029	1648970874.15809	1657213029.6526964	1652199245.3060656	1674308992.8420656	1683849959.2064776	1681251730.4047678	0	0.0021380509870193944	-0.023385275195200148	False	0.0006154603643525357	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P01127ups|PDGFB_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	19055201.730640013	19276393.620091528	21953560.4064672	3	0.0021448408947998677	-7.671497760472618	False	0.0006400787789266371	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P0A8J2	10840676.319213197	11412211.80613584	10955057.581626432	9765159.981940707	9314623.694550842	9317763.169626633	0	0.0024226096102239894	0.22576217204892135	False	0.0006646971935007386	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A729	20132834.403988294	20456665.276105963	20825892.514271963	22562750.980534658	22017784.93758829	22217316.989455752	0	0.002611876419998656	-0.12120145524515982	False	0.0006893156080748401	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P02787ups|TRFE_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	17044273.7902712	19237935.293194316	20527909.0779011	3	0.0028822413098926612	-7.585842858591078	False	0.0007139340226489415	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	3615819.246343299	4006091.445214232	3280193.3153857617	3	0.003031315601238003	-5.204301543793536	False	0.0007385524372230429	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P0AED0	361730159.2196057	356356300.8197651	345845960.4000719	310465927.6136912	317626671.336851	308918316.4379091	0	0.0034188237845363292	0.1832687564172227	False	0.0007631708517971443	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P01579ups|IFNG_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	8492643.690944541	6938700.851814985	8158068.87288458	3	0.003575423761907994	-6.317834499252918	False	0.0007877892663712457	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P09211ups|GSTP1_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	5545173.47553001	6045338.677160927	4893560.414376522	3	0.0035893392129596443	-5.800767674750538	False	0.0008124076809453472	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P0A817	214529218.8123044	218946767.049064	218124996.748339	230087996.0327657	229599935.55626497	227493375.39432856	0	0.003718369362959523	-0.0767020127282231	False	0.0008370260955194486	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AFC3	15268332.565329196	14704345.825407268	14528886.231378486	13438307.31093099	12670181.760173244	12996640.752106631	0	0.00465653056022153	0.18649818727811981	False	0.0008616445100935499	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P25772	3875919.532546627	3984459.545043437	4037026.573515017	3562573.284128904	3412201.9999999967	3321377.5894785426	0	0.0050106213002079625	0.20854163422086394	False	0.0008862629246676514	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ACV8	2369303.0615544766	2307385.638999935	2328770.1253873184	2595182.5682808664	2500210.749999998	2539616.14970498	0	0.005044210406058318	-0.12415040230783084	False	0.0009108813392417528	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P16095	63974660.733192384	62976606.9082654	64585831.63263404	58247800.87568187	60399192.09177138	58998892.55737778	0	0.005301300938071841	0.10861958358994624	False	0.0009354997538158544	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P10346	61035592.52456111	62249997.81640449	60011004.79997586	55425220.76070476	57058109.25273614	56583252.76788284	0	0.00532885200813859	0.11658845814605093	False	0.0009601181683899558	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ACP7	78554515.80310464	79513823.64902198	80794268.84559563	85305267.59468827	87218779.52098292	88748489.76995727	0	0.005359150382291364	-0.12937445568207515	False	0.0009847365829640572	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0CK95	184501109.2350331	185646411.59128892	186090821.28476623	189639502.9174525	188608533.1053452	188214284.3717113	0	0.006054767788884884	-0.02627680025889133	False	0.0010093549975381587	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AEF4	10128872.399239557	10074457.91093414	9907652.823426606	10600847.0258342	10484152.80835102	10461850.440049918	0	0.006158706604155135	-0.06720615638634476	False	0.00103397341211226	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P76402	41632764.296895504	41863913.29407489	41752314.20959551	39507888.34431037	38710429.53248172	38727335.28546173	0	0.006214321101434465	0.09896075229582922	False	0.0010585918266863613	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ACG1	698462731.9495761	690841301.554685	700133671.8040502	658042314.0642813	672072740.8488406	668929222.0073575	0	0.0062692284597167984	0.06380431990329509	False	0.0010832102412604628	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P52006	8344340.323363664	7996220.590214346	7844283.16407169	11152060.206470078	11587688.384548511	10385270.126987632	0	0.006383479736695	-0.4538180331892548	False	0.0011078286558345643	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AA10	2986703554.6241083	3013988997.6932616	3003125979.12462	3084361564.373343	3090112716.821112	3086037587.6769056	0	0.006489585769587178	-0.04055495962322054	False	0.0011324470704086658	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A8W5	25720053.4518499	25231872.3001868	25810365.652455565	28217050.90636469	27985355.00843092	27206539.07068524	0	0.006589344399378585	-0.11980433265449492	False	0.0011570654849827671	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P37665	149524994.23772332	147039455.54264313	151162234.26579523	140754787.61739016	139425947.4630447	141924351.6966091	0	0.006774560513622067	0.08501608865296507	False	0.0011816838995568687	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P41159ups|LEP_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	6336317.296521214	4888620.000000001	5048470.1902493965	3	0.007143620365603809	-5.782211323273066	False	0.00120630231413097	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P0ABI4	20677716.919242293	19986200.0251389	20094239.750918783	19036182.071440637	18669032.10775929	18604214.847365998	0	0.007203767221936196	0.10970157931462289	False	0.0012309207287050715	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A7M6	805291055.3560658	794739828.6763362	758634401.2269857	920360713.9586143	882386394.0409932	869442455.4920789	0	0.007492702888140155	-0.18005165298570977	False	0.001255539143279173	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A8A8	50738065.80581191	53377657.20586301	49468503.78122373	44545509.941135086	44342617.14783086	41913393.97857118	0	0.007634335567556996	0.2316507401044	False	0.0012801575578532743	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P06396ups|GELS_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	6202931.126003528	7209462.101797655	8425576.337509332	3	0.007816303879542219	-6.206533679549827	False	0.0013047759724273758	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P76539	18299363.47494344	18000407.21915193	19285101.25235841	20877449.343040377	22557105.432255715	22222521.328543592	0	0.007822736040666226	-0.24025821348496937	False	0.001329394387001477	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A6X7	368534926.9106946	365334931.0711865	365005917.9250508	388153848.9086383	380603853.2235345	388345937.5782396	0	0.007998326126510115	-0.07448978601877386	False	0.0013540128015755786	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ABF6	119422541.54028036	118125817.01671784	118034644.6595732	122198042.24485762	121818365.35412228	123880078.22399656	0	0.008182054701304137	-0.04911353030270806	False	0.0013786312161496801	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ABK5	1760225850.3970077	1746249765.1928463	1755117052.757532	1715414139.0088358	1719485852.2134745	1698188928.9363484	0	0.008439996322358442	0.03567231261876083	False	0.0014032496307237814	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A6A3	2264124685.4501767	2257545810.951446	2186953171.349908	2358247987.307948	2426037899.1955166	2386058081.444196	0	0.00927049627788598	-0.09602551258556014	False	0.001427868045297883	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P64545	2893948.3774279905	2940456.831268765	2766477.9610883314	2546899.8678065934	2576425.750000003	2393096.0719327955	0	0.009538722278114227	0.1944388007969334	False	0.0014524864598719843	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A9Y6	2365034999.6504188	2300677233.82554	2347177186.153097	2188042265.456028	2202315160.930445	2178828195.331284	0	0.009679035253913271	0.09429444801022366	False	0.0014771048744460858	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P12295	59543629.14937822	58192864.128058255	58044982.65366678	64930984.05997617	63321073.57654495	62247013.424681485	0	0.009781263693427578	-0.11600091715262345	False	0.0015017232890201873	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A8E7	856673667.0431674	872410073.897138	870215426.372958	827601844.6271242	833908253.6559037	829202856.2491894	0	0.010102443694245523	0.06156392500939377	False	0.0015263417035942886	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A972	3353391758.0096	3437897119.672883	3421390241.238573	3021227350.797402	3178792762.4996057	3128761581.366292	0	0.010361095673457917	0.1306007941354109	False	0.00155096011816839	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A799	10836667177.101534	10758046489.838505	10676916128.45108	10514565418.30075	10455533805.747145	10333657465.146976	0	0.010685864585924618	0.0439306373159846	False	0.0015755785327424914	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P28635	392617056.5128662	385816677.393292	395417452.46675897	366497908.2316951	368176238.9684414	366212678.7565458	0	0.01074296617012235	0.09258336034029996	False	0.001600196947316593	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A7J7	3452503100.4912696	3560751561.6951623	3487103694.129937	3264085050.727651	3350176384.302544	3319908772.599588	0	0.01102113722232799	0.07996719444860233	False	0.0016248153618906944	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AB71	4192064642.765627	4100627280.8111815	4228020829.9840136	4397868276.743533	4456728716.366536	4427464793.715115	0	0.011046900324750867	-0.08516242355931854	False	0.0016494337764647957	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P10100	47540525.51830117	47251222.24926459	46564431.59194683	44977983.1993619	45801172.08517668	45454738.30534565	0	0.011306936071881116	0.05324927602085477	False	0.0016740521910388973	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AFZ3	102783434.71229564	104040751.12242964	103031046.14573774	100078984.70550597	100252206.4312102	101511657.32908373	0	0.011430287009055849	0.03779670885181562	False	0.0016986706056129985	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P02942	169773452.45438114	173633961.69423884	169970676.1662545	180233861.78799245	178427352.56797794	178279554.14858773	0	0.011868560752951068	-0.06474122247563174	False	0.0017232890201870998	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AB96	2784015.352147592	2794496.2483579167	2609679.502134171	2292008.303403692	2414203.9231905867	2446507.81375378	0	0.012004078585257441	0.19505279843522974	False	0.0017479074347612016	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P21829	48001755.30162136	46144799.32173166	46857722.08296298	44163149.45309735	42486095.34328976	44209336.35041352	0	0.012542631685617232	0.10773038743864691	False	0.0017725258493353029	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A9C5	1401872488.037773	1420267364.0472727	1409601147.8869395	1455168350.7176309	1437754030.023662	1438983737.8668947	0	0.012584467448676914	-0.033750645832199895	False	0.0017971442639094044	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AEI1	274227449.15820795	268995697.1332992	271207066.86430264	282556221.1868087	283357606.5207871	283551617.38411134	0	0.013698295437978231	-0.06076417956862104	False	0.0018217626784835057	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P75849	32775761.68208577	35087986.98377982	34269926.67386431	29570305.29956353	30626889.30085272	29913031.24705536	0	0.014862730745332	0.18069588787954433	False	0.001846381093057607	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A812	94569499.81871706	93446411.73859516	89216738.52986681	109455191.60007776	108517290.31452724	101289997.11778444	0	0.014925743403101424	-0.2036458359938676	False	0.0018709995076317087	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P61889	741380298.4108461	765011098.2861488	744982253.6917394	701223863.1075816	713388778.3636724	708951907.800347	0	0.015055583953181177	0.08431755182597336	False	0.00189561792220581	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P61175	3256215132.2619734	3353973473.3063498	3301454371.289451	3142358092.6748514	3191723905.181305	3096472796.518732	0	0.015274573793117665	0.07178157534403644	False	0.0019202363367799115	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P78067	67825172.69978179	67047009.948411874	70290262.27719638	73222039.84707154	72739689.48227721	74827408.31222606	0	0.015653465545627097	-0.10590252715945112	False	0.0019448547513540128	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P75882	112749107.47466733	113084933.08751452	110633294.64928176	115916491.59668852	117362680.90326189	115364803.19256929	0	0.015779449642014415	-0.05128810066205929	False	0.0019694731659281144	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A7C6	134240505.13532293	134236530.9167798	142243012.38952905	147106663.79032013	153893091.0391725	151601617.8858517	0	0.01619814443339025	-0.14008558904499402	False	0.0019940915805022157	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AF93	976606993.1984878	952753093.266532	974625991.6160152	901532201.9862634	931541924.3988824	895233548.9073874	0	0.01630762223948102	0.09002818857564711	False	0.0020187099950763174	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P62988ups|UBIQ_HUMAN_UPS	218556.30866790772	311326.30326771	220505.76313568832	405900.238698052	558701.7207748159	473561.2222226533	0	0.016669245151781992	-0.9385179978926651	False	0.0020433284096504187	False	False	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS	106587.48698987404	143982.51540525525	45135.529915888896	11393042.252380405	10322130.999999989	7166377.524189069	3	0.017227773804438153	-6.609843163797088	False	0.00206794682422452	False	True	Human	True	False	False	False	diann231	directlfq	min	1.660964047443681
P08395	46984759.047186285	46627769.74801017	47388387.25308996	48766708.61645621	48282188.83260558	47901081.21849725	0	0.017362731411639187	-0.0398505855868686	False	0.0020925652387986213	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A6T9	38748606.05963108	38191202.79516698	39866981.31448786	41423442.68115595	40812135.07073981	42320468.80821224	0	0.01773010956253004	-0.09267091588474	False	0.0021171836533727226	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AEG4	32525615.813485432	32728859.07811303	32081062.09978596	35290563.75767088	33949147.56340506	35162997.69122883	0	0.01828620785141127	-0.10112061594575072	False	0.0021418020679468243	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A794	158776281.5762622	160448988.93094748	155167020.18389344	151305599.828539	150436451.57177487	148449237.0508075	0	0.01875016425096368	0.07554242515992367	False	0.0021664204825209256	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AG84	10120854.505223123	9935083.495123856	10682659.530481417	8758435.944859538	9221342.808931945	9381002.377314772	0	0.019402158604201948	0.1679419238563449	False	0.0021910388970950274	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A8Q6	106587.48698987404	143982.51540525525	45135.529915888896	799579.5973007843	1311669.9999999993	1208337.308138006	3	0.020345730212756968	-3.488770581534245	False	0.0022156573116691287	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P00962	583694992.1005644	583541587.4100249	594123845.2287928	607793203.3955058	600809679.9650075	615541201.7493807	0	0.020452002635035556	-0.05052953323408374	False	0.00224027572624323	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A915	263525400.3148906	254436309.1375217	261284236.9087594	306146717.308217	283328038.2563278	296884117.2644817	0	0.02054444936154231	-0.18581219672811822	False	0.0022648941408173317	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
Q47157	1004845.7618628911	773487.3120560503	614497.9503285829	47927.32449664492	93273.87499999993	117849.03360117222	3	0.021601713753925975	3.207414734089023	False	0.002289512555391433	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AEQ6	6824247.227523015	6180179.825872113	6311578.025821443	7381781.227101835	7204446.26246586	7594107.635408523	0	0.021626504195190435	-0.199484415507432	False	0.0023141309699655343	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AEQ3	875458477.1657581	871314742.6292454	867600134.9590048	843183250.5274502	857931264.0426341	846283859.7579788	0	0.021880137769735842	0.03744059217172101	False	0.0023387493845396356	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P00370	78133113.66687073	79124868.36982973	77507829.85359728	75670930.61609615	75539530.04714423	73475218.40764011	0	0.022225221705216604	0.06331415569129781	False	0.0023633677991137373	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P37344	2521595.591870838	3006515.921748631	4136458.657443897	47927.32449664492	93273.87499999993	117849.03360117222	3	0.02233414597449698	5.221401783559755	False	0.0023879862136878386	False	True	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P04846	14526058.277369788	14311309.772746202	14713143.15712488	13942139.162909	13633993.50585139	14073906.7043096	0	0.022682961410457135	0.06437179423789659	False	0.00241260462826194	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P77774	280964856.18899214	289975806.6527122	281481884.6939111	301551752.03284585	297454589.44064534	294469598.2581329	0	0.022692414878550372	-0.06786012515693254	False	0.0024372230428360417	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P09831	130029690.39221697	131037860.5790401	127208694.8123418	137819023.05561483	135364121.71888566	133474311.33137126	0	0.02307126379892505	-0.06673061828805507	False	0.002461841457410143	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A6S7	104658535.54074252	103809986.3918824	105089661.687837	101900878.35008378	99727213.39106336	101775579.2426614	0	0.023215483624053287	0.047494631926883836	False	0.0024864598719842447	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P21893	4607868.492944154	4996649.659433109	4810652.851563297	5442195.226353136	5991104.27172317	5469464.248425877	0	0.023693961369591243	-0.22967120747649278	False	0.002511078286558346	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A8M6	107845084.02500658	99008791.76259506	107789818.4527322	119759990.82256144	114146340.57281674	123494827.83561486	0	0.023762749262638164	-0.18382528355434394	False	0.0025356967011324473	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A962	16103231.911189638	15764550.708216997	15485434.512481956	16719891.215205638	16860473.024010994	16837846.776815947	0	0.023916570772106006	-0.0904824837788165	False	0.0025603151157065486	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P68919	1852005577.0526445	1898867102.3018565	1850055473.12383	1816685831.6130345	1767363094.4184427	1788667926.0873823	0	0.024230273528822517	0.06001411332874934	False	0.00258493353028065	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AE08	2245714171.4793005	2276976805.8799176	2273762921.8209457	2332517811.2304997	2316518278.9551606	2297266780.3392067	0	0.024682427753137746	-0.031463110324510164	False	0.0026095519448547516	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
