Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10.0	65447300.0	30756000.0	65217600.0	25525500.0	65613900.0	28970700.0	0	0.001630648652435798	-1.203095386656535	False	0.0011381272633212624	False	True	Human	True	False	False	False	diann231	manual	min	0.6609640474436812
P0AB20	HSPQ_ECOLI	hspQ	Heat shock protein HspQ	1	1.0	95476.4	5659350.0	86879.9	5729560.0	87205.2	4990570.0	3	0.001915326254322521	5.925131287221401	False	0.0011639937920331091	False	True	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P63279ups|UBC9_HUMAN_UPS	SUMO-conjugating	SUMO-conjugating		5	5.0	46982400.0	19117500.0	44967800.0	18493400.0	42358100.0	18305100.0	0	0.0019871565463729576	-1.2642153982920648	False	0.0011898603207449563	False	True	Human	True	False	False	False	diann231	manual	min	0.6609640474436812
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1.0	37988300.0	16562600.0	36209100.0	11551600.0	37500600.0	12048800.0	0	0.0021031615667739894	-1.4756644125666263	False	0.001215726849456803	False	True	Human	True	False	False	False	diann231	manual	min	0.6609640474436812
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		7	7.0	47937500.0	23421900.0	48639500.0	18773900.0	47784500.0	18366900.0	0	0.0027375905539505523	-1.2531846089162748	False	0.0012415933781686499	False	True	Human	True	False	False	False	diann231	manual	min	0.6609640474436812
P25519	HFLX_ECOLI	hflX	GTPase HflX	16	16.0	25317900.0	26285800.0	25232600.0	26555400.0	25347700.0	26288000.0	0	0.002927059071425723	0.060144500458488355	False	0.0012674599068804968	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AF93	RIDA_ECOLI	ridA	Enamine/imine deaminase	5	5.0	310457000.0	344399000.0	320506000.0	345522000.0	318131000.0	339896000.0	0	0.0037309276627655276	0.11776510456512677	False	0.0012933264355923435	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A9M2	HPRT_ECOLI	hpt	Hypoxanthine phosphoribosyltransferase	9	9.0	34172900.0	31009000.0	33297700.0	31528400.0	33430300.0	31375600.0	0	0.00418115351691709	-0.10354225952172465	False	0.0013191929643041906	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AA25	THIO_ECOLI	trxA	Thioredoxin-1	7	7.0	368698000.0	341176000.0	366585000.0	340944000.0	372974000.0	340963000.0	0	0.004303333896232853	-0.11536928307881747	False	0.0013450594930160373	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		1	1.0	30803600.0	16848400.0	37731400.0	14609800.0	34829700.0	13966800.0	0	0.004397789823626239	-1.1861851565063783	False	0.0013709260217278842	False	True	Human	True	False	False	False	diann231	manual	min	0.6609640474436812
P0ADI7	YECD_ECOLI	yecD	Isochorismatase family protein YecD	5	5.0	31371900.0	32634100.0	31123100.0	33354900.0	30960100.0	33242100.0	0	0.004448245079999433	0.08651894987474126	False	0.0013967925504397311	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A7M6	RL29_ECOLI	rpmC	50S ribosomal protein L29	5	5.0	400239000.0	373734000.0	410272000.0	374990000.0	418058000.0	362966000.0	0	0.004826828375911539	-0.1442243440892352	False	0.0014226590791515778	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AGK4	YHBY_ECOLI	yhbY	RNA-binding protein YhbY	2	2.0	61185600.0	83080900.0	61502100.0	76463100.0	64189200.0	82121800.0	0	0.005062420515326242	0.3709250731542976	False	0.001448525607863425	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P38489	NFNB_ECOLI	nfnB	Oxygen-insensitive NAD(P)H nitroreductase	14	14.0	78214000.0	73554400.0	77802000.0	73824600.0	78904500.0	75256800.0	0	0.0051615069090049795	-0.07748701579911646	False	0.0014743921365752716	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	38	38.0	93271600.0	96596000.0	91978600.0	96298400.0	91607800.0	95128400.0	0	0.005483845386814366	0.05703681038033238	False	0.0015002586652871186	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P67660	YHAJ_ECOLI	yhaJ	Uncharacterized HTH-type transcriptional regulator YhaJ	7	7.0	3515280.0	3215980.0	3502400.0	3291140.0	3469590.0	3304080.0	0	0.005660324959042927	-0.09613766353867442	False	0.0015261251939989655	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A9W3	YJJK_ECOLI	yjjK	Uncharacterized ABC transporter ATP-binding protein YjjK	29	29.0	78808700.0	73347400.0	77994900.0	75111700.0	78087500.0	74326500.0	0	0.006138993535727681	-0.07633606535581548	False	0.0015519917227108122	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0C018	RL18_ECOLI	rplR	50S ribosomal protein L18	5	5.0	291677000.0	364136000.0	272678000.0	417426000.0	262464000.0	396520000.0	0	0.006255249074407011	0.5107965141003125	False	0.0015778582514226593	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0ABP8	DEOD_ECOLI	deoD	Purine nucleoside phosphorylase DeoD-type	13	13.0	521918000.0	492000000.0	537615000.0	499977000.0	530722000.0	500556000.0	0	0.006585101614430989	-0.09149529265541462	False	0.001603724780134506	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A7I4	RF3_ECOLI	prfC	Peptide chain release factor 3	19	19.0	34039200.0	32923400.0	34707100.0	32550000.0	35079700.0	31930700.0	0	0.007048596719564629	-0.09211336154044647	False	0.001629591308846353	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AC02	BAMD_ECOLI	bamD	Outer membrane protein assembly factor BamD	12	12.0	111591000.0	109083000.0	113084000.0	109428000.0	112831000.0	107578000.0	0	0.0072834877544727256	-0.049647374547864935	False	0.0016554578375581998	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0ABE2	BOLA_ECOLI	bolA	Protein BolA	5	5.0	23661300.0	24972200.0	22933200.0	24493800.0	22999900.0	24846800.0	0	0.007768227635712493	0.09463950652233497	False	0.0016813243662700465	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A9K9	SLYD_ECOLI	slyD	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD	5	5.0	487661000.0	548345000.0	494246000.0	575064000.0	506979000.0	547078000.0	0	0.008206364784356053	0.16603546056408813	False	0.0017071908949818936	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P26365	AMIB_ECOLI	amiB	N-acetylmuramoyl-L-alanine amidase AmiB	2	2.0	95476.4	912754.0	86879.9	1129610.0	87205.2	866594.0	3	0.008326337194163511	3.431816102651955	False	0.0017330574236937403	False	True	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AEB2	DACA_ECOLI	dacA	D-alanyl-D-alanine carboxypeptidase DacA	23	22.0	63934000.0	61271900.0	63427100.0	62141600.0	63288500.0	62020800.0	0	0.008506970562558447	-0.04001537852228975	False	0.0017589239524055872	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P76270	MSRC_ECOLI	msrC	Free methionine-R-sulfoxide reductase	3	3.0	18664500.0	20831000.0	17453600.0	20148200.0	18174400.0	20172000.0	0	0.008579863375240195	0.17162789274707818	False	0.0017847904811174342	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A917	OMPX_ECOLI	ompX	Outer membrane protein X	9	9.0	162821000.0	174721000.0	157448000.0	172883000.0	158311000.0	168134000.0	0	0.009149006907294543	0.10787824092761321	False	0.0018106570098292809	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P37666	GHRB_ECOLI	ghrB	Glyoxylate/hydroxypyruvate reductase B	10	10.0	108739000.0	103388000.0	109105000.0	105235000.0	107538000.0	102701000.0	0	0.010084957500471392	-0.06371764530745636	False	0.001836523538541128	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P75818	YBJP_ECOLI	ybjP	Uncharacterized lipoprotein YbjP	5	5.0	36246300.0	35404100.0	37290500.0	34715700.0	36742500.0	34679300.0	0	0.010141161432348673	-0.07353568768947975	False	0.0018623900672529747	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P22259	PCKA_ECOLI	pckA	Phosphoenolpyruvate carboxykinase [ATP]	18	18.0	59597500.0	63656800.0	58659500.0	62120800.0	60379800.0	64228500.0	0	0.010369609029795522	0.08901642304645555	False	0.0018882565959648218	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0ACZ2	ETP_ECOLI	etp	Low molecular weight protein-tyrosine-phosphatase etp	5	5.0	7041310.0	4983470.0	6948590.0	5253840.0	6801400.0	5709130.0	0	0.01061124595368077	-0.38274558505278594	False	0.0019141231246766685	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A6U3	MNMG_ECOLI	mnmG	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG	17	17.0	23375800.0	24492000.0	23779100.0	24184900.0	23371700.0	24276700.0	0	0.010742448405318942	0.04881168090706617	False	0.0019399896533885152	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AFR2	DAUA_ECOLI	dauA	C4-dicarboxylic acid transporter DauA	2	2.0	8974080.0	8014840.0	9006940.0	7345990.0	8546000.0	7390080.0	0	0.011605240324505217	-0.22153836282009232	False	0.0019658561821003623	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P26646	ACUI_ECOLI	acuI	Probable acrylyl-CoA reductase AcuI	8	8.0	47921100.0	46165400.0	47440400.0	46499200.0	48521700.0	45466100.0	0	0.01177051123353177	-0.05886415193154373	False	0.001991722710812209	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0A6H8	CLS_ECOLI	cls	Cardiolipin synthase	4	4.0	1649790.0	1997050.0	1555530.0	1920170.0	1433160.0	1895030.0	0	0.012220096905778709	0.32544463744392865	False	0.002017589239524056	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AD70	AMPH_ECOLI	ampH	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH	3	3.0	2500640.0	3274760.0	2727160.0	3074360.0	2792000.0	3191940.0	0	0.012364429978417071	0.25058329797575885	False	0.002043455768235903	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P61316	LOLA_ECOLI	lolA	Outer-membrane lipoprotein carrier protein	11	11.0	42795500.0	39338800.0	42832900.0	40352400.0	43607000.0	40987000.0	0	0.01257314371150994	-0.09883622244714155	False	0.0020693222969477496	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0CB39	EPTC_ECOLI	eptC	Phosphoethanolamine transferase EptC	8	8.0	6370860.0	7964020.0	6853880.0	7318280.0	6268760.0	7505270.0	0	0.014149508124609725	0.22525394255379075	False	0.0020951888256595962	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P75849	YCBL_ECOLI	ycbL	Uncharacterized protein YcbL	3	3.0	19413200.0	21594400.0	20339100.0	22774700.0	19814700.0	21598200.0	0	0.014496241332876714	0.14723775572144812	False	0.002121055354371444	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AC47	FRDB_ECOLI	frdB	Fumarate reductase iron-sulfur subunit	8	8.0	96352900.0	88903300.0	93846900.0	91957200.0	95607200.0	90606400.0	0	0.015251941911112437	-0.07426495069947549	False	0.0021469218830832905	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P33919	YEJH_ECOLI	yejH	Uncharacterized protein YejH	2	2.0	9628310.0	188255.0	15090000.0	100534.0	12107800.0	5849140.0	2	0.015413125211005903	-2.584905148381791	False	0.002172788411795137	False	True	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
Q47208	FDRA_ECOLI	fdrA	Protein FdrA	2	2.0	95476.4	43817200.0	86879.9	52421000.0	87205.2	67645000.0	3	0.01592757992975593	9.247837794115114	False	0.002198654940506984	False	True	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	11	11.0	15872800.0	15051100.0	15728600.0	15384300.0	16117800.0	15378700.0	0	0.01598277346603207	-0.058778178386342285	False	0.0022245214692188306	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P05706	PTHA_ECOLI	srlB	Glucitol/sorbitol-specific phosphotransferase enzyme IIA component	2	2.0	870301.0	188255.0	1085190.0	100534.0	711788.0	136459.0	3	0.016231153195800874	-2.648992384274996	False	0.002250387997930678	False	True	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AAF6	ARTP_ECOLI	artP	Arginine transport ATP-binding protein ArtP	3	3.0	8702670.0	6504390.0	7478890.0	6229680.0	8267570.0	5849220.0	0	0.016442672839564146	-0.3957771889272683	False	0.002276254526642525	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
