protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P07648	2802413.418955693	2387119.984457833	2673564.133949523	3394269.1188717065	2373347.428411209	2517650.8119981475	0	0.7123082625618449	-0.07545050254028167	False	0.03921951219512195	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ABJ9	844110880.0040483	816220698.5335035	831301151.3806591	887591970.2554399	816306493.6261001	818444464.7711865	0	0.712542789337145	-0.01767300381290153	False	0.03924390243902439	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A9Q1	939897643.2377828	940269534.9269671	948815465.5550804	819563239.5123737	982083955.2610596	962156011.5835822	0	0.7126729258030994	0.03362843175650517	False	0.03926829268292683	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P13024	85130577.03105117	93868933.6692126	88883694.31184615	100359208.27588254	86737101.99010657	87018807.00568648	0	0.7129137765405842	-0.033177760078623664	False	0.039292682926829275	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A8I5	96491382.13983646	83973913.06532489	85718225.57040188	79898823.11414577	96681025.64750794	97998628.40977174	0	0.7132312433095652	-0.04479728646026772	False	0.039317073170731714	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P37613	54475233.454460286	56589198.76394178	56653208.0942907	55112624.579685	57701324.05057956	56131936.48231242	0	0.7136203179652161	-0.010526774715530847	False	0.03934146341463415	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A6R0	289579859.91708165	278868388.9595233	290915663.09367454	268984293.0347374	296502583.0107381	309219497.78664625	0	0.7154181022248371	-0.02552961252150728	False	0.039365853658536586	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P52007	23315997.705762025	20607474.106237352	19532322.9001591	24227975.77903494	19976723.315635785	21235500.7963728	0	0.7157256414462945	-0.04442523970679229	False	0.039390243902439025	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AGL5	1482246.768481999	1212427.41070075	1326507.0237413407	1509671.366336539	1338360.7484731514	954098.2646874684	0	0.7162302589481637	0.08081134395604044	False	0.03941463414634147	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ADI4	9002891.036589809	8991584.18302318	9567921.292810893	7539064.348148687	9410416.25121916	9737736.44571233	0	0.7165406757833107	0.04655246540322777	False	0.03943902439024391	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0A6S7	115228339.57583123	118748332.85929772	118498084.1240973	131671116.98251702	115598105.7453284	112668963.07240756	0	0.7168279211745598	-0.030229227059049138	False	0.03946341463414634	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P24228	12440929.98754448	8993107.97884945	9016274.406729383	10620408.361552546	9818771.131824344	11503519.128708877	0	0.7188535195988192	-0.06902917339483843	False	0.03948780487804878	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P08337	3389215.4844307182	3649222.066652078	3740322.429102648	3377657.515109223	3448985.256573482	4350387.393860645	0	0.7201551749696399	-0.052345686623071944	False	0.03951219512195122	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AB83	5126812.864817536	7761452.829118108	7499289.64514274	6828197.248882002	6328658.612428695	6184451.852785583	0	0.7210393243030413	0.07600345060445415	False	0.039536585365853666	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0ACE3	59700767.403714895	67580158.91389914	71331329.86704715	54907218.21877175	69681861.2091426	67421479.93872802	0	0.7220856810553185	0.048769000800842545	False	0.039560975609756105	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
P0AG03	2952779.3867675927	4206872.409795279	3793492.982528064	2551291.2121900944	3849427.579111863	3893500.690749783	0	0.7221929845186279	0.08951069678585809	False	0.03958536585365854	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	1.660964047443681
