Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A944	RIMI_ECOLI	rimI	Ribosomal-protein-alanine acetyltransferase	5	5.0	2939210.0	2727100.0	2366000.0	2569330.0	2501360.0	2885470.0	0	0.557363262883016	0.0709179286366209	False	0.03165789473684211	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P23847	DPPA_ECOLI	dppA	Periplasmic dipeptide transport protein	2	2.0	1241240.0	1347150.0	1392680.0	1198900.0	1394860.0	1484320.0	0	0.5574939196768588	0.06349910632532761	False	0.031684210526315794	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AB24	EFEO_ECOLI	efeO	Iron uptake system component EfeO	15	15.0	35526900.0	36208400.0	34757300.0	34918400.0	34654600.0	34354700.0	0	0.5575012123689199	-0.015666694534242288	False	0.031710526315789474	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P12282	MOEB_ECOLI	moeB	Molybdopterin-synthase adenylyltransferase	2	2.0	8048780.0	8383610.0	7599160.0	7363720.0	7981880.0	7392910.0	0	0.5577723196922407	-0.04247013046904253	False	0.03173684210526316	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P09348	MOTA_ECOLI	motA	Motility protein A	3	3.0	1836390.0	1730180.0	1592510.0	1599730.0	1718750.0	1786790.0	0	0.5585683659618745	0.046957601089200614	False	0.03176315789473684	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P39407	YJJU_ECOLI	yjjU	Uncharacterized protein YjjU	4	4.0	1095960.0	1205710.0	1300310.0	1209610.0	1330800.0	1210760.0	0	0.5586760288884343	-0.054585692175995945	False	0.03178947368421053	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P46852	YHHW_ECOLI	yhhW	Quercetin 2,3-dioxygenase	3	3.0	4420070.0	4484610.0	3403730.0	4055910.0	4236880.0	4271610.0	0	0.5587099801117404	-0.07913462698604333	False	0.031815789473684214	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P33025	PSUG_ECOLI	psuG	Pseudouridine-5'-phosphate glycosidase	3	3.0	3643610.0	3406780.0	3333190.0	3398870.0	3485340.0	3504300.0	0	0.5595849781546748	0.026408359724473557	False	0.031842105263157894	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P0AFL6	PPX_ECOLI	ppx	Exopolyphosphatase	9	9.0	3021590.0	3384020.0	3400540.0	2916570.0	2923880.0	3167700.0	0	0.559766980687572	0.05603921840451663	False	0.03186842105263158	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
P76569	YFGD_ECOLI	yfgD	Uncharacterized protein YfgD	5	5.0	5145670.0	5275030.0	4893600.0	4539470.0	5561340.0	6426010.0	0	0.5601547154614969	0.09876181715362725	False	0.03189473684210526	False	False	Ecoli	False	True	False	False	diann231	manual	min	0.6609640474436812
