Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P39451	ADHP_ECOLI	adhP	Alcohol dehydrogenase, propanol-preferring	4	4.0	8567860.0	8587780.0	8814100.0	7967690.0	7994060.0	8171700.0	0	0.29185575667386865	0.05783453585731901	False	0.026536885245901642	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P26612	AMY2_ECOLI	amyA	Cytoplasmic alpha-amylase	2	2.0	3340280.0	3521940.0	3278700.0	3608080.0	3265070.0	3341060.0	0	0.29299580366462263	-0.061678807658018	False	0.0265625	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A9I1	CITE_ECOLI	citE	Citrate lyase subunit beta	14	14.0	34084800.0	32783500.0	33793200.0	34404400.0	31955800.0	34298300.0	0	0.29344189280751143	0.04346759335829138	False	0.026588114754098363	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P24188	YCEA_ECOLI	yceA	UPF0176 protein YceA	3	3.0	5271370.0	5972500.0	4425040.0	5494570.0	6479620.0	6121850.0	0	0.2938218048824644	-0.18212687207563186	False	0.026613729508196723	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A6I0	KCY_ECOLI	cmk	Cytidylate kinase	13	13.0	47374800.0	46897600.0	47582300.0	45300400.0	46507500.0	46134800.0	0	0.2946439314306757	0.024610171014896768	False	0.02663934426229508	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P76010	YCGR_ECOLI	ycgR	Flagellar brake protein YcgR	3	3.0	1031690.0	962145.0	1178690.0	961655.0	116823.0	1010510.0	1	0.2959532291382391	0.6584497178825686	False	0.026664959016393444	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P23847	DPPA_ECOLI	dppA	Periplasmic dipeptide transport protein	2	2.0	1579080.0	1221190.0	1532130.0	1410820.0	1385110.0	1295420.0	0	0.2962789486542436	0.13351420826575885	False	0.026690573770491804	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AEI4	RIMO_ECOLI	rimO	Ribosomal protein S12 methylthiotransferase RimO	9	9.0	25477500.0	24532500.0	24468700.0	24602800.0	24761400.0	25211200.0	0	0.29677368672723553	0.024405219461063294	False	0.02671618852459017	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AE18	AMPM_ECOLI	map	Methionine aminopeptidase	12	12.0	60512100.0	61431200.0	59169400.0	60450100.0	61320800.0	61089700.0	0	0.29732930490679194	-0.019271191165031693	False	0.026741803278688525	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A7T3	RS16_ECOLI	rpsP	30S ribosomal protein S16	9	9.0	764635000.0	771069000.0	756077000.0	761135000.0	761617000.0	758147000.0	0	0.2973482408851259	-0.00944115058825477	False	0.026767418032786885	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P67087	RSMI_ECOLI	rsmI	Ribosomal RNA small subunit methyltransferase I	7	7.0	30101500.0	30820800.0	30443500.0	32883300.0	30022900.0	29633600.0	0	0.29769853539558877	-0.05567959321564997	False	0.02679303278688525	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P13656	CHIA_ECOLI	chiA	Probable bifunctional chitinase/lysozyme	2	2.0	368242.0	404930.0	480587.0	350381.0	418150.0	492749.0	0	0.29852873302006777	0.1931610413719797	False	0.026818647540983606	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0ACE3	HHA_ECOLI	hha	Hemolysin expression-modulating protein Hha	3	3.0	29094700.0	28562400.0	26737000.0	29484000.0	29151800.0	28439300.0	0	0.2987023662045688	-0.049262109296048115	False	0.02684426229508197	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AEI1	MIAB_ECOLI	miaB	(Dimethylallyl)adenosine tRNA methylthiotransferase MiaB	21	21.0	48255900.0	46102200.0	47503800.0	47382900.0	46612800.0	46561900.0	0	0.29918500819722993	0.022719304167614324	False	0.02686987704918033	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	27	27.0	78988800.0	80402700.0	80180900.0	81498800.0	79491900.0	79727400.0	0	0.2995947041597446	-0.0149968906745019	False	0.026895491803278687	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A9J0	RNG_ECOLI	rng	Ribonuclease G	11	11.0	50120800.0	48407500.0	48770400.0	46089000.0	48847600.0	48203000.0	0	0.29979905838610593	0.0372578365994574	False	0.02692110655737705	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
Q46927	YGDL_ECOLI	ygdL	Uncharacterized protein YgdL	4	4.0	3886380.0	3755800.0	3656440.0	4024040.0	3771260.0	3381910.0	0	0.3000103868584313	-0.08043262004715135	False	0.02694672131147541	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P33232	LLDD_ECOLI	lldD	L-lactate dehydrogenase [cytochrome]	3	3.0	3106990.0	3473650.0	3786300.0	3876840.0	3804600.0	3410140.0	0	0.3002407912504512	-0.11457746450006911	False	0.026972336065573775	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P23837	PHOQ_ECOLI	phoQ	Sensor protein PhoQ	6	6.0	2675300.0	2718710.0	2702600.0	2710650.0	2717230.0	2486230.0	0	0.3005112133329933	-0.050909131628922355	False	0.026997950819672132	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P33602	NUOG_ECOLI	nuoG	NADH-quinone oxidoreductase subunit G	30	30.0	66777000.0	65811200.0	65511500.0	65399400.0	66171700.0	67285400.0	0	0.3009583623442839	0.015930435538500234	False	0.027023565573770492	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P68688	GLRX1_ECOLI	grxA	Glutaredoxin-1	2	2.0	11793100.0	11044300.0	11944600.0	9855160.0	10341800.0	10066100.0	0	0.3016910344522388	0.11373279348376387	False	0.027049180327868856	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P33599	NUOCD_ECOLI	nuoC	NADH-quinone oxidoreductase subunit C/D	34	34.0	83683500.0	83070400.0	81899400.0	84358700.0	83632400.0	83143800.0	0	0.30192809908644935	-0.013479425426265306	False	0.027074795081967213	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P32680	YJAG_ECOLI	yjaG	Uncharacterized protein YjaG	8	8.0	22172100.0	21088100.0	22557900.0	22470500.0	22526000.0	24603100.0	0	0.301929842819274	0.06923015429924585	False	0.027100409836065577	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AEV4	HYCA_ECOLI	hycA	Formate hydrogenlyase regulatory protein HycA	3	3.0	6350420.0	6378810.0	6955320.0	6380110.0	5489080.0	6265490.0	0	0.30215255300384086	0.1009960766157919	False	0.027126024590163937	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P69490	CCME_ECOLI	ccmE	Cytochrome c-type biogenesis protein CcmE	1	1.0	2145260.0	2154660.0	2199640.0	218572.0	2112010.0	2766210.0	1	0.30237966212881895	0.6648889456774157	False	0.027151639344262294	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0C0T5	MEPA_ECOLI	mepA	Penicillin-insensitive murein endopeptidase	3	3.0	137917.0	4067600.0	3909470.0	4125800.0	4617510.0	3722800.0	1	0.30363209316849776	-0.721351734012645	False	0.027177254098360658	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0C0L9	ISCX_ECOLI	iscX	Protein IscX	1	1.0	19434000.0	18712000.0	20130800.0	20509300.0	18945800.0	21993800.0	0	0.3050072363233566	0.08175704303183258	False	0.027202868852459018	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P08390	USG_ECOLI	usg	USG-1 protein	8	8.0	22086600.0	22586300.0	22397200.0	22491600.0	23404000.0	22750900.0	0	0.306749417172426	-0.026516725433037406	False	0.02722848360655738	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AEI6	NUDJ_ECOLI	nudJ	Phosphatase NudJ	5	5.0	12145400.0	13043200.0	11893600.0	13093500.0	12766500.0	13218400.0	0	0.30788583656016355	-0.06236182999845781	False	0.02725409836065574	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0ADK0	YIAF_ECOLI	yiaF	Uncharacterized protein YiaF	10	10.0	90692200.0	89655600.0	83910700.0	87767000.0	90861600.0	85275900.0	0	0.3106417420256842	-0.0459231441768384	False	0.0272797131147541	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A8N5	SYK2_ECOLI	lysU	Lysine--tRNA ligase, heat inducible	17	17.0	132174000.0	128122000.0	130707000.0	125586000.0	134510000.0	136721000.0	0	0.311069822715169	0.04169679263782552	False	0.02730532786885246	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P39406	RSMC_ECOLI	rsmC	Ribosomal RNA small subunit methyltransferase C	7	7.0	44246300.0	43391900.0	44470600.0	44675200.0	42900800.0	44369700.0	0	0.3129657395016129	0.023152065813985986	False	0.02733094262295082	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
