Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P77330	BORD_ECOLI	borD	Lipoprotein bor homolog from lambdoid prophage DLP12	2	2.0	443879000.0	415421000.0	458064000.0	404351000.0	456541000.0	390738000.0	0	0.007149630362009829	0.16638257637396342	False	0.0014874739039665971	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AG44	RL17_ECOLI	rplQ	50S ribosomal protein L17	6	6.0	1367790000.0	1485700000.0	1313760000.0	1458990000.0	1315230000.0	1474160000.0	0	0.007337717964286562	-0.1448327961554818	False	0.00151356993736952	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A8W0	NANR_ECOLI	nanR	Transcriptional regulator NanR	8	8.0	9015750.0	9521810.0	8996480.0	9621280.0	9248890.0	9713080.0	0	0.0080130082802628	-0.0820349923315455	False	0.0015396659707724426	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A8X0	YJGA_ECOLI	yjgA	UPF0307 protein YjgA	14	14.0	40573000.0	39388100.0	41043000.0	39967700.0	40895500.0	39386800.0	0	0.008078511025234275	0.045079571586471745	False	0.0015657620041753654	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0ACF0	DBHA_ECOLI	hupA	DNA-binding protein HU-alpha	7	7.0	3164480000.0	3370500000.0	3180730000.0	3374040000.0	3083860000.0	3329350000.0	0	0.008542685864954163	-0.09543349458842765	False	0.0015918580375782882	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A7D7	PUR7_ECOLI	purC	Phosphoribosylaminoimidazole-succinocarboxamide synthase	14	14.0	54872100.0	58115700.0	55050500.0	58736600.0	56269900.0	58735400.0	0	0.008861797301449478	-0.0793365098821701	False	0.001617954070981211	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A858	TPIS_ECOLI	tpiA	Triosephosphate isomerase	12	12.0	571319000.0	554241000.0	571779000.0	556670000.0	565705000.0	557305000.0	0	0.009412314055130074	0.034679984451871954	False	0.0016440501043841337	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A915	OMPW_ECOLI	ompW	Outer membrane protein W	7	7.0	100900000.0	122976000.0	102453000.0	116845000.0	100582000.0	116575000.0	0	0.009778438606550319	-0.22971832519839788	False	0.0016701461377870565	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P25745	MNMA_ECOLI	mnmA	tRNA-specific 2-thiouridylase MnmA	6	6.0	27287300.0	24773100.0	27362700.0	25144300.0	27247500.0	25563600.0	0	0.009970714637225441	0.11770587646543285	False	0.0016962421711899792	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P61949	FLAV_ECOLI	fldA	Flavodoxin-1	6	6.0	162085000.0	152915000.0	167924000.0	156964000.0	164652000.0	153967000.0	0	0.010024531645741765	0.09279425883454363	False	0.001722338204592902	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P15254	PUR4_ECOLI	purL	Phosphoribosylformylglycinamidine synthase	19	19.0	9956700.0	9339730.0	10086000.0	9629250.0	10133200.0	9327470.0	0	0.010676656979035002	0.09277573258995442	False	0.0017484342379958248	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AG84	YGHA_ECOLI	yghA	Uncharacterized oxidoreductase YghA	6	6.0	3912440.0	3429360.0	4023630.0	3547310.0	4189970.0	3484760.0	0	0.010901824358026732	0.21302841576606657	False	0.0017745302713987475	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P77561	YDEP_ECOLI	ydeP	Protein YdeP	5	5.0	1463140.0	1240730.0	1448730.0	1269000.0	1488520.0	1158630.0	0	0.010911447761989261	0.26249616640727763	False	0.0018006263048016703	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A7R1	RL9_ECOLI	rplI	50S ribosomal protein L9	19	19.0	1685220000.0	1612530000.0	1660790000.0	1571200000.0	1646310000.0	1581920000.0	0	0.011032137536023147	0.06703741102083226	False	0.0018267223382045928	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0ADK0	YIAF_ECOLI	yiaF	Uncharacterized protein YiaF	10	10.0	86199400.0	96700400.0	89052400.0	96380600.0	89075500.0	96121200.0	0	0.011145051094684064	-0.12975309137850308	False	0.0018528183716075158	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P08390	USG_ECOLI	usg	USG-1 protein	9	9.0	22159700.0	21187300.0	21760800.0	20578900.0	22415600.0	21050300.0	0	0.011482970753582821	0.07865063501727153	False	0.0018789144050104384	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AG63	RS17_ECOLI	rpsQ	30S ribosomal protein S17	3	3.0	1241800000.0	1139270000.0	1268110000.0	1122880000.0	1247720000.0	1178510000.0	0	0.011545975537128127	0.12713768235988304	False	0.0019050104384133613	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A908	MIPA_ECOLI	mipA	MltA-interacting protein	8	8.0	25080900.0	31348200.0	27353900.0	29377700.0	26380500.0	29881400.0	0	0.011609487802629949	-0.20115156955342842	False	0.001931106471816284	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AGC3	SLT_ECOLI	slt	Soluble lytic murein transglycosylase	14	14.0	6058120.0	5643940.0	5928420.0	5756180.0	6083170.0	5528170.0	0	0.011773589950600708	0.09413710492774606	False	0.0019572025052192066	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P17993	UBIG_ECOLI	ubiG	3-demethylubiquinone-9 3-methyltransferase	6	6.0	18928600.0	20869300.0	19335100.0	20278300.0	19622100.0	20351600.0	0	0.01188800986818142	-0.08735816032679086	False	0.0019832985386221296	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0ACU7	YJDC_ECOLI	yjdC	HTH-type transcriptional regulator YjdC	4	4.0	8255040.0	10158100.0	9388820.0	11122400.0	8804050.0	10913500.0	0	0.012386209425657763	-0.2836381177460013	False	0.002009394572025052	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A7F3	PYRI_ECOLI	pyrI	Aspartate carbamoyltransferase regulatory chain	8	8.0	14897600.0	15559900.0	14405500.0	16092900.0	14045500.0	15947500.0	0	0.012512577701579087	-0.13498526565301708	False	0.002035490605427975	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AD05	YECA_ECOLI	yecA	Uncharacterized protein YecA	4	4.0	28665000.0	32518000.0	29238700.0	30841200.0	27527100.0	31229600.0	0	0.012895038317924342	-0.14691307583518315	False	0.0020615866388308977	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P24202	MRR_ECOLI	mrr	Mrr restriction system protein	8	8.0	6375070.0	5785030.0	6327130.0	5734370.0	6125180.0	5850500.0	0	0.012941578130667505	0.11624280151923669	False	0.0020876826722338203	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A9M2	HPRT_ECOLI	hpt	Hypoxanthine phosphoribosyltransferase	10	10.0	31445500.0	35364900.0	32621300.0	34619600.0	32734900.0	34022700.0	0	0.013345895137853319	-0.10357911482013536	False	0.0021137787056367432	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	12	12.0	98848400.0	103997000.0	100679000.0	107534000.0	98032300.0	108168000.0	0	0.013358287763258177	-0.10353508319529986	False	0.002139874739039666	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A9I1	CITE_ECOLI	citE	Citrate lyase subunit beta	15	15.0	37045900.0	34588800.0	37023400.0	35273800.0	37251500.0	35495400.0	0	0.01362636828972489	0.07942331722103584	False	0.0021659707724425888	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P30014	RNT_ECOLI	rnt	Ribonuclease T	4	4.0	15136300.0	14005500.0	15293600.0	13913300.0	15391800.0	13283700.0	0	0.013983846165465434	0.15329910716418801	False	0.0021920668058455117	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A8A0	YEBC_ECOLI	yebC	Probable transcriptional regulatory protein YebC	5	5.0	16689900.0	19313100.0	17411200.0	19023400.0	17184400.0	18239100.0	0	0.014092513586332709	-0.14162899086436076	False	0.0022181628392484343	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P67244	YQHA_ECOLI	yqhA	UPF0114 protein YqhA	2	2.0	1051800.0	1317990.0	944332.0	1488690.0	1100770.0	1294310.0	0	0.014107029096756828	-0.4051464954182345	False	0.002244258872651357	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P45577	PROQ_ECOLI	proQ	ProP effector	12	12.0	106627000.0	111607000.0	104893000.0	110661000.0	107562000.0	110074000.0	0	0.014112261541282171	-0.05874140050842546	False	0.00227035490605428	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A729	YCEF_ECOLI	yceF	Maf-like protein YceF	5	5.0	7195550.0	7667110.0	7165260.0	7436140.0	6916140.0	7750920.0	0	0.015351755000837557	-0.10316606644553766	False	0.002296450939457203	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P37903	USPF_ECOLI	uspF	Universal stress protein F	5	5.0	50681900.0	49566000.0	51299000.0	49967300.0	51748500.0	48916100.0	0	0.015551865359242264	0.05042183754572359	False	0.0023225469728601253	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AG99	SECG_ECOLI	secG	Protein-export membrane protein SecG	3	3.0	40835900.0	45023200.0	41391300.0	45377500.0	39041600.0	44555300.0	0	0.015579949641018916	-0.1542806968586107	False	0.002348643006263048	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A7E9	PYRH_ECOLI	pyrH	Uridylate kinase	8	8.0	27251600.0	29845900.0	27221200.0	28918200.0	27377900.0	29150800.0	0	0.016248206513300074	-0.10311294213955233	False	0.002374739039665971	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P37440	UCPA_ECOLI	ucpA	Oxidoreductase UcpA	8	8.0	22647300.0	23161000.0	22071200.0	23033900.0	22299300.0	23443400.0	0	0.016331704418857257	-0.055336656732628796	False	0.002400835073068894	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
