protein	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	RD139_Wide_UPS1_2_5fmol_inj1	RD139_Wide_UPS1_2_5fmol_inj2	RD139_Wide_UPS1_2_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P39408	2161814.9570462466	2263521.223536732	2002620.7129777945	2152867.3390954426	1979201.3052557611	2246819.3190202178	0	0.8881191012139085	0.01105531447416688	False	0.04520854021847071	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P63228	25175410.25913647	20817125.64541557	23609527.45753407	26243541.08013202	22940412.1966826	21279805.940094765	0	0.8894267034597902	-0.017751368574591503	False	0.04523336643495532	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P61949	396574702.2604393	408908838.2053354	425560528.4711005	401699711.2435064	425734104.8641715	398318851.5364581	0	0.890642076668585	0.006214506959157597	False	0.045258192651439925	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P60472	9640678.481919916	8017708.613437994	9717020.350933846	9475972.07636316	9287103.924189327	8876400.913929667	0	0.8915008106925097	-0.013849875083605554	False	0.04528301886792453	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P07658	21653780.16814125	23119702.293510977	22420898.326504227	23413923.936742507	20656604.02865913	23588118.15001377	0	0.8918456400552979	-0.009933717424667558	False	0.04530784508440914	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P16431	78736099.89411898	79536458.89885888	75085201.76075912	79698076.54213488	77369624.83461532	75494584.36751002	0	0.8919929327807073	0.004926290195042864	False	0.04533267130089375	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P16681	3550546.932896965	105810.48437500007	3326856.5806426643	3115848.768397761	3098726.157857245	129991.79890025848	2	0.8934604576250746	0.13836953944647098	False	0.04535749751737836	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P02358	3018125315.730537	3060667969.100083	2984047294.1404934	2955828048.6512976	3124038630.395597	2956387945.158563	0	0.8935866086685111	0.004238383438913108	False	0.04538232373386296	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P07014	55866834.87774299	52602270.10077012	55678364.35320488	58010355.32706036	56173098.27919591	50976706.35177968	0	0.8953461745243354	-0.008873212887631297	False	0.045407149950347565	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A6I0	270549483.4850296	254270556.9372449	260814474.54191965	254236315.3798134	265750890.5475107	263211126.08530328	0	0.8973638306516147	0.0044806199650563976	False	0.04543197616683217	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P31979	495290063.9710591	522609562.4080672	518924303.8452412	514976024.0734533	512836111.0363748	512726879.469362	0	0.8984168022657207	-0.003483330679603432	False	0.045456802383316786	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P30749	25484510.921928488	25331846.18698428	24308671.26024895	23134880.500469644	26498925.84051639	25953207.355633643	0	0.8997047546323932	-0.008844761431632866	False	0.04548162859980139	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P00582	284476686.3237911	303267494.25438124	292781649.0653797	301939568.135321	294647738.2743748	280602004.3476644	0	0.8999073634447337	0.005477093439964214	False	0.045506454816286	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P15082	7546341.320311857	5220985.565476903	8195792.181366693	6878052.478229973	6769788.1987250205	7712158.016115218	0	0.9000481980757175	-0.02705816974316427	False	0.045531281032770606	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AF52	1258215.7084071238	1136274.3749999995	1129285.0458865145	1461449.4782042373	101496.66279868108	1744462.0755503073	1	0.9001194370698414	0.0914207401830811	False	0.04555610724925521	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A9B2	12864371454.841995	12813665983.143965	13162699395.975803	12819053595.151722	12983826091.079458	12987836620.39973	0	0.9002217321104968	0.0018591530569162945	False	0.045580933465739826	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P10100	51894194.08610274	48691145.33830421	50467350.77907592	49767054.568023406	50981246.496141225	49890880.79724424	0	0.9004365959041688	0.003954808619599763	False	0.04560575968222443	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P08192	121687732.72953711	129188586.26742484	129148305.28495732	124856301.91295683	127532605.27276511	128744695.3064556	0	0.9019456482725594	-0.004203905154499907	False	0.04563058589870904	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P07364	2106621.855684837	105810.48437500007	140095.97235654233	146892.9414173368	1463237.5734251512	1048579.8711860054	3	0.9019969707523261	-0.17651454689874535	False	0.045655412115193646	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P43337	1076688.3562767932	774909.7187636789	786789.981581167	954031.7527779748	909400.5601468388	818085.686903114	0	0.902214492919962	-0.023393164406088823	False	0.04568023833167825	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P69931	16679750.8746544	17970051.635114	15494456.784704035	17882672.97351545	17633528.48696105	14060458.875945918	0	0.902388448553161	0.016423455546039363	False	0.045705064548162866	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P37005	12109490.655911032	12556570.645399546	10984067.478470491	12806219.58799106	11556311.903243694	11533080.067591256	0	0.9028503227268951	-0.009900189055960233	False	0.04572989076464747	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AEV4	11162750.49867521	10674369.859556466	10904877.533480626	10480002.841319287	10767726.080164095	11376601.705793217	0	0.9039877512480903	0.005194055290731769	False	0.04575471698113208	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P77570	12275682.979447637	10894656.98772954	10470658.012962794	12443914.16157515	11069709.241437702	9763618.659509229	0	0.9049052115104066	0.015684633279500537	False	0.045779543197616686	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P23836	301777780.7823564	273477287.88340425	290284869.3653699	304571813.11324143	268653116.87408274	287290474.17395145	0	0.905688447086709	0.008399372134914268	False	0.04580436941410129	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P25535	32399736.85995068	31102034.539494723	36527962.8612457	30326544.207228374	34042914.002805814	34849780.639452234	0	0.9061464583741069	0.011737116046552436	False	0.045829195630585906	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P63883	12851927.956775144	12514418.561008472	12885019.212603776	13511050.054794092	12978864.324365932	11945419.116087534	0	0.9077774046253773	-0.0069219276320502095	False	0.04585402184707051	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0A972	3471159520.1738024	3621794999.690888	3607401615.565168	3485698913.939776	3630451322.11876	3608496825.764403	0	0.9080460926127614	-0.0032713567170935213	False	0.04587884806355512	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AES2	26244132.619174797	27324337.778981112	28262295.585291155	27670015.79178522	25649908.50337008	28154347.790855963	0	0.9081877891271626	0.006298798873547292	False	0.045903674280039726	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AFT5	1038531.587149707	1041111.30154752	1216368.758473827	1074840.8946990697	1188678.5884447112	1058668.8414314026	0	0.9096507179334166	-0.011412516930076243	False	0.04592850049652433	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0ACC7	271310721.78740835	275089168.0644653	270785335.49249583	279447643.49686617	274384211.72074574	265015015.9934152	0	0.9103780845275695	-0.00293056484758226	False	0.045953326713008946	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P25437	101974017.27754933	97549743.75655496	101793381.3532071	100405268.48901524	101774445.79225656	99712497.91964608	0	0.9112416552935811	-0.0027507883068938737	False	0.04597815292949355	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P76227	9200819.572858546	11743738.87785026	14454166.82722606	12852107.16479161	10799276.225675328	11147281.5144215	0	0.9117072631783443	0.024665452923381466	False	0.04600297914597815	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P78067	72463028.59503974	73288652.26355177	77700714.9246988	76525727.57675858	75577588.22532064	72096266.3697687	0	0.9119591715649378	-0.004816076557397381	False	0.04602780536246276	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P27848	28280738.02235151	28148619.668889534	24965031.953336406	27597185.881973445	26772449.896271188	26610236.459627725	0	0.9121853912413488	0.007365988909836861	False	0.046052631578947366	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P76346	5299951.617193023	4753457.204909521	5919574.977869407	4653359.395231793	5547576.027356691	5612386.309226559	0	0.9130186559034728	0.014493386843257301	False	0.04607745779543198	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AFU8	236570171.9058219	247745153.00575963	246160092.01440787	233792316.89289388	245419410.45695555	253642733.36234123	0	0.9130714502952113	-0.004690996539912169	False	0.046102284011916586	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0ABD3	196613004.63504952	194421803.5166005	189611290.0722646	195379024.84315053	191680032.0654353	192760562.7519693	0	0.913666482361338	0.0020549624309973984	False	0.04612711022840119	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
P0AFD6	111266599.30454768	105965963.2115128	112985741.65213844	115355179.05446248	107882130.3262571	108084504.63355675	0	0.9152253145965181	-0.004813100869852372	False	0.0461519364448858	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.6609640474436812
