protein	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	RD139_Wide_UPS1_5fmol_inj1	RD139_Wide_UPS1_5fmol_inj2	RD139_Wide_UPS1_5fmol_inj3	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P68398	1269621.509723905	106605.79320342216	1301067.5050464508	1471851.7500000007	1475333.1913803257	91670.13236449617	2	0.8521709848470993	-0.18275186400110408	False	0.04489995119570522	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0AG40	30769545.770774856	28001516.56685681	27234839.40573519	29839200.65749273	29747883.179962084	27236489.23450136	0	0.8525842446039487	-0.013651134144294341	False	0.0449243533430942	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P60651	237382901.88396868	270168570.99501234	267074372.7732711	259462251.74190247	252427885.0532091	256070789.98068103	0	0.8528167637826953	0.012466728505964858	False	0.04494875549048317	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P16431	57790963.05270168	60022042.14447962	60345455.018860765	58751120.787296526	58686715.095861845	60159148.58120407	0	0.8532835466422393	0.004553908968758944	False	0.04497315763787214	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0A9I8	26332172.8526364	41619691.741795465	38587078.15822268	34026754.15426973	37616831.66995069	31870424.84469311	0	0.8543940563126594	0.04155481901070801	False	0.044997559785261106	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0AES4	602850169.5602415	594050116.7946703	601165615.1870536	599420491.293641	599931646.9792143	600393232.8821542	0	0.8551741445452253	-0.0013469092592163885	False	0.045021961932650074	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P10145ups|IL8_HUMAN_UPS	146587.0589617097	1712363.594860188	2329395.0842213184	1122458.5000000002	1342578.2436754615	1320335.297137973	1	0.8557668673645146	0.14594543749568847	False	0.04504636408003905	False	False	Human	True	False	False	False	diann231	directlfq	min	0.5
P30011	53840244.6757332	55230927.992922336	57184039.69660298	56498242.67904923	55059584.4596366	55329610.2199167	0	0.8567227325102253	-0.005475786173676352	False	0.04507076622742802	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P08189	2067691.573299575	2411882.203390898	2315402.288409607	2835691.75	3257545.3094635694	91670.13236449617	1	0.8570068395555063	0.13571652231793394	False	0.04509516837481699	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P33916	730081.6314123985	782290.5595053388	633317.3443231633	1164057.6092033768	1102401.3522923116	91670.13236449617	1	0.8580169649359733	-0.13620135531886626	False	0.04511957052220596	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0AGA2	81832798.95386189	76337019.32430328	68613172.4446566	78242801.30615385	71777549.06148194	74261853.546897	0	0.8580968509665584	0.01599728702813708	False	0.045143972669594926	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P38051	146587.0589617097	3123775.884121417	127015.1419862382	1571488.349381593	96230.76039572776	2422645.92987788	3	0.8585437207937099	-0.2678078196751671	False	0.0451683748169839	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P11447	33720109.56415536	32031901.717069484	35204426.60837937	32202301.16991825	33650499.81019615	35909640.38820212	0	0.8589305560261591	-0.011472274840744399	False	0.04519277696437287	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P10408	427150728.96890473	405290300.0289977	417073954.88808113	418693790.6814193	431644463.6612016	391412195.888089	0	0.8593492942926237	0.00899293211961746	False	0.04521717911176184	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P64585	146587.0589617097	5016993.418779339	2983962.2758682338	3025957.1621276485	2678457.307037195	3295586.5995469424	1	0.859736282305595	-0.14356015534030067	False	0.04524158125915081	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P75691	10501312.754219493	9949109.874071827	9277791.79346384	9679689.007417211	9228015.212341923	10528033.33907497	0	0.8604421282567755	0.014264035545444325	False	0.04526598340653978	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P18776	22619861.94457767	20629793.55325284	20341171.773673013	21182948.220985763	19658461.602210376	22177451.62034562	0	0.8614364583786529	0.01303498785044203	False	0.04529038555392875	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P16679	3139927.39224085	106605.79320342216	3856348.171281454	3586064.2678587823	96230.76039572776	4395536.451767721	2	0.8618346177387352	-0.1855636613994269	False	0.04531478770131772	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P39411	14504655.658076627	13027250.947293917	13539606.793779308	14548542.995575164	14052171.287120463	12840182.9005337	0	0.8627544435104935	-0.012917128702048366	False	0.04533918984870669	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0A9I3	11077810.657529924	22767474.594423056	19534459.79363964	19080235.042949226	18832761.71845388	17523075.67567958	0	0.8629378437490518	-0.05453263346697448	False	0.04536359199609566	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P64548	611706.0204643212	738371.2840985194	718423.0416417605	647748.1250000001	669033.3822507261	783127.7618663878	0	0.8645422866520176	-0.02174179560581682	False	0.04538799414348463	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0AD68	16907526.941291343	13927399.783760522	13802308.109740116	16224587.966749812	14678936.565214343	12996417.71595486	0	0.8671774706907146	0.024028616740315596	False	0.045412396290873604	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0AF52	146587.0589617097	1315919.9035930033	1312503.0553550844	626480.0625000008	1247842.1211420824	661529.0799041487	1	0.8672652404853969	0.13002285076433912	False	0.04543679843826257	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P13009	84423691.8162426	75898038.34232825	75987798.0334943	81455115.55287655	75936869.90211333	80708099.16054782	0	0.867521776366097	-0.010890332190368602	False	0.04546120058565154	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P15038	4435813.268952332	5032838.159397573	7788580.376889328	4257422.155683121	6232001.422189175	7515088.718154274	0	0.8676186409489195	-0.06115745699134193	False	0.04548560273304051	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0AC16	589614.6180414092	558400.4643502785	127015.1419862382	537956.0489145515	533407.3659171775	91670.13236449617	2	0.8676725214945646	0.13263873501225681	False	0.04551000488042948	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P09152	125870633.92621936	119775947.65858738	116636837.29416166	118580847.67133376	119554932.95348676	126036943.0502236	0	0.8691173224084264	-0.007504091838861966	False	0.045534407027818455	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0AFC0	1678004.5281935555	2198505.82362782	2237234.745186584	1953127.7500000012	2221878.1607196224	1824950.2904501103	0	0.8698279196207999	0.027104433286560165	False	0.045558809175207424	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P30744	123598585.4555438	108764073.55335456	109524353.92750289	107016531.97930676	119785078.91046934	111893303.06792668	0	0.8703298533505471	0.013533298356347841	False	0.04558321132259639	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P17952	47018997.11324026	41801127.68378596	43133199.728105605	45820293.75119127	43810532.26315467	43251397.57662323	0	0.870976032588151	-0.010120420622019522	False	0.04560761346998536	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P64429	14460669.56634442	14896889.96222045	14119578.627277628	15435738.847827869	13581044.238200814	14769927.700632753	0	0.8729873420187486	-0.010236100705706689	False	0.04563201561737433	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P19624	5706864.94900844	4475361.0956849735	5065232.694800835	4504980.8780724	4602020.115106697	5854390.412883304	0	0.8736971851566011	0.02732446011107859	False	0.045656417764763306	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P27828	48404432.84411066	38686261.58582453	38238822.62034489	41395816.30011348	43467701.53267357	42268021.54193457	0	0.8740675200247003	-0.020595753346358003	False	0.045680819912152275	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P61175	3147927126.8722167	3475457481.6959014	3390371685.459609	3447166473.1909094	3411863105.776808	3216380168.666498	0	0.8746732459734523	-0.008855261671325646	False	0.045705222059541244	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P14407	815874990.8163416	834329649.334721	851444499.5771552	847562178.3637671	823620072.2170272	836735229.0385683	0	0.8753051354525494	-0.0036104151446148293	False	0.04572962420693021	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P13001	5930454.515766683	5910560.451627053	5229826.357136462	6292193.437797767	6534233.308876706	3763561.9617995047	0	0.8754084935873611	0.04122125797568095	False	0.04575402635431918	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P64545	3922543.1921051615	3448231.691825014	3303130.739953252	3110979.250000004	3673979.342521633	4054949.089408296	0	0.8766974434052971	-0.022264309500974168	False	0.04577842850170816	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P77460	492674.0231912955	519611.1025310858	531720.8591844366	469945.4999999996	576074.324574196	514838.3388655827	0	0.8768603201878626	-0.01566109947896797	False	0.045802830649097126	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0A9G6	111187911.8038281	111853940.40565918	110499214.27547988	113846086.39214817	116033581.45788506	105373597.12047204	0	0.8772639520197745	-0.007386981452057945	False	0.045827232796486095	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P69791	146587.0589617097	2011278.29279177	2156497.6248393194	86192.74999999996	1777242.779504639	2016911.6690330836	2	0.8784645530949988	0.15296181363727088	False	0.045851634943875064	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P52697	703082571.8355755	697674338.5915418	727689984.8008392	681878274.6333325	702416772.4017768	735214424.5050532	0	0.8787618182687278	0.0060706818736971455	False	0.04587603709126403	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P37747	21651719.48173745	4578633.928418018	18400224.74447272	3592148.889941281	19229254.16723045	18259859.632907763	0	0.878771817364181	0.11955197012153068	False	0.04590043923865301	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P30855	2569732.212447736	3232956.1843383084	3605169.140668736	3515585.802951914	3254970.4335766085	2418996.424894016	0	0.8790194378023244	0.03387157948927298	False	0.04592484138604198	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
Q9JMR6	42403437.20906926	43526367.77736685	45041224.878658295	46770496.000000045	44934508.11975282	40306227.37235198	0	0.8790359943579998	-0.01141294889912047	False	0.045949243533430946	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P26365	2123356.707724033	2816427.462740364	127015.1419862382	2698573.050360244	96230.76039572776	2854447.1208461896	2	0.8798119761292409	-0.15698489731038143	False	0.045973645680819915	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0AEV7	5074825.752469202	4245592.741039968	4294193.121142508	4164549.6218771497	4555690.256413884	4739133.403718694	0	0.8798717454241669	0.01654459274941756	False	0.045998047828208884	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0A9J4	16049404.826752707	17848106.84091754	14818900.587466098	16163507.236381186	15806355.217872571	16294701.187069377	0	0.8806693667315544	0.013443553549391196	False	0.04602244997559786	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0AEI6	52259735.69529866	56816463.40008608	56953069.3543046	55064610.48407185	55603064.743670434	56156594.075447	0	0.8807239737057154	-0.006891595490121966	False	0.04604685212298683	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0A7D4	1153112602.9323642	1233239540.6754773	1230384334.57013	1175893586.158451	1217315966.2011652	1209218355.4760313	0	0.8808028102770711	0.005718925183783322	False	0.0460712542703758	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0AFU8	218073669.53831008	197529592.14769807	194815597.94881803	211825795.829098	200873459.4034015	201711776.14805424	0	0.8809907255867702	-0.009404582330301947	False	0.046095656417764766	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P43672	34460282.71832381	41225363.76863557	40623368.79098847	39389659.51256347	40880754.81920727	37207001.68796797	0	0.8821783085693946	-0.01442051175585259	False	0.046120058565153735	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P31064	500188.1739466881	106605.79320342216	127015.1419862382	279206.21875000023	440105.4261730356	91670.13236449617	3	0.882502328194361	-0.1442646839481407	False	0.04614446071254271	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0AB98	4400766.284614888	6064682.989867517	4597288.866587401	2945869.893754444	6017438.823186549	6703242.727656693	0	0.884741396589667	-0.056703595131996895	False	0.04616886285993168	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
P0A9R4	66050034.9684998	88170825.19841383	91410472.66658434	83459340.28127252	83202450.92273845	82863007.39040889	0	0.8856059961096174	-0.022688599244254228	False	0.04619326500732065	False	False	Ecoli	False	True	False	False	diann231	directlfq	min	0.5
