Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P15640	PUR2_ECOLI	purD	Phosphoribosylamine--glycine ligase	7	7.0	19513900.0	24923000.0	21582800.0	24039000.0	21662500.0	20532900.0	0	0.2339889521314356	0.14708014492664076	False	0.020194839389152185	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0AEH1	RSEP_ECOLI	rseP	Regulator of sigma E protease	6	6.0	4424350.0	4559960.0	4146250.0	4499700.0	4115270.0	4224360.0	0	0.23470048988204895	0.06646933686509043	False	0.020221169036334915	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A9Q5	ACCD_ECOLI	accD	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	16	16.0	123960000.0	125919000.0	122929000.0	113397000.0	126641000.0	113669000.0	0	0.23478045954072332	-0.08161723960866367	False	0.02024749868351764	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0AF48	YJBQ_ECOLI	yjbQ	UPF0047 protein YjbQ	1	1.0	2632560.0	2747290.0	2693460.0	2669200.0	2462170.0	3212610.0	0	0.2351387169917717	0.14792201633821975	False	0.020273828330700367	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P33362	OSMF_ECOLI	osmF	Putative osmoprotectant uptake system substrate-binding protein OsmF	5	5.0	4645280.0	6510710.0	6287570.0	5879830.0	4853880.0	5938470.0	0	0.23726125803489806	0.2154164960009281	False	0.0203001579778831	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P37349	DHAM_ECOLI	dhaM	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM	7	7.0	10997700.0	11425200.0	11688000.0	11532000.0	11063200.0	11933100.0	0	0.23771089756894503	0.047985522197939716	False	0.020326487625065826	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P45532	TUSD_ECOLI	tusD	Sulfurtransferase TusD	1	1.0	173688.0	257189.0	178300.0	171351.0	90779.7	178756.0	1	0.2377200853221236	0.4558498857606035	False	0.020352817272248556	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	16	15.0	193768000.0	230544000.0	203306000.0	205287000.0	187755000.0	197769000.0	0	0.23880065812458356	0.11555748322626369	False	0.020379146919431282	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0AF67	YJEE_ECOLI	yjeE	UPF0079 ATP-binding protein YjeE	4	4.0	15830900.0	15596500.0	15290100.0	14926200.0	15483400.0	14919900.0	0	0.23891484222339957	-0.03642078752866093	False	0.020405476566614008	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P64467	CNU_ECOLI	cnu	OriC-binding nucleoid-associated protein	5	5.0	25295500.0	28308400.0	26046100.0	26090600.0	25463500.0	26058500.0	0	0.23900068102962882	0.06702479906614162	False	0.020431806213796738	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0AFT5	YEHT_ECOLI	yehT	Transcriptional regulatory protein YehT	2	2.0	83438.3	1647700.0	90601.6	1415950.0	1743900.0	1586790.0	2	0.23963570490343059	1.2778097096442151	False	0.020458135860979464	False	True	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P66948	YFGC_ECOLI	yfgC	TPR repeat-containing protein YfgC	7	7.0	8534560.0	8914950.0	9041540.0	8128300.0	9090950.0	8406240.0	0	0.23982369824610994	-0.06742149244795095	False	0.020484465508162193	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A7I7	RIBA_ECOLI	ribA	GTP cyclohydrolase-2	7	7.0	35639400.0	40760600.0	37160700.0	36258100.0	33675100.0	36796300.0	0	0.24003165259000336	0.09617326721690138	False	0.02051079515534492	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	17	17.0	58884500.0	65555600.0	57759400.0	61155400.0	58292600.0	58443700.0	0	0.24011035702136643	0.08189983674551668	False	0.020537124802527645	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0CE47;P0CE48	EFTU1_ECOLI;EFTU2_ECOLI	tufA;tufB	Elongation factor Tu 1	30		6343140000.0	5491960000.0	6876830000.0	6347550000.0	6419340000.0	6364000000.0	0	0.24033711266617144	-0.10952758580635492	False	0.020563454449710375	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P37342	YJJI_ECOLI	yjjI	Uncharacterized protein YjjI	10	10.0	10754500.0	10998200.0	10743400.0	10743600.0	10554600.0	10751800.0	0	0.24091478496239702	0.019718703048194987	False	0.0205897840968931	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	8	8.0	4892830.0	5263720.0	5005830.0	5071650.0	4813800.0	4897760.0	0	0.24134266342780467	0.05017391456096861	False	0.020616113744075834	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P52643	LDHD_ECOLI	ldhA	D-lactate dehydrogenase	14	14.0	31526200.0	33295500.0	31560800.0	33080600.0	33038900.0	32259300.0	0	0.2415398595079649	0.037180318517020264	False	0.02064244339125856	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0ABH9	CLPA_ECOLI	clpA	ATP-dependent Clp protease ATP-binding subunit ClpA	26	26.0	34968900.0	35383500.0	35667400.0	34588300.0	35319100.0	34606000.0	0	0.24173492680228337	-0.018880490620704418	False	0.020668773038441286	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P21599	KPYK2_ECOLI	pykA	Pyruvate kinase II	22	22.0	98323400.0	100939000.0	96941600.0	97480200.0	96453600.0	98390200.0	0	0.24280617930096116	0.02495940754557826	False	0.020695102685624016	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0AG67	RS1_ECOLI	rpsA	30S ribosomal protein S1	44	44.0	1473350000.0	1462710000.0	1480900000.0	1592680000.0	1467320000.0	1555440000.0	0	0.24332905583597875	0.06046774584459302	False	0.020721432332806742	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0ADS2	ZAPA_ECOLI	zapA	Cell division protein ZapA	4	4.0	36259900.0	33573500.0	38848200.0	37058900.0	36747500.0	35859600.0	0	0.24345979770875123	-0.07089243115738135	False	0.02074776197998947	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P43533	FLGN_ECOLI	flgN	Flagella synthesis protein FlgN	3	3.0	4283360.0	4414550.0	4509600.0	3782460.0	5077390.0	4385310.0	0	0.2437856459198169	-0.14060623353528012	False	0.020774091627172198	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0AEK4	FABI_ECOLI	fabI	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI	17	17.0	265737000.0	236571000.0	267862000.0	265128000.0	269113000.0	258782000.0	0	0.2444534239707136	-0.07797026124178331	False	0.020800421274354924	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P45475	YHBV_ECOLI	yhbV	Uncharacterized protein YhbV	4	4.0	3549540.0	3249540.0	4063830.0	3720260.0	3829330.0	3627040.0	0	0.24470822550763532	-0.11079339392653864	False	0.020826750921537653	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A707	IF3_ECOLI	infC	Translation initiation factor IF-3	6	6.0	298726000.0	296588000.0	278030000.0	302978000.0	294524000.0	302160000.0	0	0.24482123844221573	0.04955269343928533	False	0.02085308056872038	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0AEV7	HYCH_ECOLI	hycH	Formate hydrogenlyase maturation protein HycH	1	1.0	2699400.0	3108580.0	3502460.0	2740670.0	3358360.0	2378070.0	0	0.24495120028339423	-0.21662125997854356	False	0.02087941021590311	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A6T5	GCH1_ECOLI	folE	GTP cyclohydrolase 1	6	6.0	22606600.0	21175300.0	20840800.0	20451800.0	21348000.0	20638300.0	0	0.24517537055417685	-0.05746069520861553	False	0.020905739863085835	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A9T6	YBAQ_ECOLI	ybaQ	Uncharacterized HTH-type transcriptional regulator YbaQ	4	4.0	1143590.0	1382670.0	1127410.0	1288440.0	1307310.0	1215430.0	0	0.24518830868754932	0.11920798652052789	False	0.02093206951026856	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A7B8	HSLV_ECOLI	hslV	ATP-dependent protease subunit HslV	6	6.0	97145500.0	81208800.0	95732000.0	95466100.0	99377900.0	93825700.0	0	0.24534363266310996	-0.11159788755305716	False	0.02095839915745129	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P00562	AK2H_ECOLI	metL	Bifunctional aspartokinase/homoserine dehydrogenase 2	18	18.0	7051520.0	8623540.0	7451090.0	7730840.0	7447340.0	7378230.0	0	0.24540544805474535	0.1126531165862114	False	0.02098472880463402	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
P0A7R9	RS11_ECOLI	rpsK	30S ribosomal protein S11	7	7.0	523829000.0	449011000.0	502334000.0	497691000.0	486046000.0	489040000.0	0	0.24780925442243731	-0.07486102292165363	False	0.02101105845181675	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.160964047443681
