Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0A9L5	PPIC_ECOLI	ppiC	Peptidyl-prolyl cis-trans isomerase C	6	6.0	24750900.0	25619400.0	24685700.0	25858200.0	25818200.0	25015100.0	0	0.6451697552167428	0.013490826410736609	False	0.03755832037325039	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AB28	YCED_ECOLI	yceD	Uncharacterized protein YceD	5	5.0	38848000.0	39464500.0	39744300.0	40002700.0	40807600.0	38785800.0	0	0.6453427072470641	-0.012414447977135881	False	0.03758424053913945	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P69490	CCME_ECOLI	ccmE	Cytochrome c-type biogenesis protein CcmE	1	1.0	1924150.0	86292.2	2880470.0	2961650.0	133717.0	105835.0	3	0.6465706037721322	0.6722968473550351	False	0.03761016070502851	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0AFM2	PROX_ECOLI	proX	Glycine betaine-binding periplasmic protein	4	4.0	15212400.0	14219900.0	14060400.0	14892500.0	15243700.0	15982200.0	0	0.6465802251929977	-0.030960551049463478	False	0.037636080870917576	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0A853	TNAA_ECOLI	tnaA	Tryptophanase	10	10.0	13303800.0	13398500.0	13469800.0	13180700.0	13093100.0	13558500.0	0	0.648428129824109	-0.008598015002804363	False	0.03766200103680664	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P27434	RODZ_ECOLI	rodZ	Cytoskeleton protein RodZ	9	9.0	45266600.0	45048800.0	43854500.0	43127600.0	44247400.0	44261000.0	0	0.6516959765987937	0.011724822438966446	False	0.0376879212026957	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P0ABX5	FLGG_ECOLI	flgG	Flagellar basal-body rod protein FlgG	2	2.0	4473020.0	4502830.0	5259680.0	4928640.0	4562090.0	4503620.0	0	0.6523451284004662	-0.04302358667586966	False	0.03771384136858476	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
Q46857	DKGA_ECOLI	dkgA	2,5-diketo-D-gluconic acid reductase A	10	10.0	21915800.0	20731800.0	21489100.0	22658400.0	21639200.0	21289900.0	0	0.6526038694418522	0.019747196814291924	False	0.037739761534473816	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P77247	YNIC_ECOLI	yniC	2-deoxyglucose-6-phosphate phosphatase	6	6.0	8895750.0	9068350.0	8758580.0	9672020.0	9567600.0	9922920.0	0	0.6531517630152762	-0.031649823462659245	False	0.03776568170036289	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
P24224	ACPS_ECOLI	acpS	Holo-[acyl-carrier-protein] synthase	1	1.0	6115470.0	6728150.0	6824220.0	5847230.0	6552650.0	5869300.0	0	0.6564129940329482	-0.04223919741946374	False	0.037791601866251946	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.660964047443681
