Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P39310	YTFB_ECOLI	ytfB	Uncharacterized protein YtfB	5	5.0	2108010.0	2417980.0	2316530.0	2256800.0	2293330.0	2368970.0	0	0.25945056693176205	-0.06833982757043797	False	0.01696012428793371	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P36767	RDGC_ECOLI	rdgC	Recombination-associated protein RdgC	7	7.0	23167200.0	20764900.0	21392600.0	20526100.0	20735100.0	20623400.0	0	0.26034581819564584	0.07669532205600171	False	0.016986017607457278	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P20966	PTFBC_ECOLI	fruA	PTS system fructose-specific EIIBC component	10	10.0	65420600.0	71801000.0	71222600.0	70373000.0	70078800.0	72735100.0	0	0.26054041694003116	-0.05603463975340669	False	0.01701191092698084	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P33920	NDPA_ECOLI	yejK	Nucleoid-associated protein YejK	17	17.0	13039200.0	13344000.0	13106900.0	12954100.0	12873400.0	13304500.0	0	0.2607438751490562	-0.021399858378581514	False	0.0170378042465044	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P75829	YBJX_ECOLI	ybjX	Uncharacterized protein YbjX	8	8.0	11504300.0	11213100.0	11486800.0	11663400.0	11886600.0	10665300.0	0	0.26094397500050076	0.05634479281889091	False	0.017063697566027967	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0ADG7	IMDH_ECOLI	guaB	Inosine-5'-monophosphate dehydrogenase	18	18.0	205494000.0	223809000.0	224749000.0	224624000.0	217999000.0	225817000.0	0	0.2633994821206409	-0.05675111967316044	False	0.017089590885551526	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AB12	YCCF_ECOLI	yccF	Inner membrane protein YccF	2	2.0	216844.0	153842.0	133362.0	102425.0	131226.0	88633.6	3	0.26462044075854574	0.4811514000274505	False	0.017115484205075093	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AEK2	FABG_ECOLI	fabG	3-oxoacyl-[acyl-carrier-protein] reductase FabG	10	10.0	395402000.0	417652000.0	409744000.0	404418000.0	408820000.0	416245000.0	0	0.2646475633629227	-0.028650334948237856	False	0.017141377524598655	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P23917	MAK_ECOLI	mak	Fructokinase	5	5.0	2873080.0	3494840.0	3388960.0	3182250.0	2931750.0	3276080.0	0	0.2654118879249755	-0.11449637173929626	False	0.017167270844122215	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P25536	YHDE_ECOLI	yhdE	Maf-like protein YhdE	3	3.0	13813600.0	15287300.0	12853800.0	13414900.0	12822800.0	13566300.0	0	0.2659109794516028	-0.09808824133813182	False	0.01719316416364578	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P37330	MASZ_ECOLI	glcB	Malate synthase G	7	7.0	5832500.0	7006920.0	6855280.0	7074190.0	6865710.0	7041440.0	0	0.26625734351081576	-0.11135788361791825	False	0.01721905748316934	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AB67	PNTB_ECOLI	pntB	NAD(P) transhydrogenase subunit beta	5	5.0	9718330.0	8521890.0	8866540.0	8600900.0	8527290.0	8376400.0	0	0.2664785368942989	0.08848863632346148	False	0.017244950802692907	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A7G6	RECA_ECOLI	recA	Protein RecA	12	12.0	72780000.0	75977000.0	74278000.0	73381200.0	72124300.0	73821200.0	0	0.26657207828688767	-0.026072570457594858	False	0.01727084412221647	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P33644	YFIH_ECOLI	yfiH	Laccase domain protein YfiH	1	1.0	876554.0	662417.0	929472.0	792928.0	767060.0	840485.0	0	0.2668330150797153	0.1644838586277555	False	0.01729673744174003	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A8F8	UVRB_ECOLI	uvrB	UvrABC system protein B	6	6.0	5495990.0	5993410.0	4637300.0	5871060.0	5613960.0	5339750.0	0	0.26725071848697235	-0.1276625775782551	False	0.017322630761263596	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P69346	YEFM_ECOLI	yefM	Antitoxin YefM	1	1.0	4114310.0	4187590.0	4288060.0	4761520.0	4378150.0	4614630.0	0	0.2673041115185868	-0.08580849877682672	False	0.017348524080787155	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AAA1	YAGU_ECOLI	yagU	Inner membrane protein YagU	2	2.0	51546200.0	59429100.0	57536700.0	58337600.0	57494900.0	57826100.0	0	0.2674230605902421	-0.07603754586076049	False	0.01737441740031072	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P63235	GADC_ECOLI	gadC	Probable glutamate/gamma-aminobutyrate antiporter	3	3.0	23631900.0	23516100.0	22124900.0	23549600.0	21683600.0	23040000.0	0	0.26786250378447135	-0.05591865531399452	False	0.017400310719834285	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AD07	YECF_ECOLI	yecF	Uncharacterized protein YecF	2	2.0	21187500.0	34485100.0	34088100.0	36079600.0	33824600.0	37804900.0	0	0.26789000192277235	-0.2824595312764068	False	0.017426204039357844	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P17315	CIRA_ECOLI	cirA	Colicin I receptor	9	9.0	7245170.0	7461700.0	6981920.0	7252050.0	6543220.0	7017190.0	0	0.26801392230092147	-0.06522783273079817	False	0.01745209735888141	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AB20	HSPQ_ECOLI	hspQ	Heat shock protein HspQ	1	1.0	5299320.0	76434.8	4470300.0	4486100.0	4325850.0	3491960.0	1	0.2680831840031489	0.8073655769068814	False	0.01747799067840497	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A6T3	GAL1_ECOLI	galK	Galactokinase	7	7.0	16561100.0	16295300.0	15721900.0	16550600.0	15332400.0	16409600.0	0	0.2684017802704815	-0.04885657640222584	False	0.017503883997928536	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A8M6	YEEX_ECOLI	yeeX	UPF0265 protein YeeX	5	5.0	58552500.0	72719100.0	66570600.0	70973200.0	64529600.0	61982800.0	0	0.26942945266064006	-0.11700723417477231	False	0.0175297773174521	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P33225	TORA_ECOLI	torA	Trimethylamine-N-oxide reductase 1	1	1.0	12534000.0	10581800.0	10318400.0	10929000.0	11060500.0	9065760.0	0	0.269803285352886	0.14940805291039716	False	0.01755567063697566	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P33599	NUOCD_ECOLI	nuoC	NADH-quinone oxidoreductase subunit C/D	34	34.0	77641600.0	71622000.0	73538100.0	73492600.0	73376400.0	73157600.0	0	0.2700537539592337	0.040947518280340406	False	0.017581563956499225	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AEL0	FDOI_ECOLI	fdoI	Formate dehydrogenase, cytochrome b556(fdo) subunit	2	2.0	1162890.0	76434.8	731514.0	923380.0	1243270.0	872802.0	1	0.2701102943221429	0.744639759920283	False	0.017607457276022784	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0ABF1	PCNB_ECOLI	pcnB	Poly(A) polymerase	18	18.0	12545900.0	10779400.0	11071400.0	11557200.0	11626200.0	10938900.0	0	0.2708260224960757	0.08289685977109866	False	0.01763335059554635	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AGJ2	TRMH_ECOLI	trmH	tRNA (guanosine(18)-2'-O)-methyltransferase	4	4.0	10110000.0	11086800.0	10770200.0	10540700.0	10226300.0	10530600.0	0	0.27084742847208026	-0.04796609339758889	False	0.017659243915069914	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P21365	YCIC_ECOLI	yciC	UPF0259 membrane protein YciC	1	1.0	2867390.0	5368530.0	118697.0	5255560.0	5710180.0	5366170.0	1	0.270943042398362	-0.8787252561062503	False	0.017685137234593473	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AAV4	YBGJ_ECOLI	ybgJ	Uncharacterized protein YbgJ	2	2.0	2441300.0	2296830.0	2578690.0	1854840.0	2554180.0	2532030.0	0	0.27123202067406743	0.18044082342153336	False	0.01771103055411704	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0ACT6	UIDR_ECOLI	uidR	HTH-type transcriptional regulator UidR	1	1.0	606196.0	968833.0	678693.0	847501.0	709392.0	626261.0	0	0.2715961683206786	-0.2925459701222127	False	0.0177369238736406	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A796	K6PF1_ECOLI	pfkA	6-phosphofructokinase isozyme 1	14	14.0	159167000.0	197329000.0	181503000.0	178264000.0	175900000.0	176907000.0	0	0.2719146109184459	-0.09701060368071175	False	0.017762817193164165	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AD44	YFHG_ECOLI	yfhG	Uncharacterized protein YfhG	5	5.0	3039670.0	2487400.0	2661040.0	2727720.0	2767400.0	2718940.0	0	0.2726852778799843	0.09398070228413534	False	0.01778871051268773	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A9H1	MUG_ECOLI	mug	G/U mismatch-specific DNA glycosylase	4	4.0	5322230.0	7287650.0	6373100.0	6106160.0	6100610.0	6261360.0	0	0.27323778874601484	-0.14336070235599616	False	0.017814603832211288	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P21893	RECJ_ECOLI	recJ	Single-stranded-DNA-specific exonuclease RecJ	5	5.0	2401700.0	2199850.0	2288330.0	2035430.0	2025810.0	1965950.0	0	0.273445684485561	0.11501346033149236	False	0.017840497151734854	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P39099	DEGQ_ECOLI	degQ	Periplasmic pH-dependent serine endoprotease DegQ	14	14.0	27279700.0	28864200.0	29376600.0	29523700.0	28292900.0	29252200.0	0	0.2736901234393751	-0.04499076944035694	False	0.017866390471258417	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P52612	FLII_ECOLI	fliI	Flagellum-specific ATP synthase	4	4.0	1398820.0	76434.8	1346350.0	102425.0	819997.0	1418760.0	2	0.2754569582887272	1.1580455391990165	False	0.01789228379078198	False	True	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A6K1	DAPF_ECOLI	dapF	Diaminopimelate epimerase	3	3.0	1636380.0	1396890.0	1427360.0	772846.0	1189600.0	1214370.0	0	0.27630999272461915	0.3298214259924998	False	0.017918177110305543	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P77611	RNFC_ECOLI	rnfC	Electron transport complex protein RnfC	9	9.0	7394310.0	7126000.0	8242560.0	7208790.0	7544360.0	7649930.0	0	0.2772075985065166	0.07645595968665662	False	0.017944070429829102	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P22525	YCBB_ECOLI	ycbB	Probable L,D-transpeptidase YcbB	11	11.0	66551800.0	67691000.0	65813300.0	67602900.0	63753700.0	65216400.0	0	0.2774856035215901	-0.03194850900043266	False	0.01796996374935267	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P76344	ZINT_ECOLI	zinT	Metal-binding protein ZinT	1	1.0	684722.0	76434.8	577302.0	858788.0	900074.0	88633.6	2	0.2778669304512636	1.0784185309344163	False	0.01799585706887623	False	True	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A6K3	DEF_ECOLI	def	Peptide deformylase	6	6.0	82745800.0	91169500.0	93330600.0	94769900.0	90416800.0	94435600.0	0	0.27791909876208104	-0.07325899452762177	False	0.018021750388399795	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AG55	RL6_ECOLI	rplF	50S ribosomal protein L6	11	11.0	1143050000.0	1239360000.0	1206210000.0	1212890000.0	1211920000.0	1206570000.0	0	0.27809099440095714	-0.03902308369664542	False	0.018047643707923357	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0A9C9	GLPX_ECOLI	glpX	Fructose-1,6-bisphosphatase 1 class 2	14	14.0	24620700.0	21309200.0	21520000.0	21053900.0	21613900.0	20908500.0	0	0.27918383268978814	0.09876081843572478	False	0.018073537027446917	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P0AAN3	HYPB_ECOLI	hypB	Hydrogenase isoenzymes nickel incorporation protein HypB	6	6.0	11218700.0	12717100.0	13075100.0	13419700.0	12703600.0	13347800.0	0	0.2794523433100985	-0.09386618656013475	False	0.018099430346970483	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P52119	RATB_ECOLI	ratB	UPF0125 protein RatB	4	4.0	20385400.0	16437300.0	16829600.0	16834800.0	17781100.0	17070400.0	0	0.2803246144743363	0.1275524525477369	False	0.018125323666494046	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P25516	ACON1_ECOLI	acnA	Aconitate hydratase 1	13	13.0	10686800.0	10030500.0	10523100.0	9911490.0	9896840.0	10114200.0	0	0.28065876555293234	0.04956506661312791	False	0.01815121698601761	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P75957	LOLD_ECOLI	lolD	Lipoprotein-releasing system ATP-binding protein LolD	3	3.0	19488900.0	19291000.0	19175100.0	19681400.0	19352100.0	19611600.0	0	0.28201777839450815	-0.014053384041043743	False	0.018177110305541172	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P07117	PUTP_ECOLI	putP	Sodium/proline symporter	2	2.0	3806830.0	76434.8	2752380.0	2485200.0	2343880.0	2660700.0	1	0.2827458925124813	0.769611189175217	False	0.01820300362506473	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
P52697	6PGL_ECOLI	pgl	6-phosphogluconolactonase	8	8.0	103013000.0	114737000.0	112540000.0	115304000.0	113280000.0	113157000.0	0	0.28277835443357324	-0.06168605771022013	False	0.018228896944588298	False	False	Ecoli	False	True	False	False	diann231	manual	min	1.0
