Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P11880	P11880		murF		6.08336e+06	5.83814e+06	5.83506e+06	5.83883e+06	5.80042e+06	6.08845e+06
P12008	P12008		aroC		3.74413e+06	3.78364e+06	3.57372e+06	3.7875e+06	3.91075e+06	3.71047e+06
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)				1.28044e+07	1.28303e+07		1.25244e+07		
P12281	P12281		moeA		6.09512e+06	5.90485e+06	5.9955e+06	6.07802e+06	5.95039e+06	5.86297e+06
P12295	P12295		ung		1.8824e+06	1.82668e+06	1.83726e+06	1.89141e+06	1.83007e+06	1.81419e+06
P12758	P12758		udp		2.82992e+07	2.8118e+07	2.79598e+07	2.8511e+07	2.7839e+07	2.74436e+07
P12994	P12994		ybhB		713769	726146	565819	664557	381079	602394
P13001	P13001		bioH		1.33697e+06	1.0777e+06	1.26949e+06	1.25506e+06	1.16508e+06	1.30119e+06
P13009	P13009		metH		2.04297e+06	1.95633e+06	2.05819e+06	2.02299e+06	2.08328e+06	1.96247e+06
P13016	P13016		ampD		1.90124e+06	1.85595e+06	1.67022e+06	1.90064e+06	1.6164e+06	1.81194e+06
P13024	P13024		fdhE		4.30773e+06	4.10876e+06	4.07593e+06	4.19134e+06	4.11515e+06	4.07536e+06
P13029	P13029		katG		4.13977e+07	4.1065e+07	3.99515e+07	4.12687e+07	3.99924e+07	4.07353e+07
P13033	P13033		glpB		1.26196e+06	1.13993e+06	1.33335e+06	1.28184e+06	1.32021e+06	1.32281e+06
P13035	P13035		glpD		4.41422e+06	4.38578e+06	4.36997e+06	4.43766e+06	4.42505e+06	4.32093e+06
P13445	P13445		rpoS		4.83248e+06	4.56683e+06	4.6943e+06	4.85656e+06	4.64358e+06	4.76677e+06
P13458	P13458		sbcC		1.22041e+06	1.30153e+06	1.49017e+06	1.2904e+06	1.4083e+06	1.37974e+06
P13979	P13979		traT		3.88727e+06	3.73247e+06	3.87133e+06	3.7155e+06	3.70311e+06	3.67e+06
P14081	P14081		selB		2.69022e+06	2.56923e+06	2.96733e+06	2.67272e+06	2.90055e+06	2.87568e+06
P14175	P14175		proV		1.61352e+06	1.60717e+06	1.55548e+06	1.54175e+06	1.67781e+06	1.56469e+06
P14407	P14407		fumB		1.45204e+07	1.44813e+07	1.39413e+07	1.45676e+07	1.43156e+07	1.39195e+07
P14900	P14900		murD		2.83618e+06	2.90397e+06	3.1496e+06	2.84624e+06	2.75897e+06	2.7995e+06
P15034	P15034		pepP		4.12215e+06	3.93265e+06	3.81547e+06	3.87758e+06	3.83508e+06	3.86826e+06
