Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	9.55902e+06	8.70679e+06	9.46996e+06	8.62887e+06	9.27351e+06	9.04484e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	12	12	5.59219e+06	5.83178e+06	5.21758e+06	5.93064e+06	6.05024e+06	5.29876e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	1	1		2.33585e+06			3.40366e+06	
P03018	UVRD_ECOLI	uvrD	DNA helicase II	9	9	6.16708e+06	7.24959e+06	6.45565e+06	7.02314e+06	7.41897e+06	6.68514e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	3	3	3.32805e+06	3.94248e+06	3.23715e+06	3.73539e+06	3.76696e+06	2.67507e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	3	3	6.9072e+06	6.25714e+06	7.57198e+06	7.98999e+06	7.48418e+06	7.21877e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	3.61984e+07	3.60382e+07	3.42994e+07	3.89548e+07	3.58929e+07	3.38056e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	5	5	3.63005e+07	3.41092e+07	3.4195e+07	3.38018e+07	3.42924e+07	3.5772e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	9	9	4.00241e+07	4.15156e+07	4.07966e+07	4.0312e+07	3.95494e+07	4.0737e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		24	24	5.12736e+06	5.18053e+07	5.59846e+06	5.27381e+07	5.18707e+07	6.10016e+06
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	25	25	8.3682e+07	7.94162e+07	8.07803e+07	8.05307e+07	8.10314e+07	8.13698e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	15	15	1.85017e+07	1.79363e+07	1.78477e+07	1.80538e+07	1.93939e+07	1.90674e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	14	14	3.54644e+07	3.49272e+07	3.46617e+07	3.56981e+07	3.59485e+07	3.49618e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.65584e+07	3.03319e+07	2.78498e+07	3.06012e+07	2.8319e+07	2.9455e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	23	23	1.51359e+08	1.51961e+08	1.51026e+08	1.54042e+08	1.52329e+08	1.52533e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	27	27	8.32533e+07	8.339e+07	7.88081e+07	8.18131e+07	8.12753e+07	8.09042e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	3	3	7.2279e+06	8.58153e+06	8.10219e+06	8.64496e+06	8.23218e+06	8.25493e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	4.23443e+08	3.79584e+08	4.21107e+08	3.72609e+08	3.82615e+08	4.26241e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	6	6	3.63789e+07	3.70304e+07	3.47554e+07	3.60078e+07	3.64538e+07	3.54915e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	4	4	1.50729e+06	1.50439e+06	1.32524e+06	1.40337e+06	1.35161e+06	1.64932e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	5.8346e+06	4.29345e+06	5.45789e+06	5.9745e+06	4.99311e+06	5.26747e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	4	4	2.67113e+06	3.3622e+06	2.42447e+06	2.8133e+06	2.23619e+06	2.39228e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	6	6	6.77082e+06	7.35824e+06	6.96935e+06	7.29523e+06	7.44279e+06	7.03734e+06
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	1.93293e+07	1.91417e+07	1.98353e+07	1.94357e+07	1.96529e+07	1.97793e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	4	4	5.62704e+06	6.399e+06	5.50502e+06	5.92785e+06	6.39302e+06	5.78312e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	35	35	1.98792e+08	1.94458e+08	1.9743e+08	1.97217e+08	1.96703e+08	1.97802e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	2	2	6.36778e+06	6.79672e+06	6.63457e+06	6.54977e+06	6.32478e+06	5.02757e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	5	5	1.64956e+07	1.66443e+07	1.54447e+07	1.84229e+07	1.60183e+07	1.67032e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		10	10	1.54824e+07	1.34395e+08	1.57551e+07	1.31885e+08	1.33992e+08	1.63866e+07
P05458	PTRA_ECOLI	ptrA	Protease 3	9	9	5.26386e+06	4.88586e+06	5.50325e+06	5.57441e+06	5.36286e+06	5.50833e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	16	16	3.38747e+07	3.35544e+07	3.42138e+07	3.48352e+07	3.41554e+07	3.48809e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	1	1		1.67322e+06	1.05965e+06	1.13494e+06	1.10288e+06	1.1765e+06
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	9.7962e+06	9.91085e+06	9.58771e+06	8.38227e+06	9.75668e+06	1.07768e+07
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	3	3	1.18219e+07	1.11743e+07	1.18005e+07	1.04818e+07	9.8019e+06	1.12969e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	13	13	1.44881e+07	1.51009e+07	1.52209e+07	1.47896e+07	1.50764e+07	1.5073e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	12	12	2.41919e+07	2.16467e+07	2.43106e+07	2.39651e+07	2.24828e+07	2.40884e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	16	16	1.0405e+07	1.04987e+07	1.02109e+07	9.84593e+06	1.01277e+07	1.06908e+07
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	4	4	8.03479e+06	8.57234e+06	8.26108e+06	7.94105e+06	8.56331e+06	7.53817e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	24	24	5.15659e+07	5.12522e+07	5.18877e+07	4.73704e+07	5.4369e+07	5.20292e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	1.41709e+07	1.62259e+07	1.39312e+07	1.51947e+07	1.44444e+07	1.35695e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	19	19	2.35325e+07	2.52384e+07	2.42391e+07	2.34745e+07	2.49926e+07	2.2964e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	8.14231e+06	7.9399e+06	7.8696e+06	7.91895e+06	8.06727e+06	7.51355e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		22	22	6.76832e+06	6.58457e+07	6.79205e+06	6.5617e+07	6.5356e+07	7.83846e+06
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	8	8	5.87124e+07	6.14133e+07	5.53235e+07	5.89018e+07	6.18644e+07	5.5878e+07
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	23	23	2.94503e+07	2.89432e+07	2.80156e+07	2.92097e+07	2.97068e+07	3.00368e+07
P06616	ERA_ECOLI	era	GTPase Era	9	9	1.20204e+07	1.00103e+07	1.10967e+07	1.10912e+07	9.86339e+06	1.13725e+07
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	5	5	6.18387e+06	5.07222e+06	5.59278e+06	5.32769e+06	5.67105e+06	5.60302e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	6	6	4.71233e+06	4.38252e+06	4.32402e+06	4.15853e+06	4.49174e+06	4.95945e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	14	14	2.61448e+07	2.65486e+07	2.55249e+07	2.73398e+07	2.57879e+07	2.60844e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	3	3		2.77772e+06	3.82504e+06	3.25509e+06	2.89297e+06	4.32924e+06
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	2.25808e+06	2.25573e+06	2.40611e+06	2.47401e+06	2.22028e+06	2.2618e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		18	18	9.09359e+06	8.554e+07	9.07636e+06	8.57918e+07	8.60869e+07	9.26179e+06
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	8	8	4.72613e+06	5.0208e+06	4.25377e+06	4.85566e+06	4.50187e+06	4.39136e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	36	36	3.02756e+08	2.93262e+08	3.06321e+08	2.87449e+08	2.98924e+08	3.0996e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	9	9	8.84117e+06	9.22468e+06	1.00524e+07	1.00271e+07	9.76452e+06	9.16492e+06
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	8.24235e+07	8.35517e+07	8.39396e+07	8.58742e+07	8.50047e+07	8.49322e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	17	17	8.16118e+07	7.7437e+07	7.85207e+07	8.08903e+07	7.97164e+07	7.91954e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	8	8	1.60523e+07	1.51959e+07	1.58252e+07	1.55643e+07	1.57256e+07	1.57036e+07
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	14	14	6.53917e+07	6.21882e+07	6.47596e+07	6.16514e+07	6.22978e+07	6.51127e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	9	9	1.68199e+07	1.72852e+07	1.63772e+07	1.65167e+07	1.66067e+07	1.64602e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	6	6	4.05151e+06	4.05523e+06	4.36814e+06	3.80292e+06	4.23478e+06	4.16187e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	5	5	3.13722e+06	3.40138e+06	3.19486e+06	3.13528e+06	3.15364e+06	3.34513e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	3	3	1.30647e+08	1.31157e+08	1.28414e+08	1.31784e+08	1.36531e+08	1.32308e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	3	3	3.75324e+06	3.20605e+06	3.20443e+06	2.96138e+06	3.75641e+06	3.10982e+06
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	20	17	1.41913e+09	1.25383e+09	1.39692e+09	1.32184e+09	1.27283e+09	1.4001e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	5	5	4.3131e+06	4.36324e+06	4.13451e+06	4.31127e+06	4.33989e+06	4.23265e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.47216e+06	2.83274e+06	2.56333e+06	2.39326e+06	2.88595e+06	2.52276e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	10	10	1.12274e+07	1.05478e+07	1.05987e+07	1.11782e+07	1.11365e+07	1.12203e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	9	9	1.30574e+07	1.29767e+07	1.33831e+07	1.25904e+07	1.2447e+07	1.26188e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	14	14	3.40677e+07	3.16553e+07	3.35014e+07	3.10131e+07	3.24524e+07	3.34641e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	18	18	6.78687e+07	6.90975e+07	6.74624e+07	6.73107e+07	6.77165e+07	6.66659e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	9	9	2.19198e+07	2.20609e+07	2.13887e+07	2.17696e+07	2.0645e+07	2.22743e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	12	12	1.58314e+07	1.59779e+07	1.57474e+07	1.60619e+07	1.6121e+07	1.5858e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	5.36644e+06	4.93516e+06	4.90949e+06	5.8965e+06	5.17918e+06	4.76454e+06
P07023	TYRA_ECOLI	tyrA	T-protein	9	9	8.3517e+06	7.97764e+06	7.84702e+06	8.2496e+06	8.24421e+06	7.56921e+06
P07024	USHA_ECOLI	ushA	Protein UshA	10	10	2.57577e+07	2.56588e+07	2.55572e+07	2.56359e+07	2.56529e+07	2.54902e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	1	1	5.33346e+06	5.59816e+06	4.9157e+06	5.48488e+06	4.62574e+06	5.118e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	46	46	1.20259e+08	1.24199e+08	1.17209e+08	1.20305e+08	1.24208e+08	1.18477e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	3	3	2.93787e+06	2.82448e+06	3.37996e+06	3.12773e+06	3.13615e+06	3.00758e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	12	12	1.10346e+07	9.92221e+06	1.07069e+07	1.03468e+07	1.05946e+07	9.86847e+06
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	2	2	421595		416230			451606
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	34	34	9.63838e+07	9.70706e+07	9.81373e+07	9.9448e+07	9.60554e+07	9.7955e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	11	11	8.13736e+06	8.16786e+06	8.42405e+06	8.62386e+06	8.45706e+06	8.0156e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	11	11	1.75776e+07	1.61117e+07	1.65247e+07	1.53318e+07	1.71294e+07	1.69872e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	5	5	1.30292e+06	1.0135e+06	1.23664e+06	1.23411e+06	1.29688e+06	1.02263e+06
