Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0AEV9	HYCI_ECOLI	hycI	Hydrogenase 3 maturation protease	2	2	803054	717130	696895	752749	718593	600110
P0AEW6	INGK_ECOLI	gsk	Inosine-guanosine kinase	12	12	1.22579e+07	1.2418e+07	1.18834e+07	1.22636e+07	1.19307e+07	1.23918e+07
P0AEW9	K1PF_ECOLI	fruK	1-phosphofructokinase	13	13	7.73415e+07	7.3112e+07	8.08139e+07	7.48987e+07	7.98174e+07	7.60031e+07
P0AEX5	KPPR_ECOLI	prkB	Probable phosphoribulokinase	5	5	7.92086e+06	7.19025e+06	6.33436e+06	7.02092e+06	6.84607e+06	7.21033e+06
P0AEX9	MALE_ECOLI	malE	Maltose-binding periplasmic protein	19	19	3.97544e+07	3.5541e+07	3.90794e+07	3.62524e+07	4.06036e+07	3.5646e+07
P0AEY3	MAZG_ECOLI	mazG	Nucleoside triphosphate pyrophosphohydrolase	5	5	7.75709e+06	1.16788e+07	1.04227e+07	1.14978e+07	9.98882e+06	1.14165e+07
P0AEY5	MDAB_ECOLI	mdaB	Modulator of drug activity B	7	7	1.30546e+07	1.74159e+07	1.59817e+07	1.45453e+07	1.62884e+07	1.69181e+07
P0AEZ3	MIND_ECOLI	minD	Septum site-determining protein MinD	18	18	6.28776e+07	6.20358e+07	6.19529e+07	6.17153e+07	6.20622e+07	6.25756e+07
P0AEZ9	MOAB_ECOLI	moaB	Molybdenum cofactor biosynthesis protein B	7	7	4.15407e+07	4.08118e+07	4.30704e+07	4.1842e+07	4.13555e+07	4.27348e+07
P0AF03	MOG_ECOLI	mog	Molybdopterin adenylyltransferase	5	5	4.15682e+07	4.63381e+07	4.4959e+07	4.59799e+07	4.38026e+07	4.7469e+07
P0AF06	MOTB_ECOLI	motB	Motility protein B	4	4	1.81921e+06	1.60795e+06	1.74903e+06	1.41242e+06	1.69957e+06	1.59167e+06
P0AF08	MRP_ECOLI	mrp	Protein mrp	8	8	3.90697e+07	3.8229e+07	3.71778e+07	3.59335e+07	3.84116e+07	3.68908e+07
P0AF12	MTNN_ECOLI	mtnN	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	5	5	8.57122e+07	9.49706e+07	9.81835e+07	9.45075e+07	9.54673e+07	9.39445e+07
P0AF18	NAGA_ECOLI	nagA	N-acetylglucosamine-6-phosphate deacetylase	7	7	1.42117e+07	1.38097e+07	1.36663e+07	1.39889e+07	1.3792e+07	1.39157e+07
P0AF20	NAGC_ECOLI	nagC	N-acetylglucosamine repressor	8	8	6.36413e+06	5.59818e+06	5.26173e+06	5.64187e+06	5.51258e+06	5.47275e+06
P0AF24	NAGD_ECOLI	nagD	Ribonucleotide monophosphatase NagD	8	8	1.10409e+07	1.19915e+07	1.24435e+07	1.21637e+07	1.19948e+07	1.24656e+07
P0AF26	NARJ_ECOLI	narJ	Nitrate reductase molybdenum cofactor assembly chaperone NarJ	3	3	3.27741e+06	4.11572e+06		3.92342e+06	4.44875e+06	4.72408e+06
P0AF28	NARL_ECOLI	narL	Nitrate/nitrite response regulator protein NarL	12	12	3.42439e+07	3.60853e+07	3.56939e+07	3.51618e+07	3.54888e+07	3.59751e+07
P0AF36	ZAPB_ECOLI	zapB	Cell division protein ZapB	7	7	8.9907e+07	8.77732e+07	8.9447e+07	8.71938e+07	8.98746e+07	8.5148e+07
P0AF48	YJBQ_ECOLI	yjbQ	UPF0047 protein YjbQ	1	1	3.97905e+06	4.60424e+06	4.17813e+06	4.2738e+06	4.63689e+06	3.68193e+06
P0AF50	YJBR_ECOLI	yjbR	Uncharacterized protein YjbR	4	4	2.74581e+07	2.84784e+07	2.82371e+07	2.89915e+07	2.95577e+07	2.90373e+07
P0AF52	YJCD_ECOLI	yjcD	Putative permease YjcD	1	1		1.00652e+06	1.00477e+06	1.02786e+06	1.09571e+06	646950
P0AF61	YJDK_ECOLI	yjdK	Uncharacterized protein YjdK	2	2	4.11622e+06	4.49372e+06	4.81647e+06	3.88865e+06	3.80966e+06	4.74567e+06
P0AF63	NSRR_ECOLI	nsrR	HTH-type transcriptional repressor NsrR	7	7	9.72101e+06	1.04348e+07	1.00053e+07	1.02591e+07	1.01494e+07	1.07023e+07
P0AF67	YJEE_ECOLI	yjeE	UPF0079 ATP-binding protein YjeE	4	4	1.90595e+07	1.78158e+07	1.72294e+07	1.76268e+07	1.76177e+07	1.77611e+07
P0AF70	YJEI_ECOLI	yjeI	Uncharacterized protein YjeI	1	1		950184	1.04392e+06	931670	944328	800441
P0AF90	RRAB_ECOLI	rraB	Regulator of ribonuclease activity B	1	1	6.43521e+07	5.14251e+07	5.96213e+07	5.44426e+07	5.81139e+07	5.62018e+07
P0AF93	RIDA_ECOLI	ridA	Enamine/imine deaminase	5	5	3.89258e+08	3.93578e+08	4.05368e+08	3.7775e+08	3.95952e+08	3.94109e+08
P0AF98	LPTF_ECOLI	lptF	Lipopolysaccharide export system permease protein LptF	2	2	5.02017e+06	5.27019e+06	4.73731e+06	4.52721e+06	4.73113e+06	5.05521e+06
P0AFA7	NHAB_ECOLI	nhaB	Na(+)/H(+) antiporter NhaB	2	2	3.77259e+06	4.33016e+06	4.49694e+06	3.98954e+06	4.3635e+06	3.79453e+06
P0AFB1	NLPI_ECOLI	nlpI	Lipoprotein NlpI	8	8	1.10353e+07	1.14422e+07	1.06887e+07	1.09844e+07	1.06759e+07	1.0458e+07
P0AFB5	NTRB_ECOLI	glnL	Nitrogen regulation protein NR(II)	4	4	2.05487e+06	1.90383e+06	1.91163e+06	2.06195e+06	2.01641e+06	2.03832e+06
P0AFB8	NTRC_ECOLI	glnG	Nitrogen regulation protein NR(I)	12	12	7.20176e+06	7.18341e+06	7.23894e+06	6.88201e+06	7.55063e+06	7.46132e+06
P0AFC0	NUDB_ECOLI	nudB	Dihydroneopterin triphosphate pyrophosphatase	1	1	1.41834e+06	1.54466e+06	1.8375e+06	1.71567e+06	1.84755e+06	1.78288e+06
P0AFC3	NUOA_ECOLI	nuoA	NADH-quinone oxidoreductase subunit A	3	3	1.08548e+07	1.06984e+07	1.05877e+07	1.04626e+07	1.05382e+07	1.06313e+07
P0AFC7	NUOB_ECOLI	nuoB	NADH-quinone oxidoreductase subunit B	9	9	6.96055e+07	7.15577e+07	7.12539e+07	7.03902e+07	6.82269e+07	6.83072e+07
P0AFD1	NUOE_ECOLI	nuoE	NADH-quinone oxidoreductase subunit E	3	3	1.89398e+07	2.16534e+07	2.22347e+07	2.09597e+07	2.16937e+07	2.01407e+07
P0AFD4	NUOH_ECOLI	nuoH	NADH-quinone oxidoreductase subunit H	1	1	9.21712e+06	8.52602e+06	8.27671e+06	8.38322e+06	8.18314e+06	8.53146e+06
P0AFD6	NUOI_ECOLI	nuoI	NADH-quinone oxidoreductase subunit I	7	7	2.93463e+07	3.16515e+07	3.0084e+07	3.11209e+07	3.03447e+07	3.10298e+07
P0AFF2	NUPC_ECOLI	nupC	Nucleoside permease NupC	3	3	2.73002e+06	3.52618e+06	3.83803e+06	2.9503e+06	3.5166e+06	3.1202e+06
P0AFF6	NUSA_ECOLI	nusA	Transcription elongation protein NusA	30	30	1.34626e+08	1.4148e+08	1.42409e+08	1.40394e+08	1.3953e+08	1.39955e+08
P0AFG0	NUSG_ECOLI	nusG	Transcription antitermination protein NusG	9	9	1.66822e+08	1.54483e+08	1.60975e+08	1.64146e+08	1.65781e+08	1.62373e+08
P0AFG3	ODO1_ECOLI	sucA	2-oxoglutarate dehydrogenase E1 component	26	26	3.88186e+07	3.55836e+07	3.64789e+07	3.49177e+07	3.65527e+07	3.52e+07
P0AFG6	ODO2_ECOLI	sucB	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex	18	18	6.66618e+07	7.4936e+07	7.36814e+07	6.99015e+07	7.22206e+07	7.18536e+07
P0AFG8	ODP1_ECOLI	aceE	Pyruvate dehydrogenase E1 component	52	52	4.20585e+08	4.16294e+08	4.32559e+08	4.22514e+08	4.2712e+08	4.17725e+08
P0AFH0	OGT_ECOLI	ogt	Methylated-DNA--protein-cysteine methyltransferase	2	2	387753	332684	408344	343367	356388	450519
P0AFH8	OSMY_ECOLI	osmY	Osmotically-inducible protein Y	12	12	9.89454e+07	1.14752e+08	1.13154e+08	1.1589e+08	1.11893e+08	1.13699e+08
P0AFI0	OXC_ECOLI	oxc	Probable oxalyl-CoA decarboxylase	11	11	3.95362e+06	3.76839e+06	3.95931e+06	4.00765e+06	3.94417e+06	4.33344e+06
P0AFI2	PARC_ECOLI	parC	DNA topoisomerase 4 subunit A	14	14	1.80915e+07	1.73006e+07	1.79141e+07	1.74477e+07	1.80371e+07	1.84488e+07
P0AFI5	PBP7_ECOLI	pbpG	D-alanyl-D-alanine endopeptidase	2	2	4.87662e+06	4.60565e+06	4.68831e+06	4.81003e+06	4.96403e+06	4.34954e+06
P0AFI7	PDXH_ECOLI	pdxH	Pyridoxine/pyridoxamine 5'-phosphate oxidase	9	9	2.44328e+07	2.46415e+07	2.16789e+07	2.30059e+07	2.32778e+07	2.2809e+07
P0AFJ1	PHNA_ECOLI	phnA	Protein PhnA	4	4	1.30636e+07	1.41183e+07	1.59051e+07	1.56616e+07	1.49083e+07	1.45606e+07
P0AFJ5	PHOB_ECOLI	phoB	Phosphate regulon transcriptional regulatory protein PhoB	2	2	1.35945e+06	1.93501e+06	1.32064e+06		1.3482e+06	
P0AFJ7	PITA_ECOLI	pitA	Low-affinity inorganic phosphate transporter 1	4	4	5.85597e+06	6.39323e+06	6.60273e+06	6.31439e+06	6.55079e+06	5.94048e+06
P0AFK0	PMBA_ECOLI	pmbA	Protein PmbA	19	19	3.35733e+07	3.24654e+07	3.17924e+07	3.23059e+07	3.2596e+07	3.25284e+07
P0AFK9	POTD_ECOLI	potD	Spermidine/putrescine-binding periplasmic protein	17	17	3.04321e+07	3.11662e+07	3.31893e+07	3.04441e+07	3.14871e+07	3.03038e+07
P0AFL3	PPIA_ECOLI	ppiA	Peptidyl-prolyl cis-trans isomerase A	5	5	4.5188e+07	4.1366e+07	4.58556e+07	4.60584e+07	4.61292e+07	4.54793e+07
P0AFL6	PPX_ECOLI	ppx	Exopolyphosphatase	8	8	3.58112e+06	3.284e+06	3.40549e+06	3.15329e+06	3.17157e+06	3.13268e+06
P0AFM2	PROX_ECOLI	proX	Glycine betaine-binding periplasmic protein	5	5	1.35763e+07	1.39887e+07	1.61377e+07	1.51548e+07	1.44204e+07	1.62142e+07
P0AFM6	PSPA_ECOLI	pspA	Phage shock protein A	6	6	1.42226e+07	1.4525e+07	1.4692e+07	1.44616e+07	1.44602e+07	1.51584e+07
P0AFM9	PSPB_ECOLI	pspB	Phage shock protein B	2	2	2.15396e+06	2.74344e+06	2.86655e+06	2.84415e+06	3.00654e+06	2.70758e+06
P0AFN2	PSPC_ECOLI	pspC	Phage shock protein C	2	2		2.8512e+06	3.08134e+06	3.16129e+06	2.50885e+06	
P0AFP4	YBBO_ECOLI	ybbO	Uncharacterized oxidoreductase YbbO	4	4	4.57458e+06	4.34206e+06	4.11586e+06	4.80161e+06	4.52748e+06	4.33123e+06
P0AFP6	YBGI_ECOLI	ybgI	UPF0135 protein YbgI	6	6	4.03824e+07	4.19331e+07	4.20278e+07	4.29324e+07	4.11703e+07	4.23e+07
P0AFP9	YBHR_ECOLI	ybhR	Inner membrane transport permease YbhR	1	1		383305	325231		408490	252268
P0AFQ7	YCFH_ECOLI	ycfH	Uncharacterized deoxyribonuclease YcfH	8	8	2.17661e+07	2.09415e+07	2.24035e+07	2.14388e+07	2.16507e+07	2.2178e+07
P0AFR2	DAUA_ECOLI	dauA	C4-dicarboxylic acid transporter DauA	3	3	5.21115e+06	4.5415e+06	4.6533e+06	4.26634e+06	4.88528e+06	4.67504e+06
P0AFR4	YCIO_ECOLI	yciO	Uncharacterized protein YciO	6	6	2.95516e+07	3.15544e+07	3.0262e+07	3.10009e+07	3.05359e+07	3.16961e+07
P0AFT2	YECS_ECOLI	yecS	Inner membrane amino-acid ABC transporter permease protein YecS	2	2		1.78183e+06		1.34489e+06		1.59706e+06
P0AFT5	YEHT_ECOLI	yehT	Transcriptional regulatory protein YehT	2	2	2.51249e+06	3.01441e+06		2.32279e+06	2.74818e+06	2.49115e+06
P0AFU4	GLRR_ECOLI	glrR	Transcriptional regulatory protein GlrR	3	3	2.45762e+06	2.74835e+06	2.77958e+06	3.02244e+06	2.78966e+06	2.29327e+06
P0AFU8	RISA_ECOLI	ribC	Riboflavin synthase	7	7	6.55145e+07	6.22325e+07	6.41561e+07	6.18524e+07	6.09192e+07	6.34744e+07
P0AFW0	RFAH_ECOLI	rfaH	Transcriptional activator RfaH	2	2	5.31626e+06	5.79836e+06	4.99879e+06	5.98173e+06	7.04386e+06	6.93791e+06
P0AFW4	RNK_ECOLI	rnk	Regulator of nucleoside diphosphate kinase	1	1		580337	778641	709478	794257	627692
P0AFW8	ROF_ECOLI	rof	Protein rof	4	4	2.4971e+07	2.42108e+07	2.30255e+07	2.39631e+07	2.39959e+07	2.39208e+07
P0AFX0	HPF_ECOLI	hpf	Ribosome hibernation promoting factor	4	4	1.02044e+07	6.35623e+06	9.6448e+06	6.32189e+06	8.82379e+06	5.94123e+06
P0AFX7	RSEA_ECOLI	rseA	Sigma-E factor negative regulatory protein	1	1	5.91505e+06	6.04051e+06	5.95257e+06	5.65163e+06	5.04831e+06	5.51302e+06
P0AFX9	RSEB_ECOLI	rseB	Sigma-E factor regulatory protein RseB	7	7	1.13576e+07	1.01833e+07	1.01213e+07	1.05349e+07	1.05918e+07	1.00993e+07
P0AFY8	SEQA_ECOLI	seqA	Negative modulator of initiation of replication	12	12	6.9448e+07	7.84858e+07	8.13294e+07	7.80929e+07	7.74424e+07	7.82572e+07
P0AFZ1	SSEB_ECOLI	sseB	Protein SseB	4	4	1.50223e+07	1.6107e+07	1.69685e+07	1.6918e+07	1.61172e+07	1.69911e+07
P0AFZ3	SSPB_ECOLI	sspB	Stringent starvation protein B	4	4	4.06305e+07	3.94201e+07	3.86639e+07	3.76298e+07	3.87235e+07	4.00465e+07
P0AG00	WZZE_ECOLI	wzzE	Lipopolysaccharide biosynthesis protein WzzE	4	4	1.42472e+07	1.50092e+07	1.41519e+07	1.36355e+07	1.38346e+07	1.47721e+07
P0AG03	UBIX_ECOLI	ubiX	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	2	2				1.41462e+06	1.61317e+06	1.61494e+06
P0AG07	RPE_ECOLI	rpe	Ribulose-phosphate 3-epimerase	7	7	6.435e+07	6.76823e+07	6.5852e+07	6.59562e+07	6.56594e+07	6.68115e+07
P0AG14	SOHB_ECOLI	sohB	Probable protease SohB	4	4	1.43135e+07	1.39384e+07	1.41651e+07	1.32645e+07	1.36511e+07	1.35232e+07
P0AG16	PUR1_ECOLI	purF	Amidophosphoribosyltransferase	10	10	3.47491e+06	2.8627e+06	3.09166e+06	3.20603e+06	3.14657e+06	3.02305e+06
P0AG18	PURE_ECOLI	purE	N5-carboxyaminoimidazole ribonucleotide mutase	3	3	9.94094e+06	8.27847e+06	9.02863e+06	7.94809e+06	8.57148e+06	9.2425e+06
P0AG20	RELA_ECOLI	relA	GTP pyrophosphokinase	14	14	9.79447e+07	9.51126e+07	9.51346e+07	8.84232e+07	9.73427e+07	9.31559e+07
P0AG24	SPOT_ECOLI	spoT	Bifunctional (p)ppGpp synthase/hydrolase SpoT	10	10	1.00487e+07	9.61165e+06	9.74031e+06	9.8271e+06	1.02506e+07	9.72054e+06
P0AG27	YIBN_ECOLI	yibN	Uncharacterized protein YibN	5	5	1.1091e+08	1.06017e+08	1.0428e+08	1.09894e+08	1.02661e+08	1.05187e+08
P0AG30	RHO_ECOLI	rho	Transcription termination factor Rho	29	29	2.18239e+08	2.16622e+08	2.19744e+08	2.15465e+08	2.12418e+08	2.14464e+08
P0AG40	RIBF_ECOLI	ribF	Riboflavin biosynthesis protein RibF	6	6	8.97604e+06	8.52243e+06	8.14553e+06	8.00541e+06	8.32102e+06	8.73688e+06
P0AG44	RL17_ECOLI	rplQ	50S ribosomal protein L17	6	6	1.42455e+09	1.38161e+09	1.40152e+09	1.29626e+09	1.36852e+09	1.31405e+09
P0AG48	RL21_ECOLI	rplU	50S ribosomal protein L21	9	9	4.94262e+08	6.0332e+08	6.10179e+08	5.88044e+08	5.83941e+08	5.67114e+08
P0AG51	RL30_ECOLI	rpmD	50S ribosomal protein L30	7	7	3.99934e+08	4.10959e+08	4.09767e+08	4.29308e+08	4.20648e+08	4.27269e+08
P0AG55	RL6_ECOLI	rplF	50S ribosomal protein L6	11	11	1.1535e+09	1.30165e+09	1.28227e+09	1.27122e+09	1.26911e+09	1.25442e+09
P0AG59	RS14_ECOLI	rpsN	30S ribosomal protein S14	8	8	6.81735e+08	8.54214e+08	8.68781e+08	8.62246e+08	8.74506e+08	8.37932e+08
P0AG63	RS17_ECOLI	rpsQ	30S ribosomal protein S17	3	3	7.2591e+08	1.10514e+09	9.97536e+08	1.1166e+09	1.04961e+09	1.05442e+09
P0AG67	RS1_ECOLI	rpsA	30S ribosomal protein S1	43	43	1.35845e+09	1.49171e+09	1.52918e+09	1.47736e+09	1.48408e+09	1.48065e+09
P0AG71	RMUC_ECOLI	rmuC	DNA recombination protein RmuC	3	3		1.97044e+06	1.81237e+06		1.80956e+06	1.81316e+06
P0AG76	SBCD_ECOLI	sbcD	Nuclease SbcCD subunit D	2	2	427096	422664	405680			
P0AG78	SUBI_ECOLI	sbp	Sulfate-binding protein	3	3	2.46678e+06	2.94316e+06	2.45437e+06	2.67336e+06	2.25631e+06	2.87825e+06
P0AG80	UGPB_ECOLI	ugpB	sn-glycerol-3-phosphate-binding periplasmic protein UgpB	2	2		602432	700311	660889	734205	
P0AG82	PSTS_ECOLI	pstS	Phosphate-binding protein PstS	17	17	1.59556e+07	1.62429e+07	1.61797e+07	1.62433e+07	1.6058e+07	1.64682e+07
P0AG84	YGHA_ECOLI	yghA	Uncharacterized oxidoreductase YghA	4	4		3.81492e+06	4.18848e+06	3.96245e+06	3.75561e+06	3.82929e+06
P0AG86	SECB_ECOLI	secB	Protein-export protein SecB	6	6	3.6468e+08	3.62304e+08	3.64416e+08	3.53377e+08	3.5469e+08	3.65476e+08
P0AG90	SECD_ECOLI	secD	Protein translocase subunit SecD	27	27	2.81932e+07	2.77044e+07	2.79635e+07	2.73844e+07	2.70497e+07	2.78332e+07
P0AG93	SECF_ECOLI	secF	Protein translocase subunit SecF	5	5	5.2563e+06	6.37461e+06	6.19741e+06	7.03747e+06	6.345e+06	5.99687e+06
P0AG96	SECE_ECOLI	secE	Preprotein translocase subunit SecE	3	3	5.0687e+06	4.7461e+06	5.14047e+06	4.39749e+06	4.79446e+06	4.54304e+06
P0AG99	SECG_ECOLI	secG	Protein-export membrane protein SecG	3	3	4.35612e+07	4.17306e+07	4.43246e+07	3.83573e+07	4.45814e+07	4.0836e+07
P0AGA2	SECY_ECOLI	secY	Protein translocase subunit SecY	5	5	2.62693e+07	2.75641e+07	2.859e+07	2.75336e+07	2.55267e+07	2.65849e+07
P0AGB0	SERB_ECOLI	serB	Phosphoserine phosphatase	6	6	9.39034e+06	8.96568e+06	9.19975e+06	8.88736e+06	8.88904e+06	9.08642e+06
P0AGB6	RPOE_ECOLI	rpoE	RNA polymerase sigma-E factor	7	7	1.60068e+07	1.37356e+07	1.34671e+07	1.41234e+07	1.35111e+07	1.39496e+07
P0AGC3	SLT_ECOLI	slt	Soluble lytic murein transglycosylase	12	12	6.95946e+06	6.31804e+06	6.30576e+06	5.99794e+06	6.07592e+06	6.25445e+06
P0AGC7	SMP_ECOLI	smp	Protein smp	1	1	793987	959744	1.05173e+06	1.10156e+06	936699	1.01571e+06
P0AGD1	SODC_ECOLI	sodC	Superoxide dismutase [Cu-Zn]	1	1		4.24364e+06	4.68516e+06	4.3454e+06	4.34455e+06	4.41779e+06
P0AGD3	SODF_ECOLI	sodB	Superoxide dismutase [Fe]	9	9	3.45432e+08	3.17783e+08	3.44495e+08	3.18867e+08	3.42337e+08	3.1521e+08
P0AGD7	SRP54_ECOLI	ffh	Signal recognition particle protein	14	14	3.90651e+07	3.65035e+07	3.79935e+07	3.61202e+07	3.69938e+07	3.67248e+07
P0AGE0	SSB_ECOLI	ssb	Single-stranded DNA-binding protein	9	9	1.80474e+08	1.91342e+08	1.84087e+08	1.889e+08	1.84929e+08	1.922e+08
P0AGE6	YIEF_ECOLI	yieF	Uncharacterized protein YieF	7	7	3.47385e+07	3.39258e+07	3.56535e+07	3.73473e+07	3.72256e+07	3.43273e+07
P0AGE9	SUCD_ECOLI	sucD	Succinyl-CoA ligase [ADP-forming] subunit alpha	11	11	3.84474e+07	3.98148e+07	4.06196e+07	3.8983e+07	4.14676e+07	3.98954e+07
P0AGF2	YGDK_ECOLI	ygdK	Uncharacterized SufE-like protein YgdK	3	3	4.29827e+06	3.93021e+06	4.42917e+06	3.9295e+06	4.82361e+06	4.36214e+06
P0AGG0	THIL_ECOLI	thiL	Thiamine-monophosphate kinase	6	6	8.31637e+06	8.85964e+06	7.63715e+06	8.83853e+06	7.91975e+06	8.55744e+06
P0AGG2	TESB_ECOLI	tesB	Acyl-CoA thioesterase 2	5	5	8.34426e+06	6.83166e+06	7.74411e+06	6.18408e+06	7.14493e+06	6.93453e+06
P0AGG4	THIO2_ECOLI	trxC	Thioredoxin-2	3	3	9.53748e+06	9.8489e+06	9.95041e+06	1.09228e+07	9.04259e+06	9.06802e+06
P0AGG8	TLDD_ECOLI	tldD	Protein TldD	15	15	2.59697e+07	2.58241e+07	2.62852e+07	2.58364e+07	2.62803e+07	2.64483e+07
P0AGI8	TRKA_ECOLI	trkA	Trk system potassium uptake protein TrkA	4	4	1.99637e+06	2.32625e+06	2.1396e+06	2.14104e+06	2.15871e+06	2.46768e+06
P0AGJ2	TRMH_ECOLI	trmH	tRNA (guanosine(18)-2'-O)-methyltransferase	4	4	9.67233e+06	1.03108e+07	1.01094e+07	1.05932e+07	9.638e+06	1.00166e+07
P0AGJ5	YFIF_ECOLI	yfiF	Uncharacterized tRNA/rRNA methyltransferase YfiF	11	11	4.49496e+07	4.65415e+07	4.6709e+07	4.83819e+07	4.69266e+07	4.76208e+07
P0AGJ7	TRML_ECOLI	trmL	tRNA (cytidine(34)-2'-O)-methyltransferase	6	6	1.01905e+07	1.08924e+07	1.03782e+07	1.06971e+07	1.05169e+07	1.06126e+07
P0AGJ9	SYY_ECOLI	tyrS	Tyrosine--tRNA ligase	18	18	9.07914e+07	9.96288e+07	1.00943e+08	1.04341e+08	1.00474e+08	1.02865e+08
P0AGK4	YHBY_ECOLI	yhbY	RNA-binding protein YhbY	2	2	7.64554e+07	6.34162e+07	7.08336e+07	6.51464e+07	7.43749e+07	6.64766e+07
P0AGK8	ISCR_ECOLI	iscR	HTH-type transcriptional regulator IscR	3	3	8.66444e+06	9.69815e+06	9.02882e+06	1.06843e+07	8.67936e+06	1.03803e+07
P0AGL2	TDCF_ECOLI	tdcF	Putative reactive intermediate deaminase TdcF	4	4	2.51198e+08	1.82182e+08	2.14121e+08	1.84387e+08	2.15983e+08	1.94297e+08
P0AGL5	RATA_ECOLI	ratA	Ribosome association toxin RatA	2	2	1.47504e+06	1.1851e+06	1.5811e+06	755749	1.01969e+06	1.3561e+06
P0AGL7	RSME_ECOLI	rsmE	Ribosomal RNA small subunit methyltransferase E	6	6	1.79337e+07	1.61453e+07	1.59809e+07	1.55259e+07	1.63489e+07	1.59722e+07
P0AGM5	SIRB1_ECOLI	sirB1	Protein sirB1	1	1	2.72728e+06	2.29453e+06	2.23734e+06	2.4504e+06	2.07028e+06	1.90676e+06
P0C018	RL18_ECOLI	rplR	50S ribosomal protein L18	5	5	2.94336e+08	3.37583e+08	3.40137e+08	3.42661e+08	3.2605e+08	3.50114e+08
P0C037	YAIE_ECOLI	yaiE	UPF0345 protein YaiE	2	2	3.76251e+07	4.53565e+07	4.36241e+07	4.24188e+07	4.37246e+07	4.44261e+07
P0C054	IBPA_ECOLI	ibpA	Small heat shock protein IbpA	6	6	2.01029e+07	1.91933e+07	1.97698e+07	1.95432e+07	1.93801e+07	1.8788e+07
P0C058	IBPB_ECOLI	ibpB	Small heat shock protein IbpB	2	2	891581	757340	897876	646458	668294	729847
P0C066	MLTC_ECOLI	mltC	Membrane-bound lytic murein transglycosylase C	1	1			1.16922e+06	961726	1.08789e+06	
P0C093	SLMA_ECOLI	slmA	Nucleoid occlusion factor SlmA	5	5	1.7289e+07	1.56314e+07	1.57067e+07	1.50069e+07	1.59847e+07	1.47972e+07
P0C0K3	RDOA_ECOLI	rdoA	Protein RdoA	9	9	3.76544e+06	3.91482e+06	4.18737e+06	3.89357e+06	4.18404e+06	4.08107e+06
P0C0L2	OSMC_ECOLI	osmC	Peroxiredoxin OsmC	6	6	2.22137e+07	2.21159e+07	2.25631e+07	2.21899e+07	2.30704e+07	2.29366e+07
P0C0L7	PROP_ECOLI	proP	Proline/betaine transporter	8	8	8.74808e+06	8.25116e+06	9.04131e+06	8.319e+06	9.17144e+06	8.58938e+06
P0C0L9	ISCX_ECOLI	iscX	Protein IscX	1	1	2.3243e+07	2.18385e+07	2.13336e+07	2.23109e+07	1.98762e+07	2.17034e+07
P0C0R7	RLME_ECOLI	rlmE	Ribosomal RNA large subunit methyltransferase E	3	3	2.3874e+07	2.13979e+07	2.15031e+07	2.21131e+07	2.12412e+07	2.1995e+07
P0C0S1	MSCS_ECOLI	mscS	Small-conductance mechanosensitive channel	6	6	4.24314e+07	3.65117e+07	4.2496e+07	3.85192e+07	4.18565e+07	3.90582e+07
P0C0T5	MEPA_ECOLI	mepA	Penicillin-insensitive murein endopeptidase	2	2	3.91473e+06	2.9139e+06	3.49366e+06	3.67477e+06	3.23691e+06	3.15432e+06
P0C0U4	RIMK_ECOLI	rimK	Ribosomal protein S6 modification protein	1	1		266529	327023	291092	237973	283403
P0C0V0	DEGP_ECOLI	degP	Periplasmic serine endoprotease DegP	15	15	7.96471e+07	7.51473e+07	7.38894e+07	7.16897e+07	7.18745e+07	7.65219e+07
P0C960	EMTA_ECOLI	emtA	Endo-type membrane-bound lytic murein transglycosylase A	1	1		314040	411532	379738	355625	442088
P0CB39	EPTC_ECOLI	eptC	Phosphoethanolamine transferase EptC	8	8	1.03153e+07	1.04025e+07	1.00314e+07	9.69323e+06	1.04689e+07	1.08805e+07
P0CE47;P0CE48	EFTU1_ECOLI;EFTU2_ECOLI	tufA;tufB	Elongation factor Tu 1	29	0	6.14924e+09	6.86131e+09	6.96524e+09	6.82946e+09	6.69011e+09	7.04865e+09
P0CG19	RNPH_ECOLI	rph	Inactive ribonuclease PH	3	3	1.98975e+07	2.15922e+07	2.15723e+07	2.01695e+07	2.1166e+07	2.11597e+07
P0CK95	ACFD_ECOLI	yghJ	Putative lipoprotein AcfD homolog	30	30	2.13182e+07	2.1551e+07	2.13143e+07	2.16983e+07	2.1707e+07	2.09528e+07
