Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P0A9Q5	ACCD_ECOLI	accD	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	16	16	1.29219e+08	1.21963e+08	1.2025e+08	1.19419e+08	1.20804e+08	1.21775e+08
P0A9Q7	ADHE_ECOLI	adhE	Aldehyde-alcohol dehydrogenase	53	53	7.78287e+08	8.82091e+08	8.98445e+08	8.83205e+08	8.84621e+08	8.73351e+08
P0A9Q9	DHAS_ECOLI	asd	Aspartate-semialdehyde dehydrogenase	13	13	9.41483e+07	9.47001e+07	9.92702e+07	9.76319e+07	9.84054e+07	9.59949e+07
P0A9R4	FER_ECOLI	fdx	2Fe-2S ferredoxin	3	3	6.52658e+07	6.90156e+07	6.7511e+07	6.70217e+07	7.0442e+07	6.82895e+07
P0A9R7	FTSE_ECOLI	ftsE	Cell division ATP-binding protein FtsE	7	7	1.16852e+07	1.06214e+07	1.05252e+07	1.04906e+07	1.03489e+07	1.06327e+07
P0A9S1	FUCO_ECOLI	fucO	Lactaldehyde reductase	3	3	1.99288e+06	1.56169e+06	1.8764e+06	1.86477e+06	1.77451e+06	1.84095e+06
P0A9S5	GLDA_ECOLI	gldA	Glycerol dehydrogenase	8	8	9.05912e+07	8.89285e+07	9.75688e+07	8.86954e+07	9.26957e+07	8.88685e+07
P0A9T0	SERA_ECOLI	serA	D-3-phosphoglycerate dehydrogenase	12	12	4.21728e+07	4.27382e+07	4.33269e+07	4.33675e+07	4.25905e+07	4.34587e+07
P0A9T4	TAS_ECOLI	tas	Protein tas	9	9	3.88034e+07	4.01053e+07	3.94498e+07	3.96274e+07	3.96303e+07	4.02579e+07
P0A9T6	YBAQ_ECOLI	ybaQ	Uncharacterized HTH-type transcriptional regulator YbaQ	6	6	5.61576e+06	5.71805e+06	5.38527e+06	5.16108e+06	4.74186e+06	6.23315e+06
P0A9T8	YBBA_ECOLI	ybbA	Uncharacterized ABC transporter ATP-binding protein YbbA	3	3	2.11307e+06	1.50902e+06	1.68746e+06	1.81821e+06	1.78396e+06	1.6089e+06
P0A9U1	YBHF_ECOLI	ybhF	Uncharacterized ABC transporter ATP-binding protein YbhF	3	3	3.23691e+06	3.30858e+06	3.3486e+06	3.68909e+06	3.35949e+06	2.91428e+06
P0A9U3	YBIT_ECOLI	ybiT	Uncharacterized ABC transporter ATP-binding protein YbiT	21	21	3.5944e+07	3.36212e+07	3.34817e+07	3.38868e+07	3.37593e+07	3.34398e+07
P0A9V1	LPTB_ECOLI	lptB	Lipopolysaccharide export system ATP-binding protein LptB	11	11	2.65581e+07	2.52615e+07	2.63432e+07	2.63433e+07	2.74029e+07	2.67876e+07
