Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0AG67	RS1_ECOLI	rpsA	30S ribosomal protein S1	42	42	1.64199e+09	1.56628e+09	1.59469e+09	1.546e+09	1.54972e+09	1.6665e+09
P0AG71	RMUC_ECOLI	rmuC	DNA recombination protein RmuC	3	3		3.30444e+06	3.20112e+06	3.61134e+06	3.51934e+06	
P0AG76	SBCD_ECOLI	sbcD	Nuclease SbcCD subunit D	2	2		1.6476e+06	1.8415e+06			
P0AG78	SUBI_ECOLI	sbp	Sulfate-binding protein	3	3	2.1327e+06	2.25952e+06	2.41655e+06	2.34096e+06	2.32039e+06	2.27005e+06
P0AG80	UGPB_ECOLI	ugpB	sn-glycerol-3-phosphate-binding periplasmic protein UgpB	2	2	883123	959687	846760			841860
P0AG82	PSTS_ECOLI	pstS	Phosphate-binding protein PstS	17	17	1.70205e+07	1.63418e+07	1.69415e+07	1.65313e+07	1.66272e+07	1.75091e+07
P0AG84	YGHA_ECOLI	yghA	Uncharacterized oxidoreductase YghA	6	6	1.75353e+06	2.53713e+06	2.43038e+06	2.31192e+06	2.23369e+06	2.24865e+06
P0AG86	SECB_ECOLI	secB	Protein-export protein SecB	5	5	3.65716e+08	3.55895e+08	3.30915e+08	3.52709e+08	3.15714e+08	3.60181e+08
P0AG90	SECD_ECOLI	secD	Protein translocase subunit SecD	27	27	2.76493e+07	2.65997e+07	2.70485e+07	2.69141e+07	2.66237e+07	2.77194e+07
P0AG93	SECF_ECOLI	secF	Protein translocase subunit SecF	4	4	6.14597e+06	5.82932e+06	5.80519e+06	5.8314e+06	5.68641e+06	6.32863e+06
P0AG96	SECE_ECOLI	secE	Preprotein translocase subunit SecE	4	4	5.22186e+06	4.24921e+06	5.1509e+06	4.40448e+06	4.45302e+06	5.7789e+06
P0AG99	SECG_ECOLI	secG	Protein-export membrane protein SecG	3	3	4.5708e+07	4.64848e+07	4.45003e+07	4.44152e+07	4.50435e+07	4.4091e+07
P0AGA2	SECY_ECOLI	secY	Protein translocase subunit SecY	5	5	2.92884e+07	2.80468e+07	2.87279e+07	2.78911e+07	2.83813e+07	2.84243e+07
P0AGB0	SERB_ECOLI	serB	Phosphoserine phosphatase	6	6	9.01751e+06	8.86034e+06	8.30365e+06	9.04742e+06	8.89192e+06	8.95538e+06
P0AGB6	RPOE_ECOLI	rpoE	RNA polymerase sigma-E factor	8	8	1.53009e+07	1.45456e+07	1.541e+07	1.49188e+07	1.47741e+07	1.61319e+07
P0AGC3	SLT_ECOLI	slt	Soluble lytic murein transglycosylase	14	14	5.59681e+06	5.93506e+06	6.01068e+06	6.00203e+06	6.14502e+06	5.91308e+06
P0AGC7	SMP_ECOLI	smp	Protein smp	1	1	721748	785589	816337	761778	809472	743131
P0AGD1	SODC_ECOLI	sodC	Superoxide dismutase [Cu-Zn]	1	1	5.08978e+06	5.04624e+06	5.24364e+06	4.43351e+06	4.91637e+06	5.0247e+06
P0AGD3	SODF_ECOLI	sodB	Superoxide dismutase [Fe]	9	9	3.42624e+08	3.45254e+08	3.28663e+08	3.26846e+08	3.31917e+08	3.48381e+08
P0AGD7	SRP54_ECOLI	ffh	Signal recognition particle protein	15	15	3.85858e+07	3.58179e+07	3.84824e+07	3.61418e+07	3.65267e+07	3.90524e+07
P0AGE0	SSB_ECOLI	ssb	Single-stranded DNA-binding protein	8	8	2.01459e+08	1.98732e+08	2.01539e+08	1.94725e+08	1.96102e+08	2.03723e+08
P0AGE6	YIEF_ECOLI	yieF	Uncharacterized protein YieF	7	7	3.44495e+07	3.67496e+07	3.63459e+07	3.7649e+07	3.82483e+07	3.49809e+07
P0AGE9	SUCD_ECOLI	sucD	Succinyl-CoA ligase [ADP-forming] subunit alpha	11	11	4.41114e+07	4.20016e+07	4.25487e+07	4.23348e+07	4.15476e+07	4.28533e+07
P0AGF2	YGDK_ECOLI	ygdK	Uncharacterized SufE-like protein YgdK	4	4	2.6632e+07	2.76876e+07	2.78793e+07	2.85988e+07	2.81257e+07	2.40477e+07
P0AGG0	THIL_ECOLI	thiL	Thiamine-monophosphate kinase	6	6	8.75032e+06	8.05681e+06	8.99896e+06	8.56056e+06	8.53189e+06	9.25467e+06
P0AGG2	TESB_ECOLI	tesB	Acyl-CoA thioesterase 2	5	5	7.46413e+06	7.73688e+06	7.52162e+06	5.92759e+06	7.84664e+06	7.41715e+06
P0AGG4	THIO2_ECOLI	trxC	Thioredoxin-2	3	3	8.92631e+06	8.95247e+06	8.45422e+06	9.21308e+06	9.39487e+06	8.95803e+06
P0AGG8	TLDD_ECOLI	tldD	Protein TldD	16	16	2.52863e+07	2.3251e+07	2.56556e+07	2.33016e+07	2.28232e+07	2.60011e+07
P0AGI8	TRKA_ECOLI	trkA	Trk system potassium uptake protein TrkA	4	4	3.69934e+06	3.28989e+06	3.87436e+06	3.55152e+06	3.52689e+06	3.50804e+06
