Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML
P0A9L3	P0A9L3		fklB		2.06061e+07	2.00736e+07	2.05057e+07	2.05068e+07	2.01953e+07	2.0598e+07
P0A9L5	P0A9L5		ppiC		2.62316e+06	2.70985e+06	2.58997e+06	2.61568e+06	2.62221e+06	2.47081e+06
P0A9L8	P0A9L8		proC		3.38149e+06	3.19148e+06	3.16478e+06	3.47882e+06	3.05214e+06	3.21051e+06
P0A9M0	P0A9M0		lon		9.44589e+06	9.3183e+06	9.60854e+06	9.27322e+06	9.40036e+06	9.57137e+06
P0A9M2	P0A9M2		hpt		6.15368e+06	6.09417e+06	6.19662e+06	6.21489e+06	6.01632e+06	6.41879e+06
P0A9M5	P0A9M5		gpt		8.18173e+07	8.02485e+07	8.40398e+07	8.22379e+07	8.38574e+07	8.3491e+07
P0A9M8	P0A9M8		pta		4.10372e+07	4.03839e+07	4.1263e+07	4.14515e+07	4.14865e+07	4.10052e+07
P0A9N4	P0A9N4		pflA		5.16187e+06	5.26663e+06	5.27389e+06	5.29565e+06	5.41121e+06	5.54484e+06
P0A9N8	P0A9N8		nrdG		488951	436672	462313	450186	328428	408579
P0A9P0	P0A9P0		lpdA		3.38277e+07	3.35523e+07	3.35721e+07	3.3474e+07	3.34651e+07	3.33811e+07
P0A9P4	P0A9P4		trxB		1.06271e+07	1.06409e+07	1.11836e+07	1.07034e+07	1.09387e+07	1.09253e+07
P0A9P6	P0A9P6		deaD		1.01484e+07	1.0204e+07	1.01224e+07	1.00416e+07	1.00734e+07	1.0078e+07
P0A9Q1	P0A9Q1		arcA		2.65263e+07	2.6611e+07	2.62432e+07	2.6037e+07	2.63686e+07	2.71612e+07
P0A9Q5	P0A9Q5		accD		2.39492e+07	2.33831e+07	2.3517e+07	2.28498e+07	2.3257e+07	2.41961e+07
P0A9Q7	P0A9Q7		adhE		1.12378e+08	1.12942e+08	1.086e+08	1.1253e+08	1.08152e+08	1.07414e+08
P0A9Q9	P0A9Q9		asd		2.14449e+07	2.09062e+07	2.05598e+07	2.13706e+07	2.02309e+07	2.02793e+07
P0A9R4	P0A9R4		fdx		8.15798e+06	8.61216e+06	8.96538e+06	8.35702e+06	9.11695e+06	9.34908e+06
P0A9R7	P0A9R7		ftsE		3.80231e+06	4.05398e+06	3.60372e+06	3.8873e+06	3.6334e+06	3.4513e+06
P0A9S1	P0A9S1		fucO		1.27224e+06	1.38672e+06	1.23463e+06	1.2468e+06	1.22123e+06	1.12148e+06
P0A9S5	P0A9S5		gldA		1.61555e+07	1.69498e+07	1.47808e+07	1.59965e+07	1.5117e+07	1.4365e+07
P0A9T0	P0A9T0		serA		7.52462e+06	7.47145e+06	7.56245e+06	7.41183e+06	7.441e+06	7.44273e+06
P0A9T4	P0A9T4		tas		1.01553e+07	9.91457e+06	9.47729e+06	9.65328e+06	9.4552e+06	9.48273e+06
P0A9T6	P0A9T6		ybaQ		868878	1.06918e+06	1.19322e+06	797356	937905	1.08342e+06
