Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
P0ABK5	CYSK_ECOLI	cysK	Cysteine synthase A	24	24	2.11451e+08	2.11316e+08	2.15434e+08	2.10778e+08	2.09204e+08	2.12715e+08
P0ABL5	NAPC_ECOLI	napC	Cytochrome c-type protein NapC	2	2		3.91767e+06	4.3865e+06	3.66051e+06	4.48142e+06	3.88229e+06
P0ABM9	CCMH_ECOLI	ccmH	Cytochrome c-type biogenesis protein CcmH	4	4	3.42289e+06	3.39884e+06	3.37626e+06	3.44824e+06	4.1761e+06	
P0ABN1	KDGL_ECOLI	dgkA	Diacylglycerol kinase	1	1	1.44607e+06	1.27592e+06	1.79142e+06	1.60217e+06	1.30659e+06	1.51643e+06
P0ABN5	DCUA_ECOLI	dcuA	Anaerobic C4-dicarboxylate transporter DcuA	5	5	1.0327e+07	1.0354e+07	1.02462e+07	9.5939e+06	9.83322e+06	1.00069e+07
P0ABN9	DCUB_ECOLI	dcuB	Anaerobic C4-dicarboxylate transporter DcuB	2	2	2.8402e+07	2.91114e+07	3.02328e+07	2.68483e+07	2.65753e+07	2.74692e+07
P0ABP3	DCUC_ECOLI	dcuC	Anaerobic C4-dicarboxylate transporter DcuC	2	2			267441	256524	262611	
P0ABP8	DEOD_ECOLI	deoD	Purine nucleoside phosphorylase DeoD-type	13	13	4.17765e+08	4.12242e+08	4.24412e+08	4.16853e+08	4.17e+08	4.29446e+08
P0ABQ0	COABC_ECOLI	coaBC	Coenzyme A biosynthesis bifunctional protein CoaBC	10	10	7.01188e+06	6.35569e+06	7.3369e+06	6.39474e+06	6.97307e+06	7.0719e+06
P0ABQ2	GARR_ECOLI	garR	2-hydroxy-3-oxopropionate reductase	4	4	5.02053e+06	5.20861e+06	5.13092e+06	5.26474e+06	5.10178e+06	5.36477e+06
P0ABQ4	DYR_ECOLI	folA	Dihydrofolate reductase	6	6	2.86784e+07	2.62973e+07	2.57696e+07	2.95511e+07	2.81717e+07	2.50886e+07
P0ABR1	DINI_ECOLI	dinI	DNA-damage-inducible protein I	1	1		1.74081e+07	1.1876e+07	1.59798e+07	1.36092e+07	
P0ABS1	DKSA_ECOLI	dksA	RNA polymerase-binding transcription factor DksA	4	4	3.72422e+08	3.60629e+08	3.77952e+08	3.88506e+08	3.81594e+08	3.82718e+08
P0ABS5	PRIM_ECOLI	dnaG	DNA primase	6	6	4.57747e+06	4.83962e+06	4.55624e+06	4.07217e+06	4.5286e+06	4.45811e+06
