Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0AFF6	P0AFF6		nusA		1.81604e+07	1.77504e+07	1.79342e+07	1.75422e+07	1.8292e+07	1.76965e+07
P0AFG0	P0AFG0		nusG		1.49236e+07	1.43816e+07	1.5087e+07	1.39554e+07	1.48482e+07	1.39409e+07
P0AFG3	P0AFG3		sucA		8.79269e+06	8.96495e+06	8.98163e+06	9.13081e+06	8.94628e+06	9.43898e+06
P0AFG6	P0AFG6		sucB		9.09903e+06	8.99061e+06	8.9816e+06	8.90273e+06	9.14665e+06	8.77388e+06
P0AFG8	P0AFG8		aceE		1.0778e+08	1.0767e+08	1.08524e+08	1.08307e+08	1.06545e+08	1.08816e+08
P0AFH8	P0AFH8		osmY		2.3827e+07	2.33889e+07	2.46122e+07	2.31495e+07	2.39977e+07	2.40256e+07
P0AFI0	P0AFI0		oxc		1.05882e+06	1.16177e+06	1.15378e+06	954579	1.0418e+06	1.14497e+06
P0AFI2	P0AFI2		parC		3.73503e+06	3.62529e+06	3.5853e+06	3.71183e+06	3.5558e+06	3.6337e+06
P0AFI7	P0AFI7		pdxH		7.02414e+06	7.10105e+06	6.9196e+06	7.04494e+06	6.58137e+06	7.23706e+06
P0AFJ1	P0AFJ1		phnA		1.68608e+06	1.49018e+06	1.71094e+06	1.6147e+06	1.68645e+06	1.50394e+06
P0AFJ7	P0AFJ7		pitA		1.76731e+06	1.72427e+06	1.78527e+06	1.69713e+06	1.90108e+06	1.493e+06
P0AFK0	P0AFK0		pmbA		5.50918e+06	5.32674e+06	5.35085e+06	5.3824e+06	5.6024e+06	5.19832e+06
P0AFK9	P0AFK9		potD		4.75036e+06	5.17584e+06	4.86201e+06	5.15928e+06	4.73845e+06	5.02524e+06
P0AFL3	P0AFL3		ppiA		5.53558e+06	4.84645e+06	5.38478e+06	4.82493e+06	5.46578e+06	5.01968e+06
P0AFL6	P0AFL6		ppx		1.87862e+06	1.75795e+06	1.8671e+06	1.82676e+06	1.76176e+06	1.93932e+06
P0AFM2	P0AFM2		proX		3.22241e+06	3.02628e+06	3.15454e+06	2.91539e+06	3.1347e+06	3.00491e+06
P0AFM6	P0AFM6		pspA		3.82567e+06	3.45616e+06	3.96261e+06	3.62367e+06	3.73514e+06	3.44728e+06
P0AFP4	P0AFP4		ybbO		1.69042e+06	1.42498e+06	1.67645e+06	1.4418e+06	1.66908e+06	1.39664e+06
P0AFP6	P0AFP6		ybgI		9.67732e+06	9.87906e+06	9.89768e+06	9.35737e+06	9.93272e+06	9.44691e+06
P0AFQ7	P0AFQ7		ycfH		5.33453e+06	4.8801e+06	5.25232e+06	4.9885e+06	5.29666e+06	5.23903e+06
P0AFR2	P0AFR2		dauA		1.1188e+06	1.14028e+06	1.14624e+06	1.11349e+06	1.09981e+06	1.11447e+06
P0AFR4	P0AFR4		yciO		5.28429e+06	4.74004e+06	5.36241e+06	4.85043e+06	5.39481e+06	4.87148e+06
P0AFU4	P0AFU4		glrR		3.02251e+06	1.77207e+06	3.11705e+06	1.8948e+06	2.66332e+06	2.01812e+06
P0AFU8	P0AFU8		ribC		8.99971e+06	8.99425e+06	9.01286e+06	8.90519e+06	8.51891e+06	8.68992e+06
P0AFW8	P0AFW8		rof		2.91128e+06	2.52774e+06	3.02143e+06	2.58932e+06	2.85319e+06	2.40104e+06
P0AFX0	P0AFX0		hpf		531227	888092	551845	784545	646722	898548
P0AFX7	P0AFX7		rseA		592769	611261	622294	560192	585446	651867
P0AFX9	P0AFX9		rseB		2.84985e+06	2.89907e+06	2.99786e+06	2.85641e+06	2.95467e+06	3.12686e+06
P0AFY8	P0AFY8		seqA		1.04224e+07	1.00483e+07	1.00785e+07	9.92764e+06	1.02173e+07	9.88272e+06
P0AFZ1	P0AFZ1		sseB		2.3608e+06	2.37027e+06	2.39276e+06	2.31873e+06	2.37162e+06	2.33805e+06
P0AFZ3	P0AFZ3		sspB		9.80635e+06	9.8865e+06	1.02717e+07	9.99566e+06	1.00686e+07	1.0202e+07
P0AG00	P0AG00		wzzE		3.24719e+06	3.05876e+06	3.21894e+06	3.11944e+06	3.19869e+06	2.98085e+06
P0AG07	P0AG07		rpe		1.1796e+07	1.22128e+07	1.20098e+07	1.25877e+07	1.15567e+07	1.23183e+07
P0AG14	P0AG14		sohB		2.05169e+06	2.01581e+06	2.22181e+06	1.72588e+06	2.09408e+06	1.85849e+06
P0AG16	P0AG16		purF		973843	857865	942106	947127	953518	920904
P0AG18	P0AG18		purE		1.28725e+06	1.58174e+06	1.21207e+06	1.49231e+06	1.22652e+06	1.54304e+06
P0AG20	P0AG20		relA		1.71376e+06	1.72478e+06	1.75158e+06	1.72887e+06	1.80922e+06	1.79243e+06
P0AG24	P0AG24		spoT		2.60843e+06	2.64594e+06	2.4579e+06	2.72096e+06	2.53716e+06	2.73243e+06
P0AG27	P0AG27		yibN		1.90339e+07	1.85995e+07	1.85648e+07	1.86849e+07	1.85412e+07	1.86722e+07
P0AG30	P0AG30		rho		2.31875e+07	2.22965e+07	2.27659e+07	2.27412e+07	2.31483e+07	2.1462e+07
P0AG40	P0AG40		ribF		1.72071e+06	1.95915e+06	1.73878e+06	1.8415e+06	1.7888e+06	1.87106e+06
P0AG44	P0AG44		rplQ		1.72924e+08	1.67704e+08	1.7101e+08	1.69863e+08	1.67114e+08	1.72464e+08
P0AG48	P0AG48		rplU		7.73662e+07	7.37367e+07	7.83757e+07	7.05957e+07	7.76235e+07	7.05828e+07
P0AG51	P0AG51		rpmD		9.92398e+07	9.50062e+07	9.25862e+07	9.84445e+07	9.44496e+07	9.1731e+07
P0AG55	P0AG55		rplF		1.06385e+08	1.0148e+08	1.05418e+08	1.03451e+08	1.0511e+08	1.01373e+08
P0AG59	P0AG59		rpsN		2.50656e+07	2.31983e+07	2.54567e+07	2.31962e+07	2.52988e+07	2.24308e+07
P0AG63	P0AG63		rpsQ		2.7168e+08	2.24449e+08	2.63792e+08	2.23583e+08	2.60268e+08	2.29139e+08
P0AG67	P0AG67		rpsA		3.37445e+08	3.08307e+08	3.38996e+08	3.15821e+08	3.39037e+08	3.18151e+08
P0AG78	P0AG78		sbp		811848	697860	831590	623939	861677	716369
P0AG82	P0AG82		pstS		2.26544e+06	2.09374e+06	2.30545e+06	2.11739e+06	2.18325e+06	2.17815e+06
P0AG86	P0AG86		secB		2.26563e+07	2.20006e+07	2.18225e+07	2.1238e+07	2.33231e+07	2.15874e+07
P0AG90	P0AG90		secD		6.8126e+06	6.47194e+06	6.71982e+06	6.5415e+06	6.74232e+06	6.54029e+06
P0AG93	P0AG93		secF		611984	579619	494770	615604	585811	548751
P0AG96	P0AG96		secE		604284	626016	639338	638732	721501	696434
P0AG99	P0AG99		secG		4.90877e+06	5.99923e+06	4.78825e+06	5.90704e+06	5.02219e+06	5.5992e+06
P0AGA2	P0AGA2		secY		3.95104e+06	3.69015e+06	3.92774e+06	3.67187e+06	3.86343e+06	3.7523e+06
P0AGB0	P0AGB0		serB		4.13222e+06	4.4864e+06	4.27131e+06	4.31237e+06	4.45836e+06	4.3366e+06
