Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P0C0V0	P0C0V0		degP		1.48493e+07	1.48035e+07	1.48458e+07	1.47923e+07	1.46776e+07	1.36621e+07
P0C960	P0C960		emtA		180713	106085	102520	151532	201019	190307
P0CB39	P0CB39		eptC		2.50454e+06	2.461e+06	2.4726e+06	2.61941e+06	2.33663e+06	2.38203e+06
P0CE47	P0CE47		tufA		1.38848e+09	1.35473e+09	1.34081e+09	1.39892e+09	1.39466e+09	1.18949e+09
P0CG19	P0CG19		rph		9.65575e+06	1.00268e+07	9.79867e+06	9.49022e+06	9.87371e+06	9.30998e+06
P0CK95	P0CK95		yghJ		5.31533e+06	5.48668e+06	5.57735e+06	5.29004e+06	5.49792e+06	5.16616e+06
P10100	P10100		rlpA		3.6953e+06	3.70706e+06	3.6397e+06	3.57305e+06	3.58556e+06	3.34315e+06
P10121	P10121		ftsY		7.05179e+06	7.13138e+06	7.04932e+06	7.09697e+06	7.06945e+06	7.08408e+06
P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)	P10145ups|IL8_HUMAN_UPS Interleukin-8, IL-8 (Chain 28-99) - Homo sapiens (Human)				586073	968853	1.0724e+06	533833	599833	881228
P10346	P10346		glnQ		2.63684e+06	2.49592e+06	2.2932e+06	2.57057e+06	2.53836e+06	1.87491e+06
P10371	P10371		hisA		3.10657e+06	3.14845e+06	3.11302e+06	3.11737e+06	3.23077e+06	2.8385e+06
P10378	P10378		entE		342311	475735	548363	332876	368446	583024
P10384	P10384		fadL		1.4165e+07	1.54476e+07	1.49218e+07	1.43476e+07	1.42317e+07	1.43628e+07
P10408	P10408		secA		7.67844e+06	7.55944e+06	7.67902e+06	7.74435e+06	7.44461e+06	7.66096e+06
P10441	P10441		lpxB		1.31951e+06	1.2129e+06	1.20479e+06	1.2676e+06	1.36022e+06	1.45792e+06
P10442	P10442		rnhB		469412	515544	470433	599888	524639	444878
P10443	P10443		dnaE		1.97313e+06	1.81397e+06	1.99683e+06	1.91294e+06	1.99712e+06	2.10884e+06
P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)	P10636-8ups|TAU_HUMAN_UPS Microtubule-associated protein tau {Isoform Tau-F (Tau-4)} (Chain 2-441) - Homo sapiens (Human)				1.47998e+06	2.65209e+06	2.5562e+06	1.45686e+06	1.50792e+06	2.50912e+06
P10903	P10903		narK		2.53929e+06	2.4593e+06	2.34247e+06	2.62004e+06	2.28105e+06	2.31108e+06
P10908	P10908		ugpQ		687504	647730	693162	763135	736510	679722
P11289	P11289		yfiL		782944	625229	675550	676625	663678	418839
P11349	P11349		narH		3.60944e+06	3.66522e+06	3.69165e+06	3.61088e+06	3.49167e+06	3.61265e+06
P11447	P11447		argH		2.442e+06	2.81775e+06	2.8923e+06	2.40682e+06	2.48331e+06	2.64028e+06
P11557	P11557		damX		8.74465e+06	8.84538e+06	8.72733e+06	8.49389e+06	8.65625e+06	8.89245e+06
P11868	P11868		tdcD		507226	542051	476672	498999	661221	400490
P11875	P11875		argS		1.41695e+07	1.3964e+07	1.41541e+07	1.40444e+07	1.35634e+07	1.37141e+07
P11880	P11880		murF		4.34268e+06	4.04706e+06	3.82405e+06	4.22236e+06	4.21045e+06	3.61095e+06
P11988	P11988		bglB		1.43232e+06	1.9068e+06	1.87211e+06	1.23901e+06	1.55987e+06	1.74558e+06
P12008	P12008		aroC		3.64212e+06	3.57633e+06	3.62929e+06	3.78364e+06	3.83188e+06	3.63074e+06
P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)	P12081ups|SYHC_HUMAN_UPS Histidyl-tRNA synthetase, cytoplasmic (Chain 1-509, C terminal His tag) - Homo sapiens (Human)				2.70424e+06	5.26078e+06	5.23533e+06	2.69074e+06	2.71649e+06	4.95143e+06
P12281	P12281		moeA		6.13458e+06	6.17493e+06	6.23717e+06	6.34087e+06	6.36734e+06	5.53631e+06
P12282	P12282		moeB		7.74193e+06	7.3678e+06	7.69632e+06	7.72559e+06	7.48001e+06	6.7195e+06
P12295	P12295		ung		2.03912e+06	2.19986e+06	2.2064e+06	2.18882e+06	2.06091e+06	1.81325e+06
P12758	P12758		udp		2.75603e+07	2.75923e+07	2.74831e+07	2.84848e+07	2.83164e+07	2.70923e+07
P12994	P12994		ybhB		1.44137e+06	1.26796e+06	1.36452e+06	1.52048e+06	1.40199e+06	1.1876e+06
P13001	P13001		bioH		1.3585e+06	1.63592e+06	1.41608e+06	1.46475e+06	1.24383e+06	1.4497e+06
P13009	P13009		metH		2.23897e+06	2.17466e+06	2.24653e+06	2.27737e+06	2.24811e+06	2.1477e+06
P13016	P13016		ampD		1.79604e+06	1.88773e+06	1.85654e+06	1.82559e+06	1.73876e+06	1.54489e+06
P13024	P13024		fdhE		4.38111e+06	4.16681e+06	4.38652e+06	4.35814e+06	4.3168e+06	4.00722e+06
P13029	P13029		katG		4.10342e+07	4.21204e+07	4.19313e+07	4.03118e+07	4.07762e+07	3.95612e+07
P13033	P13033		glpB		1.1433e+06	1.23982e+06	1.28089e+06	1.14204e+06	1.11521e+06	1.34158e+06
P13035	P13035		glpD		4.64915e+06	4.9375e+06	4.78682e+06	4.63231e+06	4.61777e+06	4.85739e+06
P13445	P13445		rpoS		5.65655e+06	5.40856e+06	5.30833e+06	5.22108e+06	5.29753e+06	5.68894e+06
P13458	P13458		sbcC		303221	181886	304409	270699	228912	228600
P13979	P13979		traT		4.67693e+06	4.92773e+06	4.85459e+06	4.77856e+06	4.77048e+06	4.39743e+06
P14081	P14081		selB		4.26716e+06	3.77638e+06	3.89708e+06	4.03868e+06	4.29178e+06	4.13741e+06
P14175	P14175		proV		1.32876e+06	1.30285e+06	1.20109e+06	1.38789e+06	1.14431e+06	1.45322e+06
P14294	P14294		topB		325962	221685	326156	271023	364067	341136
P14375	P14375		zraR		1.73073e+06	1.85914e+06	1.65189e+06	1.71872e+06	1.88892e+06	1.53186e+06
P14407	P14407		fumB		1.60484e+07	1.63659e+07	1.6672e+07	1.62039e+07	1.58114e+07	1.61845e+07
P14900	P14900		murD		4.45131e+06	4.06113e+06	4.28596e+06	4.34696e+06	4.21932e+06	4.18276e+06
P15005	P15005		mcrB		936376	975685	1.00598e+06	931412	956818	990885
P15034	P15034		pepP		4.7847e+06	4.83485e+06	4.72956e+06	4.76179e+06	4.84305e+06	4.81038e+06
P15038	P15038		helD		472932	510630	447980	393309	392167	368732
P15042	P15042		ligA		8.52325e+06	8.25686e+06	8.42814e+06	8.4597e+06	8.47428e+06	7.76125e+06
P15043	P15043		recQ		708664	806453	829021	695238	680745	756532
P15047	P15047		entA		837032	723235	767845	873805	886808	898927
P15067	P15067		glgX		1.93974e+06	2.0187e+06	1.86428e+06	1.96836e+06	1.93916e+06	1.52656e+06
P15070	P15070		fliN		5.24257e+06	4.77621e+06	4.80044e+06	5.35188e+06	4.91212e+06	4.83262e+06
P15082	P15082		srlR		898788	981191	998804	982700	1.08118e+06	738835
P15254	P15254		purL		2.82714e+06	2.62939e+06	2.7515e+06	2.86048e+06	2.85041e+06	2.69268e+06
P15286	P15286		flk		558424	458954	633770	636682	597228	380270
P15288	P15288		pepD		1.98437e+07	2.00737e+07	1.99142e+07	1.9765e+07	1.94828e+07	1.95663e+07
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				2.00136e+06	3.44693e+06	3.43432e+06	1.93279e+06	1.86575e+06	3.78922e+06
P15639	P15639		purH		5.90139e+06	5.82576e+06	5.8872e+06	6.06093e+06	6.06615e+06	5.77691e+06
P15640	P15640		purD		2.87107e+06	2.85627e+06	2.86859e+06	2.82744e+06	2.77552e+06	2.86953e+06
P15770	P15770		aroE		4.85966e+06	5.27507e+06	5.14919e+06	5.02789e+06	4.78446e+06	4.99902e+06
P15877	P15877		gcd		464922	516512	621768	439097	361666	496556
P15977	P15977		malQ		2.96171e+06	2.82864e+06	2.92875e+06	2.88776e+06	3.05666e+06	3.17027e+06
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)				2.3578e+06	4.11366e+06	3.99841e+06	2.32156e+06	2.39569e+06	3.94373e+06
P16095	P16095		sdaA		1.95759e+06	1.95265e+06	2.07847e+06	1.87372e+06	1.91823e+06	1.99068e+06
P16384	P16384		miaA		2.25405e+06	2.37694e+06	2.21639e+06	2.24348e+06	2.3275e+06	2.20874e+06
P16431	P16431		hycE		3.41593e+06	3.2624e+06	3.32378e+06	3.42394e+06	3.41515e+06	3.20924e+06
P16433	P16433		hycG		4.26605e+06	4.12153e+06	4.49513e+06	4.04091e+06	4.31659e+06	4.44039e+06
P16456	P16456		selD		5.58286e+06	5.32058e+06	5.34381e+06	5.52701e+06	5.57787e+06	5.32102e+06
P16528	P16528		iclR		1.85864e+06	1.88926e+06	1.91803e+06	1.75349e+06	2.0176e+06	1.79038e+06
P16659	P16659		proS		1.10144e+07	1.10247e+07	1.09821e+07	1.09864e+07	1.0994e+07	1.0364e+07
P16676	P16676		cysA		783636	807507	825141	905512	771324	821255
P16700	P16700		cysP		7.05338e+06	7.08837e+06	7.18006e+06	6.99801e+06	7.0325e+06	6.59769e+06
P16703	P16703		cysM		3.49528e+06	3.45003e+06	3.44429e+06	3.47327e+06	3.47005e+06	3.69034e+06
P16869	P16869		fhuE		112950	42276.8	96269.2	67349.6	86581.7	101372
P16919	P16919		rhsD		1.53682e+06	1.33235e+06	1.47696e+06	1.56037e+06	1.58543e+06	
P16926	P16926		mreC		1.65973e+06	1.46988e+06	1.55213e+06	1.62915e+06	1.65197e+06	1.46456e+06
P17109	P17109		menD		1.62395e+06	1.66425e+06	1.64853e+06	1.64374e+06	1.5935e+06	1.57975e+06
P17115	P17115		gutQ		2.04861e+06	2.06181e+06	2.24083e+06	2.06148e+06	1.98865e+06	2.01646e+06
P17117	P17117		nfsA		4.2695e+06	4.44132e+06	4.38944e+06	4.32546e+06	4.30081e+06	4.41559e+06
P17169	P17169		glmS		3.93112e+07	3.89899e+07	3.8561e+07	3.94753e+07	3.94172e+07	3.52723e+07
P17315	P17315		cirA		2.27907e+06	2.36277e+06	2.38908e+06	2.30819e+06	2.42233e+06	2.31564e+06
P17443	P17443		murG		3.18458e+06	3.01499e+06	2.96725e+06	3.09452e+06	3.18999e+06	3.10928e+06
P17445	P17445		betB		714211	720534	767691	840607	633923	832364
P17846	P17846		cysI		5.78102e+06	5.95234e+06	5.82929e+06	5.72711e+06	5.58983e+06	5.38664e+06
P17854	P17854		cysH		6.89586e+06	7.03482e+06	6.86196e+06	6.73653e+06	6.72897e+06	6.82025e+06
P17952	P17952		murC		3.71905e+06	3.61327e+06	3.78093e+06	3.73701e+06	3.79571e+06	3.57175e+06
P17993	P17993		ubiG		3.86853e+06	3.91359e+06	3.92065e+06	3.97376e+06	3.90413e+06	3.61055e+06
P18133	P18133		pncB		1.98523e+06	2.08212e+06	2.08891e+06	1.95306e+06	1.95376e+06	2.11798e+06
P18196	P18196		minC		2.65274e+06	2.62735e+06	2.52094e+06	2.68753e+06	2.61391e+06	2.34817e+06
