Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0A7F9	QUEA_ECOLI	queA	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	6	6	1.59335e+07	1.76684e+07	1.49715e+07	1.56304e+07	1.81178e+07	1.5322e+07
P0A7G2	RBFA_ECOLI	rbfA	Ribosome-binding factor A	7	7	9.1261e+07	9.3611e+07	8.96129e+07	9.10001e+07	8.93097e+07	9.34933e+07
P0A7G6	RECA_ECOLI	recA	Protein RecA	12	12	7.22716e+07	7.47758e+07	7.42659e+07	7.21132e+07	7.40389e+07	7.4927e+07
P0A7I0	RF1_ECOLI	prfA	Peptide chain release factor 1	9	9	1.85532e+07	1.96921e+07	1.80987e+07	2.01496e+07	1.9641e+07	1.93889e+07
P0A7I4	RF3_ECOLI	prfC	Peptide chain release factor 3	19	19	3.52968e+07	3.8882e+07	3.57459e+07	3.87132e+07	3.79573e+07	3.72557e+07
P0A7I7	RIBA_ECOLI	ribA	GTP cyclohydrolase-2	7	7	3.36098e+07	3.4663e+07	3.48341e+07	3.62261e+07	3.27982e+07	3.49272e+07
P0A7J0	RIBB_ECOLI	ribB	3,4-dihydroxy-2-butanone 4-phosphate synthase	5	5	6.18483e+07	7.6272e+07	6.99442e+07	7.50421e+07	7.85439e+07	7.37996e+07
P0A7J3	RL10_ECOLI	rplJ	50S ribosomal protein L10	10	10	2.08413e+09	2.21642e+09	1.99634e+09	2.19475e+09	2.25001e+09	2.02012e+09
P0A7J7	RL11_ECOLI	rplK	50S ribosomal protein L11	9	9	8.83574e+08	9.04943e+08	8.37873e+08	9.01141e+08	8.963e+08	8.80178e+08
P0A7K2	RL7_ECOLI	rplL	50S ribosomal protein L7/L12	13	13	2.49361e+09	2.52503e+09	2.47573e+09	2.63248e+09	2.51257e+09	2.44865e+09
P0A7K6	RL19_ECOLI	rplS	50S ribosomal protein L19	11	11	6.192e+08	5.64303e+08	6.35239e+08	5.82264e+08	5.94481e+08	6.42583e+08
P0A7L0	RL1_ECOLI	rplA	50S ribosomal protein L1	15	15	1.56575e+09	1.51313e+09	1.52403e+09	1.52497e+09	1.50492e+09	1.51745e+09
P0A7L3	RL20_ECOLI	rplT	50S ribosomal protein L20	7	7	6.20456e+08	6.07173e+08	6.46333e+08	5.84016e+08	6.07346e+08	6.62265e+08
P0A7L8	RL27_ECOLI	rpmA	50S ribosomal protein L27	5	5	7.38772e+08	6.6285e+08	7.21967e+08	6.69442e+08	6.47955e+08	7.30822e+08
P0A7M2	RL28_ECOLI	rpmB	50S ribosomal protein L28	6	6	8.16224e+08	8.50724e+08	8.37643e+08	8.58428e+08	8.92177e+08	8.90848e+08
P0A7M6	RL29_ECOLI	rpmC	50S ribosomal protein L29	5	5	3.06318e+08	3.33187e+08	2.77421e+08	3.5788e+08	3.2429e+08	2.96647e+08
P0A7M9	RL31_ECOLI	rpmE	50S ribosomal protein L31	2	2	1.0401e+08	1.02137e+08	1.09137e+08	1.08785e+08	1.11428e+08	1.0394e+08
P0A7N4	RL32_ECOLI	rpmF	50S ribosomal protein L32	4	4	4.46672e+08	4.05281e+08	4.31354e+08	4.21579e+08	4.08617e+08	4.33412e+08
P0A7N9	RL33_ECOLI	rpmG	50S ribosomal protein L33	3	3	5.20735e+08	4.32862e+08	4.86406e+08	4.66815e+08	4.80691e+08	4.96689e+08
P0A7P5	RL34_ECOLI	rpmH	50S ribosomal protein L34	2	2	1.08529e+08	9.27767e+07	1.02337e+08	9.6787e+07	1.05033e+08	9.49542e+07
P0A7R1	RL9_ECOLI	rplI	50S ribosomal protein L9	19	19	1.51709e+09	1.4405e+09	1.51742e+09	1.47846e+09	1.50369e+09	1.50797e+09
P0A7R5	RS10_ECOLI	rpsJ	30S ribosomal protein S10	12	12	1.36955e+09	1.26553e+09	1.39419e+09	1.3084e+09	1.31438e+09	1.33945e+09
P0A7R9	RS11_ECOLI	rpsK	30S ribosomal protein S11	7	7	4.6625e+08	5.09653e+08	4.71065e+08	4.99174e+08	4.87745e+08	4.72942e+08
P0A7S3	RS12_ECOLI	rpsL	30S ribosomal protein S12	3	3	4.29557e+08	3.37296e+08	4.69426e+08	3.22751e+08	3.24555e+08	4.78977e+08
P0A7S9	RS13_ECOLI	rpsM	30S ribosomal protein S13	12	12	4.65269e+08	4.82784e+08	4.70544e+08	4.83044e+08	4.91262e+08	4.69932e+08
