Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P0ACB2	P0ACB2		hemB		7.48787e+06	7.46091e+06	7.71517e+06	7.37448e+06	7.78908e+06	7.93057e+06
P0ACB4	P0ACB4		hemG		2.4031e+06	2.47727e+06	2.48553e+06	2.49315e+06	2.44535e+06	2.18217e+06
P0ACB7	P0ACB7		hemY		5.55443e+06	5.32046e+06	5.37758e+06	5.636e+06	5.60043e+06	5.52898e+06
P0ACC3	P0ACC3		erpA		7.61933e+06	7.21874e+06	7.23154e+06	7.62953e+06	7.85416e+06	7.6236e+06
P0ACC7	P0ACC7		glmU		1.48546e+07	1.45452e+07	1.47881e+07	1.48757e+07	1.45085e+07	1.46169e+07
P0ACD4	P0ACD4		nifU		1.65349e+07	1.66567e+07	1.64059e+07	1.70477e+07	1.62634e+07	1.62075e+07
P0ACD8	P0ACD8		hyaB		6.21816e+06	6.23204e+06	6.13779e+06	6.26709e+06	6.23672e+06	6.18335e+06
P0ACE0	P0ACE0		hybC		1.44009e+07	1.5159e+07	1.51138e+07	1.46396e+07	1.47418e+07	1.51362e+07
P0ACE3	P0ACE3		hha		3.22965e+06	3.20363e+06	3.14572e+06	3.13283e+06	3.07218e+06	3.06618e+06
P0ACE7	P0ACE7		hinT		1.23084e+07	1.22452e+07	1.21007e+07	1.22124e+07	1.23069e+07	1.19433e+07
P0ACF0	P0ACF0		hupA		4.96181e+08	5.58135e+08	5.46166e+08	5.05249e+08	4.71086e+08	5.50145e+08
P0ACF4	P0ACF4		hupB		4.15365e+07	3.64533e+07	3.75275e+07	4.10346e+07	3.99885e+07	3.57596e+07
P0ACF8	P0ACF8		hns		5.13877e+07	5.27525e+07	5.42403e+07	4.92998e+07	5.13493e+07	5.49447e+07
P0ACG1	P0ACG1		stpA		1.57549e+07	1.63715e+07	1.5873e+07	1.59875e+07	1.60112e+07	1.57944e+07
P0ACI0	P0ACI0		rob		4.10272e+06	4.24119e+06	4.14747e+06	4.13317e+06	4.06603e+06	4.10973e+06
P0ACI6	P0ACI6		asnC		189292	317125	346900	282282	281583	336608
P0ACJ0	P0ACJ0		lrp		9.35958e+06	9.27596e+06	9.12539e+06	9.63062e+06	9.57868e+06	9.46124e+06
P0ACJ8	P0ACJ8		crp		2.6335e+07	2.47465e+07	2.51581e+07	2.56969e+07	2.53934e+07	2.49153e+07
P0ACK2	P0ACK2		agaR		1.15617e+06	1.09935e+06	1.21506e+06	1.26852e+06	1.17212e+06	1.30139e+06
P0ACL0	P0ACL0		glpR		2.27186e+06	2.12696e+06	2.22265e+06	2.30692e+06	2.31429e+06	2.32432e+06
P0ACL2	P0ACL2		exuR		2.3092e+06	2.45832e+06	2.53384e+06	2.4191e+06	2.33173e+06	2.61674e+06
P0ACL9	P0ACL9		pdhR		3.56991e+06	3.68856e+06	3.61705e+06	3.41954e+06	3.81429e+06	3.67056e+06
P0ACM2	P0ACM2		ydfH		2.19113e+06	2.02112e+06	2.25809e+06	2.16994e+06	2.32022e+06	2.30965e+06
P0ACM5	P0ACM5		yegW		457415	476904	423745	426998	514395	498110
P0ACN2	P0ACN2		ytfH		489966	473273	441905	472141	522732	500186
P0ACN4	P0ACN4		allR		9.97313e+06	9.28335e+06	9.7023e+06	1.00266e+07	1.10543e+07	1.03727e+07
P0ACN7	P0ACN7		cytR		1.18835e+06	1.32127e+06	1.26808e+06	1.35477e+06	1.09414e+06	1.40602e+06
P0ACP1	P0ACP1		cra		4.46748e+06	4.32809e+06	4.66203e+06	4.39636e+06	4.38985e+06	4.33268e+06
P0ACP5	P0ACP5		gntR		843234	738598	796664	822746	877437	804057
P0ACP7	P0ACP7		purR		5.31894e+06	5.38912e+06	5.38884e+06	5.10301e+06	5.04092e+06	4.91612e+06
P0ACQ4	P0ACQ4		oxyR		4.94208e+06	5.02929e+06	5.0286e+06	4.772e+06	4.99556e+06	5.05164e+06
P0ACR4	P0ACR4		yeiE		2.89919e+06	2.87816e+06	2.74324e+06	2.77865e+06	2.9619e+06	2.86278e+06
P0ACR9	P0ACR9		mprA		8.79823e+06	9.15386e+06	8.9997e+06	8.92128e+06	8.79696e+06	8.92458e+06
P0ACS7	P0ACS7		rpiR		847257	876585	854920	865290	851286	893225
P0ACT6	P0ACT6		uidR		514758	393869	515988	392011	366690	360499
P0ACU5	P0ACU5		fabR		3.35209e+06	3.35295e+06	3.24295e+06	3.42891e+06	3.31013e+06	3.21778e+06
P0ACU7	P0ACU7		yjdC		2.18795e+06	2.22803e+06	2.25476e+06	2.17561e+06	2.21371e+06	2.36041e+06
P0ACV8	P0ACV8		ymjA		3.41342e+06	3.29978e+06	3.33311e+06	3.44159e+06	3.62417e+06	3.35976e+06
P0ACX5	P0ACX5		ydhZ		2.84567e+06	2.71411e+06	2.9512e+06	2.71191e+06	2.96567e+06	2.87416e+06
P0ACY1	P0ACY1		ydjA		6.58447e+06	6.78684e+06	6.56294e+06	6.72107e+06	6.56435e+06	6.41011e+06
P0ACY3	P0ACY3		yeaG		933120	938361	965160	860259	928887	947319
P0ACY9	P0ACY9		yebG		883053	873820	914126	894607	932299	894649
P0ACZ2	P0ACZ2		etp		2.40723e+06	2.35981e+06	2.37642e+06	2.32803e+06	2.25108e+06	2.50162e+06
P0ACZ4	P0ACZ4		evgA		2.49764e+06	2.66128e+06	2.56823e+06	2.47116e+06	2.50067e+06	2.64403e+06
P0AD01	P0AD01		dcuR		957161	1.04995e+06	858479	1.10892e+06	1.06433e+06	1.00807e+06
P0AD05	P0AD05		yecA		7.16125e+06	8.28362e+06	7.94839e+06	7.31518e+06	6.8551e+06	7.63403e+06
P0AD07	P0AD07		yecF		3.70817e+06	3.72601e+06	3.7278e+06	3.70859e+06	3.64156e+06	3.91479e+06
P0AD10	P0AD10		yecJ		3.34134e+06	3.41185e+06	3.25968e+06	3.58965e+06	3.69211e+06	3.34881e+06
P0AD12	P0AD12		yeeZ		1.08894e+07	1.17092e+07	1.21851e+07	1.14248e+07	1.02747e+07	1.22818e+07
P0AD24	P0AD24		yejL		3.81221e+06	4.00986e+06	3.99287e+06	4.48148e+06	4.11838e+06	4.1658e+06
P0AD33	P0AD33		yfcZ		4.95293e+07	4.26207e+07	4.50354e+07	5.17122e+07	5.08021e+07	4.44286e+07
P0AD37	P0AD37		yfeC		519139	539628	532310	496901	502522	557600
P0AD44	P0AD44		yfhG		1.11518e+06	991967	976830	1.05156e+06	873458	907228
P0AD49	P0AD49		raiA		6.84172e+06	8.08977e+06	7.80651e+06	6.9066e+06	6.71106e+06	7.80369e+06
P0AD57	P0AD57		ispB		1.56171e+06	1.31215e+06	1.51775e+06	1.47552e+06	1.37919e+06	1.48192e+06
P0AD59	P0AD59		ivy		2.4554e+06	2.74959e+06	2.6534e+06	2.41623e+06	2.62818e+06	2.7287e+06
P0AD61	P0AD61		pykF		4.97175e+07	4.99125e+07	5.10407e+07	4.93144e+07	4.82e+07	4.99183e+07
P0AD68	P0AD68		ftsI		820844	807074	798937	781657	779071	723524
P0AD70	P0AD70		ampH		2.01539e+06	2.10315e+06	2.27525e+06	2.09041e+06	2.17478e+06	2.14e+06
P0ADA1	P0ADA1		tesA		2.08661e+06	1.98437e+06	2.05807e+06	1.98616e+06	2.03899e+06	2.05082e+06
P0ADA3	P0ADA3		nlpD		6.1673e+06	6.22373e+06	6.29187e+06	6.07549e+06	6.24605e+06	6.45637e+06
P0ADA5	P0ADA5		yajG		1.75826e+07	1.73541e+07	1.74599e+07	1.77023e+07	1.79703e+07	1.75879e+07
P0ADA7	P0ADA7		osmB		2.42451e+06	2.54006e+06	2.40426e+06	2.43435e+06	2.30217e+06	2.03473e+06
P0ADB1	P0ADB1		osmE		2.39392e+07	2.52007e+07	2.55103e+07	2.39934e+07	2.53091e+07	2.62884e+07
P0ADB7	P0ADB7		ecnB		1.57034e+07	1.39566e+07	1.45005e+07	1.46508e+07	1.288e+07	1.21556e+07
P0ADC1	P0ADC1		lptE		951813	1.06498e+06	982711	949721	979052	1.03005e+06
P0ADC3	P0ADC3		lolC		2.08305e+06	2.05945e+06	2.05289e+06	2.08231e+06	1.8173e+06	1.93517e+06
P0ADC6	P0ADC6		lptG		773992	904683	845097	877559	872422	858352
P0ADE4	P0ADE4		tamA		4.06005e+06	3.95342e+06	4.12795e+06	3.94961e+06	4.05181e+06	4.11699e+06
P0ADE6	P0ADE6		ygaU		672251	686934	679448	661202	674326	643962
P0ADE8	P0ADE8		ygfZ		9.5498e+06	9.83998e+06	9.49429e+06	9.70488e+06	9.43124e+06	9.67735e+06
