Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML
P0AFK9	POTD_ECOLI	potD	Spermidine/putrescine-binding periplasmic protein	17	17	3.21559e+07	3.39727e+07	3.25048e+07	3.45099e+07	3.37856e+07	3.22282e+07
P0AFL3	PPIA_ECOLI	ppiA	Peptidyl-prolyl cis-trans isomerase A	5	5	4.75109e+07	4.57346e+07	4.72357e+07	4.84703e+07	4.98972e+07	4.69385e+07
P0AFL6	PPX_ECOLI	ppx	Exopolyphosphatase	8	8	3.32632e+06	2.86493e+06	3.0592e+06	3.10208e+06	3.20557e+06	2.98526e+06
P0AFM2	PROX_ECOLI	proX	Glycine betaine-binding periplasmic protein	6	6	1.33949e+07	1.41549e+07	1.47539e+07	1.50731e+07	1.45971e+07	1.46559e+07
P0AFM6	PSPA_ECOLI	pspA	Phage shock protein A	6	6	1.1667e+07	1.44918e+07	1.41533e+07	1.49429e+07	1.48971e+07	1.46889e+07
P0AFM9	PSPB_ECOLI	pspB	Phage shock protein B	1	1	2.15402e+06	2.60619e+06	1.89617e+06	2.68993e+06	2.53779e+06	2.61589e+06
P0AFN2	PSPC_ECOLI	pspC	Phage shock protein C	2	2	2.67701e+06	2.53802e+06	1.6552e+06	2.45019e+06	2.17173e+06	2.56155e+06
P0AFP4	YBBO_ECOLI	ybbO	Uncharacterized oxidoreductase YbbO	4	4	4.39105e+06	4.54105e+06	4.21887e+06	3.78747e+06	4.28811e+06	4.09483e+06
P0AFP6	YBGI_ECOLI	ybgI	UPF0135 protein YbgI	5	5	4.15844e+07	4.33056e+07	4.41979e+07	4.27961e+07	4.34793e+07	4.36571e+07
P0AFP9	YBHR_ECOLI	ybhR	Inner membrane transport permease YbhR	1	1		547815	269002	371912		310499
