Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P06988	P06988		hisD		1.2211e+06	1.34369e+06	1.20701e+06	1.31776e+06	1.42824e+06	1.24678e+06
P06992	P06992		rsmA		2.38745e+06	2.20927e+06	2.26892e+06	2.16997e+06	2.12897e+06	2.11685e+06
P06996	P06996		ompC		1.53492e+08	1.52745e+08	1.50399e+08	1.52191e+08	1.57795e+08	1.55959e+08
P06999	P06999		pfkB		1.62556e+06	1.61036e+06	1.67193e+06	1.66657e+06	1.65716e+06	1.57137e+06
P07000	P07000		pldB		609514	542448	569412	576438	514190	543951
P07001	P07001		pntA		6.43998e+06	6.36189e+06	6.35059e+06	5.94013e+06	6.27706e+06	6.06948e+06
P07003	P07003		poxB		2.56102e+06	2.52615e+06	2.55477e+06	2.5524e+06	2.58913e+06	2.55614e+06
P07004	P07004		proA		2.51582e+07	2.53917e+07	2.53273e+07	2.54924e+07	2.55219e+07	2.44407e+07
P07012	P07012		prfB		7.71265e+06	7.94322e+06	7.83949e+06	7.94966e+06	7.83048e+06	8.01608e+06
P07014	P07014		sdhB		1.65809e+06	1.67316e+06	1.62725e+06	1.67766e+06	1.6639e+06	1.68374e+06
P07017	P07017		tar		3.50358e+06	3.4973e+06	3.60563e+06	3.58378e+06	3.56078e+06	3.50526e+06
P07021	P07021		yfiB		774312	779625	749191	793477	845583	854129
P07023	P07023		tyrA		2.52091e+06	2.67847e+06	2.60284e+06	2.60692e+06	2.46997e+06	2.37984e+06
P07024	P07024		ushA		4.64239e+06	4.9519e+06	4.93084e+06	4.77205e+06	4.97597e+06	4.81095e+06
P07026	P07026		sdiA		1.79126e+06	1.71969e+06	1.76048e+06	1.67421e+06	1.78803e+06	1.81539e+06
P07118	P07118		valS		2.26827e+07	2.23505e+07	2.26705e+07	2.27734e+07	2.26762e+07	2.27004e+07
P07330	P07330		cheB		1.19863e+06	1.06433e+06	1.23218e+06	1.17988e+06	1.16533e+06	1.11706e+06
P07363	P07363		cheA		4.91553e+06	4.67518e+06	4.83114e+06	4.78787e+06	4.82541e+06	4.57093e+06
P07395	P07395		pheT		1.48118e+07	1.46912e+07	1.46522e+07	1.45399e+07	1.46748e+07	1.45504e+07
P07604	P07604		tyrR		2.11729e+06	2.09247e+06	2.11383e+06	2.18798e+06	2.19827e+06	2.12075e+06
P07639	P07639		aroB		3.22952e+06	3.26666e+06	3.33254e+06	3.26085e+06	3.29815e+06	3.28919e+06
P07649	P07649		truA		1.93419e+06	1.90461e+06	2.03326e+06	1.90303e+06	2.0519e+06	1.91403e+06
P07650	P07650		deoA		6.18724e+06	6.04976e+06	5.91944e+06	5.71648e+06	5.9538e+06	6.08159e+06
P07658	P07658		fdhF		916509	892336	897332	937695	871012	943730
P07762	P07762		glgB		3.81936e+06	3.70813e+06	3.91189e+06	3.92936e+06	3.88619e+06	3.84743e+06
P07813	P07813		leuS		1.44692e+07	1.44225e+07	1.44655e+07	1.46725e+07	1.44204e+07	1.46771e+07
P07821	P07821		fhuC		606719	544442	638438	548263	584756	568512
P07862	P07862		ddlB		2.17247e+06	2.11428e+06	2.25883e+06	2.20542e+06	2.26316e+06	2.09442e+06
P07913	P07913		tdh		4.13784e+06	4.00081e+06	4.07947e+06	4.17853e+06	4.20969e+06	4.08773e+06
P08178	P08178		purM		1.65469e+06	1.56644e+06	1.73299e+06	1.65553e+06	1.62755e+06	1.59787e+06
P08179	P08179		purN		1.01607e+06	1.00296e+06	1.0853e+06	1.02386e+06	1.06775e+06	912687
P08189	P08189		fimF		2.29724e+06	2.35801e+06	2.35594e+06	2.4537e+06	2.32304e+06	2.29136e+06
P08190	P08190		fimG		2.16575e+06	2.23767e+06	2.04583e+06	2.32121e+06	2.23468e+06	2.31957e+06
P08191	P08191		fimH		2.96037e+06	2.99606e+06	3.09637e+06	2.94722e+06	3.08486e+06	2.9475e+06
P08192	P08192		folC		2.57844e+06	2.57364e+06	2.56619e+06	2.5524e+06	2.5647e+06	2.5816e+06
P08200	P08200		icd		2.43998e+07	2.48555e+07	2.43173e+07	2.45447e+07	2.37624e+07	2.51988e+07
P08201	P08201		nirB		5.95835e+06	5.89709e+06	6.08643e+06	5.88449e+06	5.93237e+06	5.79258e+06
P08202	P08202		araA					4.26088e+06		
P08244	P08244		pyrF		9.70556e+06	9.79955e+06	9.73581e+06	1.00189e+07	9.86038e+06	9.818e+06
P08245	P08245		yciH		702050	783074	730895	733972	729198	790140
P08312	P08312		pheS		1.23177e+07	1.22697e+07	1.23963e+07	1.23357e+07	1.23946e+07	1.23868e+07
P08331	P08331		cpdB		2.55667e+06	2.4732e+06	2.59409e+06	2.49345e+06	2.63359e+06	2.46726e+06
P08337	P08337		mutT		1.04044e+06	993163	897328	945021	977639	1.0961e+06
