Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P0A7B1	P0A7B1		ppk		1.50507e+06	1.41571e+06	1.48818e+06	1.35826e+06	1.38885e+06	1.49727e+06
P0A7B5	P0A7B5		proB		8.89784e+06	8.98046e+06	9.52689e+06	8.93862e+06	8.53194e+06	8.99005e+06
P0A7B8	P0A7B8		hslV		1.50374e+07	1.55988e+07	1.36011e+07	1.73518e+07	1.38925e+07	1.51981e+07
P0A7C2	P0A7C2		lexA		4.74324e+06	4.77647e+06	4.80517e+06	4.86169e+06	4.5211e+06	4.67138e+06
P0A7C6	P0A7C6		pepE		6.23178e+06	6.1635e+06	6.1488e+06	6.32021e+06	5.91902e+06	5.98537e+06
P0A7D1	P0A7D1		pth		5.81457e+06	5.71338e+06	5.63963e+06	5.83053e+06	5.64072e+06	5.62507e+06
P0A7D4	P0A7D4		purA		2.32944e+07	2.33641e+07	2.31129e+07	2.3345e+07	2.31906e+07	2.30753e+07
P0A7D7	P0A7D7		purC		7.06719e+06	7.49225e+06	7.42655e+06	7.06173e+06	7.17844e+06	7.4027e+06
P0A7E1	P0A7E1		pyrD		7.4448e+06	7.33244e+06	7.66084e+06	7.23949e+06	7.41669e+06	7.71788e+06
P0A7E3	P0A7E3		pyrE		5.21068e+06	5.09959e+06	5.13916e+06	5.06015e+06	5.11081e+06	5.21771e+06
P0A7E5	P0A7E5		pyrG		1.61727e+07	1.61244e+07	1.60222e+07	1.61902e+07	1.63637e+07	1.61543e+07
P0A7E9	P0A7E9		pyrH		7.49394e+06	7.75379e+06	7.932e+06	7.50808e+06	7.51516e+06	8.12335e+06
P0A7F3	P0A7F3		pyrI		2.50592e+06	2.50642e+06	2.55625e+06	2.41635e+06	2.36253e+06	2.70262e+06
P0A7F6	P0A7F6		speD		2.16482e+06	2.1578e+06	2.15218e+06	1.98181e+06	2.03687e+06	2.20995e+06
P0A7F9	P0A7F9		queA		4.44007e+06	4.12404e+06	4.10837e+06	4.38455e+06	3.90738e+06	4.09808e+06
P0A7G2	P0A7G2		rbfA		2.48064e+07	2.43513e+07	2.40615e+07	2.38198e+07	2.39721e+07	2.36456e+07
P0A7G6	P0A7G6		recA		1.08679e+07	1.08007e+07	1.10193e+07	1.07916e+07	1.10316e+07	1.09322e+07
P0A7H6	P0A7H6		recR		825381	850310	905143	832373	759907	813384
