Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML
P0AC53	P0AC53		zwf		1.21462e+07	1.2139e+07	1.20099e+07	1.19596e+07	1.23528e+07	1.19365e+07
P0AC59	P0AC59		grxB		7.4023e+06	6.73857e+06	7.31585e+06	7.42249e+06	6.78052e+06	6.40309e+06
P0AC62	P0AC62		grxC		1.87985e+07	1.82663e+07	1.79263e+07	1.86629e+07	1.81648e+07	1.77619e+07
P0AC69	P0AC69		grxD		2.52312e+07	2.34626e+07	2.4102e+07	2.50916e+07	2.44346e+07	2.34643e+07
P0AC84	P0AC84		gloB		924974	1.09744e+06	966856	976987	1.13498e+06	1.24074e+06
P0AC86	P0AC86		glgP		1.82896e+06	1.77993e+06	1.85284e+06	1.84455e+06	1.80264e+06	1.80945e+06
P0AC92	P0AC92		gnsA		5.83351e+06	6.92165e+06	5.6069e+06	5.63722e+06	6.67719e+06	6.31929e+06
P0ACA3	P0ACA3		sspA		2.90427e+07	2.88282e+07	2.97179e+07	3.01213e+07	2.9296e+07	2.87387e+07
P0ACA7	P0ACA7		gstB		2.38809e+06	2.22948e+06	2.37531e+06	2.33639e+06	2.23997e+06	2.27297e+06
P0ACB0	P0ACB0		dnaB		2.4405e+06	2.38759e+06	2.47592e+06	2.75417e+06	2.43177e+06	2.41837e+06
P0ACB2	P0ACB2		hemB		1.27931e+07	1.24288e+07	1.28465e+07	1.24465e+07	1.23955e+07	1.25627e+07
P0ACB4	P0ACB4		hemG		2.47933e+06	2.56453e+06	2.34563e+06	2.5522e+06	2.42228e+06	2.2407e+06
P0ACB7	P0ACB7		hemY		5.86506e+06	5.49146e+06	5.77968e+06	5.92852e+06	5.4963e+06	5.58862e+06
P0ACC1	P0ACC1		prmC		1.42902e+06	1.44574e+06	1.52441e+06	1.53046e+06	1.71414e+06	1.82046e+06
P0ACC3	P0ACC3		erpA		6.83005e+06	6.71366e+06	6.54098e+06	6.89879e+06	6.92147e+06	6.71747e+06
P0ACC7	P0ACC7		glmU		1.4365e+07	1.37254e+07	1.45289e+07	1.43607e+07	1.37774e+07	1.3946e+07
P0ACD4	P0ACD4		nifU		1.5014e+07	1.50378e+07	1.52019e+07	1.53174e+07	1.44876e+07	1.58445e+07
