Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.00486e+07	1.01387e+07	9.90628e+06	9.42467e+06	1.00289e+07	9.9276e+06
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1		498477	469368	602777	548350	461617
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.06622e+06	1.23308e+06	1.2518e+06	1.14559e+06	1.15494e+06	1.13363e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	5	5	1.14627e+06	1.12124e+06	1.03886e+06	1.04217e+06	1.10274e+06	1.0182e+06
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	2.50316e+06	2.83427e+06	2.55011e+06	2.56374e+06	2.33368e+06	2.45619e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	15	15	1.76125e+07	1.77245e+07	1.75581e+07	1.71925e+07	1.82684e+07	1.71632e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.81895e+06	2.86565e+06	2.55373e+06	3.20592e+06	2.87793e+06	2.49799e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	2	2		2.10583e+06		1.87564e+06	1.84172e+06	1.85738e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	4.69294e+07	4.63546e+07	4.64228e+07	4.6811e+07	4.71774e+07	4.76195e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	12	12	8.59787e+07	9.39529e+07	8.70933e+07	9.25038e+07	9.05045e+07	8.36093e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	39	39	1.12018e+08	1.10664e+08	1.09149e+08	1.12292e+08	1.10833e+08	1.0977e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	43	43	1.22696e+08	1.22779e+08	1.2038e+08	1.23312e+08	1.26336e+08	1.19035e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	30	30	6.07342e+07	6.01324e+07	6.14677e+07	6.03376e+07	6.1234e+07	6.11548e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	2.99734e+07	2.72855e+07	3.09516e+07	2.72586e+07	2.67582e+07	3.13192e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	38	38	7.63145e+07	7.44101e+07	7.46496e+07	7.34852e+07	7.4787e+07	7.54913e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	28	28	7.82931e+07	8.11172e+07	7.91784e+07	8.10911e+07	8.25021e+07	7.90869e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	9	9	9.46325e+07	9.85755e+07	9.69936e+07	9.81604e+07	9.73361e+07	9.09972e+07
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	33	33	1.86615e+07	1.8569e+07	1.87652e+07	1.89626e+07	1.8782e+07	1.88114e+07
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	10	10	8.4428e+08	9.11593e+08	8.36136e+08	8.69013e+08	8.51203e+08	8.25625e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	9.3191e+08	9.48494e+08	9.23067e+08	9.40384e+08	9.66333e+08	8.83166e+08
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	13	13	7.97659e+08	8.08483e+08	8.13399e+08	8.16608e+08	8.3335e+08	8.09399e+08
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	8	8	4.70069e+06	4.87083e+06	5.16531e+06	4.47735e+06	5.06497e+06	4.46466e+06
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	15	15	1.67279e+07	1.74684e+07	1.86603e+07	1.72892e+07	1.83295e+07	1.76027e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	13	13	4.00963e+07	3.89614e+07	4.00578e+07	3.91277e+07	3.88945e+07	3.97601e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	17	17	1.20544e+08	1.23862e+08	1.17003e+08	1.23364e+08	1.21652e+08	1.14843e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	19	17	1.9543e+08	1.82362e+08	1.94902e+08	1.76472e+08	1.74523e+08	1.87458e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	2	2	1.20548e+06	1.07134e+06	1.15675e+06	1.06032e+06	918092	1.16834e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	16	14	5.83185e+07	6.30993e+07	6.02575e+07	6.24696e+07	6.26977e+07	5.92026e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	10	10	6.62387e+06	6.66466e+06	6.4252e+06	7.25839e+06	6.49824e+06	6.91497e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	12	12	6.6207e+06	6.53753e+06	6.93873e+06	6.22725e+06	6.25359e+06	6.82723e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	4	4	1.13283e+06	1.13818e+06	1.35487e+06	1.5933e+06	1.43857e+06	1.46489e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	10	10	8.22149e+06	7.36365e+06	8.57874e+06	7.61779e+06	8.14461e+06	8.28008e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	2	2	2.67627e+06	3.07026e+06	2.90226e+06	2.98951e+06	3.0033e+06	2.78911e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	5.93729e+06	6.60323e+06	6.3906e+06	5.97908e+06	5.76148e+06	5.29586e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	3.79263e+07	3.71979e+07	3.7356e+07	3.73728e+07	3.77958e+07	3.76346e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	3.11056e+07	3.07785e+07	3.016e+07	3.14712e+07	3.18585e+07	3.00019e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	8	8	3.2698e+07	3.13262e+07	3.26378e+07	3.24773e+07	3.16009e+07	3.24557e+07
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	8.00734e+07	7.67096e+07	7.88396e+07	7.73297e+07	7.68145e+07	7.79381e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	12	12	2.03508e+07	2.00273e+07	2.01416e+07	2.01457e+07	2.00285e+07	1.90696e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	14	14	3.32035e+07	3.61343e+07	3.52397e+07	3.43304e+07	3.57741e+07	3.69018e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.36861e+07	2.35902e+07	2.26124e+07	2.37902e+07	2.36913e+07	2.32557e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	22	22	1.42276e+08	1.36579e+08	1.40084e+08	1.41218e+08	1.44026e+08	1.43423e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	27	27	7.76403e+07	7.65645e+07	7.75071e+07	7.55914e+07	7.72589e+07	7.9535e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	2	2	7.64882e+06	7.12317e+06	7.13378e+06	7.53484e+06	7.38244e+06	7.32974e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	3.75794e+08	3.88279e+08	3.60066e+08	3.89446e+08	3.78345e+08	3.53529e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	6	6	3.29166e+07	3.51778e+07	3.49901e+07	3.41193e+07	3.38653e+07	3.42621e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	6	6	1.49876e+06	1.42286e+06	1.32523e+06	1.38946e+06	1.4824e+06	1.37783e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	5.69934e+06	5.85275e+06	5.66998e+06	5.7433e+06	5.80972e+06	5.95247e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	2	2	2.7582e+06	4.84195e+06	5.08014e+06	4.45978e+06	4.88903e+06	4.5531e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	9.59545e+06	9.80552e+06	8.98864e+06	9.68782e+06	9.71518e+06	1.0201e+07
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	12	12	1.88019e+07	1.96583e+07	1.86381e+07	1.93563e+07	1.91082e+07	1.86528e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	4	4	4.78045e+06	5.25241e+06	5.49523e+06	5.44802e+06	6.07651e+06	4.84455e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	32	32	1.94041e+08	1.96729e+08	1.92176e+08	1.97545e+08	1.98673e+08	1.92741e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	3	3	5.26747e+06	5.72313e+06	6.19297e+06	5.74089e+06	5.79205e+06	5.6947e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	5	5	2.48265e+07	2.97121e+07	2.65864e+07	2.94813e+07	2.78194e+07	2.81571e+07
P05458	PTRA_ECOLI	ptrA	Protease 3	10	10	6.05293e+06	6.10907e+06	6.40806e+06	6.13151e+06	5.91846e+06	5.99554e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	15	15	2.38269e+07	2.5834e+07	2.51897e+07	2.57955e+07	2.47097e+07	2.46785e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	2	2		506347	649575	613789	803202	566366
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	8.57626e+06	8.81533e+06	9.06038e+06	9.46467e+06	7.68461e+06	9.12134e+06
P05706	PTHA_ECOLI	srlB	Glucitol/sorbitol-specific phosphotransferase enzyme IIA component	1	1	1.09617e+06	1.17533e+06			1.46959e+06	
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	4	4	1.21197e+07	1.26229e+07	1.23993e+07	1.23697e+07	1.27447e+07	1.17681e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	16	16	1.23456e+07	1.19389e+07	1.24565e+07	1.22328e+07	1.17154e+07	1.25324e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	14	14	2.11744e+07	2.24853e+07	2.15005e+07	2.27892e+07	2.28806e+07	2.19327e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	16	16	8.92699e+06	9.15813e+06	8.94138e+06	9.5742e+06	9.4546e+06	8.98222e+06
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	4	4	9.28769e+06	8.97853e+06	9.48643e+06	9.50564e+06	9.37805e+06	8.64353e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	25	25	5.09921e+07	4.9397e+07	4.96919e+07	5.04341e+07	5.01485e+07	4.87593e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	6.92069e+07	8.32309e+07	9.3508e+07	7.76223e+07	8.05732e+07	7.55441e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	20	20	2.52082e+07	2.4522e+07	2.5661e+07	2.46743e+07	2.41096e+07	2.52626e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	6.27135e+06	6.10409e+06	6.99527e+06	6.46046e+06	6.29921e+06	6.98641e+06
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	7	7	4.80869e+07	5.00754e+07	4.80717e+07	4.88379e+07	4.74382e+07	4.64766e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	2	2	2.16192e+06	2.18842e+06	1.98947e+06	2.21888e+06	1.97108e+06	1.95824e+06
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	23	23	2.62402e+07	2.69061e+07	2.76376e+07	2.67933e+07	2.65757e+07	2.75826e+07
P06616	ERA_ECOLI	era	GTPase Era	8	8	8.58735e+06	8.55675e+06	8.86468e+06	8.57629e+06	8.3097e+06	8.7979e+06
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	6	6	5.84112e+06	5.53746e+06	5.93448e+06	5.65754e+06	5.93439e+06	6.25808e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	8	8	5.00406e+06	5.32343e+06	5.14351e+06	5.25246e+06	5.29611e+06	5.22192e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	12	12	2.45003e+07	2.50729e+07	2.69325e+07	2.49172e+07	2.50339e+07	2.58323e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	3	3	1.58976e+06	1.65869e+06	1.5604e+06	1.90791e+06	1.65737e+06	1.91506e+06
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	4	4	3.04477e+06	3.01827e+06	3.20962e+06	2.9525e+06	3.06404e+06	3.13521e+06
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	9	9	4.44893e+06	4.79584e+06	4.64892e+06	4.52084e+06	4.6208e+06	4.56486e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	38	38	2.82978e+08	2.95752e+08	2.7974e+08	2.8778e+08	2.9016e+08	2.74084e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	10	10	8.61349e+06	7.60136e+06	8.27885e+06	8.01585e+06	8.51607e+06	8.29379e+06
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	8.1942e+07	8.04771e+07	7.95714e+07	7.92577e+07	7.62021e+07	7.67185e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	19	19	7.43853e+07	7.42662e+07	7.30915e+07	7.1453e+07	7.32335e+07	7.2512e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	8	8	8.87616e+06	8.45114e+06	8.74618e+06	8.95778e+06	8.70003e+06	8.94191e+06
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	13	13	5.73256e+07	5.79244e+07	5.71988e+07	5.81113e+07	5.96601e+07	5.54657e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	9	9	1.23113e+07	1.19755e+07	1.3147e+07	1.16016e+07	1.22142e+07	1.2233e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	9	9	2.90299e+06	3.18201e+06	2.89265e+06	3.09276e+06	3.06092e+06	3.02482e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	4.94698e+06	4.62141e+06	4.92263e+06	4.97232e+06	5.09133e+06	5.02869e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	3	3	1.43411e+08	1.35022e+08	1.39224e+08	1.33103e+08	1.25733e+08	1.40673e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	3	3	2.58929e+06	3.75429e+06	3.55041e+06	3.52254e+06		
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	18	15	1.37159e+09	1.34548e+09	1.33524e+09	1.34331e+09	1.31978e+09	1.32686e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	6	6	4.75314e+06	4.64193e+06	4.62702e+06	4.39617e+06	4.67978e+06	4.62664e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.13061e+06	2.5684e+06	2.10406e+06	2.4206e+06	2.35534e+06	2.35719e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	12	12	1.95505e+07	2.03934e+07	2.0624e+07	2.06153e+07	1.89479e+07	2.08386e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	8	8	1.16182e+07	1.23926e+07	1.07429e+07	1.15137e+07	1.22105e+07	1.21693e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	14	14	3.06642e+07	3.08318e+07	3.08566e+07	3.16988e+07	3.15396e+07	3.1876e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	16	16	6.24157e+07	6.12137e+07	6.0475e+07	6.09857e+07	6.21113e+07	6.00261e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	9	9	1.93919e+07	1.95052e+07	2.01038e+07	1.90441e+07	1.85374e+07	1.98836e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	13	13	1.75801e+07	1.74085e+07	1.75052e+07	1.71498e+07	1.75086e+07	1.70774e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	3.55744e+06	4.38422e+06	3.85332e+06	4.3404e+06	4.70784e+06	4.02437e+06
P07023	TYRA_ECOLI	tyrA	T-protein	7	7	7.34377e+06	6.85181e+06	7.36218e+06	7.40072e+06	6.74995e+06	7.02701e+06
P07024	USHA_ECOLI	ushA	Protein UshA	12	12	2.35924e+07	2.40115e+07	2.36966e+07	2.43034e+07	2.39719e+07	2.23517e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	1	1	4.4861e+06	4.6977e+06	4.6338e+06	4.37438e+06	4.205e+06	4.54724e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	48	48	1.07688e+08	1.046e+08	1.06943e+08	1.04558e+08	1.05429e+08	1.05973e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	5	5	3.542e+06	3.73689e+06	3.64471e+06	3.50962e+06	3.55593e+06	3.5147e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	16	16	1.15257e+07	1.2258e+07	1.173e+07	1.22237e+07	1.29296e+07	1.23697e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	3	3		1.05991e+06	806700	675323	843645	
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	35	35	8.78738e+07	8.622e+07	8.71132e+07	8.52871e+07	8.66152e+07	8.50711e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	9	9	8.02889e+06	8.16974e+06	8.58515e+06	8.26833e+06	8.23164e+06	9.04334e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	10	10	1.6928e+07	1.77642e+07	1.70453e+07	1.72829e+07	1.66307e+07	1.71072e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	5	5	1.0532e+06	1.28432e+06	1.28596e+06	1.32365e+06	1.58078e+06	1.47333e+06
P07649	TRUA_ECOLI	truA	tRNA pseudouridine synthase A	3	3	2.79846e+06	3.32196e+06	3.12684e+06	3.26895e+06	3.61754e+06	3.48301e+06
P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	24	24	2.87548e+07	2.91297e+07	2.89319e+07	2.9418e+07	2.97898e+07	2.72931e+07
P07658	FDHF_ECOLI	fdhF	Formate dehydrogenase H	13	13	4.13128e+06	3.69382e+06	3.70788e+06	3.56847e+06	3.64462e+06	3.87708e+06
P07762	GLGB_ECOLI	glgB	1,4-alpha-glucan branching enzyme GlgB	21	21	1.02244e+07	1.03497e+07	1.10641e+07	1.03847e+07	1.03907e+07	1.09475e+07
P07813	SYL_ECOLI	leuS	Leucine--tRNA ligase	30	30	8.7198e+07	9.08375e+07	8.89166e+07	8.88134e+07	9.22549e+07	9.01715e+07
P07821	FHUC_ECOLI	fhuC	Iron(3+)-hydroxamate import ATP-binding protein FhuC	2	2		3.76248e+06	3.1213e+06	3.08286e+06	3.60482e+06	3.25044e+06
P07822	FHUD_ECOLI	fhuD	Iron(3+)-hydroxamate-binding protein FhuD	2	2	1.23079e+06	1.3653e+06	1.45175e+06	1.37949e+06	1.49682e+06	1.41562e+06
P07862	DDLB_ECOLI	ddlB	D-alanine--D-alanine ligase B	11	11	3.99883e+07	3.79468e+07	4.07047e+07	4.04058e+07	4.10965e+07	4.05206e+07
P07913	TDH_ECOLI	tdh	L-threonine 3-dehydrogenase	7	7	3.21265e+07	3.07965e+07	3.11454e+07	2.98498e+07	3.02376e+07	3.13235e+07
P08178	PUR5_ECOLI	purM	Phosphoribosylformylglycinamidine cyclo-ligase	3	3	6.54542e+06	5.98417e+06	6.13199e+06	5.84734e+06	5.85173e+06	5.63155e+06
P08179	PUR3_ECOLI	purN	Phosphoribosylglycinamide formyltransferase	3	3	5.328e+06	5.69662e+06	5.10744e+06	5.35751e+06	3.52709e+06	4.73239e+06
P08189	FIMF_ECOLI	fimF	Protein FimF	1	1	2.12055e+06	2.47178e+06	1.73223e+06	2.54059e+06	2.7602e+06	2.44948e+06
P08190	FIMG_ECOLI	fimG	Protein FimG	3	3	4.11739e+06	3.71605e+06	3.87386e+06	3.83309e+06	4.05809e+06	3.33431e+06
P08191	FIMH_ECOLI	fimH	Protein FimH	3	3	8.16166e+06	7.22012e+06	8.81015e+06	7.46598e+06	8.06791e+06	8.82991e+06
P08192	FOLC_ECOLI	folC	Bifunctional protein FolC	12	12	2.0976e+07	2.06888e+07	2.10844e+07	2.18361e+07	2.07934e+07	2.01461e+07
P08200	IDH_ECOLI	icd	Isocitrate dehydrogenase [NADP]	20	20	1.09613e+08	1.12304e+08	1.07896e+08	1.13879e+08	1.16459e+08	1.0878e+08
P08201	NIRB_ECOLI	nirB	Nitrite reductase [NAD(P)H] large subunit	20	20	2.32882e+07	2.34114e+07	2.41582e+07	2.34422e+07	2.35818e+07	2.35077e+07
P08244	PYRF_ECOLI	pyrF	Orotidine 5'-phosphate decarboxylase	6	6	5.54795e+07	5.303e+07	5.66174e+07	5.47552e+07	5.83177e+07	5.84168e+07
P08245	YCIH_ECOLI	yciH	Uncharacterized protein YciH	2	2	1.04146e+07	1.16092e+07	1.04235e+07	1.10351e+07	1.12756e+07	1.01392e+07
P08312	SYFA_ECOLI	pheS	Phenylalanine--tRNA ligase alpha subunit	17	17	6.21037e+07	6.16454e+07	6.15694e+07	6.23036e+07	5.97159e+07	6.04189e+07
P08331	CPDB_ECOLI	cpdB	2',3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase	17	17	1.11792e+07	1.09465e+07	1.12112e+07	1.04418e+07	1.0523e+07	1.10035e+07
P08337	MUTT_ECOLI	mutT	8-oxo-dGTP diphosphatase	1	1	2.66514e+06	2.65348e+06	2.84776e+06	2.71147e+06	2.46093e+06	2.51934e+06
P08368	CREB_ECOLI	creB	Transcriptional regulatory protein CreB	1	1			2.50218e+06	3.26055e+06		
