Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.52748e+06	1.65794e+06	1.1914e+06	997855	1.48936e+06	1.41352e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	41	41	6.59915e+07	6.41289e+07	6.41836e+07	6.52426e+07	6.54639e+07	6.48598e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	8.97071e+06	9.56989e+06	7.99582e+06	9.40626e+06	7.83425e+06	9.98529e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.09239e+07	1.05729e+07	1.0483e+07	1.0724e+07	1.05541e+07	1.08528e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	2	2	862706	620899	986165	746595	934930	
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	2.15154e+06	1.95423e+06	1.94717e+06	1.89296e+06	1.98319e+06	1.7169e+06
P00909	TRPC_ECOLI	trpC	Tryptophan biosynthesis protein TrpCF	1	1				1.19983e+06		
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	3	3	1.39987e+06	1.40637e+06	1.41355e+06	1.45516e+06	1.43508e+06	1.43482e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		6	6		8.16529e+06		7.29343e+06		7.51541e+06
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		7	7		1.8135e+07		1.79192e+07		1.89932e+07
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	2.88624e+06	2.20385e+06	2.56606e+06	2.39191e+06	2.44558e+06	2.43418e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	15	15	1.97631e+07	2.00811e+07	1.92067e+07	1.94874e+07	1.97901e+07	1.98077e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.36304e+06	2.30205e+06	2.43072e+06	2.61374e+06	2.38222e+06	1.80728e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	2	2	3.54066e+06	3.78856e+06	2.814e+06	3.59165e+06	2.82678e+06	3.02353e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.52881e+07	5.24988e+07	5.40589e+07	5.06211e+07	5.40286e+07	5.3123e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	13	13	1.00173e+08	9.95216e+07	1.00952e+08	1.00167e+08	9.71415e+07	1.02168e+08
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	40	40	1.17213e+08	1.19875e+08	1.18132e+08	1.18431e+08	1.15512e+08	1.1863e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	43	43	1.36016e+08	1.3652e+08	1.34726e+08	1.3601e+08	1.38006e+08	1.35744e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	34	34	6.35719e+07	6.39992e+07	6.33368e+07	6.29727e+07	6.38151e+07	6.42117e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.10346e+07	3.2469e+07	3.09865e+07	3.00372e+07	2.98928e+07	3.07924e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	40	40	7.8154e+07	7.85242e+07	7.77556e+07	7.73868e+07	7.79364e+07	7.58724e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	29	29	8.35767e+07	8.5328e+07	8.09999e+07	8.4134e+07	8.12903e+07	8.36547e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	10	10	1.12146e+08	1.1067e+08	1.08883e+08	1.04625e+08	1.05815e+08	1.024e+08
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	33	33	2.04699e+07	1.99603e+07	2.06648e+07	1.99092e+07	2.06472e+07	1.99451e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		7	7		1.49711e+07		1.51738e+07		1.57816e+07
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		5	5		1.1093e+07		1.15763e+07		1.06113e+07
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		3	3		1.49199e+07		1.47374e+07		1.46803e+07
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1				5.75488e+06		6.76468e+06
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		3	3		8.8687e+06		9.12926e+06		8.30662e+06
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		4	4		1.32541e+07		1.41554e+07		1.41399e+07
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		5	5		1.46064e+07		1.52869e+07		1.43569e+07
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	10	10	1.01405e+09	9.72722e+08	9.57355e+08	1.01961e+09	9.19684e+08	1.00569e+09
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	1.04733e+09	1.00692e+09	1.04832e+09	1.01785e+09	1.02682e+09	1.0166e+09
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	13	13	8.78574e+08	8.7531e+08	8.57693e+08	8.89789e+08	8.84101e+08	8.71145e+08
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		12	12	922694	2.86668e+07		2.71866e+07		2.74114e+07
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		10	10		1.62658e+07		1.63033e+07		1.61319e+07
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		13	13		2.35982e+07		2.24092e+07		2.34444e+07
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	8	8	5.49573e+07	5.4735e+07	4.96097e+07	5.14967e+07	5.37751e+07	4.9731e+07
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	17	17	3.95002e+07	4.00326e+07	4.0929e+07	4.28323e+07	4.08517e+07	4.06364e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	13	13	4.23265e+07	4.36731e+07	4.18627e+07	4.3801e+07	4.12924e+07	4.2314e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	16	16	1.35736e+08	1.30779e+08	1.32956e+08	1.27407e+08	1.31e+08	1.29399e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	20	18	2.09089e+08	2.15216e+08	1.97814e+08	2.08331e+08	1.94553e+08	2.03974e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	2	2	1.25696e+06	1.66757e+06	1.26001e+06	1.6361e+06	1.02125e+06	1.60409e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	16	14	6.73481e+07	6.62851e+07	6.7392e+07	6.90906e+07	6.70533e+07	6.74149e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	8	8	8.43103e+06	8.72961e+06	9.19617e+06	8.86804e+06	8.04191e+06	8.6902e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	12	12	6.5665e+06	7.14054e+06	6.51381e+06	6.85335e+06	6.56462e+06	6.7094e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	3	3	3.04391e+06	3.58853e+06	4.63024e+06	3.68701e+06	3.05307e+06	
P03018	UVRD_ECOLI	uvrD	DNA helicase II	10	10	8.11603e+06	9.19052e+06	8.74771e+06	9.34148e+06	9.1666e+06	9.10217e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	4	4	1.83188e+06	1.88843e+06	1.77802e+06	2.10365e+06	1.78359e+06	1.2077e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	6.44515e+06	6.02067e+06	6.46739e+06	7.0442e+06	6.26159e+06	6.90868e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	4.19599e+07	4.17038e+07	4.29151e+07	4.22946e+07	4.14144e+07	3.90187e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	3.56708e+07	3.5088e+07	3.56434e+07	3.34237e+07	3.56978e+07	3.44948e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	9	9	3.41582e+07	3.50514e+07	3.53092e+07	3.43804e+07	3.50822e+07	3.49967e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		4	4		2.53258e+06	2.11463e+06	2.13165e+06		2.46191e+06
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	8.36728e+07	8.60454e+07	8.55038e+07	8.66928e+07	8.32067e+07	8.54541e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	12	12	2.29832e+07	2.30048e+07	2.2844e+07	2.2838e+07	2.24247e+07	2.35182e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	14	14	3.81967e+07	3.70111e+07	3.69224e+07	3.59029e+07	3.75828e+07	3.58888e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.83306e+07	2.71987e+07	2.86146e+07	2.73912e+07	2.79871e+07	2.77583e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	22	22	1.46687e+08	1.53723e+08	1.50849e+08	1.50021e+08	1.5113e+08	1.51343e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	30	30	8.20062e+07	8.33876e+07	8.07846e+07	8.09823e+07	8.07814e+07	7.87684e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	3	3	7.9433e+06	7.255e+06	7.98467e+06	8.00232e+06	7.64588e+06	8.09203e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	4.59376e+08	4.26275e+08	4.49216e+08	4.26455e+08	4.43354e+08	4.32821e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	6	6	3.80914e+07	3.96136e+07	3.8566e+07	3.87682e+07	3.77517e+07	3.83263e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	5	5	1.74554e+06	1.69431e+06	1.63912e+06	1.58051e+06	1.72112e+06	1.72689e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	4.84662e+06	4.46994e+06	4.78194e+06	5.05436e+06	4.7495e+06	4.67251e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	2	2	4.20373e+06	4.28075e+06	4.39886e+06	3.3371e+06	5.21398e+06	3.66512e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	9.16332e+06	8.36093e+06	8.87867e+06	8.6159e+06	9.13227e+06	8.84034e+06
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	12	12	2.20266e+07	2.14799e+07	2.14573e+07	2.02748e+07	2.06495e+07	2.11791e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	4	4	5.62348e+06	5.27699e+06	5.41754e+06	5.36419e+06	6.3092e+06	5.74478e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	36	36	2.0476e+08	2.04537e+08	2.03807e+08	2.03934e+08	2.05794e+08	2.0077e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	2	2	6.17985e+06	8.12061e+06	6.16312e+06	7.22439e+06	6.2325e+06	6.27413e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	6	6	3.19824e+07	2.73155e+07	3.11064e+07	2.88285e+07	2.85547e+07	2.95573e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		6	6		1.58825e+07		1.72511e+07		1.69337e+07
P05458	PTRA_ECOLI	ptrA	Protease 3	11	11	7.3598e+06	7.6773e+06	7.22484e+06	7.67038e+06	7.12322e+06	7.16628e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	17	17	3.03882e+07	3.006e+07	3.07616e+07	3.13522e+07	2.91689e+07	3.08657e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	3	3	580339		542857	692556	958338	558476
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	1.04732e+07	1.08583e+07	1.11985e+07	1.22075e+07	8.61099e+06	1.15778e+07
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	3	3	1.23989e+07	1.14478e+07	1.21129e+07	1.18176e+07	1.20932e+07	1.17325e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	15	15	1.34084e+07	1.31794e+07	1.35652e+07	1.34951e+07	1.28976e+07	1.41219e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	16	16	3.91589e+07	3.65649e+07	3.81148e+07	3.72254e+07	3.85562e+07	3.68281e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	18	18	1.08661e+07	1.02111e+07	1.12768e+07	1.04033e+07	1.09583e+07	1.02841e+07
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	3	3	8.64194e+06	8.27239e+06	9.71944e+06	9.01375e+06	9.75964e+06	8.43017e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	24	24	5.37374e+07	5.32569e+07	5.46456e+07	5.39286e+07	5.37374e+07	5.35407e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	4	4	2.57729e+07	2.18503e+07	2.0851e+07	2.40085e+07	2.43943e+07	2.32846e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	20	20	2.30522e+07	2.39712e+07	2.29737e+07	2.43649e+07	2.24e+07	2.2702e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	5	5	6.6689e+06	7.53901e+06	7.25474e+06	7.11317e+06	6.53632e+06	6.68137e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		12	12		7.0746e+06		7.24133e+06		7.42464e+06
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	7	7	5.65933e+07	5.4002e+07	5.41388e+07	5.34631e+07	5.28054e+07	5.22014e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	2	2	1.21444e+06	1.0417e+06	1.27411e+06		1.14774e+06	1.10776e+06
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	24	24	2.99372e+07	2.90466e+07	2.95055e+07	2.87241e+07	2.92298e+07	2.88956e+07
P06616	ERA_ECOLI	era	GTPase Era	8	8	1.23746e+07	1.21859e+07	1.18194e+07	1.16025e+07	1.1247e+07	1.09855e+07
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	6	6	5.11976e+06	5.93596e+06	5.62004e+06	5.5756e+06	6.27063e+06	5.14999e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	8	8	5.27162e+06	5.57136e+06	5.53646e+06	5.02884e+06	5.83818e+06	5.52522e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	13	13	2.5981e+07	2.64608e+07	2.61144e+07	2.62243e+07	2.57594e+07	2.63973e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	4	4	2.05414e+06	3.95475e+06	3.35579e+06	4.23575e+06	3.67462e+06	4.48106e+06
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	4	4	2.8996e+06	3.29547e+06	3.01242e+06	3.114e+06	3.12048e+06	3.28335e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		12	12		9.43132e+06		9.45768e+06		9.43519e+06
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	9	9	5.09269e+06	5.11454e+06	5.1206e+06	4.87312e+06	4.88075e+06	4.81045e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	37	37	3.3784e+08	3.16926e+08	3.27313e+08	3.22915e+08	3.30247e+08	3.20352e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	10	10	1.14091e+07	1.11723e+07	1.25851e+07	1.22616e+07	1.30532e+07	1.14677e+07
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	8.98705e+07	8.17835e+07	9.14758e+07	8.46142e+07	8.76955e+07	8.0819e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	19	19	7.88944e+07	8.00653e+07	7.72051e+07	7.8382e+07	7.85891e+07	7.69563e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	8	8	1.32864e+07	1.39276e+07	1.43088e+07	1.41311e+07	1.39043e+07	1.25655e+07
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	13	13	6.26173e+07	6.28579e+07	6.1826e+07	6.09997e+07	6.38387e+07	6.13643e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	9	9	1.31696e+07	1.46189e+07	1.29154e+07	1.36248e+07	1.34224e+07	1.34678e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	11	11	5.10294e+06	5.00317e+06	4.86314e+06	4.95172e+06	4.72299e+06	4.91177e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	3.16509e+06	3.72267e+06	3.47828e+06	3.76136e+06	3.36063e+06	3.74689e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	4	4	1.34072e+08	1.35643e+08	1.33209e+08	1.26655e+08	1.24958e+08	1.34336e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	3	3	8.10565e+06	9.79044e+06	7.35581e+06	8.58892e+06	4.5955e+06	8.48752e+06
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	20	17	1.3638e+09	1.37685e+09	1.34326e+09	1.35381e+09	1.29478e+09	1.34454e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	6	6	4.85559e+06	4.73068e+06	4.66888e+06	4.55036e+06	4.70604e+06	4.70142e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.39983e+06	2.21419e+06	2.20816e+06	1.97731e+06	2.17465e+06	2.20008e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	1.1641e+07	1.20533e+07	1.21541e+07	1.20818e+07	1.12204e+07	1.22175e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	8	8	1.21257e+07	1.23684e+07	1.2141e+07	1.24443e+07	1.27036e+07	1.19504e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	15	15	3.27081e+07	3.11115e+07	3.28527e+07	3.14115e+07	3.21492e+07	3.13378e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	19	19	6.9196e+07	6.73412e+07	6.94937e+07	6.54075e+07	6.98661e+07	6.43981e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	10	10	2.29109e+07	2.23907e+07	2.22846e+07	2.21633e+07	2.18177e+07	2.19637e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	14	14	1.87091e+07	1.97197e+07	1.83021e+07	1.91588e+07	1.89466e+07	1.90374e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	4.78607e+06	5.27766e+06	4.797e+06	4.76218e+06	4.90257e+06	4.6474e+06
P07023	TYRA_ECOLI	tyrA	T-protein	9	9	7.04995e+06	8.11779e+06	7.8193e+06	7.58762e+06	7.22115e+06	7.27919e+06
P07024	USHA_ECOLI	ushA	Protein UshA	13	13	2.66847e+07	2.56277e+07	2.67406e+07	2.58487e+07	2.54376e+07	2.54178e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	2	2	5.32538e+06	5.18045e+06	4.8578e+06	5.01341e+06	4.62366e+06	4.95986e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	49	49	1.2071e+08	1.24203e+08	1.19561e+08	1.22744e+08	1.19428e+08	1.21563e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	5	5	4.04584e+06	3.38493e+06	3.78784e+06	3.1886e+06	3.80103e+06	3.28049e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	15	15	1.18801e+07	1.17938e+07	1.14983e+07	1.15895e+07	1.241e+07	1.0988e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	4	4	299910	196454	185206	249498	235787	235302
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	35	35	9.33544e+07	9.28425e+07	9.20515e+07	9.5089e+07	9.24358e+07	9.32817e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	10	10	7.93725e+06	8.0708e+06	8.37382e+06	8.70924e+06	8.10841e+06	8.06177e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	10	10	1.89427e+07	1.95433e+07	1.88471e+07	1.8424e+07	1.72397e+07	1.84788e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	5	5	1.26706e+06	1.5054e+06	1.32868e+06	1.33479e+06	1.42344e+06	1.10518e+06
P07649	TRUA_ECOLI	truA	tRNA pseudouridine synthase A	4	4	3.43405e+06	3.38153e+06	3.55491e+06	3.46467e+06	3.40676e+06	3.21569e+06
P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	24	24	3.12571e+07	2.9427e+07	3.09646e+07	2.84108e+07	3.11974e+07	2.96027e+07
P07658	FDHF_ECOLI	fdhF	Formate dehydrogenase H	12	12	3.96965e+06	3.86669e+06	4.09689e+06	4.24173e+06	3.94828e+06	4.02529e+06
P07762	GLGB_ECOLI	glgB	1,4-alpha-glucan branching enzyme GlgB	20	20	1.1216e+07	1.14384e+07	1.08365e+07	1.099e+07	1.0938e+07	1.12317e+07
P07813	SYL_ECOLI	leuS	Leucine--tRNA ligase	32	32	9.73296e+07	9.80016e+07	9.54581e+07	9.4941e+07	9.72629e+07	9.83001e+07
P07821	FHUC_ECOLI	fhuC	Iron(3+)-hydroxamate import ATP-binding protein FhuC	3	3	2.77081e+06		2.44515e+06	2.75572e+06	3.29097e+06	
P07822	FHUD_ECOLI	fhuD	Iron(3+)-hydroxamate-binding protein FhuD	2	2	1.95279e+06	1.72534e+06	1.80819e+06	1.59672e+06	1.95064e+06	1.63091e+06
P07862	DDLB_ECOLI	ddlB	D-alanine--D-alanine ligase B	11	11	4.45942e+07	4.78693e+07	4.65656e+07	4.45688e+07	4.70545e+07	4.35969e+07
P07913	TDH_ECOLI	tdh	L-threonine 3-dehydrogenase	7	7	3.24289e+07	3.39207e+07	3.05269e+07	3.3106e+07	3.13459e+07	3.27779e+07
