Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML
P00582	DPO1_ECOLI	polA	DNA polymerase I	45	45	2.66004e+07	2.70252e+07	2.61825e+07	2.62413e+07	2.67483e+07	2.57299e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		1	1		3.58654e+07		3.80295e+07		3.74708e+07
P00803	LEP_ECOLI	lepB	Signal peptidase I	5	5	1.5e+07	1.68387e+07	1.51255e+07	1.54993e+07	1.44438e+07	1.53853e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	20	20	1.50694e+08	1.46686e+08	1.47757e+08	1.44957e+08	1.48964e+08	1.45715e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	6	6	7.90765e+06	7.7746e+06	8.01738e+06	7.56689e+06	7.82958e+06	7.5348e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.8331e+06	2.04835e+06	1.52675e+06	2.20989e+06	1.86609e+06	2.36518e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	41	41	6.48093e+07	6.41932e+07	6.28988e+07	6.44258e+07	6.54938e+07	6.44022e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	8.04771e+06	8.67104e+06	7.16223e+06	7.9838e+06	7.02172e+06	8.69693e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.15401e+07	1.17922e+07	1.07175e+07	1.11529e+07	1.1169e+07	1.08186e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	1.74906e+06	1.75742e+06	1.92086e+06	1.72697e+06	2.05099e+06	1.77826e+06
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	1.83353e+06	1.34968e+06	1.67009e+06	1.86157e+06	1.80088e+06	1.87215e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	5	5	1.79856e+06	1.51592e+06	1.74227e+06	1.77834e+06	1.8121e+06	1.96876e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10		6.8406e+07		6.81261e+07		6.73647e+07
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		9	9		9.09738e+07		8.92017e+07		8.94362e+07
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	3.5059e+06	3.14674e+06	3.29935e+06	3.02075e+06	3.09487e+06	2.98753e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	15	15	1.9033e+07	1.92081e+07	1.83945e+07	2.00648e+07	1.93515e+07	1.94688e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.6988e+06	2.76197e+06	2.88632e+06	3.36136e+06	2.85073e+06	2.8801e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	2	2	3.39653e+06	3.2398e+06	2.84138e+06	3.0663e+06	2.9341e+06	3.30134e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.45422e+07	5.49329e+07	5.41846e+07	5.44562e+07	5.45847e+07	5.28737e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	12	12	1.01499e+08	1.1261e+08	1.03218e+08	1.08099e+08	1.01422e+08	1.00003e+08
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	40	40	1.14983e+08	1.22387e+08	1.16607e+08	1.22554e+08	1.15008e+08	1.18452e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	43	43	1.33076e+08	1.38325e+08	1.31432e+08	1.35412e+08	1.36385e+08	1.3698e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	34	34	6.62351e+07	6.7592e+07	6.68532e+07	6.61516e+07	6.74354e+07	6.62377e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.20378e+07	3.49499e+07	3.18412e+07	3.22055e+07	3.18017e+07	3.39975e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	40	40	8.19326e+07	8.54931e+07	8.1368e+07	8.31513e+07	8.2417e+07	8.38686e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	29	29	8.4037e+07	8.4944e+07	8.23461e+07	8.35443e+07	8.39898e+07	8.05109e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	10	10	1.14173e+08	9.86077e+07	1.1007e+08	1.0546e+08	1.09256e+08	9.54853e+07
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	34	34	2.10531e+07	2.09272e+07	2.12639e+07	2.09659e+07	2.13177e+07	2.12653e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		14	14		8.24722e+07		8.07598e+07		7.98712e+07
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		8	8		5.42177e+07		4.8875e+07		5.12682e+07
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		4	4		6.24505e+07		6.12373e+07		6.12624e+07
P01133ups|EGF_HUMAN_UPS	Pro-Epidermal	Pro-Epidermal		1	1		2.09033e+07		2.25754e+07		2.35765e+07
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1		3.79995e+07		3.54433e+07		3.86986e+07
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		7	7		5.32293e+07		5.24503e+07		4.91881e+07
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		7	7		7.11376e+07		7.0078e+07		7.13137e+07
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		8	8		8.21457e+07		8.23818e+07		7.75335e+07
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	11	11	9.13755e+08	9.93007e+08	8.6376e+08	9.57812e+08	8.64225e+08	9.54452e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	1.04384e+09	1.05539e+09	1.0236e+09	1.07081e+09	1.03593e+09	9.98837e+08
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	13	13	8.66569e+08	8.27203e+08	8.65675e+08	8.22162e+08	8.89101e+08	8.25989e+08
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		5	5		1.49803e+07		1.49555e+07		1.52394e+07
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		3	3		1.00193e+07		9.7777e+06		9.81249e+06
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		21	21	1.02701e+06	1.32852e+08		1.41917e+08		1.34355e+08
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		18	18		8.26842e+07		8.22159e+07		8.3233e+07
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		22	22		7.80017e+07		7.52795e+07		7.58108e+07
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	8	8	1.44725e+08	1.49972e+08	1.36161e+08	1.49434e+08	1.48042e+08	1.52742e+08
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	20	20	3.74317e+07	3.82987e+07	3.88886e+07	3.68188e+07	3.75201e+07	3.81903e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	12	12	4.28469e+07	4.44134e+07	4.26439e+07	4.40332e+07	4.27904e+07	4.47363e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	16	16	1.3776e+08	1.25592e+08	1.37589e+08	1.26465e+08	1.38169e+08	1.23093e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	19	17	2.17057e+08	2.22045e+08	2.0899e+08	2.11457e+08	2.09354e+08	2.15673e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	1	1	1.09574e+06	1.35911e+06	1.06061e+06	1.24145e+06	958120	1.32316e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	16	14	6.8656e+07	7.27044e+07	6.96248e+07	7.1896e+07	6.86803e+07	7.12098e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	8.63652e+06	8.91339e+06	9.16865e+06	9.24891e+06	8.23442e+06	9.5104e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	12	12	6.39626e+06	7.30762e+06	6.38712e+06	7.16666e+06	6.49667e+06	7.41991e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	3	3	2.36267e+06	2.35348e+06	2.78693e+06	2.13309e+06	1.90775e+06	2.00898e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	10	10	9.68171e+06	1.09091e+07	1.0014e+07	1.20378e+07	1.13096e+07	1.08191e+07
P03023	LACI_ECOLI	lacI	Lactose operon repressor	3	3	2.8152e+06	2.64472e+06	2.52869e+06	2.51852e+06	2.63835e+06	2.91546e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	7.30538e+06	6.99267e+06	7.26607e+06	7.45102e+06	7.08018e+06	7.51251e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	4.11669e+07	3.87213e+07	4.25057e+07	3.86164e+07	4.07118e+07	4.09135e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	3.48632e+07	3.44223e+07	3.48058e+07	3.10104e+07	3.64918e+07	3.37842e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	9	9	3.31704e+07	3.59956e+07	3.46111e+07	3.53588e+07	3.46459e+07	3.55968e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		17	17		2.82281e+07	1.03433e+07	2.77978e+07		2.805e+07
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	8.15163e+07	8.5445e+07	8.21469e+07	8.53029e+07	8.28075e+07	8.31127e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	14	14	2.44524e+07	2.49249e+07	2.45739e+07	2.44534e+07	2.41464e+07	2.46363e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	15	15	3.58826e+07	3.71336e+07	3.4849e+07	3.61003e+07	3.76652e+07	3.58055e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.6899e+07	2.62146e+07	2.71762e+07	2.87286e+07	2.67549e+07	2.68974e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	23	23	1.48745e+08	1.60381e+08	1.54756e+08	1.55015e+08	1.58643e+08	1.5282e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	28	28	8.01974e+07	8.214e+07	7.94271e+07	7.87551e+07	8.01497e+07	8.07123e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	3	3	8.29491e+06	8.24423e+06	8.45864e+06	8.04282e+06	8.23713e+06	8.39827e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	4.46927e+08	4.04814e+08	4.41783e+08	3.78396e+08	4.2507e+08	3.88092e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	6	6	3.50743e+07	3.41875e+07	3.49421e+07	3.36819e+07	3.47458e+07	3.44629e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	6	6	1.49569e+06	1.39364e+06	1.49737e+06	1.49513e+06	1.57323e+06	1.45471e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	5.77719e+06	5.69893e+06	5.98955e+06	5.51441e+06	6.17108e+06	5.93435e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	2	2	6.2109e+06	5.86922e+06	5.37486e+06	5.81507e+06	6.11633e+06	5.96369e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	1.00109e+07	9.8489e+06	9.5195e+06	9.92197e+06	1.00126e+07	1.05425e+07
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	12	12	2.18096e+07	2.20257e+07	2.14001e+07	2.11089e+07	2.08794e+07	2.12395e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	4	4	5.86353e+06	5.5902e+06	5.76875e+06	5.8667e+06	6.62378e+06	5.78584e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	35	35	2.11588e+08	2.15702e+08	2.10188e+08	2.16736e+08	2.15083e+08	2.10142e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	2	2	5.59558e+06	6.0585e+06	5.65333e+06	5.9078e+06	5.51926e+06	5.69631e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	6	6	2.66906e+07	2.77935e+07	2.67356e+07	2.77604e+07	2.52025e+07	2.95744e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		8	8		7.31436e+07		7.42718e+07		7.02977e+07
P05458	PTRA_ECOLI	ptrA	Protease 3	13	13	8.36155e+06	8.39405e+06	8.35841e+06	7.92556e+06	8.10097e+06	8.60496e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	16	16	4.52954e+07	4.47194e+07	4.49088e+07	4.68234e+07	4.32405e+07	4.45179e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	3	3	526530	438115	405873	502192	650712	721259
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	1.07927e+07	1.19455e+07	1.13506e+07	1.35544e+07	9.52252e+06	1.19841e+07
P05706	PTHA_ECOLI	srlB	Glucitol/sorbitol-specific phosphotransferase enzyme IIA component	2	2	1.426e+06	1.49664e+06		1.21132e+06	1.56001e+06	1.09755e+06
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	5	5	1.28134e+07	1.16154e+07	1.231e+07	1.16838e+07	1.2547e+07	1.13325e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	15	15	1.35957e+07	1.43119e+07	1.3514e+07	1.43855e+07	1.30265e+07	1.36859e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	16	16	3.51682e+07	3.34582e+07	3.4492e+07	3.2608e+07	3.54393e+07	3.28881e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	17	17	1.01633e+07	9.6139e+06	1.0452e+07	9.7759e+06	1.0434e+07	9.60686e+06
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	3	3	8.64297e+06	9.82975e+06	1.00225e+07	8.92529e+06	1.01676e+07	9.69164e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	24	24	5.35872e+07	5.5401e+07	5.4233e+07	5.50098e+07	5.41869e+07	5.41674e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	4	4	7.92084e+07	7.29144e+07	5.90328e+07	7.49624e+07	7.26313e+07	7.52062e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	19	19	2.50936e+07	2.6662e+07	2.44429e+07	2.68073e+07	2.36021e+07	2.68725e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	6.78295e+06	7.48249e+06	6.96314e+06	7.93352e+06	6.83232e+06	7.84481e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		19	19		3.50499e+07		3.44855e+07		3.48958e+07
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	8	8	5.78594e+07	5.99308e+07	5.8827e+07	5.81676e+07	5.51599e+07	5.80198e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	2	2	1.73121e+06	1.27276e+06	1.76575e+06	1.57295e+06	1.61103e+06	1.43554e+06
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	25	25	3.0024e+07	2.94505e+07	2.89917e+07	2.88799e+07	2.94831e+07	2.9486e+07
P06616	ERA_ECOLI	era	GTPase Era	7	7	1.10475e+07	9.27644e+06	1.10103e+07	9.23317e+06	1.08295e+07	9.0706e+06
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	6	6	5.37701e+06	5.71304e+06	5.94866e+06	6.33614e+06	6.47459e+06	5.93064e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	10	10	5.37241e+06	5.43022e+06	5.49094e+06	5.29838e+06	5.71197e+06	5.35867e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	14	14	2.66736e+07	3.03313e+07	2.67183e+07	2.88719e+07	2.64852e+07	2.93241e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	4	4	2.88747e+06	4.02549e+06	3.28685e+06	3.5917e+06	2.84882e+06	3.00154e+06
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	4	4	3.18892e+06	3.48693e+06	3.33464e+06	3.89453e+06	3.49551e+06	3.67966e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		16	16		5.02122e+07		4.78698e+07		4.68889e+07
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	9	9	5.49909e+06	4.72337e+06	5.37553e+06	5.22064e+06	5.35161e+06	5.11012e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	38	38	3.33224e+08	3.20236e+08	3.19593e+08	3.18021e+08	3.29466e+08	3.1666e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	9	9	1.49364e+07	1.71687e+07	1.59866e+07	1.63935e+07	1.71772e+07	1.75933e+07
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	8.98917e+07	8.89015e+07	9.05951e+07	8.33702e+07	8.55566e+07	8.90002e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	20	20	7.70017e+07	7.84594e+07	7.45506e+07	7.70591e+07	7.67909e+07	7.95855e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	8	8	1.65548e+07	1.72675e+07	1.69363e+07	1.71682e+07	1.63876e+07	1.75865e+07
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	14	14	5.95667e+07	5.36049e+07	5.88464e+07	5.53352e+07	6.27748e+07	5.44287e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	10	10	1.38527e+07	1.35299e+07	1.32739e+07	1.3937e+07	1.40196e+07	1.39688e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	9	9	4.38201e+06	4.46831e+06	4.15384e+06	4.52642e+06	3.96548e+06	4.53012e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	5.22441e+06	6.20126e+06	5.76753e+06	6.08239e+06	5.59354e+06	6.26319e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	4	4	1.45252e+08	1.52215e+08	1.40905e+08	1.53826e+08	1.35451e+08	1.53584e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	3	3	7.68103e+06	7.29316e+06	5.92374e+06	7.94281e+06	3.85752e+06	8.51632e+06
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	18	15	1.43928e+09	1.37375e+09	1.42933e+09	1.29679e+09	1.40557e+09	1.326e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	5	5	5.4074e+06	5.56695e+06	5.46279e+06	5.17048e+06	5.73316e+06	5.49388e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.50367e+06	2.2605e+06	2.21732e+06	2.24447e+06	2.32972e+06	1.75828e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	2.12693e+07	2.10745e+07	2.17467e+07	2.15514e+07	2.02644e+07	2.047e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	9	9	1.25084e+07	1.23253e+07	1.21528e+07	1.19677e+07	1.243e+07	1.22734e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	15	15	3.22735e+07	3.27025e+07	3.30836e+07	3.22081e+07	3.27887e+07	3.2662e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	18	18	6.68186e+07	7.00481e+07	6.55201e+07	6.56236e+07	6.64798e+07	6.73348e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	10	10	2.16543e+07	2.16691e+07	2.12597e+07	2.18708e+07	2.07846e+07	2.1906e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	13	13	1.63591e+07	1.6662e+07	1.59973e+07	1.64625e+07	1.66626e+07	1.66784e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	4.98776e+06	5.21354e+06	4.92018e+06	5.48098e+06	5.09845e+06	5.55922e+06
P07023	TYRA_ECOLI	tyrA	T-protein	7	7	6.72173e+06	7.5544e+06	7.62135e+06	7.71174e+06	6.96317e+06	8.24989e+06
P07024	USHA_ECOLI	ushA	Protein UshA	12	12	2.69341e+07	2.57575e+07	2.58547e+07	2.60102e+07	2.60573e+07	2.62451e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	1	1	5.89592e+06	5.39747e+06	5.06122e+06	5.4753e+06	4.86894e+06	5.51799e+06
P07117	PUTP_ECOLI	putP	Sodium/proline symporter	2	2	2.38827e+06	2.3563e+06	2.05667e+06	2.27576e+06	2.45608e+06	2.09969e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	47	47	1.19822e+08	1.23701e+08	1.18783e+08	1.2589e+08	1.19697e+08	1.24622e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	6	6	3.55431e+06	2.98759e+06	3.26313e+06	3.1732e+06	3.41616e+06	3.02095e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	15	15	1.05679e+07	1.09322e+07	1.03957e+07	1.1051e+07	1.13276e+07	1.05066e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	2	2	435692	245889	285547		321443	282555
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	37	37	9.49654e+07	9.48079e+07	9.37934e+07	9.32761e+07	9.53822e+07	9.29397e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	11	11	7.75974e+06	7.3916e+06	7.81528e+06	7.90344e+06	7.80648e+06	7.50388e+06
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	10	10	1.76671e+07	1.72586e+07	1.8434e+07	1.7129e+07	1.73608e+07	1.74776e+07
P07648	EX5C_ECOLI	recC	Exodeoxyribonuclease V gamma chain	5	5	1.41566e+06	1.15197e+06	1.4356e+06	1.27663e+06	1.62993e+06	1.34927e+06
P07649	TRUA_ECOLI	truA	tRNA pseudouridine synthase A	4	4	4.35597e+06	4.44989e+06	4.26936e+06	4.36745e+06	4.35519e+06	4.43502e+06
P07650	TYPH_ECOLI	deoA	Thymidine phosphorylase	24	24	3.1297e+07	3.17612e+07	3.12414e+07	3.08064e+07	3.15029e+07	3.06103e+07
P07658	FDHF_ECOLI	fdhF	Formate dehydrogenase H	13	13	4.4765e+06	4.91604e+06	4.55334e+06	4.68728e+06	4.5169e+06	4.79212e+06
