Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P36659	P36659		cbpA		3612900.0	3584780.0	3353230.0	3464530.0	3487700.0	3455200.0	0	0.6206522041597943	-0.01975357956414253	False	0.03854778430325681	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P31473	P31473		ravA		1399770.0	1468100.0	1378640.0	1313240.0	1422780.0	1434250.0	0	0.6211197891495441	-0.026136854780155216	False	0.03857447944474106	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ACB4	P0ACB4		hemG		2508570.0	2698350.0	2445720.0	2729950.0	2565940.0	2516840.0	0	0.6211823471308238	0.029869223831248484	False	0.038601174586225306	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P08395	P08395		sppA		5816770.0	5506570.0	5987170.0	5761360.0	6031890.0	5786300.0	0	0.6212852190793849	0.022249911129884944	False	0.03862786972770956	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P33667	P33667		selU		892652.0	853465.0	860771.0	814345.0	920832.0	941331.0	0	0.6216878560074538	0.03802336328242987	False	0.03865456486919381	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P45748	P45748		rimN		4230260.0	4374150.0	4150240.0	4039190.0	4209280.0	4333760.0	0	0.6233699671127135	-0.01963567091674737	False	0.03868126001067806	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ABP8	P0ABP8		deoD		55169300.0	55235400.0	55364400.0	55707000.0	55191500.0	55177400.0	0	0.6243222026937705	0.0026676247323575855	False	0.038707955152162306	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AEM9	P0AEM9		fliY		6045190.0	6000500.0	6152590.0	5936790.0	6146160.0	6307520.0	0	0.6245548887398279	0.015156249394213044	False	0.038734650293646554	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AEE5	P0AEE5		mglB		1858600.0	1968060.0	1872080.0	2197210.0	1906890.0	1801600.0	0	0.6246106560247783	0.05146509927183288	False	0.03876134543513081	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P76938	P76938		epmC		2558990.0	2970820.0	2807830.0	2609920.0	2619200.0	2872530.0	0	0.6246518806903718	-0.0414233208659284	False	0.03878804057661506	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P25888	P25888		rhlE		48646000.0	47815000.0	48522100.0	47441300.0	48413600.0	48459000.0	0	0.6257646930205645	-0.006674478085626228	False	0.038814735718099305	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A9P4	P0A9P4		trxB		9783300.0	10050200.0	9957500.0	9990010.0	9788720.0	9856560.0	0	0.6265929135177484	-0.007560376355869504	False	0.03884143085958355	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A6L4	P0A6L4		nanA		1026160.0	932345.0	1188240.0	865134.0	899960.0	1182920.0	0	0.6273291490893733	-0.09411689721708028	False	0.0388681260010678	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ADT5	P0ADT5		ygiC		3092070.0	3221390.0	3015900.0	3179180.0	3118870.0	3135480.0	0	0.6273788778717004	0.016019609618846322	False	0.03889482114255206	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
Q46856	Q46856		yqhD		3983700.0	3921760.0	4002130.0	3867720.0	4041530.0	3903530.0	0	0.627804118560708	-0.011532926783053942	False	0.03892151628403631	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AD33	P0AD33		yfcZ		47039900.0	47807100.0	46935300.0	45694500.0	45575000.0	48732200.0	0	0.6283986950444493	-0.018233093307286983	False	0.03894821142552056	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P60061	P60061		adiC		1428510.0	1353580.0	1383590.0	1407720.0	1324140.0	1546640.0	0	0.6288205109360196	0.03855307217117438	False	0.03897490656700481	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P23865	P23865		prc		6207680.0	6292870.0	6228540.0	6102430.0	6332160.0	6483950.0	0	0.6300133419959365	0.014519951593610992	False	0.039001601708489056	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A6D3	P0A6D3		aroA		5406560.0	5217850.0	5442450.0	5479430.0	5411650.0	5310180.0	0	0.6300172006047873	0.012018012500296028	False	0.03902829684997331	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P52644	P52644		hslJ		405244.0	417610.0	394803.0	380876.0	438176.0	429597.0	0	0.631092383106679	0.03626018701456598	False	0.03905499199145756	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A8F8	P0A8F8		uvrB		1878350.0	2018440.0	1896340.0	1937970.0	1936310.0	1830550.0	0	0.6314220506735102	-0.02215914415115438	False	0.03908168713294181	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A996	P0A996		glpC		3114880.0	3165850.0	3276010.0	3115610.0	3230360.0	3115840.0	0	0.6325142258488312	-0.014402378481779604	False	0.039108382274426055	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A6I9	P0A6I9		coaE		1637530.0	1398360.0	1377200.0	1416850.0	1612720.0	1124080.0	0	0.6334085055701495	-0.08740951460639663	False	0.039135077415910303	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P37692	P37692		rfaF		2898510.0	2709360.0	2973370.0	2978040.0	2804880.0	2946030.0	0	0.6347114259861442	0.024621989355785807	False	0.03916177255739456	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A8I3	P0A8I3		yaaA		3470180.0	3493550.0	3507400.0	3526380.0	3570310.0	3439470.0	0	0.6351108565540484	0.008932019140828931	False	0.03918846769887881	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P77295	P77295		ygaV		365216.0	387390.0	376818.0	323636.0	431068.0	311140.0	0	0.635468069326579	-0.08359089715128808	False	0.039215162840363055	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P05100	P05100		tag		2277990.0	1909050.0	2283920.0	2052670.0	2219870.0	1973510.0	0	0.6355299638722403	-0.0510356410171117	False	0.0392418579818473	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
Q46807	Q46807		yqeA		609700.0	596999.0	73593.7	488515.0	573892.0	512041.0	1	0.6359007199199185	0.2983724334329924	False	0.03926855312333155	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P64624	P64624		yheO		4673240.0	4571140.0	4656970.0	4545040.0	4646630.0	4875590.0	0	0.6359900581251208	0.017116355932898713	False	0.039295248264815806	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A8D0	P0A8D0		nrdR		1465620.0	1446970.0	1489180.0	1497890.0	1462870.0	1466340.0	0	0.6366153402811204	0.008278197697109484	False	0.039321943406300054	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
