Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P03018	P03018		uvrD		3845500.0	3849800.0	3801230.0	3947420.0	3737700.0	4100730.0	0	0.3847606215863008	-0.038380968824894994	False	0.027234709879769996	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A7Y0	P0A7Y0		rnc		9828710.0	10278100.0	9875760.0	10045600.0	10464100.0	8501580.0	0	0.38487130948797676	0.08694282363580715	False	0.027260846837428125	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P37613	P37613		yhhK		4302950.0	4525600.0	4324770.0	4580700.0	4437540.0	3885550.0	0	0.3852125348993938	0.06965481465144217	False	0.027286983795086255	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P43533	P43533		flgN		1268930.0	1414280.0	1220460.0	1326540.0	1291990.0	1312930.0	0	0.3852911047395653	-0.057880324933246706	False	0.02731312075274438	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P39265	P39265		alsB		859230.0	827058.0	650052.0	867763.0	842106.0	902087.0	0	0.3853108577225915	-0.13330808285542628	False	0.02733925771040251	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P06996	P06996		ompC		300161000.0	309102000.0	304993000.0	320099000.0	295865000.0	273985000.0	0	0.3853110626897885	0.060315220322004086	False	0.02736539466806064	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P21893	P21893		recJ		1126990.0	1096810.0	1149470.0	1094790.0	1045670.0	1178630.0	0	0.3858885129914246	-0.04850859270825849	False	0.02739153162571877	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P67087	P67087		rsmI		3068610.0	3342810.0	3263480.0	3286610.0	3202640.0	2980970.0	0	0.3858937592039947	0.054313802244958895	False	0.027417668583376898	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A9L3	P0A9L3		fklB		20235300.0	20290900.0	19588200.0	18987800.0	19596400.0	19037200.0	0	0.3859358669110479	-0.03409128203822891	False	0.027443805541035024	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P05825	P05825		fepA		2139950.0	2145260.0	2216570.0	2223700.0	2061880.0	2021400.0	0	0.3859665165359971	0.04405211848543071	False	0.027469942498693153	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
