protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_1fmol_inj1	RD139_Wide_UPS1_1fmol_inj2	RD139_Wide_UPS1_1fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P60438	363285915.2789431	355015522.4248534	361903004.1130287	317626126.0097276	329423463.17022073	323991572.7414007	P60438	P60438		rplC	0	0.0014331549252527959	0.15370002866516286	False	0.00029239766081871346	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P00954	45105881.27841242	45891730.97990609	44955810.00377823	50010008.335795954	50818205.410804525	49332425.782621846	P00954	P00954		trpS	0	0.0014351394609295643	-0.14339423189434045	False	0.00031897926634768745	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	24891.38117493505	32769.207029999976	84320.20227959774	683322.8509554248	828138.4910673795	702646.0040689763	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)	P01579ups|IFNG_HUMAN_UPS Interferon Gamma (Chain 23-166) - Homo sapiens (Human)			3	0.0014361744461102702	-3.9629575133496053	False	0.0003455608718766614	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.0
P0AEX9	35453613.95649272	35242137.64557535	34942357.617143385	39999040.01184088	38931029.22946069	39315517.15970092	P0AEX9	P0AEX9		malE	0	0.0015076258203860465	-0.1626559504327071	False	0.0003721424774056353	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A7J7	393185677.3809082	400609685.07364064	393871962.0892608	369379715.06438375	365167803.9516431	368861489.154502	P0A7J7	P0A7J7		rplK	0	0.0015713248834474081	0.10616311817854616	False	0.00039872408293460925	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P52614	1593036.2026852083	1539870.4999999984	1590909.7402034877	1378784.654887805	1333489.3714970434	1401746.9702455483	P52614	P52614		fliK	0	0.0016918307929332864	0.1994037489401112	False	0.00042530568846358324	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	24891.38117493505	32769.207029999976	84320.20227959774	284594.8188586451	359127.58434135286	383407.1604279976	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)	P06396ups|GELS_HUMAN_UPS Gelsolin (Chain 28-782) - Homo sapiens (Human)			3	0.0022677263392592594	-2.8548505204611856	False	0.0004518872939925572	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.0
P43671	3380223.010301277	3371783.01456668	3399589.3202746124	3113828.644773009	3044431.0462399707	3105928.432884744	P43671	P43671		pqiB	0	0.0022832917664222453	0.1319700129430155	False	0.0004784688995215311	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	2039505.5728352508	2029330.628651904	1797910.175923384	2749980.173731213	2645801.09423538	2555482.352891465	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)	P68871ups|HBB_HUMAN_UPS Hemoglobin subunit beta (Chain 2-147) - Homo sapiens (Human)			0	0.002917569452051766	-0.4386235279318729	False	0.000505050505050505	False	False	Human	True	False	False	False	msfragger	directlfq	min	1.0
P0AF93	249245902.3984444	252092954.3211077	252981519.19147545	223023620.0327693	230901376.82965827	228642906.8762961	P0AF93	P0AF93		ridA	0	0.003197727045234123	0.14420482047300873	False	0.000531632110579479	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	24891.38117493505	32769.207029999976	84320.20227959774	709786.0114610886	904039.5717670948	890809.4981103439	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)	P02144ups|MYG_HUMAN_UPS Myoglobin (Chain 2-154) - Homo sapiens (Human)			3	0.0036328746523615948	-4.140832765566145	False	0.0005582137161084529	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.0
P0ADX1	19542785.867392454	19584675.868275	19329603.233975936	18713863.202142783	18812791.058308423	18684471.916258357	P0ADX1	P0ADX1		yhfA	0	0.003811262063026232	0.056521676425883655	False	0.0005847953216374269	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A7V0	521158160.0634276	514319658.6623954	525675040.60365	542947382.088846	549927306.6325775	555814106.1357747	P0A7V0	P0A7V0		rpsB	0	0.004399019745270942	-0.07870729770631738	False	0.0006113769271664009	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A7M6	82140967.94533144	86179957.36577962	79116973.38879965	106615266.3436402	98073524.2558005	100950692.1298272	P0A7M6	P0A7M6		rpmC	0	0.00442464054254708	-0.3047644369097682	False	0.0006379585326953749	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A937	6715953.672283868	6641917.000000005	6637094.491262318	6282353.821242543	6323968.285455828	6419203.485850297	P0A937	P0A937		bamE	0	0.004542262210713213	0.07170045792805542	False	0.0006645401382243488	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P52061	19641858.87912361	20048311.124935284	20062555.38142131	21598570.764341623	20995242.343475293	21209710.24775409	P52061	P52061		rdgB	0	0.004579378548036396	-0.09463157718448277	False	0.0006911217437533228	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P76658	61323756.80215381	61191184.13465839	60495642.80215007	59461148.052063935	59099509.476467565	58681440.05269213	P76658	P76658		hldE	0	0.005152934310872401	0.04620577815340089	False	0.0007177033492822966	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P23003	7898644.10806392	8006525.67913337	7763201.556488942	7146915.435663343	7429575.483563032	7267231.06584323	P23003	P23003		trmA	0	0.005226299870420879	0.11574173525795281	False	0.0007442849548112706	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P24171	16183870.909128902	16287325.86190771	16000400.89863082	16677889.9232456	16859311.108125523	16825447.32589853	P24171	P24171		dcp	0	0.005242275722774074	-0.05521451436197872	False	0.0007708665603402446	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A7T7	179291342.13047537	177880486.1441422	178709924.7096616	165760488.94550222	160915158.52137405	163725223.18125996	P0A7T7	P0A7T7		rpsR	0	0.00526556320265011	0.12795315210421224	False	0.0007974481658692185	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A817	46781317.63528345	46228882.85521813	45517323.54347631	48614039.70222789	50091256.66692308	49222962.119276494	P0A817	P0A817		metK	0	0.00550123974789347	-0.09472502055497094	False	0.0008240297713981925	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P33602	113228724.30133912	111423951.84504472	112776353.194366	115984418.94988	118222945.74178071	117458931.28432465	P33602	P33602		nuoG	0	0.005642318094885892	-0.059622976964696456	False	0.0008506113769271665	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	24891.38117493505	32769.207029999976	84320.20227959774	322574.8477857683	277658.87263238366	217101.5005485116	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			3	0.006038057187893576	-2.5252321538715425	False	0.0008771929824561405	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.0
P39176	1728430.9855535484	1756252.8572164	1822800.5825279048	2034729.24055794	1996552.1681076617	2008349.845509722	P39176	P39176		erfK	0	0.0062671263746259635	-0.18643223683744467	False	0.0009037745879851144	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0AD59	6296842.528793623	6014309.493589985	6322961.060042754	6884050.112339799	7062636.094457351	6943949.185556886	P0AD59	P0AD59		ivy	0	0.006410595238032909	-0.16491021935307235	False	0.0009303561935140882	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0AFL3	16919258.011794947	16372520.705571994	16647105.943135789	15773472.300061438	15384869.444532566	15206523.590869045	P0AFL3	P0AFL3		ppiA	0	0.0066750220022136495	0.10713163566187968	False	0.0009569377990430622	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P08957	99623029.9321265	98854848.22018965	99965349.2669486	102634438.39021848	101382061.23879889	101862672.25710818	P08957	P08957		hsdM	0	0.007440790093271681	-0.035505358317819896	False	0.0009835194045720362	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P07649	5635283.642087245	5681924.864019911	5814748.840913983	5065917.648874745	4987119.261197105	5280637.822218935	P07649	P07649		truA	0	0.007574661875015007	0.1599865085950421	False	0.00101010101010101	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0AG63	432115830.55360645	435900502.0057021	456479134.3626052	394326351.9487965	380425964.0911076	399977788.7923535	P0AG63	P0AG63		rpsQ	0	0.007608125452730568	0.17311357156252447	False	0.0010366826156299842	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	24891.38117493505	228214.25	84320.20227959774	706373.4149880147	716591.6852103119	743604.5292588306	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)	P01344ups|IGF2_HUMAN_UPS Insulin-like growth factor II (Chain 25-91) - Homo sapiens (Human)			2	0.00799665986269348	-2.6827702665831787	False	0.001063264221158958	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.0
P02413	328366507.5470663	333206443.0598042	335543938.4976648	311672008.53755337	317292859.933612	306303994.85717493	P02413	P02413		rplO	0	0.008336396443812484	0.09238147885163513	False	0.0010898458266879322	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	661682.8850806875	706085.6341553659	622294.6463586721	1091044.53391246	1041472.7914134646	1239941.8588178677	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)			0	0.00845535494326728	-0.760986759422453	False	0.0011164274322169058	False	False	Human	True	False	False	False	msfragger	directlfq	min	1.0
P0A6K3	53474956.79509987	52794707.334138334	53839251.08711407	51519228.07356561	51494669.821674205	50498008.75738942	P0A6K3	P0A6K3		def	0	0.008619307205697771	0.060703084630020866	False	0.0011430090377458797	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P00452	102879941.3552661	101503434.83305648	102735739.58755544	98453398.71131428	99970996.23816976	98195624.50191884	P00452	P00452		nrdA	0	0.008819865940253325	0.05018234033088051	False	0.0011695906432748538	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P69441	201296951.63144848	193847519.70182413	192587303.9386704	216418449.9075777	209693208.79664987	213049998.38402653	P69441	P69441		adk	0	0.008899853878404255	-0.12102296583360454	False	0.0011961722488038277	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A6R0	68733478.05086382	69930224.42575122	69810320.29953377	73495567.50733936	73615047.87927909	75698053.4330049	P0A6R0	P0A6R0		fabH	0	0.009296596215556351	-0.0959377390723296	False	0.0012227538543328018	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0ADW3	90720218.33248842	89186719.74333198	90832748.3682162	93594726.29145028	96206189.19628856	94828532.58172064	P0ADW3	P0ADW3		yhcB	0	0.009762872310378467	-0.07217855150590487	False	0.0012493354598617757	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P45578	76626984.18896192	78409698.7492031	77492248.8059637	79938752.69464023	81106552.40552165	81742624.29931901	P45578	P45578		luxS	0	0.009773555326107854	-0.06228646685058809	False	0.0012759170653907498	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P37666	33693495.3906532	32819281.73420608	33592578.61321968	36055780.72364334	34869385.23741767	35886857.39354454	P37666	P37666		ghrB	0	0.010230483359057135	-0.09355489204629454	False	0.0013024986709197237	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0ACF4	110567945.50570671	116458807.3795862	109597244.21532331	97334766.61696193	98939390.59516636	95743727.76602855	P0ACF4	P0ACF4		hupB	0	0.010486776527914349	0.2050812951686987	False	0.0013290802764486975	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P37650	6434871.578189637	6578026.216174939	6416511.443315125	5991730.887317527	6165921.294915988	6178902.072900443	P37650	P37650		bcsC	0	0.010623558740323075	0.0835194777174363	False	0.0013556618819776716	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A9Q7	1271013704.236837	1284837501.529437	1296674290.1005938	1340878745.8026474	1331834580.4844325	1330159379.6594813	P0A9Q7	P0A9Q7		adhE	0	0.010744007607423792	-0.05523123330656403	False	0.0013822434875066455	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	24891.38117493505	32769.207029999976	84320.20227959774	156893.34135535723	132776.6982218172	183664.11373651924	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)	P08758ups|ANXA5_HUMAN_UPS Annexin A5 (Chain 2-320) - Homo sapiens (Human)			3	0.010929184330132184	-1.737163271923667	False	0.0014088250930356196	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.0
P0A915	42149167.82283416	39003788.417875744	41122347.58609127	48126530.76596522	45002422.97578532	46548479.4542615	P0A915	P0A915		ompW	0	0.010944434239882653	-0.1919659029598	False	0.0014354066985645933	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P33590	24226936.75757475	24478086.446805656	24186758.512265496	23299596.158087388	23562034.15295152	23743748.990919985	P33590	P33590		nikA	0	0.011004383605832144	0.04597806097248657	False	0.0014619883040935672	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P37177	2659476.4071038435	2702856.10488362	2523844.7373611564	2203809.0087087606	2372868.308504421	2320793.242488293	P37177	P37177		ptsP	0	0.011111956809859673	0.19325874298289827	False	0.0014885699096225413	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0AEK4	155597210.0860317	158057224.3368863	154888828.64428502	162578093.85405582	162798264.95295596	160265208.42323387	P0AEK4	P0AEK4		fabI	0	0.011224390398569364	-0.05170964495194358	False	0.0015151515151515152	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A8C4	10914942.114021642	10975224.891350351	10650139.13951514	11504996.472901812	11558047.951733444	11264898.518868994	P0A8C4	P0A8C4		ygfB	0	0.011698038640460871	-0.0771555840952175	False	0.0015417331206804892	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A955	103234872.61518748	103942712.55937251	103624800.79485846	98118886.67472269	99483791.12544924	97018973.98735334	P0A955	P0A955		eda	0	0.0119610253079447	0.0771341209414695	False	0.0015683147262094631	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0AB71	485760478.9875361	473901056.458194	469204039.9112575	504878604.566237	516033025.73261535	499208733.8972462	P0AB71	P0AB71		fbaA	0	0.012069915001105443	-0.08931536466844789	False	0.001594896331738437	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0AEU7	80040110.9624416	79867268.36729676	78299360.20312072	75230492.32775348	75942704.56421816	75707910.58732544	P0AEU7	P0AEU7		skp	0	0.012357043662029823	0.07027775168139994	False	0.0016214779372674111	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	24891.38117493505	32769.207029999976	84320.20227959774	863131.703775875	1217729.523009875	886677.3548330977	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)	P02787ups|TRFE_HUMAN_UPS Serotransferrin (Chain 20-698) - Homo sapiens (Human)			3	0.012718055188315647	-4.3854991304433515	False	0.001648059542796385	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.0
Q46868	23743950.894809984	25066426.257991683	24917747.463088352	21505025.495544195	21799428.856254958	22869098.982075784	Q46868	Q46868		yqiC	0	0.012882745241244681	0.1559603100454825	False	0.001674641148325359	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0AD49	24419533.057256173	23212853.52010767	23526593.4007578	27517344.606690086	25840942.99970135	26263372.549606387	P0AD49	P0AD49		raiA	0	0.013019079818768537	-0.1621151221652571	False	0.001701222753854333	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A7S9	229253421.90989152	234003055.0742606	240129466.8022684	251609627.44916296	251965498.6332327	256575554.2758742	P0A7S9	P0A7S9		rpsM	0	0.013070131149237569	-0.11196891921103523	False	0.0017278043593833069	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0AEG4	9047990.333080888	8768184.407586168	8364879.240440898	9681066.025489712	10091873.069997814	9796740.17819628	P0AEG4	P0AEG4		dsbA	0	0.01310234184924552	-0.175595417809803	False	0.001754385964912281	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0AG67	1256569000.0429573	1229965132.4860368	1239292237.5228882	1320367386.4298773	1295654497.7373323	1284585010.7330418	P0AG67	P0AG67		rpsA	0	0.013738343631946608	-0.06613816640211546	False	0.0017809675704412546	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P30015	1043287.714631332	881699.2500000002	998142.3823880235	1197920.6818292155	1321304.634598547	1406400.7565398663	P30015	P30015		lhr	0	0.013843080105724156	-0.42540908945433703	False	0.0018075491759702287	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A6X7	85808867.86644939	83119747.8729507	83197799.06907265	92597887.46269736	89533903.72269483	94560093.15062828	P0A6X7	P0A6X7		ihfA	0	0.013972341502983623	-0.13413305425508307	False	0.0018341307814992026	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0ADP9	17694561.99820581	18058955.56981779	18728278.439605907	20164880.47514427	19828290.94897929	19478367.240679447	P0ADP9	P0ADP9		yihD	0	0.014182464072511244	-0.126425139040164	False	0.0018607123870281765	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A993	69585837.15626867	70330541.74527103	70467569.00542599	71972487.43419036	73318742.34122495	72087004.31098908	P0A993	P0A993		fbp	0	0.015053689662577125	-0.04718285907968419	False	0.0018872939925571506	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P23869	104861347.8921286	107047998.40112671	104255085.03077482	110988711.62081158	109050095.21401666	109753931.33600554	P23869	P23869		ppiB	0	0.015225681079655495	-0.06088455906210189	False	0.0019138755980861245	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0AG99	9307519.810824225	9576148.2799224	9632640.56638012	10246817.079069678	10698206.252225934	10913998.980688866	P0AG99	P0AG99		secG	0	0.015284682245651833	-0.1599147524780682	False	0.0019404572036150986	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P46142	9529777.217176858	9739267.000000002	9767895.972654488	9048810.863210902	9085927.174611475	8660753.321458999	P46142	P46142		yggM	0	0.015675695173250005	0.11589916368844441	False	0.0019670388091440724	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A8M3	82566004.92818543	84820457.91366953	84056233.90838104	88283754.221033	87933209.08884035	86232908.0397019	P0A8M3	P0A8M3		thrS	0	0.016125649530137266	-0.06181223996020341	False	0.001993620414673046	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P37634	58162488.27772929	58028377.948803626	56431963.55210273	59917932.84066778	60192087.627897166	61097428.12629599	P37634	P37634		rlmJ	0	0.017399611439463253	-0.07001898210620196	False	0.00202020202020202	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0C0V0	73804322.79773861	74842683.34686658	75124983.46635638	70652168.98868947	72391168.73918028	70163097.36663444	P0C0V0	P0C0V0		degP	0	0.01742143634310497	0.06977847716495213	False	0.0020467836257309943	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P23830	7780458.821755206	7507807.5243131695	7463401.738010962	8404569.200011667	8554825.008216152	8056128.139332931	P23830	P23830		pssA	0	0.01755510066227182	-0.13685125420695382	False	0.0020733652312599684	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0AGJ5	52329230.33933831	52722255.40534764	52403852.33129698	51491465.82364934	51848078.56895974	51190744.86102881	P0AGJ5	P0AGJ5		yfiF	0	0.017634050026269325	0.027053022409813138	False	0.002099946836788942	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A8L1	257621906.00248963	260003880.45490268	255990419.12244704	267350582.06207827	268471948.18547827	274722047.218406	P0A8L1	P0A8L1		serS	0	0.01777594231551377	-0.06727351526745011	False	0.002126528442317916	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P03841	22189900.84387917	21489490.336110093	21174426.728523605	20507611.891111005	20066655.152939327	19584625.314719304	P03841	P03841		malM	0	0.018022382755694087	0.10841350317681876	False	0.00215311004784689	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A858	228468591.75331	226655175.17764413	221014291.5669677	247346681.3860471	240261860.97397304	236532188.0485265	P0A858	P0A858		tpiA	0	0.018106591723416863	-0.0989522437646067	False	0.0021796916533758644	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0AG44	547738929.5705445	540739644.9306475	567076980.1365265	606127850.5889194	582554446.3560299	615159383.3868567	P0AG44	P0AG44		rplQ	0	0.018222255139051617	-0.12375729828541038	False	0.002206273258904838	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P13029	298011111.1059232	299095681.7481767	301920920.62932545	304386220.8820497	309267305.18549937	306906845.8908651	P13029	P13029		katG	0	0.018354494090195385	-0.034146750109555854	False	0.0022328548644338117	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A759	7740983.611183316	7518518.748922861	7576578.503308749	8146775.643018403	7921592.049918297	7924103.951591924	P0A759	P0A759		nagB	0	0.018701519583494086	-0.07126671203671772	False	0.002259436469962786	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0AG90	90474940.9936644	91581081.44464068	90689665.99905656	87127753.54720186	88904547.96358876	86908423.01044983	P0AG90	P0AG90		secD	0	0.018947537849198726	0.052818785306271404	False	0.0022860180754917594	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P00961	143911835.5961721	143720261.5112681	145668711.67356053	148543893.7865614	147268918.27315336	146816735.99713713	P00961	P00961		glyS	0	0.019392669885253608	-0.030730833022587334	False	0.002312599681020734	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A9T4	30359196.04443963	30076579.95340256	29089190.327930275	32177296.403171018	31630338.4327337	32011380.84171944	P0A9T4	P0A9T4		tas	0	0.01970531671732402	-0.09802192225169484	False	0.0023391812865497076	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
P0A7U3	219588067.4268309	224309096.10506463	221400065.1216514	226863437.58037385	229338423.40771785	232155858.3843077	P0A7U3	P0A7U3		rpsS	0	0.02055563403246897	-0.04915946213836161	False	0.0023657628920786817	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.0
