Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P30177	P30177		ybiB		8468010.0	8231430.0	8314080.0	8264210.0	8280560.0	7834180.0	0	0.21217963075786142	-0.04281331934147564	False	0.022084900591080064	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0AFW8	P0AFW8		rof		3521500.0	3467630.0	3612180.0	3391600.0	3487340.0	3524320.0	0	0.2133822175688561	-0.03262255681383731	False	0.022111767866738317	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0ABE2	P0ABE2		bolA		3704110.0	3394450.0	3769550.0	3685960.0	3703700.0	2953820.0	0	0.21422616816437917	-0.1556495633927456	False	0.022138635142396564	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0A7I7	P0A7I7		ribA		9018450.0	9067330.0	8921430.0	9346000.0	8241190.0	9054690.0	0	0.2146113007338918	0.06922885886807026	False	0.02216550241805481	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P24173	P24173		rfaC		483505.0	667442.0	642106.0	603181.0	549192.0	646226.0	0	0.21478036317124555	0.194745285586198	False	0.02219236969371306	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P31069	P31069		kch		1383830.0	1121730.0	1362900.0	1285590.0	1292440.0	1315470.0	0	0.21586030980417537	-0.11767463019929611	False	0.022219236969371305	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0AAN9	P0AAN9		iraP		178869.0	240239.0	211261.0	227464.0	245999.0	277390.0	0	0.216628565462747	0.22810115120740757	False	0.02224610424502956	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P77338	P77338		kefA		1656750.0	1601680.0	1750950.0	1517210.0	1568550.0	1580900.0	0	0.21672862612445096	-0.08246267180872782	False	0.022272971520687804	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0ADA7	P0ADA7		osmB		2149580.0	2002230.0	2264200.0	2169870.0	2085280.0	1894890.0	0	0.2174683399638178	-0.09925013372465945	False	0.02229983879634605	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0ABC7	P0ABC7		hflK		15089200.0	15147100.0	15143900.0	15580900.0	15323000.0	15637600.0	0	0.2176412345958282	0.02541057938064088	False	0.0223267060720043	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P33363	P33363		bglX		4140770.0	4303830.0	4201990.0	4177170.0	4214040.0	4369170.0	0	0.21831774854933286	0.03331859374837115	False	0.022353573347662546	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P77552	P77552		ydhQ		3618240.0	3736600.0	3699490.0	3691020.0	3698560.0	3729880.0	0	0.2188627782196954	0.018375363059542574	False	0.0223804406233208	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P21829	P21829		ybhA		2635280.0	2656450.0	2687150.0	2560100.0	2748720.0	2654840.0	0	0.21898582447945342	-0.03615582522725166	False	0.022407307898979045	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P0ACL2	P0ACL2		exuR		2281860.0	2282430.0	2306130.0	2459860.0	2301450.0	2456460.0	0	0.21902203511934878	0.06335969698992996	False	0.02243417517463729	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P36929	P36929		rsmB		3321060.0	3295910.0	3342440.0	3082330.0	3383020.0	3296420.0	0	0.21954712871591117	-0.054412988701161624	False	0.02246104245029554	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P13036	P13036		fecA		460042.0	553750.0	356663.0	453902.0	514259.0	597177.0	0	0.21984197058995367	0.26994803179374377	False	0.02248790972595379	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P04036	P04036		dapB		4980590.0	4800880.0	4849750.0	4514530.0	4946260.0	4882830.0	0	0.2200860258591408	-0.05760224713806557	False	0.02251477700161204	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
P10408	P10408		secA		7295510.0	7200150.0	7390740.0	7056280.0	7256760.0	7306730.0	0	0.22057385565826051	-0.02519282376208706	False	0.022541644277270286	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
Q46868	Q46868		yqiC		9590310.0	9322920.0	9638800.0	8598710.0	8986110.0	9006500.0	0	0.22167775728503666	-0.06735955197638427	False	0.022568511552928532	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.6609640474436812
