Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P10378	P10378		entE		312175.0	362531.0	347414.0	363738.0	305771.0	338741.0	0	0.1083785939798001	-0.14172802221614594	False	0.0219601677148847	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P04994	P04994		xseA		744644.0	653324.0	777281.0	652227.0	746622.0	472653.0	0	0.10844321867219309	0.3513477066715826	False	0.02198637316561845	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P24252	P24252		ybgA		1376730.0	1591970.0	1433500.0	1456390.0	1397880.0	1481730.0	0	0.10877908822544517	-0.10636729562909995	False	0.0220125786163522	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P33371	P33371		dusC		399819.0	363316.0	424048.0	390152.0	471443.0	378292.0	0	0.10888092687318697	0.19472935815153597	False	0.022038784067085957	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A6H5	P0A6H5		hslU		21980700.0	22599100.0	21845600.0	22241600.0	22011000.0	22119200.0	0	0.10900288671528631	-0.024392201545216947	False	0.022064989517819707	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P39838	P39838		rcsD		690068.0	645663.0	654975.0	615745.0	645899.0	578073.0	0	0.10936478701058608	0.11415241837713266	False	0.02209119496855346	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A8V2	P0A8V2		rpoB		40111100.0	38887800.0	39768200.0	39489100.0	39558200.0	39472500.0	0	0.10941233857768934	0.01931145970780421	False	0.022117400419287215	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P76406	P76406		yegR		1224220.0	1571350.0	1293960.0	1374040.0	1074510.0	1297500.0	0	0.10947231409824122	-0.23998282033430215	False	0.022143605870020965	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AE88	P0AE88		cpxR		3886280.0	4251030.0	3854700.0	4065010.0	4040670.0	4025690.0	0	0.10963067366199293	-0.06700303790646372	False	0.02216981132075472	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AAB6	P0AAB6		galF		12805300.0	13648000.0	12840800.0	14053800.0	12858600.0	13096500.0	0	0.10983871581345862	-0.0834744823800845	False	0.02219601677148847	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P16095	P16095		sdaA		5630240.0	5754010.0	5267200.0	5689370.0	5499010.0	5789040.0	0	0.11073626051122039	-0.07174182740231161	False	0.022222222222222227	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ACX5	P0ACX5		ydhZ		2604390.0	2544520.0	2481110.0	2219580.0	2738110.0	2186680.0	0	0.11081452452432303	0.1706595722911495	False	0.022248427672955977	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ABU0	P0ABU0		menB		10661200.0	10531500.0	10570300.0	10501000.0	10917900.0	10325100.0	0	0.11085705574125126	0.035976668084476277	False	0.022274633123689727	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P17443	P17443		murG		2980870.0	3018330.0	3027590.0	3156370.0	2936940.0	3216070.0	0	0.11092010503582245	-0.0700974622281287	False	0.02230083857442348	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AF36	P0AF36		zapB		6805380.0	6203620.0	6414560.0	5431820.0	6823850.0	6311120.0	0	0.11115008192288275	0.15944799326502096	False	0.022327044025157235	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P39829	P39829		garD		433618.0	410925.0	538076.0	342999.0	629859.0	415737.0	0	0.11152078497379812	0.4533810842365041	False	0.02235324947589099	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
