Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P33225	P33225		torA		2356460.0	2387720.0	2047440.0	2488000.0	2556250.0	2390590.0	0	0.6542262849867638	-0.04825503290468711	False	0.040990990990990996	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P09053	P09053		avtA		2938500.0	3127380.0	3035700.0	2932240.0	2966460.0	2882020.0	0	0.6544711720089897	-0.01838498375793346	False	0.04101748807631161	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A698	P0A698		uvrA		5601560.0	5839000.0	5747630.0	5704610.0	5602800.0	5676510.0	0	0.6549851213012186	-0.009983025062863802	False	0.04104398516163222	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P76177	P76177		ydgH		18986700.0	18887300.0	19521000.0	19722500.0	19250200.0	19247000.0	0	0.6554027899105052	0.010524391738070423	False	0.04107048224695284	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0ACS7	P0ACS7		rpiR		855103.0	779510.0	852120.0	817681.0	779943.0	771759.0	0	0.6561862523601766	-0.028801880605614463	False	0.04109697933227346	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P31060	P31060		modF		211249.0	175795.0	170119.0	208586.0	228820.0	161319.0	0	0.6569876184318391	-0.08832507541710556	False	0.04112347641759407	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P06715	P06715		gor		4630150.0	4656980.0	4507010.0	4724830.0	4784550.0	4589860.0	0	0.657982179882277	-0.013503618822073219	False	0.04114997350291468	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P33570	P33570		tktB		2348470.0	2416450.0	2422980.0	2462590.0	2498710.0	2375640.0	0	0.6585628827003877	0.013869996998512801	False	0.041176470588235294	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A6I0	P0A6I0		cmk		10354200.0	10451000.0	10542000.0	10314000.0	10111900.0	10266800.0	0	0.6586511639046441	-0.00923199240627785	False	0.041202967673555906	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P64499	P64499		yebO		3644340.0	3864880.0	3658930.0	3181240.0	3663960.0	3675060.0	0	0.6615014705575689	0.04091070065395706	False	0.04122946475887653	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P76909	P76909		ynjD		253081.0	363993.0	313632.0	303213.0	320489.0	335352.0	0	0.6625883923421294	0.07511687045949747	False	0.04125596184419714	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				2781490.0	2744570.0	2990070.0	2648260.0	3087520.0	2417030.0	0	0.6628067700222772	0.05545068942129074	False	0.041282458929517755	False	False	Human	True	False	False	False	msfragger	manual	min	1.660964047443681
P0A8E7	P0A8E7		yajQ		15114700.0	15494700.0	15095400.0	14992700.0	15287100.0	14966900.0	0	0.6645438539540116	-0.008016799611601622	False	0.04130895601483837	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0AGF2	P0AGF2		ygdK		5611200.0	5162300.0	5406640.0	5453480.0	5677990.0	5372660.0	0	0.6645562486953491	0.020332263465915296	False	0.04133545310015898	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A6U5	P0A6U5		rsmG		4945920.0	5219310.0	5256850.0	5014530.0	4907260.0	5207420.0	0	0.6660655084128306	0.01811178916958126	False	0.041361950185479605	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
P0A7U7	P0A7U7		rpsT		28909900.0	28150800.0	28451900.0	27739700.0	28116600.0	28792100.0	0	0.6665289760831101	0.009499246969498531	False	0.04138844727080022	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.660964047443681
