protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_25fmol_inj1	RD139_Wide_UPS1_25fmol_inj2	RD139_Wide_UPS1_25fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0C037	10565276.117151892	10593407.925912317	10879375.735622771	12088572.5998834	13243643.425299907	13875296.217158826	P0C037	P0C037		yaiE	0	0.04050557950675054	-0.29134332330741436	False	0.006030414263240692	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	64560.320582223394	13066405.885612853	19981761.603038803	38457805.988831244	37180789.20414636	39319158.03206325	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)			1	0.0415096866944625	-1.7956460014340307	False	0.006056633455689565	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P0ABK5	240036215.4067473	242718134.9795721	242767355.86654484	238905398.9811785	234110445.33161035	234034895.83811745	P0ABK5	P0ABK5		cysK	0	0.04162255880791129	0.037205026661739436	False	0.0060828526481384385	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P45464	28564657.49813059	29550397.40999681	29474546.605133235	27442894.80378577	27885289.845554966	28443391.35897732	P45464	P45464		lpoA	0	0.041713764588236495	0.06429879029181979	False	0.0061090718405873105	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A799	1704902437.9863892	1664542716.291387	1703561189.0729315	1760231770.4595215	1741132143.9999318	1811929688.9834316	P0A799	P0A799		pgk	0	0.04175104969174226	-0.06676547141988276	False	0.006135291033036183	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AEQ3	82420600.75208491	80764314.98481967	81324638.559555	79946346.62090111	77202112.67067493	77639289.82052639	P0AEQ3	P0AEQ3		glnH	0	0.04183426728738735	0.058533707438447324	False	0.006161510225485055	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0ABI4	4489739.617727008	4503268.762857913	4595142.0461185705	4053430.15738024	4291475.670203347	3935461.815816592	P0ABI4	P0ABI4		corA	0	0.042737717659542734	0.1459953426514407	False	0.006187729417933928	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AFD1	8307265.247128283	8191401.038875481	9147972.880563714	9305501.816097995	9862800.947619526	9866076.11914035	P0AFD1	P0AFD1		nuoE	0	0.0430280144804003	-0.17899238960034575	False	0.006213948610382801	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A6M4	3677612.331540618	3664732.841962635	3357765.6743707964	3133787.602867807	2956695.397030936	3316855.1160561047	P0A6M4	P0A6M4		dtd	0	0.04312697622257579	0.18576727898444806	False	0.006240167802831673	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P61316	23607509.212038163	24220459.4681136	24747206.483474456	25659566.90087965	25087920.328313176	25563689.688932344	P61316	P61316		lolA	0	0.04328493466464599	-0.07241822802601565	False	0.006266386995280546	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
