protein	RD139_Wide_UPS1_0_25fmol_inj1	RD139_Wide_UPS1_0_25fmol_inj2	RD139_Wide_UPS1_0_25fmol_inj3	RD139_Wide_UPS1_10fmol_inj1r	RD139_Wide_UPS1_10fmol_inj2	RD139_Wide_UPS1_10fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AF28	31583376.09963038	32069958.988567267	31339409.656309817	31866661.7822384	32757077.93977102	30854410.42852533	P0AF28	P0AF28		narL	0	0.8042635137246826	-0.0073532860600596175	False	0.044252873563218394	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P22106	12079345.329540772	11997090.076592883	12097122.840645256	11617012.164021635	12923115.244122604	11962935.303122668	P22106	P22106		asnB	0	0.8053204458477263	-0.013081998251048296	False	0.044278996865203764	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P37652	18424970.23409651	19306793.739670757	20042797.275282502	21176944.525374424	18473467.760157872	18896934.24011697	P37652	P37652		bcsB	0	0.8053509930544492	-0.01916938795729059	False	0.04430512016718914	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P66817	6697705.115546023	6531026.855224082	5895979.657426273	6456965.940752029	6253329.854865812	6204718.484934087	P66817	P66817		diaA	0	0.806728516779858	0.015906128703434094	False	0.04433124346917451	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A7J0	34587956.15794917	36498434.36778751	35420965.438569345	34843866.68179048	36283642.18697745	35931563.79338054	P0A7J0	P0A7J0		ribB	0	0.8071313081104264	-0.00745398721832202	False	0.044357366771159874	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P76561	1212785.6523935692	894608.5552331939	1055713.742305033	870158.3300553277	1163647.938086712	1032075.7116393294	P76561	P76561		ypfH	0	0.8083916226976792	0.04504063076339162	False	0.044383490073145244	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P06282	10969671.846023254	11267723.545816462	11295258.716781383	12051975.065798664	11098194.0754008	10715580.47640199	P06282	P06282		cdh	0	0.8095347814758624	-0.01426025321051234	False	0.044409613375130615	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AF50	8688787.498012863	8852542.332939865	9518607.567647647	8768666.339426944	8997283.35324498	9560452.845046878	P0AF50	P0AF50		yjbR	0	0.810156778922092	-0.014137042916676671	False	0.04443573667711599	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P39347	1076973.9550818854	978331.7499999988	950798.2629813928	1273549.9709363012	782588.4127755137	818512.4737277126	P39347	P39347		intB	0	0.8104208707579648	0.06450816341743686	False	0.04446185997910136	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0ABX8	9605620.282571396	8955294.997481804	8906332.457254155	9714916.649543794	8613471.632011414	8825554.312448407	P0ABX8	P0ABX8		fliL	0	0.8113349548370306	0.01655067313811083	False	0.04448798328108673	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P77611	4320639.173964282	4248395.14053048	4510781.049886402	4712444.410232543	4364299.897074824	4145478.38387542	P77611	P77611		rnfC	0	0.8125897805496508	-0.01562254235492131	False	0.0445141065830721	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P33025	4815905.935250307	4994727.950084007	4675306.551555868	5138781.434333453	4813146.738458926	4662876.590128677	P33025	P33025		psuG	0	0.8128166224074976	-0.01277720814619778	False	0.04454022988505747	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P37342	16297232.672541844	16274354.32465864	16707934.89343642	15838384.443632644	16506202.931753837	16705936.41693818	P37342	P37342		yjjI	0	0.8139121531854259	0.006719716558519742	False	0.04456635318704285	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P23882	23410904.92038583	23074069.58350516	22906431.67690004	23081009.806572773	23239872.45086935	22939462.1137804	P23882	P23882		fmt	0	0.8146819865439652	0.0027274416410549536	False	0.04459247648902822	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P06988	9094368.958030451	9838504.924694626	9551153.413905485	8972869.14528857	9595319.874109965	9682155.348523973	P06988	P06988		hisD	0	0.8146847054508666	0.011884686444469194	False	0.04461859979101359	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0ADZ0	13436950.2971119	13873304.893063644	12909286.582634171	13936465.30207499	12745276.714204816	13205628.040626563	P0ADZ0	P0ADZ0		rplW	0	0.8162603870854075	0.011964641326863116	False	0.04464472309299896	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P64599	19198192.14101684	18352739.49433058	18742388.32199073	18118852.659029648	18867140.07241875	19030741.69412988	P64599	P64599		yhbT	0	0.8167450575679666	0.00710585323696511	False	0.04467084639498432	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
