Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P52599	P52599		emrK		1136760.0	959444.0	870401.0	82203.1	22554.6	1170020.0	2	0.2431390191205567	-1.2727927481883266	False	0.02127659574468085	False	True	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P05719	P05719		hsdS		1182750.0	1260700.0	1104610.0	1298520.0	1402220.0	1193140.0	0	0.2434814621156842	0.12610478630600552	False	0.021303191489361703	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AG59	P0AG59		rpsN		24968800.0	25408000.0	25068400.0	25245600.0	25100700.0	25621900.0	0	0.24473504124751913	-0.014925083690762396	False	0.021329787234042556	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AEI6	P0AEI6		nudJ		3156250.0	3211170.0	3128580.0	3401740.0	3203250.0	3046760.0	0	0.24526838221904465	0.05647558049951888	False	0.021356382978723408	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P69488	P69488		cutA		623216.0	687793.0	648981.0	690248.0	535250.0	730618.0	0	0.24530735682280227	-0.16128991136217444	False	0.021382978723404257	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AB10	P0AB10		ymbA		591968.0	581730.0	423582.0	586771.0	503274.0	397440.0	0	0.24558392705862814	0.2619288862282625	False	0.021409574468085106	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AD70	P0AD70		ampH		1927700.0	2090620.0	2282670.0	1953280.0	2168930.0	2086560.0	0	0.24616942160798644	-0.09458698477093781	False	0.02143617021276596	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P06992	P06992		rsmA		2559430.0	2612830.0	2626750.0	2558830.0	2462790.0	2525320.0	0	0.24627156117265583	-0.03456966485808615	False	0.021462765957446808	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0ADZ7	P0ADZ7		yajC		23975400.0	22443100.0	23073800.0	23398200.0	22593200.0	22510100.0	0	0.24642064764541774	0.04056304262923463	False	0.021489361702127664	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0A9E5	P0A9E5		fnr		7724010.0	7761540.0	7694660.0	7732190.0	7870990.0	7561990.0	0	0.2473944499392504	0.019238136507456507	False	0.021515957446808513	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P16528	P16528		iclR		1702730.0	1681720.0	1593940.0	1721950.0	1760990.0	1725010.0	0	0.24751459982700175	0.05240899739053153	False	0.02154255319148936	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0A6P5	P0A6P5		der		4805390.0	4920450.0	4821880.0	4864500.0	4833810.0	4972170.0	0	0.24765501578370425	-0.02081753095214508	False	0.021569148936170214	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P22524	P22524		mukE		5962950.0	5998410.0	6107200.0	5754310.0	5402360.0	5806970.0	0	0.2478950961228904	-0.06532246882557693	False	0.021595744680851063	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P13035	P13035		glpD		4460460.0	4426570.0	4501800.0	4265460.0	4338100.0	4409460.0	0	0.24849489027410757	-0.02992506148752001	False	0.02162234042553192	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0A6U5	P0A6U5		rsmG		6042120.0	5888580.0	5882090.0	6028020.0	6598360.0	5997550.0	0	0.248611966643256	0.07130685169151356	False	0.021648936170212768	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0ADT2	P0ADT2		ygiB		1049700.0	926093.0	927244.0	938108.0	1019710.0	989826.0	0	0.2493218379654093	0.08107656012267117	False	0.021675531914893617	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P75797	P75797		gsiB		719709.0	699616.0	726538.0	655094.0	640451.0	704817.0	0	0.24967349981386824	-0.08054927425273499	False	0.02170212765957447	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P0AC75	P0AC75		waaA		4702550.0	3833220.0	3707670.0	3873580.0	4287400.0	4161940.0	0	0.2497090830553944	0.13642915307806672	False	0.02172872340425532	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P33650	P33650		feoB		3338110.0	3449330.0	3370830.0	3177550.0	3233690.0	3241630.0	0	0.24997993562479662	-0.04550904340809121	False	0.021755319148936175	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
P45469	P45469		yraR		1038770.0	981158.0	870662.0	920330.0	972065.0	881567.0	0	0.25057526816358683	0.10078444712431286	False	0.021781914893617024	False	False	Ecoli	False	True	False	False	msfragger	manual	min	1.0
