protein	RD139_Wide_UPS1_0_1fmol_inj1	RD139_Wide_UPS1_0_1fmol_inj2	RD139_Wide_UPS1_0_1fmol_inj3	RD139_Wide_UPS1_50fmol_inj1	RD139_Wide_UPS1_50fmol_inj2	RD139_Wide_UPS1_50fmol_inj3	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	13192106.604504576	17680073.29299644	16881263.69857011	43888370.491460174	43243743.282591306	41452239.46885002	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)	P63165ups|SUMO1_HUMAN_UPS Small ubiquitin-related modifier 1 (Chain 1-97, N-terminal GST tag) - Homo sapiens (Human)			0	0.0003992426355411569	-1.429038421706388	False	0.0007552083333333334	True	False	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P77756	3561198.097786452	3502422.688790997	3252269.825553526	2055938.212491233	1969473.83150722	1717200.0497292466	P77756	P77756		queC	0	0.00040220197706586125	0.8450893623590267	False	0.00078125	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P0A9X9	89487732.18402255	87919960.90557791	86006182.8949632	74082007.99973236	71989458.10054584	75129929.71381824	P0A9X9	P0A9X9		cspA	0	0.0005202939175994869	0.25197085594064167	False	0.0008072916666666667	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P0ABP8	253659557.00050828	258880604.9414474	255064924.38802305	280273131.31184727	276119039.1812817	276108942.3481471	P0ABP8	P0ABP8		deoD	0	0.0005244786027570977	-0.11708792950171164	False	0.0008333333333333334	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P21866	1358586.8380843017	1228877.8750000005	1204484.1347076644	2031222.2642718663	1946540.5163475268	2033890.737080237	P21866	P21866		kdpE	0	0.0005863922326833301	-0.6648223589047088	False	0.0008593750000000001	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P0AF98	2041281.557914804	2103738.619589951	2012550.457802296	2675067.237408497	2704229.244025991	2821325.037960785	P0AF98	P0AF98		lptF	0	0.0006098891810620089	-0.41337198232798145	False	0.0008854166666666667	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P77330	70025492.22757907	71697895.23919839	70724758.32760482	51964899.15727772	54237657.49187247	55320421.42766909	P77330	P77330		borD	0	0.0007009724606085201	0.3953713364582094	False	0.0009114583333333333	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P0ABJ1	2133086.230739447	2163586.2499999995	2117711.302381074	2373265.1498437705	2440928.2745161825	2396985.6479734248	P0ABJ1	P0ABJ1		cyoA	0	0.0007296202666838153	-0.16892449312934016	False	0.0009375000000000001	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P38521	1599713.574523852	1476483.327318961	1573680.1546087756	1082458.623910836	1056085.5987338913	997873.009220345	P38521	P38521		yggL	0	0.0007461366867381816	0.5680750803100472	False	0.0009635416666666667	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P76290	8983810.291948797	9057869.321229164	8885716.897003522	9965391.461758394	10027108.511040691	10228857.94659668	P76290	P76290		cmoA	0	0.0007720121838607411	-0.16649373693343478	False	0.0009895833333333334	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P0A6W0	5271689.295702466	5100899.913732217	5175703.171531399	4080549.141740628	4135988.92029397	3866804.23357006	P0A6W0	P0A6W0		glsA2	0	0.0007880395284085417	0.36373657803110493	False	0.001015625	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P61889	107391067.92290398	104951107.02382	107344538.36088608	95958921.12043138	98068303.01358812	95520722.2608848	P61889	P61889		mdh	0	0.0008744078215009527	0.1428565200276109	False	0.0010416666666666667	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	33448.12541480996	43284.28516000001	79629.9261153617	51304702.81423538	55398882.66972719	57015719.06068393	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)	Q15843ups|NEDD8_HUMAN_UPS NEDD8 (Chain 1-81) - Homo sapiens (Human)			3	0.0009696192423701898	-10.03211567857299	False	0.0010677083333333335	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0AC84	2692219.16872913	2827594.661092653	2672228.563741462	3271420.693478167	3307325.5186741166	3383759.6280443706	P0AC84	P0AC84		gloB	0	0.0010408124590597543	-0.2822854835776799	False	0.00109375	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P76594	2300510.8108441504	2315333.749999999	2279824.2091888986	1835377.9540850776	1885524.512764657	1920382.560253722	P76594	P76594		yfiQ	0	0.001045589915153985	0.2896666457112706	False	0.0011197916666666667	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	1.660964047443681
P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	33448.12541480996	43284.28516000001	79629.9261153617	10057365.130806508	11219618.208269492	10992504.57908407	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)	P61769ups|B2MG_HUMAN_UPS Beta-2-microglobulin (Chain 21-119) - Homo sapiens (Human)			3	0.001085059336911825	-7.689133824131795	False	0.0011458333333333333	True	True	Human	True	False	False	True	msfragger	directlfq	min	1.660964047443681
P0ADY3	66933436.76421303	64611592.28241887	66640682.92194173	76061940.80828443	76934542.49074112	73991925.59336036	P0ADY3	P0ADY3		rplN	0	0.001234400222133783	-0.19576567213385573	False	0.001171875	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	33448.12541480996	4310274.198895584	79629.9261153617	33773916.00477919	34678934.080127604	33759962.75984013	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)	P61626ups|LYSC_HUMAN_UPS Lysozyme C (Chain 19-148) - Homo sapiens (Human)			2	0.0012626238186513295	-4.530292111047394	False	0.0011979166666666668	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P64631	33448.12541480996	43284.28516000001	79629.9261153617	4710084.426582344	4698472.649071951	5242856.009634942	P64631	P64631		yhfU	3	0.0013000386089394179	-6.550002955144808	False	0.0012239583333333334	False	True	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P75913	2830987.1156956283	2901017.136567659	2810558.2890030867	2546131.675408928	2580055.654911095	2513764.942417392	P75913	P75913		ghrA	0	0.0013917909674876785	0.16110527917804654	False	0.0012500000000000002	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	29284987.685130797	17969898.30579547	32778068.31426129	86138404.96050753	93263079.24370946	89571632.8501327	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)	P01008ups|ANT3_HUMAN_UPS Antithrombin-III (Chain 33-464) - Homo sapiens (Human)			0	0.0014115146412947072	-1.7487959171360108	False	0.0012760416666666669	False	True	Human	True	False	False	False	msfragger	directlfq	min	1.660964047443681
P08190	3109271.596828457	3098067.556738271	3147364.472247784	2767735.5425038063	2670419.9628041023	2675840.5969045493	P08190	P08190		fimG	0	0.0016425342691164084	0.20527933745751858	False	0.0013020833333333333	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AF70	11082823.291619284	12049455.469286676	11030728.577605585	15179155.211495778	14384333.69003626	14625637.00004496	P0AF70	P0AF70		yjeI	0	0.0018328944166561192	-0.3712564139617006	False	0.001328125	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P18355	2548859.3256955715	2584555.4999999967	2635986.1899379464	1568524.0457108207	1729789.202664595	1782274.3559829192	P18355	P18355			0	0.001948191253311311	0.612808013803692	False	0.0013541666666666667	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A6A8	203248304.11872768	219471271.8970273	212471802.025768	168082709.60632887	157354488.39922443	171382411.3868508	P0A6A8	P0A6A8		acpP	0	0.0019581932409324303	0.35446921213476634	False	0.0013802083333333335	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AG63	371675652.4703184	375746707.9240275	373634295.2819066	359185778.3467335	363058701.2004016	362437986.6065495	P0AG63	P0AG63		rpsQ	0	0.0019602747264283247	0.04758642579971548	False	0.0014062500000000002	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P31677	2025090.624404003	2079005.3507310716	1941403.774996444	1667481.3104902215	1645170.1458749557	1545516.7774513694	P31677	P31677		otsA	0	0.0019879770387150946	0.3154491545086751	False	0.0014322916666666666	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AGL5	592892.2946359116	639455.2500000003	569554.6398021157	825401.2876966734	811477.2006510004	777781.8912429942	P0AGL5	P0AGL5		ratA	0	0.001995608447909643	-0.42229959207623535	False	0.0014583333333333334	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AF36	25513808.54548811	24823261.04490679	25798090.317043222	22108010.86058172	22763833.85729017	22889801.481235445	P0AF36	P0AF36		zapB	0	0.0020084869492441263	0.16809393339261552	False	0.001484375	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A7F6	9973701.075740494	10089865.958794262	10199103.040754562	8710095.01400236	8690907.281799315	8703767.701256111	P0A7F6	P0A7F6		speD	0	0.002059708212645409	0.21322583465171369	False	0.0015104166666666669	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A917	83270912.73724695	81538775.04390885	85165680.38048846	74512106.61905956	73798858.7414318	71578488.30208097	P0A917	P0A917		ompX	0	0.0020653995926976135	0.18500753164391331	False	0.0015364583333333335	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P08337	1097493.2470349502	1116619.875	1052312.5719998518	804734.8977489135	864679.0966082308	767939.1585163849	P08337	P08337		mutT	0	0.002134673272457014	0.42239751998798214	False	0.0015625	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0A9I3	7141584.826663449	7088525.467842571	7044937.95720502	6719292.280720185	6666745.323264684	6568531.07300166	P0A9I3	P0A9I3		gcvR	0	0.0022109980166117164	0.09244330897005829	False	0.0015885416666666667	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AEE8	412975.998459322	376323.00000000006	383401.6772100618	270984.6603158566	236797.227331973	282562.492470224	P0AEE8	P0AEE8		dam	0	0.0023043654726117233	0.5692814946457526	False	0.0016145833333333333	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P76270	9995849.57642712	10004596.377216036	9598342.08189278	8679075.400589364	8311302.0007507615	8737422.758578505	P76270	P76270		msrC	0	0.0024100533904146096	0.20220999829044978	False	0.0016406250000000002	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P68066	1630297632.138724	1615387651.9291184	1632475574.184992	1701088062.1746829	1682197739.4618676	1708017845.4875865	P68066	P68066		grcA	0	0.002557706905577382	-0.061697778949559426	False	0.0016666666666666668	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P18390	3906804.486389409	3816355.03568429	3934660.871861139	3249780.685932875	3443661.231148664	3366996.562599904	P18390	P18390		yjjA	0	0.002623916634602319	0.21260489433748547	False	0.0016927083333333334	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AG14	4566167.298323416	4531665.460897628	4447311.156455513	4097812.676959952	4041129.639338191	3916599.9107007473	P0AG14	P0AG14		sohB	0	0.0026426356421318385	0.16807918102066427	False	0.0017187500000000002	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0C0K3	3155589.8939118814	3072421.793683714	3070513.8963109204	2887927.3786848723	2802663.7547696866	2858687.7257265854	P0C0K3	P0C0K3		rdoA	0	0.0027856459405370465	0.12119924187192836	False	0.0017447916666666666	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AD33	60482695.56630161	62030061.20711016	63371021.11819965	54008930.22635964	53966776.88149768	55792543.17763389	P0AD33	P0AD33		yfcZ	0	0.0028621197809170548	0.18274518239467288	False	0.0017708333333333335	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0AGG8	23680875.695810605	23884985.51185344	24313892.992508195	20974089.840060577	20503316.01560451	21592818.22348819	P0AGG8	P0AGG8		tldD	0	0.0030294455983175352	0.18862641652023535	False	0.001796875	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P0ABH0	14074747.325198209	14458769.49370396	14628150.087019091	12641382.48287531	12788637.451059096	13226043.73135233	P0ABH0	P0ABH0		ftsA	0	0.0033831884021630213	0.15905584701306485	False	0.0018229166666666667	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P69222	27315377.096930027	26086016.51469522	25669997.455421723	20956718.298815463	21742706.42684073	21512227.115861613	P69222	P69222		infA	0	0.003465323097744549	0.30032069311503945	False	0.0018489583333333335	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P75931	781888.5002024472	857615.7499999997	846009.3128777	1108156.9449938762	1011321.189163955	1055440.8961295614	P75931	P75931		yceM	0	0.00360939556111032	-0.35317582353915683	False	0.0018750000000000001	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P05055	280969666.5870689	280596495.0215929	275825949.0626787	300006042.70515484	295046273.38161635	303554249.71603715	P05055	P05055		pnp	0	0.0037935484451675013	-0.10178627709772511	False	0.0019010416666666668	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P11557	22454327.60956664	22074309.48821795	22461668.089933816	21208256.547884405	21039759.3609534	21261012.490351625	P11557	P11557		damX	0	0.003949062470223344	0.0769906253969451	False	0.0019270833333333334	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
P62399	646350753.2968264	618148720.0884322	626839007.2492536	708799250.7576216	687975823.646976	693359535.1376094	P62399	P62399		rplE	0	0.004040879834386362	-0.1441882820136677	False	0.001953125	False	False	Ecoli	False	True	False	False	msfragger	directlfq	min	1.660964047443681
