Protein.Group	pval	log2fc	-log10(p-value)	color	gene_names_	label	FC_pass	Bonf_pass	BH_thr	BH_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P0AFZ1	0.38313019972434736	0.01795794334816847	0.41665361398738243	non_sig	sseB		False	False	0.025196027182435965	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P33235	0.3831321786583473	-0.034952153543009956	0.4166513707867752	non_sig	flgK		False	False	0.025222164140094094	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
Q46856	0.3837015142586514	-0.015134027975779674	0.4160064868770581	non_sig	yqhD		False	False	0.025248301097752224	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0A821	0.38517387746303816	-0.035506111632308546	0.4143431744508065	non_sig	selA		False	False	0.02527443805541035	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P25522	0.385525874413057	-0.03219744579414652	0.41394646913645483	non_sig	mnmE		False	False	0.025300575013068483	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P22524	0.3876159736889715	0.020007246632928855	0.4115983339380139	non_sig	mukE		False	False	0.02532671197072661	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AAP3	0.38822300731734455	-0.048171861113765146	0.4109187305270402	non_sig	frmR		False	False	0.025352848928384734	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AED9	0.3888945053954689	0.035451459628319526	0.4101681928599602	non_sig	dcm		False	False	0.025378985886042867	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P37646	0.3894749908008465	0.31242479995494676	0.4095204242710051	non_sig	yhjH		False	False	0.025405122843700993	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AD70	0.39036604788602497	-0.06269816951779106	0.408527962155353	non_sig	ampH		False	False	0.025431259801359126	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0A8G0	0.39055629470769493	-0.08943951432356556	0.40831635815331857	non_sig	uvrC		False	False	0.025457396759017252	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0A8W8	0.3906861776298097	0.029403833795765166	0.4081719537234907	non_sig	yfbU		False	False	0.025483533716675378	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0A7E1	0.3909472857536142	0.021263869668118218	0.4078817977184608	non_sig	pyrD		False	False	0.02550967067433351	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0A6L7	0.39108876476137344	-0.06039468852343788	0.4077246603256134	non_sig	uxaB		False	False	0.025535807631991637	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AF90	0.3913829298043444	0.029277068744352874	0.4073981200511548	non_sig	rraB		False	False	0.025561944589649766	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AF61	0.39324013557678766	-0.06767505072093982	0.405342162838943	non_sig	yjdK		False	False	0.025588081547307896	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0A873	0.39412898218853387	-0.01942229834434883	0.40436162821037147	non_sig	trmD		False	False	0.02561421850496602	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AAI9	0.3942492269840982	-0.010201179568365859	0.40422914953202005	non_sig	fabD		False	False	0.025640355462624154	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AEU0	0.39462955548652073	0.011596761757051155	0.403810391704125	non_sig	hisJ		False	False	0.02566649242028228	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P13029	0.39484084437218747	0.009074615362180793	0.4035779280187484	non_sig	katG		False	False	0.02569262937794041	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P13016	0.3951633991137156	-0.030083733936908885	0.4032232875132152	non_sig	ampD		False	False	0.02571876633559854	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AGD7	0.39536460022891395	0.01096138905034394	0.40300221871857955	non_sig	ffh		False	False	0.025744903293256665	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0ABX8	0.3962368152832435	-0.03622302065453198	0.4020451756133049	non_sig	fliL		False	False	0.025771040250914794	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P33913	0.39651127286125615	0.16376739368449122	0.4017444611286097	non_sig	yejA		False	False	0.025797177208572924	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0ADS6	0.39967011756806764	-0.018615468870414986	0.39829832174350144	non_sig	yggE		False	False	0.025823314166231053	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0A959	0.399866192875525	-0.031237163323517336	0.3980853122162017	non_sig	alaA		False	False	0.02584945112388918	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P75931	0.3999586754135931	-0.054056151969184896	0.3979848785894746	non_sig	yceM		False	False	0.02587558808154731	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0ACM5	0.40108818504487154	0.12491013103495163	0.3967601309512641	non_sig	yegW		False	False	0.025901725039205438	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P36928	0.4019211129952449	-0.05798013890212417	0.3958591796340521	non_sig	yegD		False	False	0.025927861996863567	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P76561	0.4019992632084036	-0.0744184655614255	0.3957747428976639	non_sig	ypfH		False	False	0.025953998954521697	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P00962	0.40285943616844166	-0.012453014659310924	0.39484645942991253	non_sig	glnS		False	False	0.025980135912179823	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P60785	0.40328264436429034	-0.012118548733393908	0.39439046784858506	non_sig	lepA		False	False	0.026006272869837952	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P09372	0.40538234686010877	0.024179655481919582	0.3921351674046535	non_sig	grpE		False	False	0.02603240982749608	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P77804	0.40552820336485074	-0.010797258961709133	0.39197893642251946	non_sig	ydgA		False	False	0.026058546785154207	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P61887	0.4056237281492242	-0.03947856971986852	0.39187664760258717	non_sig	rmlA2		False	False	0.02608468374281234	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P28904	0.40569268930969965	0.010978100116176392	0.3918028183273802	non_sig	treC		False	False	0.026110820700470466	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P75726	0.4061176345256635	0.008482404331985549	0.3913481520738437	non_sig	citF		False	False	0.026136957658128592	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P04949	0.40617115025921324	-0.032707574763843894	0.39129092713550995	non_sig	fliC		False	False	0.026163094615786725	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P15005	0.4072522850948467	-0.066393682309279	0.39013647018385245	non_sig	mcrB		False	False	0.02618923157344485	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AEN4	0.4074992273168793	-0.11482217607252565	0.38987321041439404	non_sig	ftsL		False	False	0.026215368531102984	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P04335	0.40903846333264987	0.03046646804418529	0.38823585182709996	non_sig	frsA		False	False	0.02624150548876111	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0A937	0.40947145644044264	0.01848507709755509	0.38777636677892896	non_sig	bamE		False	False	0.026267642446419236	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P37631	0.41040303380423243	-0.023446780734246886	0.3867894374684443	non_sig	yhiN		False	False	0.02629377940407737	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P24255	0.411354610974601	-0.05384980573106546	0.38578363021726897	non_sig	rpoN		False	False	0.026319916361735494	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AA91	0.41146693304930243	-0.0394990852551409	0.3856650605033473	non_sig	yeaY		False	False	0.026346053319393624	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P07024	0.4117368423030499	-0.02551198861490178	0.38538027049818124	non_sig	ushA		False	False	0.026372190277051753	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AB61	0.41193993547222774	0.02046981479200838	0.3851661033713336	non_sig	yciN		False	False	0.02639832723470988	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P64606	0.4126842986961963	-0.02859037254735597	0.3843820543096915	non_sig	mlaE		False	False	0.026424464192368012	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AAI5	0.4129585418807553	0.01364617436719584	0.3840935462520174	non_sig	fabF		False	False	0.026450601150026138	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P76192	0.41296479011340687	-0.043175269021901386	0.3840869752475255	non_sig	ydhV		False	False	0.026476738107684267	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0A6W5	0.41326395929952026	-0.007431984576353301	0.3837724678367023	non_sig	greA		False	False	0.026502875065342397	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0A8N7	0.413528867887454	-0.03568678788102275	0.3834941675464669	non_sig	epmA		False	False	0.026529012023000523	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0ACU7	0.4149370013350933	-0.05475044550345842	0.3820178359371199	non_sig	yjdC		False	False	0.026555148980658652	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0A9Z1	0.4152920015151541	0.025191793157272713	0.3816464332804023	non_sig	glnB		False	False	0.02658128593831678	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AC13	0.4157635012115186	0.007162698400509981	0.381153638905901	non_sig	folP		False	False	0.02660742289597491	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P77212	0.4158320703711299	-0.11394208597454991	0.38108201945834014	non_sig	ykgC		False	False	0.026633559853633037	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P64596	0.4158986282448856	-0.012026447261568762	0.38101251206271525	non_sig	yraP		False	False	0.026659696811291166	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P77690	0.4160677782960458	-0.08805837002509165	0.380835916146661	non_sig	arnB		False	False	0.026685833768949296	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P67244	0.4161891435714617	0.0700316120106379	0.38070925268878764	non_sig	yqhA		False	False	0.026711970726607425	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AAH8	0.4165908921162707	0.04739068307166505	0.38029022921996886	non_sig	sapF		False	False	0.026738107684265554	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0ACE0	0.4174842811451431	0.01346573549170671	0.3793598716544874	non_sig	hybC		False	False	0.02676424464192368	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P37025	0.41807875454173177	0.09843734200004306	0.3787419013798069	non_sig	ligT		False	False	0.02679038159958181	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P31697	0.41875672098625016	0.01645655279732594	0.3780382095340419	non_sig	fimC		False	False	0.02681651855723994	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0A6X3	0.41928916820673373	0.06822554646882395	0.37748635688764914	non_sig	hfq		False	False	0.026842655514898065	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AG00	0.420429361718248	-0.01612418263668758	0.37630696156165183	non_sig	wzzE		False	False	0.026868792472556198	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AGL7	0.4217083588977106	0.030907784953058126	0.3749877905261088	non_sig	rsmE		False	False	0.026894929430214324	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0AAZ4	0.4219183167168098	-0.0279340269985191	0.3747716202062611	non_sig	rarA		False	False	0.026921066387872453	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P52613	0.422192279545668	-0.11276906157447186	0.37448971271801423	non_sig	fliJ		False	False	0.026947203345530583	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P25553	0.4229451673764468	0.1311914466156736	0.37371593297819367	non_sig	aldA		False	False	0.02697334030318871	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0A978	0.42427012318539686	0.05311010853702669	0.3723575498797792	non_sig	cspG		False	False	0.02699947726084684	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P07000	0.42472330289889576	0.06349436398760488	0.37189391032373875	non_sig	pldB		False	False	0.027025614218504967	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P27302	0.4256146159898872	0.0077765749142741925	0.3709834663926078	non_sig	tktA		False	False	0.027051751176163093	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
P0ADM8	0.4271130027431795	-0.1369660364828711	0.3694572070005828	non_sig	yieE		False	False	0.027077888133821226	False	Ecoli	False	True	False	False	msfragger	AlphaPeptStats	randomforest	0.6609640474436812
