Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P31808	P31808		yciK		3348030.0	3426490.0	3266240.0	3423550.0	3445580.0	3351850.0	0	0.34185919591999936	0.02566505711688171	False	0.03137307078233103	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0AGG2	P0AGG2		tesB		1849340.0	2227050.0	2052810.0	1789330.0	1789930.0	2078500.0	0	0.3419110768144672	-0.11546780222491348	False	0.03139968068121341	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P30014	P30014		rnt		5455280.0	5572950.0	5480790.0	5404500.0	5815750.0	5768520.0	0	0.3433644066674198	0.041326921805876195	False	0.0314262905800958	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P64423	P64423		zntB		3178580.0	3066410.0	77729.8	3186470.0	3379910.0	3502860.0	1	0.34360369083615183	0.6713376055594248	False	0.03145290047897818	False	True	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0A8A2	P0A8A2		yeeN		9582690.0	9800690.0	10093300.0	9850910.0	9227160.0	9637740.0	0	0.34430270576846184	-0.03772878375058172	False	0.031479510377860564	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P77348	P77348		mppA		2028120.0	1971470.0	2078680.0	2187270.0	2100440.0	1998900.0	0	0.34438914354818717	0.04862150440864121	False	0.03150612027674295	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0ADW3	P0ADW3		yhcB		34921500.0	35410600.0	34336100.0	35212500.0	35233300.0	35363900.0	0	0.3448564114976355	0.01564869789725359	False	0.031532730175625336	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P36659	P36659		cbpA		3573130.0	3658530.0	3486280.0	3544590.0	3689220.0	3720300.0	0	0.34491799789059874	0.031444628094200865	False	0.03155934007450772	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P76049	P76049		ycjY		2298080.0	2249700.0	2185130.0	2249540.0	2204100.0	2045330.0	0	0.345712238293687	-0.05101909184727082	False	0.0315859499733901	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
P0AEE1	P0AEE1		dcrB		8460830.0	8269100.0	8510340.0	8347070.0	8401210.0	7903310.0	0	0.34594138248421585	-0.0340466413663149	False	0.03161255987227249	False	False	Ecoli	False	True	False	False	msfragger	manual	min	0.5
