Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_50fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P17952	MURC_ECOLI	murC	UDP-N-acetylmuramate--L-alanine ligase	10	10	1.13885e+07	1.19108e+07	1.19278e+07	1.15939e+07	1.20117e+07	1.21065e+07
P17993	UBIG_ECOLI	ubiG	3-demethylubiquinone-9 3-methyltransferase	7	7	1.70601e+07	1.74006e+07	1.70512e+07	1.71276e+07	1.78817e+07	1.75025e+07
P18133	PNCB_ECOLI	pncB	Nicotinate phosphoribosyltransferase	9	9	4.21666e+06	4.14204e+06	4.41727e+06	4.13617e+06	4.25336e+06	4.23636e+06
P18196	MINC_ECOLI	minC	Septum site-determining protein MinC	7	7	1.00477e+07	9.96887e+06	9.64356e+06	9.19538e+06	9.65784e+06	9.18028e+06
P18390	YJJA_ECOLI	yjjA	Uncharacterized protein YjjA	3	3	1.04911e+07	1.09162e+07	1.18883e+07	1.05876e+07	1.14366e+07	1.17171e+07
P18392	RSTB_ECOLI	rstB	Sensor protein RstB	2	2	314060	401340	409755	399883	291627	352471
P18393	YBDZ_ECOLI	ybdZ	Uncharacterized protein YbdZ	1	1			1.61088e+06		1.06618e+06	
P18775	DMSA_ECOLI	dmsA	Dimethyl sulfoxide reductase DmsA	16	16	1.1705e+07	1.2175e+07	1.26232e+07	1.23772e+07	1.24163e+07	1.23132e+07
P18776	DMSB_ECOLI	dmsB	Anaerobic dimethyl sulfoxide reductase chain B	6	5	8.68099e+06	9.56406e+06	9.01109e+06	8.76411e+06	8.59129e+06	9.82175e+06
P18843	NADE_ECOLI	nadE	NH(3)-dependent NAD(+) synthetase	14	14	8.39154e+07	8.39204e+07	8.40222e+07	8.53834e+07	8.31745e+07	8.45802e+07
P19319	NARZ_ECOLI	narZ	Respiratory nitrate reductase 2 alpha chain	1	1	99209.9					
P19624	PDXA_ECOLI	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase	3	3	1.35838e+06	1.0224e+06	1.42331e+06	1.14551e+06	1.44102e+06	1.45678e+06
P19926	AGP_ECOLI	agp	Glucose-1-phosphatase	5	5	1.30113e+07	1.39045e+07	1.48386e+07	1.3265e+07	1.4583e+07	1.52951e+07
P19931	HYAE_ECOLI	hyaE	Hydrogenase-1 operon protein HyaE	2	2	3.60192e+06	3.98566e+06	3.36924e+06	3.8149e+06	3.28704e+06	3.40887e+06
P19934	TOLA_ECOLI	tolA	Protein TolA	3	3	6.68942e+06	6.80438e+06	6.48678e+06	6.64553e+06	6.3015e+06	6.529e+06
P20083	PARE_ECOLI	parE	DNA topoisomerase 4 subunit B	6	6	1.1494e+07	1.1969e+07	1.03595e+07	1.06628e+07	1.12996e+07	1.06159e+07
P20099	BISC_ECOLI	bisC	Biotin sulfoxide reductase	3	3	3.66441e+06		1.39185e+06	2.67808e+06	2.31844e+06	1.53227e+06
P20605	FIC_ECOLI	fic	Probable adenosine monophosphate-protein transferase fic	1	1	1.77747e+06	2.12407e+06	2.10235e+06	1.76405e+06	1.9153e+06	2.14351e+06
P20966	PTFBC_ECOLI	fruA	PTS system fructose-specific EIIBC component	10	10	6.2469e+07	6.60752e+07	6.98847e+07	6.49932e+07	6.78268e+07	6.99736e+07
P21156	CYSD_ECOLI	cysD	Sulfate adenylyltransferase subunit 2	5	5	1.09193e+07	1.07485e+07	1.19014e+07	1.18651e+07	1.193e+07	1.19275e+07
P21165	PEPQ_ECOLI	pepQ	Xaa-Pro dipeptidase	16	16	1.15138e+08	1.16397e+08	1.25088e+08	1.17419e+08	1.18922e+08	1.20844e+08
P21170	SPEA_ECOLI	speA	Biosynthetic arginine decarboxylase	17	17	3.2096e+07	3.52787e+07	3.36441e+07	3.40057e+07	3.33903e+07	3.15665e+07
P21179	CATE_ECOLI	katE	Catalase HPII	6	6	2.02151e+06	1.77121e+06	1.86981e+06	2.07929e+06	1.83433e+06	1.94012e+06
P21338	RNI_ECOLI	rna	Ribonuclease I	5	5	3.26674e+06	3.10355e+06	3.67717e+06	4.02896e+06	3.29803e+06	3.64665e+06
P21365	YCIC_ECOLI	yciC	UPF0259 membrane protein YciC	1	1		4.33899e+06	5.42893e+06	4.94732e+06	5.24671e+06	4.90812e+06
P21367	YCAC_ECOLI	ycaC	Uncharacterized protein YcaC	5	5	1.06411e+07	1.07578e+07	1.01961e+07	1.00431e+07	1.02512e+07	1.06027e+07
P21369	PNCA_ECOLI	pncA	Pyrazinamidase/nicotinamidase	1	1	6.70473e+06	6.84619e+06	5.86003e+06	6.47553e+06	5.78252e+06	5.43176e+06
P21420	NMPC_ECOLI	nmpC	Putative outer membrane porin protein NmpC	7	7	1.55748e+08	1.57204e+08	1.58536e+08	1.54193e+08	1.71898e+08	1.7927e+08
P21499	RNR_ECOLI	rnr	Ribonuclease R	32	32	1.77852e+07	1.84129e+07	1.79648e+07	1.80272e+07	1.78698e+07	1.81185e+07
P21507	SRMB_ECOLI	srmB	ATP-dependent RNA helicase SrmB	18	18	2.62171e+07	2.67201e+07	2.6469e+07	2.6565e+07	2.52376e+07	2.55012e+07
P21513	RNE_ECOLI	rne	Ribonuclease E	33	33	5.21614e+07	5.25448e+07	5.53237e+07	5.22504e+07	5.435e+07	5.54226e+07
P21515	ACPH_ECOLI	acpH	Acyl carrier protein phosphodiesterase	2	2		631038	967586		774504	806567
P21599	KPYK2_ECOLI	pykA	Pyruvate kinase II	23	23	1.13864e+08	1.12265e+08	1.16738e+08	1.09856e+08	1.10138e+08	1.14615e+08
P21645	LPXD_ECOLI	lpxD	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	3	3	2.70234e+07	2.12095e+07	2.50324e+07	2.28616e+07	2.66935e+07	2.60066e+07
P21829	YBHA_ECOLI	ybhA	Pyridoxal phosphate phosphatase YbhA	5	5	1.20937e+07	1.298e+07	1.23725e+07	1.19346e+07	1.22142e+07	1.2015e+07
P21866	KDPE_ECOLI	kdpE	KDP operon transcriptional regulatory protein KdpE	2	2	2.25534e+06		2.24303e+06	2.22868e+06		2.27749e+06
P21888	SYC_ECOLI	cysS	Cysteine--tRNA ligase	21	21	5.55686e+07	5.57206e+07	5.47038e+07	5.5633e+07	5.46705e+07	5.46867e+07
P21889	SYD_ECOLI	aspS	Aspartate--tRNA ligase	30	30	6.35593e+07	6.39138e+07	6.476e+07	6.41366e+07	6.19612e+07	6.36688e+07
P21893	RECJ_ECOLI	recJ	Single-stranded-DNA-specific exonuclease RecJ	4	4	2.13112e+06	2.17385e+06	2.2664e+06	2.16195e+06	2.22401e+06	2.14812e+06
P22106	ASNB_ECOLI	asnB	Asparagine synthetase B [glutamine-hydrolyzing]	10	10	6.48722e+06	6.40528e+06	7.5668e+06	6.65286e+06	6.79525e+06	6.43817e+06
P22186	MRAZ_ECOLI	mraZ	Protein MraZ	3	3	7.31708e+06	6.83224e+06	7.27526e+06	6.79484e+06	6.10648e+06	7.13322e+06
P22188	MURE_ECOLI	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	13	13	2.46428e+07	2.34517e+07	2.4847e+07	2.4907e+07	2.28212e+07	2.37256e+07
