Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P09152	P09152		narG		5.25566e+06	5.15706e+06	5.30383e+06	5.37238e+06	5.46692e+06	5.36872e+06
P09155	P09155		rnd		2.66169e+06	2.63783e+06	2.60051e+06	2.56248e+06	2.66474e+06	2.53343e+06
P09158	P09158		speE		7.1286e+06	7.23902e+06	7.19072e+06	7.338e+06	7.19154e+06	7.41089e+06
P09169	P09169		ompT		5.55112e+06	5.55992e+06	5.52005e+06	5.95693e+06	5.88368e+06	6.15224e+06
P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)	P09211ups|GSTP1_HUMAN_UPS Glutathione S-transferase P (Chain 2-210) - Homo sapiens (Human)				1.80253e+06	1.73351e+06	1.88342e+06	983099	915624	983133
P09323	P09323		nagE		826398	634403	749359	772010	799656	676567
P09372	P09372		grpE		4.59501e+07	4.8761e+07	4.60623e+07	5.03855e+07	5.17934e+07	4.86234e+07
P09373	P09373		pflB		2.66242e+08	2.6723e+08	2.62699e+08	2.66458e+08	2.64727e+08	2.63634e+08
P09394	P09394		glpQ		6.20682e+06	6.29493e+06	6.24873e+06	6.24801e+06	6.1963e+06	6.10119e+06
P09424	P09424		mtlD		2.39495e+06	2.3823e+06	2.25721e+06	2.28464e+06	2.23162e+06	2.22319e+06
P09546	P09546		putA		1.42032e+06	1.43979e+06	1.48843e+06	1.51303e+06	1.58376e+06	1.63262e+06
P09549	P09549		dedD		1.28118e+06	1.26233e+06	1.24162e+06	1.25713e+06	1.2897e+06	1.28153e+06
P09831	P09831		gltB		2.51199e+06	2.51551e+06	2.51349e+06	2.63503e+06	2.60845e+06	2.60408e+06
P09832	P09832		gltD		3.05878e+06	3.11744e+06	2.95117e+06	3.01034e+06	3.17477e+06	3.11364e+06
P0A698	P0A698		uvrA		2.28785e+06	2.37287e+06	2.41813e+06	2.27235e+06	2.28095e+06	2.326e+06
P0A6A0	P0A6A0		ubiB		1.81958e+06	1.65256e+06	1.77796e+06	1.59894e+06	1.68929e+06	1.66496e+06
P0A6A3	P0A6A3		ackA		1.34198e+08	1.33138e+08	1.32386e+08	1.31657e+08	1.28989e+08	1.32299e+08
P0A6A8	P0A6A8		acpP		1.60477e+08	1.62504e+08	1.62885e+08	1.57503e+08	1.59055e+08	1.61476e+08
