Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P00582	DPO1_ECOLI	polA	DNA polymerase I	45	45	2.39062e+07	2.30397e+07	2.29676e+07	2.32177e+07	2.28335e+07	2.35731e+07
P00709ups|LALBA_HUMAN_UPS	Alpha-lactalbumin	Alpha-lactalbumin		1	1	3.64431e+07	3.62564e+07		3.70205e+07		
P00803	LEP_ECOLI	lepB	Signal peptidase I	6	6	1.54918e+07	1.5588e+07	1.62271e+07	1.56255e+07	1.64082e+07	1.49144e+07
P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	18	18	1.35339e+08	1.35242e+08	1.36469e+08	1.36843e+08	1.35924e+08	1.3606e+08
P00811	AMPC_ECOLI	ampC	Beta-lactamase	5	5	1.69729e+06	1.65569e+06	1.71108e+06	1.68709e+06	1.66357e+06	1.64174e+06
P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	2	2	1.14073e+06	1.17337e+06	1.18014e+06	1.50872e+06	1.09523e+06	1.2449e+06
P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	41	41	6.34115e+07	6.41263e+07	6.49742e+07	6.39e+07	6.40071e+07	6.35431e+07
P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	4	4	7.27164e+06	6.8942e+06	6.45212e+06	7.68521e+06	6.3882e+06	6.56816e+06
P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	8	7	1.10028e+07	1.09141e+07	1.06004e+07	1.04551e+07	1.0797e+07	1.07004e+07
P00892	ILVG_ECOLI	ilvG	Acetolactate synthase isozyme 2 large subunit	1	1	1.05429e+06	1.10729e+06	910767	1.15534e+06		936330
P00894	ILVH_ECOLI	ilvH	Acetolactate synthase isozyme 3 small subunit	3	3	793952	999512	891174	929549	748610	1.03987e+06
P00914	PHR_ECOLI	phrB	Deoxyribodipyrimidine photo-lyase	5	5	1.2461e+06	1.2641e+06	1.43049e+06	1.57987e+06	1.23069e+06	1.33753e+06
P00915ups|CAH1_HUMAN_UPS	Carbonic	Carbonic		10	10	6.63577e+07	6.52698e+07	8.01483e+06	6.59767e+07	9.08243e+06	7.16543e+06
P00918ups|CAH2_HUMAN_UPS	Carbonic	Carbonic		10	10	9.19981e+07	8.88809e+07	9.20666e+06	9.08389e+07	9.71408e+06	9.62733e+06
P00926	SDHD_ECOLI	dsdA	D-serine dehydratase	4	4	2.74204e+06	2.63675e+06	2.76963e+06	2.72497e+06	2.47631e+06	2.91742e+06
P00934	THRC_ECOLI	thrC	Threonine synthase	14	14	1.8526e+07	1.96703e+07	1.82607e+07	1.8959e+07	1.82688e+07	1.76252e+07
P00935	METB_ECOLI	metB	Cystathionine gamma-synthase	2	2	2.60217e+06	2.91724e+06	2.33013e+06	2.34145e+06	2.61907e+06	2.41146e+06
P00936	CYAA_ECOLI	cyaA	Adenylate cyclase	3	3	3.12305e+06	3.0886e+06	2.95421e+06	2.90709e+06	2.72554e+06	2.78883e+06
P00946	MANA_ECOLI	manA	Mannose-6-phosphate isomerase	11	11	5.27899e+07	4.97811e+07	5.27343e+07	5.07387e+07	5.25709e+07	5.21525e+07
P00954	SYW_ECOLI	trpS	Tryptophan--tRNA ligase	12	12	1.00665e+08	1.00342e+08	9.52282e+07	9.47866e+07	9.47717e+07	9.53803e+07
P00956	SYI_ECOLI	ileS	Isoleucine--tRNA ligase	38	38	1.23164e+08	1.21371e+08	1.18871e+08	1.22264e+08	1.17852e+08	1.201e+08
P00957	SYA_ECOLI	alaS	Alanine--tRNA ligase	41	41	1.30133e+08	1.26061e+08	1.23687e+08	1.29456e+08	1.26506e+08	1.26333e+08
P00959	SYM_ECOLI	metG	Methionine--tRNA ligase	32	32	6.4516e+07	6.34382e+07	6.24558e+07	6.38124e+07	6.30043e+07	6.57347e+07
P00960	SYGA_ECOLI	glyQ	Glycine--tRNA ligase alpha subunit	9	9	3.14865e+07	2.95633e+07	3.04547e+07	3.11612e+07	2.91336e+07	2.94323e+07
P00961	SYGB_ECOLI	glyS	Glycine--tRNA ligase beta subunit	40	40	7.72657e+07	7.57146e+07	7.36194e+07	7.70862e+07	7.54743e+07	7.59958e+07
P00962	SYQ_ECOLI	glnS	Glutamine--tRNA ligase	30	30	7.91147e+07	7.90697e+07	7.9683e+07	7.70926e+07	8.2297e+07	7.94613e+07
P00963	ASNA_ECOLI	asnA	Aspartate--ammonia ligase	9	9	9.48648e+07	9.98781e+07	9.84446e+07	9.37061e+07	1.01144e+08	1.04281e+08
P00968	CARB_ECOLI	carB	Carbamoyl-phosphate synthase large chain	33	33	1.93485e+07	2.0017e+07	2.00698e+07	2.02286e+07	1.95488e+07	1.97219e+07
P01008ups|ANT3_HUMAN_UPS	Antithrombin-III	Antithrombin-III		15	15	7.80603e+07	7.98739e+07	8.7644e+06	7.73978e+07	9.36235e+06	9.44931e+06
P01112ups|RASH_HUMAN_UPS	GTPase	GTPase		8	8	5.0072e+07	4.78046e+07	8.32653e+06	4.96311e+07	6.87759e+06	6.15733e+06
P01127ups|PDGFB_HUMAN_UPS	Platelet-derived	Platelet-derived		4	4	6.32337e+07	6.44447e+07	6.27776e+06	6.48867e+07	7.12383e+06	7.90363e+06
P01133ups|EGF_HUMAN_UPS	Pro-Epidermal	Pro-Epidermal		1	1	1.72575e+07	1.87922e+07		1.98146e+07		
P01344ups|IGF2_HUMAN_UPS	Insulin-like	Insulin-like		1	1	3.75899e+07	3.59954e+07		3.89887e+07		
P01375ups|TNFA_HUMAN_UPS	Tumor	Tumor		7	7	5.05784e+07	5.1074e+07	3.47075e+06	4.75724e+07	4.4273e+06	4.26278e+06
P01579ups|IFNG_HUMAN_UPS	Interferon	Interferon		6	6	7.04204e+07	6.78799e+07	8.18138e+06	7.06081e+07	8.31894e+06	7.66903e+06
P02144ups|MYG_HUMAN_UPS	Myoglobin	Myoglobin		8	8	8.38104e+07	8.50605e+07	7.53584e+06	8.13267e+07	7.62244e+06	8.069e+06
P02358	RS6_ECOLI	rpsF	30S ribosomal protein S6	12	12	9.57537e+08	9.24616e+08	9.00332e+08	9.47423e+08	8.577e+08	9.04782e+08
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	1.02089e+09	1.02921e+09	9.73302e+08	9.67748e+08	9.94543e+08	9.90502e+08
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	13	13	7.85386e+08	7.9388e+08	8.08727e+08	7.95244e+08	8.05196e+08	8.11449e+08
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		5	5	1.30656e+07	1.25024e+07		1.27807e+07		
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		3	3	9.22243e+06	8.83686e+06		9.49452e+06		
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		20	20	1.29044e+08	1.34978e+08	1.49526e+07	1.34243e+08	1.43793e+07	1.49987e+07
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		18	18	7.9194e+07	7.79235e+07	9.75705e+06	8.0086e+07	8.80356e+06	8.65712e+06
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		22	22	7.28505e+07	6.9518e+07	7.73355e+06	7.13767e+07	7.94308e+06	7.71383e+06
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	7	7	2.63101e+06	3.18626e+06	3.34133e+06	3.13776e+06	2.99831e+06	2.79898e+06
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	15	15	4.96369e+07	4.75302e+07	5.35681e+07	5.22455e+07	4.82571e+07	4.87799e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	12	12	4.29778e+07	4.34749e+07	4.16112e+07	4.43786e+07	4.16705e+07	4.26573e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	15	15	1.25131e+08	1.25204e+08	1.29859e+08	1.24116e+08	1.32731e+08	1.3324e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	17	16	2.11806e+08	2.0457e+08	2.08128e+08	2.07893e+08	2.04278e+08	2.09153e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	1	1	1.1861e+06	1.22547e+06	1.14144e+06	1.32764e+06	1.01103e+06	1.16719e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	14	14	4.3214e+07	4.11662e+07	4.45805e+07	4.33485e+07	4.29694e+07	4.16652e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	7.94128e+06	8.47606e+06	8.92065e+06	8.66909e+06	8.50999e+06	8.85681e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	12	12	6.85861e+06	7.16867e+06	6.09938e+06	7.36889e+06	7.01497e+06	5.97528e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	3	3	1.99487e+06	1.62465e+06	1.61006e+06	1.62482e+06	1.38292e+06	1.88119e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	9	9	8.53572e+06	1.00141e+07	9.18202e+06	9.33896e+06	9.3018e+06	8.93452e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	3	3	1.97308e+06	1.85632e+06	1.56355e+06	2.08474e+06	1.59275e+06	1.50629e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	5.47751e+06	6.62728e+06	6.04939e+06	6.48423e+06	5.90463e+06	6.43039e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	3.67838e+07	3.61044e+07	3.74082e+07	3.86364e+07	3.81991e+07	3.74572e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	3.35587e+07	3.15127e+07	3.42015e+07	3.37515e+07	3.34913e+07	3.6782e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	9	9	3.18542e+07	3.1628e+07	3.0274e+07	3.25085e+07	3.23699e+07	3.17246e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		17	17	2.83695e+07	2.78188e+07	3.90568e+06	2.93459e+07	3.4808e+06	3.43147e+06
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	8.35115e+07	8.43563e+07	8.51981e+07	8.35209e+07	8.39706e+07	8.28365e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	15	15	1.95923e+07	1.99009e+07	1.90202e+07	1.98451e+07	1.98415e+07	1.91842e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	15	15	3.64792e+07	3.49501e+07	3.71695e+07	3.61882e+07	3.84548e+07	3.67494e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.61298e+07	2.64144e+07	2.57603e+07	2.57723e+07	2.57536e+07	2.53457e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	24	24	1.36203e+08	1.32529e+08	1.3314e+08	1.30863e+08	1.33721e+08	1.34996e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	26	26	7.53876e+07	7.52215e+07	7.70373e+07	7.72832e+07	7.64661e+07	7.43315e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	2	2	8.25483e+06	8.01193e+06	8.32648e+06	8.60627e+06	8.43447e+06	8.09414e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	4.06715e+08	3.81324e+08	4.07736e+08	3.94451e+08	4.3946e+08	4.44667e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	7	7	3.43186e+07	3.51655e+07	3.44969e+07	3.48365e+07	3.43209e+07	3.57113e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	5	5	1.29621e+06	1.36865e+06	1.3499e+06	1.33882e+06	1.39888e+06	1.53892e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	4.45215e+06	5.58344e+06	6.44221e+06	5.95777e+06	6.34897e+06	6.64479e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	4	4	3.76149e+06	4.26897e+06	3.82675e+06	4.01555e+06	4.08865e+06	4.80525e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	9.36765e+06	9.19919e+06	9.41734e+06	1.014e+07	9.17585e+06	9.2376e+06
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	2.08429e+07	2.0827e+07	2.03095e+07	2.07548e+07	2.0536e+07	2.05964e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	4	4	4.7571e+06	5.57833e+06	5.09249e+06	5.60097e+06	5.96708e+06	5.52489e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	34	34	2.02299e+08	2.05256e+08	1.95369e+08	1.97616e+08	1.95862e+08	1.97697e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	2	2	5.86395e+06	5.82833e+06	5.32289e+06	5.72404e+06	5.93252e+06	5.54492e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	6	6	2.0493e+07	2.11341e+07	2.04703e+07	2.31581e+07	2.1646e+07	1.99897e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		8	8	7.66267e+07	7.24237e+07	9.77831e+06	6.82568e+07	8.73709e+06	9.61486e+06
P05458	PTRA_ECOLI	ptrA	Protease 3	13	13	5.02561e+06	4.87373e+06	5.47046e+06	5.50471e+06	5.10798e+06	5.27858e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	15	15	3.53746e+07	3.7529e+07	3.66389e+07	3.63063e+07	3.70709e+07	3.71502e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	2	2	425560	611198	615621	754471	684492	
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	7	7	1.09552e+07	1.19636e+07	1.25332e+07	1.12997e+07	1.03571e+07	1.15781e+07
P05706	PTHA_ECOLI	srlB	Glucitol/sorbitol-specific phosphotransferase enzyme IIA component	1	1	807050	666538	898186	726909		
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	6	6	9.09129e+06	9.32288e+06	1.09595e+07	9.95414e+06	1.09268e+07	1.01147e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	14	14	1.39507e+07	1.39788e+07	1.24085e+07	1.32599e+07	1.30353e+07	1.30013e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	16	16	2.3119e+07	2.26678e+07	2.26895e+07	2.32006e+07	2.36576e+07	2.43236e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	15	15	9.85281e+06	9.91658e+06	1.07011e+07	9.97325e+06	1.04991e+07	1.00141e+07
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	3	3	8.88568e+06	8.26606e+06	8.27348e+06	8.47496e+06	8.0611e+06	8.24012e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	23	23	5.53026e+07	5.43205e+07	5.28211e+07	5.35823e+07	5.46392e+07	5.40266e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	7.79673e+07	7.84917e+07	7.43617e+07	7.34165e+07	8.03337e+07	7.61414e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	18	18	2.45319e+07	2.48768e+07	2.29751e+07	2.45194e+07	2.29211e+07	2.22381e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	4	4	7.67133e+06	7.70869e+06	7.33271e+06	7.77648e+06	6.89902e+06	7.5734e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		18	18	3.39763e+07	3.36963e+07	2.94294e+06	3.41054e+07	4.2166e+06	3.51471e+06
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	8	8	5.94489e+07	5.70205e+07	5.76411e+07	5.86577e+07	5.56047e+07	5.70651e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	3	3		2.59549e+06	2.84e+06		2.63126e+06	2.74919e+06
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	22	22	2.74696e+07	2.69871e+07	2.67994e+07	2.76705e+07	2.77143e+07	2.72051e+07
P06616	ERA_ECOLI	era	GTPase Era	8	8	7.9287e+06	7.70194e+06	8.92065e+06	8.08806e+06	9.58777e+06	9.2674e+06
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	6	6	5.50362e+06	5.59055e+06	5.90779e+06	5.64202e+06	5.9007e+06	5.86768e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	6	6	5.67676e+06	5.62097e+06	5.7689e+06	5.47914e+06	5.25165e+06	6.26172e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	13	13	2.69376e+07	2.55964e+07	2.43416e+07	2.6353e+07	2.39248e+07	2.33165e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	3	3	4.33611e+06	4.50869e+06	3.96758e+06	4.23745e+06	3.96982e+06	2.7564e+06
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	3.39865e+06	3.88923e+06	3.61326e+06	3.58787e+06	3.33521e+06	3.35199e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		17	17	4.28784e+07	4.12242e+07	5.00002e+06	4.0011e+07	4.6656e+06	4.6967e+06
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	7	7	3.98384e+06	4.57323e+06	4.62513e+06	4.67462e+06	4.80478e+06	4.47395e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	38	38	3.11525e+08	3.0834e+08	3.12676e+08	3.146e+08	3.10785e+08	3.12679e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	9	9	1.02757e+07	9.82848e+06	1.02916e+07	1.03973e+07	1.01075e+07	1.07175e+07
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	8.27668e+07	8.02181e+07	8.48782e+07	8.54657e+07	8.74321e+07	8.54342e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	18	18	7.52013e+07	7.31284e+07	7.43635e+07	7.70171e+07	7.23657e+07	7.38106e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	8	8	1.80514e+07	1.77039e+07	1.79617e+07	1.82457e+07	1.72587e+07	1.6943e+07
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	14	14	5.32781e+07	5.59468e+07	5.76492e+07	5.48358e+07	5.62487e+07	5.80671e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	8	8	1.25239e+07	1.34709e+07	1.29204e+07	1.33887e+07	1.22308e+07	1.2753e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	8	8	4.90172e+06	4.96724e+06	4.64584e+06	4.84577e+06	5.00209e+06	4.8517e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	4.98957e+06	5.35647e+06	4.99334e+06	5.22954e+06	5.13764e+06	5.12894e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	4	4	1.4029e+08	1.45357e+08	1.37223e+08	1.44291e+08	1.39199e+08	1.4203e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	2	2	3.756e+06	3.90208e+06	3.5993e+06	4.38067e+06	3.88478e+06	
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	18	15	1.3143e+09	1.22588e+09	1.32995e+09	1.27662e+09	1.33566e+09	1.37799e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	4	4	5.40342e+06	5.13794e+06	5.45362e+06	5.44283e+06	5.60925e+06	5.34311e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.42229e+06	2.37174e+06	2.0732e+06	1.75278e+06	2.46061e+06	1.84092e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	1.99151e+07	2.07707e+07	1.87758e+07	2.01835e+07	2.03472e+07	2.0807e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	9	9	1.11973e+07	1.14791e+07	1.14434e+07	1.20798e+07	1.24428e+07	1.1991e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	13	13	3.28617e+07	3.30495e+07	3.38038e+07	3.39123e+07	3.31938e+07	3.33679e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	17	17	6.70821e+07	6.45905e+07	6.48689e+07	6.5182e+07	6.49412e+07	6.67854e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	9	9	2.15294e+07	2.19863e+07	2.23563e+07	2.11853e+07	2.15796e+07	2.2358e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	16	14	6.98651e+07	6.84671e+07	6.53066e+07	7.09622e+07	6.75214e+07	6.58339e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	5.46393e+06	5.61921e+06	5.15799e+06	5.71515e+06	4.79004e+06	4.9622e+06
P07023	TYRA_ECOLI	tyrA	T-protein	7	7	6.83064e+06	7.62227e+06	7.37688e+06	7.90578e+06	7.94364e+06	7.10677e+06
P07024	USHA_ECOLI	ushA	Protein UshA	12	12	2.31611e+07	2.25457e+07	2.30559e+07	2.37103e+07	2.34579e+07	2.31783e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	1	1	5.4754e+06	5.33467e+06	5.08066e+06	5.21328e+06	5.54585e+06	5.33123e+06
P07117	PUTP_ECOLI	putP	Sodium/proline symporter	1	1	2.05073e+06	2.15633e+06		1.77013e+06	1.64234e+06	
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	47	47	1.15237e+08	1.18362e+08	1.13571e+08	1.18404e+08	1.12689e+08	1.12497e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	4	4	2.75205e+06	2.8776e+06	2.90776e+06	2.782e+06	3.13673e+06	3.09392e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	15	15	1.10752e+07	1.09307e+07	1.10212e+07	1.0438e+07	1.0772e+07	1.15052e+07
