Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML
P09372	P09372		grpE		5.15626e+07	5.23381e+07	5.27787e+07	5.12158e+07	5.36559e+07	5.53317e+07
P09373	P09373		pflB		2.84743e+08	2.81549e+08	2.80759e+08	2.81478e+08	2.80643e+08	2.79359e+08
P09394	P09394		glpQ		5.63342e+06	5.88028e+06	5.80445e+06	5.68309e+06	5.58711e+06	5.92525e+06
P09424	P09424		mtlD		2.30076e+06	2.37904e+06	2.38021e+06	2.28679e+06	2.27037e+06	2.34856e+06
P09546	P09546		putA		851801	732261	792632	816242	790219	791120
P09549	P09549		dedD		1.26129e+06	1.24802e+06	1.23376e+06	1.2618e+06	1.2253e+06	1.23679e+06
P09831	P09831		gltB		2.56905e+06	2.58043e+06	2.55876e+06	2.57887e+06	2.5522e+06	2.62103e+06
P09832	P09832		gltD		3.06319e+06	3.00697e+06	3.07622e+06	3.16178e+06	3.15289e+06	3.10887e+06
P0A698	P0A698		uvrA		2.73726e+06	2.6388e+06	2.61292e+06	2.70385e+06	2.6955e+06	2.66969e+06
P0A6A0	P0A6A0		ubiB		1.66888e+06	1.58376e+06	1.61625e+06	1.62524e+06	1.73018e+06	1.66023e+06
P0A6A3	P0A6A3		ackA		1.37343e+08	1.45214e+08	1.42619e+08	1.33554e+08	1.32499e+08	1.39836e+08
P0A6A8	P0A6A8		acpP		1.47191e+08	1.62886e+08	1.5949e+08	1.51115e+08	1.43894e+08	1.58183e+08
P0A6B4	P0A6B4		alr		3.3648e+06	3.35011e+06	3.37153e+06	3.3272e+06	3.37378e+06	3.18272e+06
P0A6B7	P0A6B7		iscS		1.8458e+07	1.86878e+07	1.87307e+07	1.8205e+07	1.80232e+07	1.85869e+07
P0A6C1	P0A6C1		nfo		1.8294e+06	1.87123e+06	1.84554e+06	1.79337e+06	1.70931e+06	1.71903e+06
P0A6D0	P0A6D0		argR		1.69452e+06	1.74359e+06	1.71914e+06	1.70796e+06	1.72166e+06	1.65097e+06
P0A6D3	P0A6D3		aroA		5.51499e+06	5.38163e+06	5.59513e+06	5.57115e+06	5.37291e+06	5.56829e+06
P0A6D7	P0A6D7		aroK		1.09591e+07	1.10276e+07	1.12785e+07	1.09667e+07	1.06355e+07	1.13316e+07
P0A6E4	P0A6E4		argG		756254	791727	814548	667128	641618	609417
P0A6E6	P0A6E6		atpC		5.17153e+06	5.4971e+06	5.4899e+06	5.02267e+06	5.12914e+06	5.62143e+06
P0A6E9	P0A6E9		bioD2		5.65885e+06	5.6593e+06	5.26532e+06	5.79572e+06	5.67342e+06	5.37992e+06
P0A6F1	P0A6F1		carA		4.88814e+06	4.93259e+06	4.89117e+06	4.90926e+06	4.97418e+06	4.79318e+06
P0A6F3	P0A6F3		glpK		5.053e+06	5.16392e+06	5.17822e+06	5.04597e+06	5.03755e+06	5.1655e+06
P0A6F5	P0A6F5		groL		7.87771e+07	7.70047e+07	7.70124e+07	7.75613e+07	7.90656e+07	7.79716e+07
P0A6F9	P0A6F9		groS		9.77461e+07	9.17638e+07	9.26308e+07	9.65722e+07	9.31257e+07	9.15327e+07
P0A6G3	P0A6G3		pncC		3.41245e+06	3.44985e+06	3.48531e+06	3.40267e+06	3.65703e+06	3.41181e+06
P0A6G7	P0A6G7		clpP		2.17808e+07	2.18266e+07	2.18544e+07	2.15009e+07	2.21931e+07	2.22446e+07
P0A6H1	P0A6H1		clpX		1.75042e+07	1.8642e+07	1.83881e+07	1.79577e+07	1.74112e+07	1.80595e+07
P0A6H5	P0A6H5		hslU		2.33641e+07	2.33664e+07	2.36796e+07	2.36124e+07	2.35303e+07	2.33306e+07
P0A6H8	P0A6H8		cls		653957	691593	709308	556498	656738	576194
P0A6I0	P0A6I0		cmk		1.09139e+07	1.06455e+07	1.08762e+07	1.094e+07	1.11468e+07	1.10748e+07
P0A6I3	P0A6I3		coaA		3.30293e+06	3.59578e+06	3.47106e+06	3.38349e+06	3.47274e+06	3.35405e+06
P0A6I6	P0A6I6		coaD		1.17623e+06	1.2594e+06	1.21775e+06	1.20936e+06	1.27023e+06	1.13387e+06
P0A6I9	P0A6I9		coaE		792540	749935	869446	762383	870943	896723
P0A6J1	P0A6J1		cysC		1.41569e+06	1.43248e+06	1.42143e+06	1.45483e+06	1.42409e+06	1.3359e+06
P0A6J8	P0A6J8		ddlA		1.58183e+07	1.58643e+07	1.62126e+07	1.58749e+07	1.56835e+07	1.61467e+07
P0A6K3	P0A6K3		def		1.47229e+07	1.40725e+07	1.42006e+07	1.4286e+07	1.47355e+07	1.39777e+07
P0A6K6	P0A6K6		deoB		1.82283e+07	1.89965e+07	1.8686e+07	1.80834e+07	1.82218e+07	1.87671e+07
P0A6L0	P0A6L0		deoC		1.31858e+07	1.2943e+07	1.27852e+07	1.31048e+07	1.30632e+07	1.27645e+07
P0A6L2	P0A6L2		dapA		2.4322e+07	2.41737e+07	2.39082e+07	2.43197e+07	2.34048e+07	2.41255e+07
