Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P02359	RS7_ECOLI	rpsG	30S ribosomal protein S7	14	14	9.47513e+08	9.64028e+08	9.5012e+08	1.00627e+09	9.48052e+08	9.38293e+08
P02413	RL15_ECOLI	rplO	50S ribosomal protein L15	12	12	8.30923e+08	7.73335e+08	8.28269e+08	7.95927e+08	7.9852e+08	8.32738e+08
P02741ups|CRP_HUMAN_UPS	C-reactive	C-reactive		5	5		1.22302e+07		1.25374e+07	1.24806e+07	
P02753ups|RETBP_HUMAN_UPS	Retinol-binding	Retinol-binding		3	3		9.11297e+06		9.0346e+06	9.12565e+06	
P02768ups|ALBU_HUMAN_UPS	Serum	Serum		20	20		1.25177e+08		1.39417e+08	1.30949e+08	
P02787ups|TRFE_HUMAN_UPS	Serotransferrin	Serotransferrin		18	18		7.63738e+07		7.67229e+07	7.92324e+07	
P02788ups|TRFL_HUMAN_UPS	Lactotransferrin	Lactotransferrin		22	22		6.97781e+07		6.83556e+07	7.07137e+07	
P02918	PBPA_ECOLI	mrcA	Penicillin-binding protein 1A	9	9	2.96901e+06	3.04059e+06	3.20947e+06	3.16977e+06	3.26227e+06	2.94558e+06
P02919	PBPB_ECOLI	mrcB	Penicillin-binding protein 1B	16	16	4.12683e+07	4.23656e+07	4.4639e+07	4.12533e+07	4.43425e+07	4.26856e+07
P02925	RBSB_ECOLI	rbsB	D-ribose-binding periplasmic protein	14	14	4.00507e+07	4.0876e+07	4.14305e+07	4.2796e+07	4.31106e+07	4.08875e+07
P02930	TOLC_ECOLI	tolC	Outer membrane protein TolC	15	15	1.26192e+08	1.17401e+08	1.25224e+08	1.20839e+08	1.18387e+08	1.21739e+08
P02931	OMPF_ECOLI	ompF	Outer membrane protein F	16	15	2.09804e+08	1.96175e+08	2.13421e+08	1.9567e+08	1.96799e+08	2.03912e+08
P02932	PHOE_ECOLI	phoE	Outer membrane pore protein E	1	1	1.27584e+06	1.30295e+06	1.17036e+06	1.27402e+06	1.33268e+06	1.29377e+06
P02942	MCP1_ECOLI	tsr	Methyl-accepting chemotaxis protein I	14	14	3.7966e+07	4.22267e+07	4.04049e+07	4.19176e+07	4.39074e+07	3.97386e+07
P02943	LAMB_ECOLI	lamB	Maltoporin	9	9	8.70336e+06	8.88911e+06	8.13433e+06	9.50902e+06	9.74029e+06	9.34259e+06
P03004	DNAA_ECOLI	dnaA	Chromosomal replication initiator protein DnaA	11	11	6.44349e+06	6.73655e+06	6.89359e+06	7.10113e+06	7.23878e+06	6.73986e+06
P03007	DPO3E_ECOLI	dnaQ	DNA polymerase III subunit epsilon	2	2	1.40588e+06	1.73767e+06	1.71202e+06	1.67093e+06	1.71761e+06	1.86023e+06
P03018	UVRD_ECOLI	uvrD	DNA helicase II	10	10	8.01904e+06	7.80605e+06	8.40487e+06	8.6083e+06	7.97021e+06	8.19071e+06
P03023	LACI_ECOLI	lacI	Lactose operon repressor	2	2	2.02147e+06	2.22544e+06	2.13591e+06	2.19054e+06	2.19434e+06	1.93884e+06
P03024	GALR_ECOLI	galR	HTH-type transcriptional regulator GalR	2	2	6.27662e+06	6.21393e+06	6.6768e+06	6.6421e+06	6.4497e+06	5.46325e+06
P03817	MIOC_ECOLI	mioC	Protein MioC	1	1	3.57539e+07	3.37027e+07	3.7128e+07	3.34654e+07	3.61656e+07	3.58748e+07
P03841	MALM_ECOLI	malM	Maltose operon periplasmic protein	6	6	3.28848e+07	3.15083e+07	3.28701e+07	2.92217e+07	3.20522e+07	3.17692e+07
P04036	DAPB_ECOLI	dapB	4-hydroxy-tetrahydrodipicolinate reductase	9	9	3.24247e+07	3.23374e+07	3.05962e+07	3.21664e+07	3.25192e+07	3.23069e+07
P04040ups|CATA_HUMAN_UPS	Catalase	Catalase		17	17		2.71105e+07		2.67795e+07	2.85574e+07	
P04079	GUAA_ECOLI	guaA	GMP synthase [glutamine-hydrolyzing]	26	26	8.41626e+07	8.07624e+07	8.3083e+07	8.30633e+07	8.19556e+07	8.43839e+07
P04335	FRSA_ECOLI	frsA	Esterase FrsA	13	13	1.73719e+07	1.76025e+07	1.83158e+07	1.78482e+07	1.8234e+07	1.72039e+07
P04425	GSHB_ECOLI	gshB	Glutathione synthetase	15	15	3.20641e+07	3.49243e+07	3.47768e+07	3.49061e+07	3.44584e+07	3.70855e+07
P04693	TYRB_ECOLI	tyrB	Aromatic-amino-acid aminotransferase	4	4	2.36406e+07	2.42919e+07	2.39316e+07	2.6359e+07	2.50885e+07	2.39461e+07
P04805	SYE_ECOLI	gltX	Glutamate--tRNA ligase	24	24	1.31411e+08	1.32476e+08	1.32412e+08	1.32266e+08	1.30784e+08	1.33134e+08
P04825	AMPN_ECOLI	pepN	Aminopeptidase N	27	27	7.73686e+07	7.69597e+07	7.71161e+07	7.79704e+07	7.83836e+07	7.99289e+07
P04846	NLPA_ECOLI	nlpA	Lipoprotein 28	2	2	8.48265e+06	8.02683e+06	8.35832e+06	8.05268e+06	8.46678e+06	8.45162e+06
P04949	FLIC_ECOLI	fliC	Flagellin	15	15	3.86493e+08	3.81561e+08	3.97827e+08	3.66947e+08	3.83852e+08	3.89719e+08
P04951	KDSB_ECOLI	kdsB	3-deoxy-manno-octulosonate cytidylyltransferase	6	6	3.28226e+07	3.15115e+07	3.43731e+07	3.19588e+07	3.33763e+07	3.30035e+07
P04968	ILVA_ECOLI	ilvA	L-threonine dehydratase biosynthetic IlvA	4	4	1.70089e+06	1.32394e+06	1.53082e+06	1.51813e+06	1.51312e+06	1.43979e+06
P04982	RBSD_ECOLI	rbsD	D-ribose pyranase	1	1	5.79167e+06	5.73657e+06	6.29361e+06	6.16584e+06	6.54371e+06	5.57846e+06
P04994	EX7L_ECOLI	xseA	Exodeoxyribonuclease 7 large subunit	3	3	4.11321e+06	3.8245e+06	4.87979e+06	4.28488e+06	3.9985e+06	4.42633e+06
P04995	EX1_ECOLI	sbcB	Exodeoxyribonuclease I	8	8	7.64621e+06	8.04132e+06	7.47649e+06	8.3315e+06	8.9293e+06	8.15978e+06
P05020	PYRC_ECOLI	pyrC	Dihydroorotase	11	11	2.10071e+07	2.13087e+07	2.06872e+07	2.15668e+07	2.15625e+07	2.04595e+07
P05041	PABB_ECOLI	pabB	Para-aminobenzoate synthase component 1	4	4	5.02628e+06	5.14588e+06	5.62662e+06	5.48676e+06	5.69499e+06	5.14862e+06
P05055	PNP_ECOLI	pnp	Polyribonucleotide nucleotidyltransferase	33	33	1.97926e+08	1.99874e+08	1.96139e+08	2.07743e+08	1.99591e+08	1.98199e+08
P05100	3MG1_ECOLI	tag	DNA-3-methyladenine glycosylase 1	2	2	5.36252e+06	5.69607e+06	5.91586e+06	6.03246e+06	5.71259e+06	5.85872e+06
P05194	AROD_ECOLI	aroD	3-dehydroquinate dehydratase	6	6	2.27734e+07	2.32826e+07	2.33672e+07	2.54485e+07	2.71396e+07	2.22841e+07
P05413ups|FABPH_HUMAN_UPS	Fatty	Fatty		8	8		6.00125e+07		6.2261e+07	5.93934e+07	
P05458	PTRA_ECOLI	ptrA	Protease 3	13	13	5.88256e+06	5.64791e+06	6.1288e+06	5.41621e+06	6.01621e+06	5.72793e+06
P05459	PDXB_ECOLI	pdxB	Erythronate-4-phosphate dehydrogenase	15	15	3.47881e+07	3.56525e+07	3.62999e+07	3.80239e+07	3.66834e+07	3.62556e+07
P05523	FPG_ECOLI	mutM	Formamidopyrimidine-DNA glycosylase	1	1				713742	960352	
P05637	APAH_ECOLI	apaH	Bis(5'-nucleosyl)-tetraphosphatase [symmetrical]	8	8	7.57011e+06	9.2053e+06	8.65481e+06	9.7913e+06	9.10834e+06	8.54452e+06
P05706	PTHA_ECOLI	srlB	Glucitol/sorbitol-specific phosphotransferase enzyme IIA component	1	1	572628	540881		500800	502424	
P05719	T1SK_ECOLI	hsdS	Type-1 restriction enzyme EcoKI specificity protein	5	5	1.00959e+07	9.82159e+06	1.09551e+07	9.6475e+06	1.0556e+07	1.06799e+07
P05791	ILVD_ECOLI	ilvD	Dihydroxy-acid dehydratase	13	13	1.30523e+07	1.36628e+07	1.36398e+07	1.33822e+07	1.32966e+07	1.33282e+07
P05793	ILVC_ECOLI	ilvC	Ketol-acid reductoisomerase	14	14	2.19041e+07	2.20525e+07	2.20435e+07	2.22958e+07	2.29192e+07	2.24232e+07
P05825	FEPA_ECOLI	fepA	Ferrienterobactin receptor	15	15	9.80648e+06	9.57435e+06	9.93832e+06	1.00163e+07	1.01737e+07	1.02102e+07
P05852	GCP_ECOLI	gcp	Probable tRNA threonylcarbamoyladenosine biosynthesis protein Gcp	3	3	8.23302e+06	8.74131e+06	9.15304e+06	8.45023e+06	8.91005e+06	8.27836e+06
P06129	BTUB_ECOLI	btuB	Vitamin B12 transporter BtuB	24	24	5.12388e+07	5.01741e+07	5.06933e+07	5.12822e+07	5.096e+07	4.91838e+07
P06136	FTSQ_ECOLI	ftsQ	Cell division protein FtsQ	3	3	6.9329e+07	7.80681e+07	8.39229e+07	8.71306e+07	7.48117e+07	7.06566e+07
P06149	DLD_ECOLI	dld	D-lactate dehydrogenase	19	19	2.20309e+07	2.2011e+07	2.2125e+07	2.31652e+07	2.32547e+07	2.05357e+07
P06282	CDH_ECOLI	cdh	CDP-diacylglycerol pyrophosphatase	5	5	6.78169e+06	7.67826e+06	7.57021e+06	7.70363e+06	7.67616e+06	8.00883e+06
P06396ups|GELS_HUMAN_UPS	Gelsolin	Gelsolin		19	19		3.31227e+07		3.3067e+07	3.40856e+07	
P06610	BTUE_ECOLI	btuE	Vitamin B12 transport periplasmic protein BtuE	7	7	5.01036e+07	5.02136e+07	5.06219e+07	5.01096e+07	5.17888e+07	4.8239e+07
P06611	BTUD_ECOLI	btuD	Vitamin B12 import ATP-binding protein BtuD	2	2	1.45391e+06	1.2475e+06	1.62231e+06	1.55778e+06		
P06612	TOP1_ECOLI	topA	DNA topoisomerase 1	22	22	2.807e+07	2.73775e+07	2.9e+07	2.78574e+07	2.82821e+07	2.89142e+07
P06616	ERA_ECOLI	era	GTPase Era	8	8	9.68931e+06	8.04491e+06	1.05899e+07	7.75716e+06	7.9356e+06	1.0987e+07
P06709	BIRA_ECOLI	birA	Bifunctional protein BirA	6	6	5.5737e+06	5.10833e+06	5.66758e+06	5.53241e+06	5.47895e+06	6.26441e+06
P06710	DPO3X_ECOLI	dnaX	DNA polymerase III subunit tau	8	8	5.48635e+06	5.31344e+06	5.83726e+06	5.46994e+06	5.38984e+06	5.7532e+06
P06715	GSHR_ECOLI	gor	Glutathione reductase	14	14	2.36794e+07	2.64713e+07	2.34983e+07	2.51793e+07	2.63441e+07	2.3602e+07
P06721	METC_ECOLI	metC	Cystathionine beta-lyase MetC	3	3	2.67008e+06	3.29571e+06	2.59816e+06	3.11987e+06	2.70383e+06	2.80255e+06
P06722	MUTH_ECOLI	mutH	DNA mismatch repair protein MutH	3	3	2.69423e+06	2.81243e+06	2.63815e+06	3.04067e+06	2.79238e+06	2.73498e+06
P06732ups|KCRM_HUMAN_UPS	Creatine	Creatine		17	17		4.55731e+07		4.39962e+07	4.33149e+07	
P06846	EBGR_ECOLI	ebgR	HTH-type transcriptional regulator EbgR	7	7	4.06516e+06	3.87081e+06	4.55637e+06	4.38001e+06	4.36568e+06	4.33657e+06
P06959	ODP2_ECOLI	aceF	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex	39	39	2.93009e+08	2.95897e+08	2.9267e+08	2.96832e+08	3.02476e+08	2.91028e+08
P06961	CCA_ECOLI	cca	Multifunctional CCA protein	9	9	4.59274e+06	4.40907e+06	4.33398e+06	4.37613e+06	4.72759e+06	4.45097e+06
P06968	DUT_ECOLI	dut	Deoxyuridine 5'-triphosphate nucleotidohydrolase	3	3	8.44872e+07	7.86056e+07	8.23145e+07	7.85004e+07	8.17604e+07	7.92431e+07
P06971	FHUA_ECOLI	fhuA	Ferrichrome-iron receptor	19	19	7.51737e+07	7.24739e+07	7.40724e+07	7.29175e+07	7.5605e+07	7.40635e+07
P06974	FLIM_ECOLI	fliM	Flagellar motor switch protein FliM	8	8	1.17331e+07	1.19221e+07	1.19401e+07	1.17256e+07	1.22518e+07	1.18806e+07
P06983	HEM3_ECOLI	hemC	Porphobilinogen deaminase	14	14	6.19175e+07	5.57958e+07	6.21011e+07	5.98249e+07	5.78282e+07	6.12186e+07
P06986	HIS8_ECOLI	hisC	Histidinol-phosphate aminotransferase	8	8	1.25597e+07	1.23919e+07	1.34573e+07	1.32968e+07	1.28019e+07	1.28062e+07
P06987	HIS7_ECOLI	hisB	Histidine biosynthesis bifunctional protein HisB	9	9	3.51233e+06	3.86663e+06	3.59687e+06	4.11155e+06	3.94967e+06	3.6683e+06
P06988	HISX_ECOLI	hisD	Histidinol dehydrogenase	6	6	5.90613e+06	4.97359e+06	5.585e+06	5.09354e+06	5.46184e+06	5.59746e+06
P06992	RSMA_ECOLI	rsmA	Ribosomal RNA small subunit methyltransferase A	4	4	1.44665e+08	1.44916e+08	1.43537e+08	1.45883e+08	1.47577e+08	1.43147e+08
P06993	MALT_ECOLI	malT	HTH-type transcriptional regulator MalT	3	3	2.66057e+06	3.09722e+06	3.80633e+06	3.84393e+06	3.66993e+06	
P06996	OMPC_ECOLI	ompC	Outer membrane protein C	18	15	1.35178e+09	1.24825e+09	1.33199e+09	1.20801e+09	1.25061e+09	1.32204e+09
P06999	K6PF2_ECOLI	pfkB	6-phosphofructokinase isozyme 2	4	4	5.77304e+06	5.89776e+06	5.7533e+06	5.31038e+06	5.67596e+06	5.36348e+06
P07000	PLDB_ECOLI	pldB	Lysophospholipase L2	1	1	2.30522e+06	2.42212e+06	2.31991e+06	2.40416e+06	1.93207e+06	2.53763e+06
P07001	PNTA_ECOLI	pntA	NAD(P) transhydrogenase subunit alpha	11	11	2.24718e+07	2.32428e+07	2.4413e+07	2.38219e+07	2.30454e+07	2.42246e+07
P07003	POXB_ECOLI	poxB	Pyruvate dehydrogenase [ubiquinone]	9	9	1.25896e+07	1.15743e+07	1.13105e+07	1.21287e+07	1.23788e+07	1.29363e+07
P07004	PROA_ECOLI	proA	Gamma-glutamyl phosphate reductase	13	13	3.24583e+07	3.22033e+07	3.25002e+07	3.25623e+07	3.36982e+07	3.37345e+07
P07012	RF2_ECOLI	prfB	Peptide chain release factor 2	17	17	6.03427e+07	6.41048e+07	5.9804e+07	6.27681e+07	6.36647e+07	5.96091e+07
P07014	DHSB_ECOLI	sdhB	Succinate dehydrogenase iron-sulfur subunit	9	9	2.0714e+07	2.01128e+07	2.16725e+07	2.07418e+07	2.05168e+07	2.17101e+07
P07017	MCP2_ECOLI	tar	Methyl-accepting chemotaxis protein II	15	13	6.49257e+07	6.64224e+07	6.5221e+07	6.51572e+07	6.79555e+07	6.32323e+07
P07021	YFIB_ECOLI	yfiB	Putative lipoprotein YfiB	4	4	3.7162e+06	4.59957e+06	3.98096e+06	5.01399e+06	5.18394e+06	4.07269e+06
P07023	TYRA_ECOLI	tyrA	T-protein	7	7	7.36241e+06	6.93244e+06	7.33814e+06	7.89445e+06	7.84215e+06	7.34045e+06
P07024	USHA_ECOLI	ushA	Protein UshA	12	12	2.40938e+07	2.42008e+07	2.47028e+07	2.42227e+07	2.47339e+07	2.34122e+07
P07026	SDIA_ECOLI	sdiA	Regulatory protein SdiA	1	1	5.09457e+06	5.27541e+06	5.28744e+06	5.19678e+06	5.32546e+06	5.41789e+06
P07117	PUTP_ECOLI	putP	Sodium/proline symporter	1	1		2.1529e+06	1.71678e+06	2.15825e+06	1.93929e+06	2.30691e+06
P07118	SYV_ECOLI	valS	Valine--tRNA ligase	46	46	1.11276e+08	1.11317e+08	1.11577e+08	1.16375e+08	1.16364e+08	1.11521e+08
P07330	CHEB_ECOLI	cheB	Chemotaxis response regulator protein-glutamate methylesterase	4	4	2.88582e+06	2.7538e+06	3.00823e+06	3.00395e+06	2.94468e+06	3.0522e+06
P07363	CHEA_ECOLI	cheA	Chemotaxis protein CheA	15	15	1.13538e+07	1.18265e+07	1.15249e+07	1.17143e+07	1.16312e+07	1.16707e+07
P07364	CHER_ECOLI	cheR	Chemotaxis protein methyltransferase	3	3	1.43732e+06	1.15073e+06	1.8978e+06		1.59008e+06	
P07395	SYFB_ECOLI	pheT	Phenylalanine--tRNA ligase beta subunit	36	36	9.17785e+07	8.96282e+07	9.29842e+07	8.95082e+07	8.87352e+07	9.13962e+07
P07604	TYRR_ECOLI	tyrR	Transcriptional regulatory protein TyrR	11	11	8.35976e+06	8.09032e+06	9.16797e+06	9.02181e+06	8.01426e+06	1.00538e+07
P07639	AROB_ECOLI	aroB	3-dehydroquinate synthase	11	11	1.57504e+07	1.59936e+07	1.70237e+07	1.69097e+07	1.66683e+07	1.68254e+07
