Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P26648	P26648		ftsP		2.7809e+06	3.01043e+06	2.9106e+06	2.75267e+06	2.74376e+06	2.66939e+06
P27238	P27238		yfeD		996398	913239	940440	941578	924037	977721
P27247	P27247		plsX		661857	650920	587398	655554	490666	466977
P27248	P27248		gcvT		8.57475e+06	8.77582e+06	8.86049e+06	8.87407e+06	8.61798e+06	8.79268e+06
P27278	P27278		nadR		627765	609782	604117	675942	705351	635325
P27298	P27298		prlC		1.0145e+07	1.02131e+07	1.03738e+07	1.00557e+07	1.02092e+07	1.01921e+07
P27302	P27302		tktA		2.51256e+07	2.6119e+07	2.58915e+07	2.52677e+07	2.59458e+07	2.5321e+07
P27303	P27303		emrA		1.46993e+06	1.45814e+06	1.43394e+06	1.45132e+06	1.42197e+06	1.41699e+06
P27306	P27306		sthA		1.07627e+06	1.1227e+06	1.16525e+06	1.21226e+06	1.09301e+06	1.03028e+06
P27431	P27431		ycfD		4.78222e+06	5.05489e+06	5.07743e+06	4.61935e+06	4.68706e+06	3.92926e+06
P27434	P27434		rodZ		1.04367e+07	1.03057e+07	1.05449e+07	1.0393e+07	1.01148e+07	9.95543e+06
P27828	P27828		wecB		2.44669e+06	2.58376e+06	2.58215e+06	2.65451e+06	2.47413e+06	2.55966e+06
