Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0A7S3	P0A7S3		rpsL		7.14409e+07	6.53256e+07	7.04465e+07	6.87034e+07	6.80068e+07	7.09485e+07
P0A7S9	P0A7S9		rpsM		3.31787e+07	3.17065e+07	3.2139e+07	3.21215e+07	3.31869e+07	3.29579e+07
P0A7T3	P0A7T3		rpsP		1.28942e+08	1.32819e+08	1.30323e+08	1.28702e+08	1.29411e+08	1.26326e+08
P0A7T7	P0A7T7		rpsR		4.15193e+07	4.69533e+07	4.71366e+07	4.59601e+07	4.16515e+07	4.3556e+07
P0A7U3	P0A7U3		rpsS		1.29385e+08	1.36959e+08	1.38509e+08	1.40605e+08	1.30657e+08	1.30694e+08
P0A7U7	P0A7U7		rpsT		2.61591e+07	2.67538e+07	2.75519e+07	2.6871e+07	2.6698e+07	2.68898e+07
P0A7V0	P0A7V0		rpsB		8.50505e+07	8.75835e+07	8.8254e+07	8.76912e+07	8.56357e+07	8.50286e+07
P0A7V3	P0A7V3		rpsC		7.79822e+07	7.89182e+07	7.74854e+07	7.78986e+07	7.81911e+07	7.79877e+07
P0A7V8	P0A7V8		rpsD		1.41555e+08	1.42741e+08	1.36983e+08	1.40892e+08	1.43983e+08	1.37986e+08
P0A7W1	P0A7W1		rpsE		1.48317e+08	1.67072e+08	1.61422e+08	1.62137e+08	1.47566e+08	1.4442e+08
P0A7W7	P0A7W7		rpsH		5.62539e+07	5.73773e+07	5.79653e+07	5.75267e+07	5.59328e+07	5.56368e+07
P0A7X3	P0A7X3		rpsI		6.95224e+07	7.40781e+07	7.39554e+07	7.22679e+07	7.02114e+07	6.95854e+07
P0A7X6	P0A7X6		rimM		5.99824e+06	6.03145e+06	6.1217e+06	5.96929e+06	5.8154e+06	5.92358e+06
P0A7Y0	P0A7Y0		rnc		1.2544e+07	1.2923e+07	1.31162e+07	1.30893e+07	1.27073e+07	1.35137e+07
P0A7Y8	P0A7Y8		rnpA		1.02464e+06	967808	872432	1.00199e+06	939890	882038
P0A7Z0	P0A7Z0		rpiA		1.69551e+07	1.71405e+07	1.78757e+07	1.7244e+07	1.63776e+07	1.67201e+07
P0A7Z4	P0A7Z4		rpoA		1.2862e+08	1.29279e+08	1.27979e+08	1.30413e+08	1.27751e+08	1.27032e+08
P0A800	P0A800		rpoZ		5.21323e+07	5.43579e+07	5.25689e+07	5.35206e+07	5.20863e+07	5.23161e+07
P0A805	P0A805		frr		2.26563e+07	2.44807e+07	2.53067e+07	2.50197e+07	2.24437e+07	2.1914e+07
P0A809	P0A809		ruvA		509863	568484	528458	470189	523547	581992
P0A812	P0A812		ruvB		1.12412e+06	1.24551e+06	1.29193e+06	1.25926e+06	1.14824e+06	1.10076e+06
P0A817	P0A817		metK		9.82344e+06	9.51414e+06	9.387e+06	9.78838e+06	9.74267e+06	9.60535e+06
P0A821	P0A821		selA		1.59999e+06	1.61411e+06	1.57789e+06	1.6091e+06	1.59696e+06	1.55464e+06
P0A825	P0A825		glyA		2.7143e+07	2.89525e+07	3.00368e+07	2.92061e+07	2.78838e+07	2.79679e+07
P0A832	P0A832		smpB		5.69289e+06	5.64901e+06	5.53891e+06	5.75277e+06	5.61338e+06	5.7759e+06
P0A836	P0A836		sucC		8.52458e+06	8.64457e+06	8.52218e+06	8.49893e+06	8.4951e+06	8.56146e+06
P0A840	P0A840		surE		1.57363e+06	1.57333e+06	1.57004e+06	1.65754e+06	1.61831e+06	1.62255e+06
P0A843	P0A843		tatE		7.71544e+06	8.60952e+06	7.97551e+06	8.8465e+06	8.7644e+06	8.09185e+06
P0A847	P0A847		tgt		3.02873e+06	3.10543e+06	3.0326e+06	3.12478e+06	3.07147e+06	2.9209e+06
P0A850	P0A850		tig		1.37431e+08	1.45716e+08	1.42795e+08	1.44499e+08	1.37798e+08	1.37228e+08
