Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_10fmol_inj1r.mzML
P12758	P12758		udp		2.75081e+07	2.70233e+07	2.76739e+07	2.73826e+07	2.82775e+07	2.35885e+07
P12994	P12994		ybhB		623203	531609	576769	834023	650510	580314
P13001	P13001		bioH		1.30028e+06	1.11865e+06	1.10706e+06	1.29297e+06	1.22439e+06	1.38312e+06
P13009	P13009		metH		2.50115e+06	2.48898e+06	2.57502e+06	2.62051e+06	2.57488e+06	2.59985e+06
P13016	P13016		ampD		3.55761e+07	3.40433e+07	3.66934e+07	3.57978e+07	3.50943e+07	3.26101e+07
P13024	P13024		fdhE		3.7167e+06	3.64431e+06	3.89096e+06	3.85516e+06	3.82038e+06	3.49616e+06
P13029	P13029		katG		3.88298e+07	3.8147e+07	3.80152e+07	3.82317e+07	3.82316e+07	3.69329e+07
P13033	P13033		glpB		1.15159e+06	1.22319e+06	1.16564e+06	1.10069e+06	1.17562e+06	1.23634e+06
P13035	P13035		glpD		3.86353e+06	3.81734e+06	3.75763e+06	3.77279e+06	3.75928e+06	3.70616e+06
P13445	P13445		rpoS		5.25021e+06	5.247e+06	5.13688e+06	5.15744e+06	5.22768e+06	5.37064e+06
P13979	P13979		traT		3.6759e+06	3.60691e+06	3.62241e+06	3.6422e+06	3.77542e+06	3.69882e+06
P14081	P14081		selB		2.67239e+06	2.65889e+06	2.79544e+06	2.77947e+06	2.74326e+06	2.59272e+06
P14175	P14175		proV		1.01643e+06	1.02418e+06	1.03478e+06	958153	988586	1.04471e+06
P14407	P14407		fumB		2.47684e+07	2.508e+07	2.45521e+07	2.44054e+07	2.47928e+07	2.3854e+07
P14900	P14900		murD		2.93441e+06	2.97866e+06	2.92277e+06	2.90127e+06	2.94746e+06	2.68483e+06
P15005	P15005		mcrB		693689	647035	692112	645724	726809	761398
P15034	P15034		pepP		4.06974e+06	3.95372e+06	3.82898e+06	3.82676e+06	3.96326e+06	3.78292e+06
P15042	P15042		ligA		8.38241e+06	8.22369e+06	8.40083e+06	8.4054e+06	8.32172e+06	7.74195e+06
P15067	P15067		glgX		2.99307e+06	3.05238e+06	3.05595e+06	2.94436e+06	3.05683e+06	2.97298e+06
P15070	P15070		fliN		4.45948e+06	4.54914e+06	4.721e+06	4.92017e+06	4.32923e+06	4.62541e+06
P15254	P15254		purL		2.86465e+06	2.98737e+06	2.99772e+06	2.94484e+06	2.96568e+06	3.08001e+06
P15288	P15288		pepD		1.76586e+07	1.77565e+07	1.77095e+07	1.73467e+07	1.71187e+07	1.70451e+07
P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	P15559ups|NQO1_HUMAN_UPS NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)				3.01887e+06	3.10194e+06	921455	801693	998659	3.3299e+06
P15639	P15639		purH		5.26032e+06	5.39155e+06	5.24507e+06	5.24814e+06	5.14186e+06	5.54738e+06
P15640	P15640		purD		2.73395e+06	2.82451e+06	2.93185e+06	2.94631e+06	2.87967e+06	2.76658e+06
P15770	P15770		aroE		3.38376e+06	3.38935e+06	3.73931e+06	3.61573e+06	3.51792e+06	3.57612e+06
P15977	P15977		malQ		3.40836e+06	3.56919e+06	3.74728e+06	3.06784e+06	3.58224e+06	3.5403e+06
P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)	P16083ups|NQO2_HUMAN_UPS Ribosyldihydronicotinamide dehydrogenase [quinone] (Chain 2-231) - Homo sapiens (Human)				4.07728e+06	4.08817e+06	1.22654e+06	1.16399e+06	1.27813e+06	3.88961e+06
