Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0ACC3	P0ACC3		erpA		8.95751e+06	8.93986e+06	8.91456e+06	9.08688e+06	9.18048e+06	9.0274e+06
P0ACC7	P0ACC7		glmU		1.38024e+07	1.39041e+07	1.41152e+07	1.37682e+07	1.38784e+07	1.33287e+07
P0ACD4	P0ACD4		nifU		1.53479e+07	1.54605e+07	1.556e+07	1.59184e+07	1.54953e+07	1.50522e+07
P0ACD8	P0ACD8		hyaB		5.88508e+06	6.05183e+06	5.98475e+06	5.89458e+06	6.04137e+06	5.94892e+06
P0ACE0	P0ACE0		hybC		1.38725e+07	1.38565e+07	1.40622e+07	1.37678e+07	1.39518e+07	1.39184e+07
P0ACE3	P0ACE3		hha		2.91277e+06	2.93363e+06	3.02149e+06	3.0387e+06	2.9186e+06	2.87641e+06
P0ACE7	P0ACE7		hinT		1.17652e+07	1.18365e+07	1.18551e+07	1.20765e+07	1.17615e+07	1.19061e+07
P0ACF0	P0ACF0		hupA		1.67931e+08	1.68416e+08	1.65456e+08	1.6292e+08	1.64128e+08	1.58393e+08
P0ACF4	P0ACF4		hupB		3.60041e+07	3.62271e+07	3.64949e+07	3.56863e+07	3.59882e+07	3.46368e+07
P0ACF8	P0ACF8		hns		5.69262e+07	5.53892e+07	5.71313e+07	5.84518e+07	5.7301e+07	5.69468e+07
P0ACG1	P0ACG1		stpA		2.4202e+07	2.61444e+07	2.49868e+07	2.28393e+07	2.6102e+07	2.31251e+07
P0ACI0	P0ACI0		rob		3.82372e+06	3.66494e+06	3.67134e+06	3.70468e+06	3.63235e+06	3.81039e+06
P0ACJ0	P0ACJ0		lrp		1.27199e+07	1.26565e+07	1.23861e+07	1.28255e+07	1.26847e+07	1.23683e+07
P0ACJ8	P0ACJ8		crp		2.80655e+07	2.76152e+07	2.78509e+07	2.71914e+07	2.70804e+07	2.73604e+07
P0ACL0	P0ACL0		glpR		2.10974e+06	2.07076e+06	2.23448e+06	2.02963e+06	2.22353e+06	2.13327e+06
P0ACL2	P0ACL2		exuR		2.54907e+06	2.52299e+06	2.3877e+06	2.47652e+06	2.19913e+06	2.2608e+06
P0ACL9	P0ACL9		pdhR		1.12765e+07	1.10192e+07	1.09737e+07	1.08115e+07	1.11831e+07	1.08361e+07
P0ACM2	P0ACM2		ydfH		1.50398e+06	1.50163e+06	1.52027e+06	1.48724e+06	1.50687e+06	1.46403e+06
P0ACN4	P0ACN4		allR		3.10068e+06	3.12297e+06	3.17962e+06	2.93917e+06	3.24956e+06	3.19878e+06
P0ACN7	P0ACN7		cytR		1.15554e+06	1.07857e+06	1.16762e+06	1.18588e+06	1.15733e+06	1.15917e+06
P0ACP1	P0ACP1		cra		4.31214e+06	4.26607e+06	4.30166e+06	4.40544e+06	4.10529e+06	4.18567e+06
P0ACP5	P0ACP5		gntR		646130	691128	729005	682883	757626	760700
P0ACP7	P0ACP7		purR		4.95762e+06	5.19882e+06	5.11812e+06	5.13126e+06	4.94164e+06	4.7232e+06
P0ACQ4	P0ACQ4		oxyR		4.66006e+06	4.80807e+06	4.78322e+06	4.70325e+06	4.91079e+06	4.64483e+06
P0ACR4	P0ACR4		yeiE		2.72645e+06	2.73932e+06	2.61215e+06	2.64507e+06	2.7165e+06	2.74779e+06
P0ACR9	P0ACR9		mprA		1.4454e+07	1.51381e+07	1.48114e+07	1.52145e+07	1.44666e+07	1.47485e+07
P0ACU0	P0ACU0		ybiH		575830	570498	631136	452953	494744	474791
P0ACU5	P0ACU5		fabR		3.09674e+06	3.10698e+06	3.00353e+06	3.03065e+06	2.96936e+06	2.91576e+06
P0ACU7	P0ACU7		yjdC		816475	692536	764453	898893	778105	772348
P0ACX5	P0ACX5		ydhZ		2.52111e+06	2.57351e+06	2.81973e+06	2.36593e+06	2.76737e+06	2.7275e+06
P0ACY1	P0ACY1		ydjA		1.08234e+07	1.08075e+07	1.07728e+07	1.05181e+07	1.06474e+07	1.07142e+07
P0ACY3	P0ACY3		yeaG		969654	990594	953382	1.00818e+06	968278	996266
P0ACY9	P0ACY9		yebG		765075	810766	826680	867891	803991	783856
P0ACZ2	P0ACZ2		etp		670233	723394	740060	656996	758285	664453
P0ACZ4	P0ACZ4		evgA		2.39092e+06	2.52405e+06	2.4941e+06	2.45774e+06	2.52385e+06	2.33908e+06
P0AD01	P0AD01		dcuR		785698	963443	869710	864122	887581	945674
P0AD05	P0AD05		yecA		7.17598e+06	7.79744e+06	7.66525e+06	7.59061e+06	8.15353e+06	7.67558e+06
P0AD07	P0AD07		yecF		3.96583e+06	3.97534e+06	3.97939e+06	3.7208e+06	4.04858e+06	3.81458e+06
P0AD10	P0AD10		yecJ		3.24621e+06	3.26229e+06	3.1795e+06	2.9521e+06	3.03774e+06	2.98294e+06
P0AD12	P0AD12		yeeZ		1.11117e+07	1.05282e+07	1.09488e+07	1.03964e+07	1.13113e+07	1.15134e+07
P0AD24	P0AD24		yejL		4.39002e+06	3.70877e+06	3.7208e+06	3.54308e+06	3.90083e+06	3.6638e+06
P0AD33	P0AD33		yfcZ		4.31501e+07	4.25188e+07	4.39796e+07	4.27497e+07	4.50168e+07	4.43883e+07
P0AD44	P0AD44		yfhG		804128	880088	879941	824889	900992	906185
P0AD49	P0AD49		raiA		5.87085e+06	6.33193e+06	6.11865e+06	5.87763e+06	6.22036e+06	5.75316e+06
P0AD57	P0AD57		ispB		1.30426e+06	1.4084e+06	1.49409e+06	1.25667e+06	1.52601e+06	1.2317e+06
P0AD59	P0AD59		ivy		2.18377e+06	3.02779e+06	2.91532e+06	2.22206e+06	2.92305e+06	2.32195e+06
P0AD61	P0AD61		pykF		4.18016e+07	4.26772e+07	4.30666e+07	4.18301e+07	4.28746e+07	4.05748e+07
P0AD68	P0AD68		ftsI		712443	679589	693816	653882	579044	650327
P0ADA1	P0ADA1		tesA		801943	784147	797620	722106	777553	769938
P0ADA3	P0ADA3		nlpD		6.14826e+06	5.93829e+06	6.00621e+06	6.18517e+06	5.98475e+06	6.22134e+06
P0ADA5	P0ADA5		yajG		1.69277e+07	1.69682e+07	1.67327e+07	1.72757e+07	1.6735e+07	1.62977e+07
P0ADA7	P0ADA7		osmB		2.01748e+06	2.35164e+06	2.28896e+06	2.25286e+06	1.97611e+06	2.00748e+06
P0ADB1	P0ADB1		osmE		1.84091e+07	1.94141e+07	1.95322e+07	1.9159e+07	1.99926e+07	1.9365e+07
P0ADB7	P0ADB7		ecnB		7.986e+06	8.74658e+06	8.98738e+06	9.4542e+06	8.68333e+06	8.41421e+06
P0ADC1	P0ADC1		lptE		5.25524e+06	6.00793e+06	6.13806e+06	5.39147e+06	6.05342e+06	5.28184e+06
P0ADC3	P0ADC3		lolC		1.44114e+06	1.3448e+06	1.48059e+06	1.38259e+06	1.36175e+06	1.38582e+06
P0ADC6	P0ADC6		lptG		632095	757316	653153	709710	641752	665214
P0ADE4	P0ADE4		tamA		3.87176e+06	3.83855e+06	3.856e+06	4.03466e+06	3.84159e+06	3.89505e+06
P0ADE6	P0ADE6		ygaU		536857	524253	600053	505946	546004	641478
P0ADE8	P0ADE8		ygfZ		1.04366e+07	1.10397e+07	1.0474e+07	1.0452e+07	1.08507e+07	1.07078e+07
P0ADF6	P0ADF6		edd		1.80382e+06	2.00005e+06	1.48852e+06	1.6241e+06	1.64374e+06	1.64335e+06
P0ADG4	P0ADG4		suhB		1.41806e+07	1.41913e+07	1.42949e+07	1.41481e+07	1.45174e+07	1.42448e+07
P0ADG7	P0ADG7		guaB		3.42656e+07	3.5755e+07	3.62944e+07	3.62093e+07	3.63321e+07	3.47838e+07
P0ADH5	P0ADH5		fimB		1.11583e+06	1.22576e+06	1.09995e+06	1.13033e+06	1.08617e+06	1.16682e+06
P0ADI7	P0ADI7		yecD		8.13034e+06	9.02072e+06	8.60677e+06	8.24915e+06	8.42082e+06	8.34183e+06
P0ADK0	P0ADK0		yiaF		1.56922e+07	1.61452e+07	1.64084e+07	1.61763e+07	1.60742e+07	1.58753e+07
P0ADK8	P0ADK8		yibL		7.76674e+06	7.95897e+06	7.8267e+06	7.71625e+06	7.58279e+06	7.56151e+06
P0ADN2	P0ADN2		yifE		7.09931e+06	7.30059e+06	7.32558e+06	7.52496e+06	7.52845e+06	7.42988e+06
P0ADP0	P0ADP0		yigB		1.03659e+06	1.08727e+06	1.08529e+06	1.0656e+06	1.03666e+06	957280
P0ADP7	P0ADP7		yigP		2.37841e+06	1.62531e+06	1.30355e+06	2.51663e+06	1.67097e+06	1.95787e+06
P0ADP9	P0ADP9		yihD		4.68e+06	4.46043e+06	4.64441e+06	4.66235e+06	4.6508e+06	4.70683e+06
P0ADQ2	P0ADQ2		yiiD		959363	931101	991924	743978	936874	843624
P0ADQ7	P0ADQ7		ygaM		1.17318e+07	1.21237e+07	1.20602e+07	1.1707e+07	1.16674e+07	1.2031e+07
P0ADR6	P0ADR6		rlmM		3.9965e+06	3.79056e+06	3.56971e+06	3.69907e+06	3.05634e+06	3.30507e+06
P0ADR8	P0ADR8		ygdH		9.66434e+06	9.92232e+06	1.02073e+07	9.96729e+06	9.87359e+06	1.00428e+07
P0ADS2	P0ADS2		zapA		1.43234e+07	1.47897e+07	1.48993e+07	1.46801e+07	1.50855e+07	1.40514e+07
P0ADS6	P0ADS6		yggE		4.986e+06	5.03475e+06	5.10264e+06	4.94214e+06	5.03054e+06	4.92073e+06
P0ADS9	P0ADS9		yggN		2.70054e+06	2.51942e+06	2.62106e+06	2.55824e+06	2.43696e+06	2.51863e+06
P0ADT2	P0ADT2		ygiB		547623	658660	707061	598229	769343	714476
P0ADT5	P0ADT5		ygiC		3.09913e+06	3.34007e+06	3.27298e+06	3.03163e+06	3.28169e+06	3.08368e+06
P0ADT8	P0ADT8		ygiM		3.89219e+06	3.89323e+06	3.79551e+06	3.87702e+06	3.55072e+06	3.68598e+06
P0ADU2	P0ADU2		ygiN		6.16729e+06	7.36101e+06	7.37244e+06	6.28221e+06	7.82762e+06	6.45666e+06
P0ADU5	P0ADU5		ygiW		6.73287e+06	6.8524e+06	6.8025e+06	6.86026e+06	6.82198e+06	6.81974e+06
P0ADU7	P0ADU7		yqiB		390362	469188	486915	383015	472049	402036
P0ADV1	P0ADV1		lptA		3.35124e+06	3.26106e+06	3.49605e+06	3.55248e+06	3.07151e+06	3.20615e+06
P0ADV5	P0ADV5		yhbW		1.13486e+06	1.17404e+06	1.10244e+06	1.16081e+06	1.16468e+06	1.11541e+06
