Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P22259	P22259		pckA		8.06235e+06	8.09548e+06	7.88608e+06	8.03625e+06	7.95929e+06	8.01694e+06
P22333	P22333		add		1.93261e+07	1.90246e+07	1.88638e+07	1.87634e+07	1.88479e+07	1.90096e+07
P22523	P22523		mukB		4.03791e+06	4.01231e+06	4.01034e+06	4.00628e+06	3.93459e+06	3.98239e+06
P22524	P22524		mukE		5.02328e+06	5.12617e+06	4.98209e+06	5.1976e+06	4.58595e+06	5.00803e+06
P22525	P22525		ycbB		1.69543e+06	1.67637e+06	1.72002e+06	1.66046e+06	1.74205e+06	1.66955e+06
P22634	P22634		murI		2.44446e+06	2.31823e+06	2.41576e+06	2.02388e+06	2.36193e+06	2.39152e+06
P22707	P22707		finO		986964	1.01066e+06	972721	995725	963006	964696
P22939	P22939		ispA		949678	865489	1.47363e+06	1.22058e+06	1.30367e+06	1.05011e+06
P23003	P23003		trmA		3.92062e+06	3.876e+06	3.76906e+06	4.02111e+06	3.9312e+06	4.04118e+06
P23256	P23256		malY		745476	670212	823764	729605	771246	699457
P23305	P23305		yigA		1.52747e+06	1.58787e+06	1.59744e+06	1.56465e+06	1.54342e+06	1.66907e+06
P23331	P23331		tdk		2.76801e+06	2.72965e+06	2.70161e+06	3.05558e+06	2.65985e+06	2.93651e+06
P23367	P23367		mutL		834357	995221	936414	1.34262e+06	954335	988609
P23522	P23522		garL		733823	750649		765026		
P23538	P23538		ppsA		5.10707e+06	5.04277e+06	5.06884e+06	5.12687e+06	5.12417e+06	5.03667e+06
P23721	P23721		serC		1.0474e+07	1.02042e+07	1.04029e+07	1.00062e+07	1.03201e+07	1.02768e+07
P23827	P23827		eco		1.22999e+07	1.24591e+07	1.25702e+07	1.24512e+07	1.21328e+07	1.32028e+07
P23830	P23830		pssA		2.09401e+06	2.06759e+06	2.04868e+06	2.13066e+06	2.08866e+06	2.15483e+06
