Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_1fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_0_1fmol_inj1.mzML
P0AEY5	P0AEY5		mdaB		2.27169e+06	2.19903e+06	2.14364e+06	2.19314e+06	2.25441e+06	2.31016e+06
P0AEZ3	P0AEZ3		minD		1.34041e+07	1.33993e+07	1.35105e+07	1.33509e+07	1.32481e+07	1.36306e+07
P0AEZ9	P0AEZ9		moaB		1.00802e+07	1.04052e+07	1.02971e+07	1.02109e+07	1.0464e+07	1.04011e+07
P0AF03	P0AF03		mog		1.28646e+07	1.28544e+07	1.30454e+07	1.21876e+07	1.26488e+07	1.24303e+07
P0AF06	P0AF06		motB		787482	749546	734760	785606	747980	764971
P0AF08	P0AF08		mrp		4.70217e+06	4.58194e+06	4.77751e+06	5.01381e+06	4.63573e+06	4.54087e+06
P0AF12	P0AF12		mtnN		2.42691e+07	2.40923e+07	2.44732e+07	2.55102e+07	2.51114e+07	2.4684e+07
P0AF18	P0AF18		nagA		3.54939e+06	3.54586e+06	3.45157e+06	3.52033e+06	3.58015e+06	3.46756e+06
P0AF20	P0AF20		nagC		998946	977533	951236	905071	970429	977262
P0AF24	P0AF24		nagD		1.93066e+06	1.97891e+06	1.95952e+06	1.86856e+06	1.83903e+06	1.82575e+06
P0AF28	P0AF28		narL		6.48534e+06	7.04046e+06	6.96437e+06	6.74868e+06	6.98026e+06	6.66006e+06
P0AF36	P0AF36		zapB		5.78956e+06	6.21986e+06	6.30582e+06	6.00343e+06	6.17019e+06	5.97167e+06
P0AF48	P0AF48		yjbQ		1.05688e+06	1.33735e+06	1.25501e+06	1.3664e+06	1.18222e+06	1.20744e+06
P0AF50	P0AF50		yjbR		6.41509e+06	6.48239e+06	6.16128e+06	6.37643e+06	6.38438e+06	6.4853e+06
P0AF52	P0AF52		yjcD		471567	438098	482976	442401	528014	437317
P0AF59	P0AF59		yjdI		465739	530320	718196	587172	621468	778879
P0AF61	P0AF61		yjdK		1.88035e+06	1.69981e+06	1.59333e+06	2.11891e+06	1.63655e+06	1.47989e+06
P0AF63	P0AF63		nsrR		1.42455e+06	1.5035e+06	1.42924e+06	1.3973e+06	1.51834e+06	1.47354e+06
P0AF67	P0AF67		yjeE		3.73293e+06	3.64857e+06	3.75592e+06	3.63799e+06	3.56989e+06	3.69696e+06
P0AF70	P0AF70		yjeI		8.62671e+06	1.05362e+07	1.11054e+07	8.44603e+06	1.11362e+07	8.12699e+06
P0AF90	P0AF90		rraB		6.16304e+06	5.9307e+06	5.94436e+06	6.28422e+06	5.68602e+06	5.92704e+06
P0AF93	P0AF93		ridA		1.27224e+08	1.21097e+08	1.23419e+08	1.26986e+08	1.20185e+08	1.24069e+08
P0AF96	P0AF96		tabA		2.97841e+06	2.80755e+06	3.034e+06	2.99517e+06	2.89083e+06	3.05603e+06
P0AF98	P0AF98		lptF		1.09603e+06	1.11199e+06	1.14758e+06	1.08781e+06	1.091e+06	1.09401e+06
P0AFA7	P0AFA7		nhaB		440924	473730	481731	545918	392139	502231
P0AFB1	P0AFB1		nlpI		2.05117e+06	2.06212e+06	2.00817e+06	2.02243e+06	2.06631e+06	2.06911e+06
P0AFB5	P0AFB5		glnL		3.6545e+06	3.92453e+06	3.7261e+06	3.4124e+06	3.39334e+06	3.48189e+06
P0AFB8	P0AFB8		glnG		3.21402e+06	3.32406e+06	3.07799e+06	3.1737e+06	3.19422e+06	3.11554e+06
P0AFC0	P0AFC0		nudB		497455	415866	531209	450964	501193	558726
P0AFC3	P0AFC3		nuoA		1.88696e+06	2.35979e+06	2.18009e+06	2.22029e+06	2.25554e+06	2.14273e+06
P0AFC7	P0AFC7		nuoB		3.41396e+06	4.37646e+06	4.32395e+06	3.55331e+06	4.46216e+06	3.67546e+06
P0AFD1	P0AFD1		nuoE		2.64188e+06	2.73924e+06	2.74298e+06	2.62681e+06	2.81936e+06	2.46874e+06
P0AFD4	P0AFD4		nuoH		2.7368e+06	2.5125e+06	2.46378e+06	2.54327e+06	2.45073e+06	2.82117e+06
P0AFD6	P0AFD6		nuoI		8.50447e+06	8.7266e+06	8.62282e+06	8.34917e+06	8.98591e+06	8.66568e+06
P0AFF2	P0AFF2		nupC		437404	365013	336912	410358	378263	396794
P0AFF6	P0AFF6		nusA		1.6428e+07	1.72968e+07	1.70901e+07	1.66432e+07	1.71448e+07	1.64868e+07
P0AFG0	P0AFG0		nusG		1.48728e+07	1.55383e+07	1.5529e+07	1.47218e+07	1.47961e+07	1.4646e+07
P0AFG3	P0AFG3		sucA		8.48133e+06	8.59688e+06	8.69908e+06	8.56075e+06	8.62597e+06	8.42652e+06
P0AFG6	P0AFG6		sucB		8.00298e+06	8.36505e+06	8.23377e+06	7.86999e+06	8.38557e+06	7.77369e+06
P0AFG8	P0AFG8		aceE		1.49949e+08	1.52084e+08	1.50848e+08	1.48828e+08	1.50695e+08	1.49462e+08
P0AFH8	P0AFH8		osmY		2.45363e+07	2.47215e+07	2.51505e+07	2.56725e+07	2.45719e+07	2.34517e+07
P0AFI0	P0AFI0		oxc		1.22316e+06	1.06408e+06	1.18151e+06	1.18661e+06	1.15398e+06	1.09152e+06
P0AFI2	P0AFI2		parC		3.72605e+06	3.88706e+06	3.79401e+06	3.85357e+06	3.77212e+06	3.73765e+06
P0AFI5	P0AFI5		pbpG		2.18543e+06	2.08618e+06	2.11893e+06	2.25494e+06	2.19052e+06	2.08652e+06
P0AFI7	P0AFI7		pdxH		7.47105e+06	7.70105e+06	7.70935e+06	7.49161e+06	7.81765e+06	7.33117e+06
P0AFJ1	P0AFJ1		phnA		1.93961e+06	2.04193e+06	2.05121e+06	1.90354e+06	1.98594e+06	1.92686e+06
P0AFJ7	P0AFJ7		pitA		1.66404e+06	1.78237e+06	1.82091e+06	1.76778e+06	1.84754e+06	1.78157e+06
P0AFK0	P0AFK0		pmbA		4.47608e+06	4.6024e+06	4.73444e+06	4.50645e+06	4.76346e+06	4.38638e+06
P0AFK9	P0AFK9		potD		5.30029e+06	5.04224e+06	5.22749e+06	5.30078e+06	5.16128e+06	5.2834e+06
P0AFL3	P0AFL3		ppiA		6.66323e+06	6.29779e+06	6.10287e+06	6.78124e+06	6.02557e+06	6.57215e+06
P0AFL6	P0AFL6		ppx		1.62853e+06	1.5326e+06	1.49627e+06	1.55172e+06	1.44853e+06	1.45705e+06
P0AFM2	P0AFM2		proX		1.37458e+06	1.31066e+06	1.3751e+06	1.31451e+06	1.37854e+06	1.36117e+06
P0AFM6	P0AFM6		pspA		3.94532e+06	3.95782e+06	4.07392e+06	4.0197e+06	4.02142e+06	3.901e+06
P0AFP4	P0AFP4		ybbO		1.01408e+06	988000	1.08741e+06	1.05578e+06	1.00275e+06	985117
P0AFP6	P0AFP6		ybgI		6.82476e+06	7.29662e+06	7.2533e+06	6.70226e+06	7.19835e+06	7.10276e+06
P0AFP9	P0AFP9		ybhR		173729	243031	248581	245172	262906	201252
P0AFQ7	P0AFQ7		ycfH		5.18323e+06	5.1849e+06	5.24489e+06	5.07454e+06	5.02761e+06	4.91015e+06
P0AFR4	P0AFR4		yciO		6.02087e+06	6.28583e+06	6.36487e+06	6.4693e+06	6.25141e+06	6.12937e+06
P0AFT5	P0AFT5		yehT		1.02118e+06	1.0481e+06	942970	630842	1.01419e+06	866834
P0AFU4	P0AFU4		glrR		667876	696581	673509	683593	673210	654820
