protein	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Alpha_03	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Beta_03	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_01	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_02	LFQ_Orbitrap_AIF_Condition_A_Sample_Gamma_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Alpha_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Beta_03	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_01	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_02	LFQ_Orbitrap_AIF_Condition_B_Sample_Gamma_03	Protein.Group	Protein.Ids	Protein.Names	Genes	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P62826	1910582504.1427064	1809685098.398347	1425301060.0141048	1909180617.1568727	1878434450.7389724	1610241587.563553	1803043285.3723457	1917381711.00526	1724998467.335646	1759305529.7957249	1612128784.458321	1274292733.822541	1540010855.329309	1523132262.395927	1376223911.3646588	1687813532.3962696	1682260541.2345922	1546563005.8171306	P62826	P62826		RAN	0	0.010097870232793533	0.19146085538801588	False	0.018378875459800315	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
P53582	52346939.283790186	47905537.7536324	54660184.54566088	45943327.648193456	49063302.88139779	54701633.7157886	47130668.94556277	49559174.8670968	50973812.97571188	39828945.55449957	46964036.11706105	49926119.66452253	42670594.547813	45541929.53155386	48125211.81015797	47240660.29583734	47906820.799472734	45550253.67786969	P53582	P53582		METAP1	0	0.010157678552059726	0.1284555646921032	False	0.018385444035733056	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q96AB3	16107059.114349302	19802824.594203915	17884330.505878557	12491767.42315605	18221508.171553507	19073675.541288625	13896991.677451704	13168961.27216223	20030114.16016008	22875110.48853201	21880415.33827745	27904086.39929914	15736960.377834426	20219774.899127867	22681920.391383585	19366283.778084908	19409851.359288227	19497736.12571997	Q96AB3	Q96AB3		ISOC2	0	0.010413698058721995	-0.33128551112724414	False	0.01839201261166579	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
P38873	3252662.817719784	2282556.838727684	2496861.9259098656	1996252.845119975	2329957.344003703	2550289.784185299	2911897.970678013	2631816.150225557	37665.20623206116	1609500.6036094204	1077723.4429747777	28121.939113202083	1367283.0047296016	1501833.507662678	1264914.2554278686	1853507.6544145844	1457046.0762964273	806361.2330331755	P38873	P38873		KOG1	2	0.010494007100624972	0.9018414733409934	False	0.01839858118759853	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
Q9UBW8	8645660.619010774	9367369.1194181	10123511.740597893	8832530.847360747	9157219.073043589	9112658.494948128	7775042.897547711	8284716.034557694	9136236.48433292	10677431.585572593	10956460.732093142	11541661.613824371	8438830.782302113	9563716.185652206	10887768.093129508	9334891.49215062	9421785.21481448	10203933.866491772	Q9UBW8	Q9UBW8		COPS7A	0	0.010502336127833991	-0.17846386305286677	False	0.018405149763531265	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
O75530	24295322.702222846	24871489.00686009	25686427.86533301	27134967.367279243	25707190.825596426	24955785.918988567	25739124.35534327	27249633.486139	24677581.85292837	22798099.20434485	24461958.699046955	20190708.99757794	24390037.285606485	24334974.15398836	22408846.531246766	24333201.852135334	25997912.759004537	23969359.968309782	O75530	O75530		EED	0	0.010504304423938801	0.11354920648932372	False	0.018411718339464006	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q8WXW3	5045117.725689891	4758578.428420293	4847939.411686837	4709935.450272278	5105868.724093781	4369192.460812926	5793343.2227505455	5186572.672932826	4622788.071432293	4835210.654220931	5062750.484776788	3277878.3775225314	4103805.710654216	4201010.385288387	3718946.118028393	4662255.066564726	3710520.656136308	4519996.036461513	Q8WXW3	Q8WXW3		PIBF1	0	0.010505255211076713	0.22233508272095015	False	0.018418286915396744	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q8TD16	21870233.66890202	21476361.927278902	21196691.29283815	22362254.712097485	22431072.916330382	21454241.929684512	22596456.886943556	21349057.621613376	21476616.37678212	20682255.12362515	20219427.027682763	18962411.726060424	18522698.42767904	22108085.537679285	20010727.879872795	21143428.883852903	21603186.41725404	21041153.48970495	Q8TD16	Q8TD16		BICD2	0	0.010506347102428308	0.09041633074440347	False	0.01842485549132948	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q9NZ09	2447880.9166659554	2816921.134365464	2701489.262237221	3808178.3743049903	2860466.3887712266	3059343.4102565004	3122915.559557846	2673801.256729091	2922965.749300669	2229276.485629888	2092652.3234271389	2213798.73362786	2255737.2329188613	2197572.390332912	2681666.7848876533	3081161.233906583	2524626.951519439	2717684.747854284	Q9NZ09	Q9NZ09		UBAP1	0	0.010512697987557353	0.26417910923489574	False	0.01843142406726222	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q8TBK6	2519318.8140398846	2509754.7500000014	2994976.067257668	2211362.5872279187	2709413.246930594	2734712.216645151	2450136.264060197	2453239.5353209805	2792695.6608786834	2043824.442906131	2356523.495991277	2695830.2014462915	2134241.675261049	1800108.0706721277	2299315.259796336	2094863.6914584632	2462481.6274864795	2411757.5202226685	Q8TBK6	Q8TBK6		ZCCHC10	0	0.010535547758416574	0.20359914253278424	False	0.018437992643194956	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
P55735	41288371.84956123	39873468.9160337	46375477.83482091	39253570.83583319	39943765.73108883	44506424.26069902	47387923.17596031	44461737.953299455	49081207.94445311	42733080.026287295	38609147.65708219	37183216.70978169	14595980.43348277	29277792.81349525	28610033.84596508	40287630.254446864	37921059.83461773	36228095.84657686	P55735	P55735		SEC13	0	0.010572891624350838	0.3605688209787529	False	0.018444561219127693	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
P52566	31173238.56167532	30071022.18211186	29241923.73099573	33568822.9657315	30181386.38558797	29164347.813471824	29202322.06900727	32188084.794557463	29105164.590421397	41165263.63509192	34432438.51092318	43587054.11886624	33627307.37438935	37604388.28382973	32857958.213960648	31715380.311979577	31874164.614861164	31347353.501886904	P52566	P52566		ARHGDIB	0	0.010682690890215035	-0.21635526083243575	False	0.018451129795060434	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q68D91	479959.26790275256	658503.8750000001	433060.8915840898	512217.1186077874	615159.7380186929	296317.74463103234	642987.9354771067	578304.5217318775	419225.7241413654	414771.40247058985	233104.5355789993	255292.67903038597	15193.890429934529	487469.5222950101	272107.71555371466	472496.5477254214	481520.97169566486	283191.45515388186	Q68D91	Q68D91		MBLAC2	1	0.010724779966310938	0.6692291769149025	False	0.01845769837099317	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q9P0M9	2613150.3970662714	2853132.0000000023	2689620.171541082	3109323.965701261	2993885.629500111	2895248.803983309	3109109.096621337	3085221.119159948	2928205.968914082	3778785.244756996	3168376.929402809	3192593.276673768	3595059.475547495	3029293.933521733	2938380.1007232075	3222102.7174859904	3101412.4893217776	3128385.180715416	Q9P0M9	Q9P0M9		MRPL27	0	0.010726179657426088	-0.1499181768166594	False	0.01846426694692591	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q14568	1913828.221573119	2298519.500000002	2184077.363237948	1828567.5921248535	33055.67106042204	2604354.8188869576	2032589.8625540151	1510736.8559830338	1429392.709662506	2449694.9698404926	5667997.465303886	6574821.360693868	3473623.4042223827	2183546.4285304127	4256853.674120053	3095850.179391709	2559655.459879939	1906824.785807957	Q14568	Q14568		HSP90AA2P	1	0.010868736130125466	-1.022537120530354	False	0.018470835522858643	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
P61244	757945.9065091314	1282398.6091711223	1084243.1238379022	1548815.54037245	1426398.440994041	1006725.0235999346	1155522.04939642	1004802.3581292032	1409267.7990833626	1602120.4472312022	1707564.191742243	1581831.7758024086	1586737.6856238153	1686548.18741586	1337730.1779054578	1473685.5375796736	1394728.9871821865	1088696.9052929946	P61244	P61244		MAX	0	0.01088069298903657	-0.33425296943404903	False	0.018477404098791384	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q06672	1269264.9295086744	1545116.6250000005	2183271.8357121707	537635.4518845632	1507261.8685703373	1901501.6682202967	990867.1156206286	1574913.319095096	1681577.618983356	716191.2109881982	26473.040580752662	1355057.9377356735	15193.890429934529	953562.8118523458	1300075.7247001645	9117.112079241671	1111839.9057207871	1178831.5057288816	Q06672	Q06672		TSR2	3	0.01090489419521075	0.9846313415624095	False	0.01848397267472412	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
Q13422	8410123.245821564	7009776.68556918	6726767.088708813	9624222.898217186	7426491.016221628	6855412.429626193	8202496.58189415	8298242.778098308	8209766.893651753	11056993.430929624	9896595.772695778	9171893.224590505	9452820.477480767	9580213.81557341	8084536.499373147	8020114.808792122	8677180.53421194	8487309.91156777	Q13422	Q13422		IKZF1	0	0.010926972685517858	-0.2201271918275672	False	0.01849054125065686	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
P0A9M0	10722719.307793347	5739996.009437396	8349579.390893966	11766686.88201752	2096631.8906119815	6692578.971993461	3694979.0707200808	3698831.421172716	17366626.64033519	13149546.043052558	12580942.80196753	12236694.239888066	11222270.645301873	12656732.011593964	13681288.937603084	14367519.759743704	14793515.702358743	13218211.292963628	P0A9M0	P0A9M0		lon	0	0.011008658798828756	-0.7495705224249797	False	0.018497109826589597	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	0.5
Q03264	48219.5108224688	66480.41406000005	84525.82152487265	39742.850669444895	33055.67106042204	66878.24671616797	43391.72665858119	164106.79830491563	103326.61878784694	31523.317741294377	26473.040580752662	28121.939113202083	15193.890429934529	54235.62411925699	21446.15274642274	9117.112079241671	28941.297164671763	27084.505733737617	Q03264	Q03264		NGL2	9	0.011027411338548813	1.4240122893465128	False	0.018503678402522334	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
P38264	97491892.47965716	96162979.67218706	104557862.82237762	75216468.24501683	97462269.87850246	110500862.69172543	110657838.21916524	118107412.90008137	90992020.83085576	119602801.6870074	63122683.31709308	117344389.70491	46479687.00217176	63929448.5385243	37488454.35525405	50463034.11288814	47397607.04781377	47331604.76378414	P38264	P38264		PHO88	0	0.011064395519508366	0.6033460321077746	False	0.01851024697845507	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
Q9H974	20937185.04836932	27257102.13186989	25024234.891399663	22537588.20155618	27293797.90207213	24969831.19201645	25213789.39535188	27080721.380493414	22944729.05748564	20327267.322917502	20443721.422588784	18967784.02534815	23835840.913667373	21864994.18614784	23279590.550844826	22471353.123642147	22117368.040859666	24688843.905814487	Q9H974	Q9H974		QTRT2	0	0.01111285459695386	0.17324135210965344	False	0.018516815554387812	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q13885	221720616.09092888	271565876.95258456	255938989.8433385	248453696.7075647	273189122.9443544	264749944.0316051	262044506.22514027	198720602.6215283	253578976.2776228	279205030.3729192	266989797.66057745	298567430.0308863	320386888.11765665	279984455.744462	259072311.28723148	261338752.1990063	277958282.22957593	276420726.1247979	Q13885	Q13885		TUBB2A	0	0.01131691830261714	-0.1634791880395306	False	0.018523384130320546	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
P38732	1024255.6930549868	1479687.0520391632	1889669.7126245603	861903.3195570912	1221228.736889681	1097473.701560316	1227091.8843736094	34213.30971438315	1217423.5084695425	677236.9986854142	729069.0397688703	923414.3395400008	452782.6304308213	572715.118306012	21446.15274642274	667976.8910251724	379441.182554166	590388.9450220926	P38732	P38732		EFM1	2	0.011441487611945923	1.0034489715680188	False	0.018529952706253287	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
P23893	3841919.340422367	4071525.550050406	2127693.297755438	5401630.534994566	6177379.840096539	8664470.541954909	5255747.58279093	4787630.168692083	6760611.630214492	6571016.167390438	7205847.488454045	6453100.266291571	6661426.484308955	7394940.564278704	8454254.160905963	8428024.920906989	8145776.704708399	6437733.725096153	P23893	P23893		hemL	0	0.011462137375317887	-0.4816593312926695	False	0.01853652128218602	True	False	Ecoli	False	True	False	True	msfragger	directlfq	min	0.5
Q8N2M8	4228855.716810196	4571448.557521532	3950652.2898895554	3761272.499651585	5092032.464304198	3581768.8850612277	3773938.710042385	4271047.961754866	4263769.03087066	3615143.997764886	3780925.214620894	2913394.142491652	2346717.239938505	3995697.632451741	3086519.6520502204	3336069.5398223493	4297575.932899242	3604415.142732058	Q8N2M8	Q8N2M8		CLASRP	0	0.011532089466229665	0.275517782022192	False	0.018543089858118762	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q13188	4281571.503092909	4861112.487127363	6697507.160183859	6548174.489560997	5157441.485028979	6594395.0869097365	5792617.939567155	3651464.173880416	4596228.0487412885	13234727.734562164	11882870.06650422	10465044.165826162	7511636.000556133	7428954.291392942	5266168.469190993	6572079.7826858265	6570495.971589749	6576754.648778756	Q13188	Q13188		STK3	0	0.011533614852155556	-0.6481937380389416	False	0.0185496584340515	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q9Y3B3	215071.53045630557	291615.74999999965	151070.9161897262	328443.6908630588	382197.3476682792	209543.2160703769	351373.85267280845	414997.8468535711	250243.0093083263	477020.5821495247	548725.717251537	310862.3553839351	294858.5287711405	381431.46167853335	399727.2220847325	429829.7917257497	498851.37281734974	323465.2757594044	Q9Y3B3	Q9Y3B3		TMED7	0	0.011696805490775893	-0.49823524656714024	False	0.018556227009984234	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
P37051	1528402.8320185454	1606838.1424199927	37905.79060226376	39742.850669444895	1428300.910662299	1484684.4913544264	36749.163050810464	34213.30971438315	1559857.705369028	1960817.4479749925	2066171.9102763336	1253428.9017315106	2095765.5049736036	1946339.833083383	1275036.401086275	1679265.1990145647	1586760.1765847087	1613455.567803305	P37051	P37051		purU	4	0.011712967882519826	-0.996615652517132	False	0.018562795585916975	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	0.5
P10356	1172401.5072712922	1284117.750000001	1551712.8895957086	958713.2329948077	1204424.6478833554	1429898.1549448837	1115189.2005101156	1195132.296153784	1301610.1862439294	31523.317741294377	943360.3755093076	28121.939113202083	1159064.3704597787	25953.589256164432	1233261.0727191858	1037550.5165319174	28941.297164671763	1142073.9810428289	P10356	P10356		YER152C	4	0.0117226653912509	0.9940295259931359	False	0.01856936416184971	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
Q99584	14976149.078250771	15354981.58952307	17010162.664184995	15662543.354770798	14695064.74784349	15474934.90584101	15956311.123822942	16034679.512152065	15641270.077914651	16688000.362768536	16241226.903794851	16433351.92044726	16804010.746422216	15556635.214414377	16791705.476590734	16309879.706937062	16387286.643244509	16350422.01913343	Q99584	Q99584		S100A13	0	0.011977568141296078	-0.06761651658978433	False	0.01857593273778245	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q86UE8	1420229.9792421367	983340.9997807124	37905.79060226376	1484846.271412607	33055.67106042204	55434.31791054691	1345167.6788653862	759995.1600265829	806185.9128579224	1841769.8918976053	1438286.0351363944	1627327.583865827	1675131.1978913213	1582014.5586567186	1740444.542908517	1417309.8587923136	1241056.4482157244	562541.5502654797	Q86UE8	Q86UE8		TLK2	3	0.012038177064037654	-0.9222863404862562	False	0.01858250131371519	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q86UA1	10049905.25140387	11850715.855989547	12933827.86056957	12591190.880362129	11514760.123710549	11593911.07982112	13626414.428966854	12190885.832172835	12391584.2397998	10780743.95982919	10344068.486976158	9914555.612030622	9035090.97587765	10729182.413336745	10255943.345784914	12475485.449976468	12269821.85832688	10307418.461574009	Q86UA1	Q86UA1		PRPF39	0	0.012117115634248344	0.17813199342538474	False	0.018589069889647925	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q8TAF3	26556600.674623188	22867284.950020317	23643962.038593613	22729102.08054432	26808985.782871462	24949840.447597165	26579773.861849125	26143797.41785353	26799618.21775079	31228840.557723086	30355060.2564919	31396622.04365797	31999036.543622367	28084362.70036037	24405148.99562232	27348934.27356176	24099790.1509958	27994599.247100584	Q8TAF3	Q8TAF3		WDR48	0	0.012159970083340438	-0.17808242081418077	False	0.018595638465580662	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
P0A6R0	1787258.1371736275	641715.5679635348	2128662.058267013	5613442.114369528	33055.67106042204	55434.31791054691	5477459.397501059	34213.30971438315	37665.20623206116	3202876.98984862	3980259.774999271	4283702.686404735	4655720.627189576	3908900.109299431	4397249.20617236	4692504.584932077	4554881.800669743	4237520.116246002	P0A6R0	P0A6R0		fabH	4	0.012203758220327007	-1.261978541289109	False	0.0186022070415134	True	True	Ecoli	False	True	False	True	msfragger	directlfq	min	0.5
Q9H0L4	12794164.19992374	10907990.87410882	13692025.299151098	9867817.913958492	12466670.953440964	11545201.328407826	11890965.966732996	13829053.559272507	12343654.40497807	15754135.267012946	14870990.053695602	14614993.96331469	15963325.60682074	15125008.370779837	13466563.500654465	11608512.70111822	12477554.110993048	12617260.982349517	Q9H0L4	Q9H0L4		CSTF2T	0	0.012209207291076858	-0.21032962395351446	False	0.018608775617446137	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q9P0U4	6624084.768428915	6892367.339845207	6220952.299195844	8315273.481731754	7217760.035447751	7280103.049719993	7029785.0659301095	7327553.002232604	6514661.991347893	7741029.416128077	8689960.749670427	7230278.699673844	7843804.664271133	7835446.669260434	7455760.78304881	7429105.754982112	7697489.924658294	7815657.966497367	Q9P0U4	Q9P0U4		CXXC1	0	0.012277625435894689	-0.13696036959399208	False	0.018615344193378878	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q69YL0	5195061.844785222	6279178.482637725	5779129.73200053	7718132.750404841	6382869.991564224	5959520.833612587	6389663.771700019	5512554.965827189	5337207.375312389	4584653.017499952	5945547.833622699	4957520.232109157	5279034.580297342	5048860.7749970425	4699511.890617257	5758466.839946805	5446265.409785018	5098796.852788239	Q69YL0	Q69YL0		NCBP2AS2	0	0.012386167755181605	0.22058342750227147	False	0.018621912769311612	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q9NUQ3	29693729.428169668	27749589.80724697	27722195.87150404	29090108.803083893	27559233.47965299	27109686.501339197	27957563.30937119	31140539.51704334	30580278.95307781	31158110.821530115	30641859.014753897	33462852.40033964	29835662.62163793	29595970.22773751	30619956.95195115	29490891.994351342	30047151.77182864	29865343.20134246	Q9NUQ3	Q9NUQ3		TXLNG	0	0.012513998957775633	-0.08721178887712415	False	0.018628481345244353	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
P38771	3316555.285593854	4093649.988958602	4016401.581215636	2885585.1182407374	3769285.5243602223	3658465.087240754	4020095.6906854417	3651833.7416910026	3779397.690645668	1974621.07565339	2536041.69701003	2749087.891205556	3985928.4103386	3142208.2564973813	2864072.052195976	9117.112079241671	2853031.5216100863	2588709.6877543656	P38771	P38771		RRF1	1	0.012574993950141269	0.5479324545809154	False	0.018635049921177087	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
Q6P444	2911918.783127336	3366871.861928829	3465668.2362170364	2887006.199034571	2911995.081256334	3586326.060481528	3074669.321098232	3252635.30276858	3442248.5496465205	3580562.0468712314	3585522.7938763723	3542958.7196784173	3283020.4582621465	3462638.342711306	3626127.832064018	3526988.600349877	3422378.963752692	3495391.888219768	Q6P444	Q6P444		MTFR2	0	0.012583576066351921	-0.12548683975481226	False	0.018641618497109828	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
P04406	5194569703.143308	6025529685.157854	5470396474.851112	4387433820.063279	6294159118.372129	5294616432.20999	5194159545.493359	5109426961.590167	4982712015.765448	2964822901.5323124	3415878604.139552	3112949311.262913	4783378829.530795	4421407744.42602	4507898567.792789	5379384382.44282	5001372258.011533	5134283364.094663	P04406	P04406		GAPDH	0	0.012669126655261032	0.3084909682447389	False	0.018648187073042565	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q05027	638267.9735059745	1149343.3750000012	1120623.2916232497	39742.850669444895	987988.4764724636	828157.257384123	531276.0636950803	812572.5280234525	1006747.7896197636	31523.317741294377	489812.998073413	529466.115550128	15193.890429934529	583510.807713789	576628.447893355	249435.92578645964	508873.7363015686	535408.4546783909	Q05027	Q05027		TAF9	3	0.012730020615296569	1.0152914374575557	False	0.018654755648975303	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
Q96BH1	2586164.323493452	2602483.108827822	2443052.9684929526	2163602.0586369587	2357302.039717465	2415743.858634096	2496076.935567288	2431782.4546852387	2712828.987115648	2426001.6183803794	1923412.585668236	1964242.070084026	1642793.3704020984	2231123.479202677	2239502.8115014164	2244829.0211404487	2382994.5509148394	2446588.91468936	Q96BH1	Q96BH1		RNF25	0	0.012896483745256796	0.18756258100954487	False	0.01866132422490804	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
P36959	29956938.297159307	26494025.116893664	28156948.161457755	28642644.50394004	28660610.32668429	27770487.080814805	26875865.766555782	32423634.387845486	26348192.367233463	27006892.632803258	27183327.05224633	25603959.43125541	26120114.013600964	27321339.32918564	22849831.8442574	26454263.600123145	26845079.643261265	25939812.96804853	P36959	P36959		GMPR	0	0.012953285199099255	0.11770709346146303	False	0.018667892800840778	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
O43852	195005424.19591412	201012586.26507607	215729225.4593348	182209415.25099072	206917774.25150043	198926166.21341252	206699358.75618577	236607662.45963696	198610982.1985108	193117801.3930069	192718588.1358109	184471260.04390883	148488655.25239715	177286612.13868973	164636562.01667073	197829774.2194765	196971307.70188403	194960096.0398053	O43852	O43852		CALU	0	0.012990677822100451	0.15816641125054923	False	0.018674461376773515	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q16531	365340022.3146364	390474564.5867912	365490423.5802384	361010937.9356792	396798806.6563749	367782188.92670536	380708171.8351919	398000283.3461642	385506608.1990587	420591403.4476031	423972240.1984882	455114166.39875984	409973332.0863545	391356809.4121977	398295091.24931073	379034688.1233892	380912631.0581288	395162945.4190012	Q16531	Q16531		DDB1	0	0.013085584032120397	-0.09939768122792025	False	0.018681029952706256	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q00535	28332091.740361266	29547185.577085096	28157879.688627727	27212839.141189333	27577061.62877083	26190965.905654635	28967776.651594404	29639296.32703617	28697597.134490076	31221607.166578047	28995877.844434984	32801283.032790583	32667792.829563823	28093199.60550108	30271557.91183918	29041783.61851711	30977660.61790058	28288913.118060693	Q00535	Q00535		CDK5	0	0.013094487275693898	-0.09885291797297673	False	0.01868759852863899	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q658P3	5973534.83799684	6122852.80204009	5645698.100828254	5859451.722736508	6383559.2060013525	5896157.595128757	5794775.380871702	6032627.192651411	6001022.213819374	5932511.011812854	5787236.211971436	5627504.793123411	5734852.928802404	5110357.877275013	5731960.438639809	5373645.366509697	5493742.909811583	5981660.502990274	Q658P3	Q658P3		STEAP3	0	0.013123304898166767	0.08110718132482703	False	0.01869416710457173	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q13619	33535551.54097955	32383170.31954026	36256282.08185799	27818058.28653514	33430827.357926257	33711884.82157119	30522126.499468982	31993138.903031457	34195087.59229993	29812939.23467741	29556621.68269939	31041571.24646541	30573886.337133598	28426301.430789106	31069202.46581245	29890886.29932787	29832277.973983705	30615178.20152289	Q13619	Q13619		CUL4A	0	0.013165164408569146	0.11773264660019642	False	0.018700735680504465	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
Q12263	2152462.338730798	1848307.11737252	2272330.9979360835	1575976.7806717902	1726050.5621832567	2553025.194875092	1331884.3496316588	2453550.7850580905	2105261.830501588	960102.9183113924	1118205.4291948385	1729236.4173064225	15193.890429934529	1859915.1544745837	1658270.3980191897	469398.1668897923	1829737.763838121	1689017.3422432402	Q12263	Q12263		GIN4	1	0.013223674722038937	0.6694765466467533	False	0.018707304256437206	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
P10619	7568209.518878203	7307123.625458855	9125287.273479888	7995481.531096557	6593213.159345084	8276179.1107015	7723310.23013334	7258421.695609524	8323487.087601604	6380967.205913847	6099581.262472454	7619707.233119967	7157933.337786342	5692970.598113908	7449415.752945897	6947339.378431667	6800422.969857954	7615751.303948873	P10619	P10619		CTSA	0	0.013356720406157659	0.184100758141335	False	0.018713872832369943	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
P20290	63241690.76412166	63605605.21460885	68268493.61934187	68537398.0319852	59828067.81021112	63470954.74664731	67769792.2019233	76006711.58455178	62296695.08575616	56212926.22972358	60129088.22860795	68407117.8895905	64174020.606882	55765150.56208249	62892020.942839526	57922741.373756304	54458751.03006496	57388805.840606734	P20290	P20290		BTF3	0	0.013358395471929876	0.14223016271949712	False	0.01872044140830268	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
P33895	970859.1573505593	771283.7499999995	798270.6905924908	734551.1627055501	861963.709820199	840488.0002051946	818103.4767155754	932600.7678274236	37665.20623206116	692202.159071311	900724.9331049424	882297.5396018086	15193.890429934529	25953.589256164432	21446.15274642274	9117.112079241671	28941.297164671763	27084.505733737617	P33895	P33895		NUF2	7	0.013522586801904372	1.378103733635117	False	0.018727009984235418	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
Q9Y2X0	4910690.724678465	4484819.223964785	4118650.939310796	4392921.49371059	4301244.909803469	3896220.463054916	4403731.233060601	3834823.2897153934	4827349.547029131	5259785.445810291	6403663.636744295	4594145.424207622	4711050.250896201	5279265.236600472	4649776.312160011	4747690.704550811	4554360.11614882	4878313.032400112	Q9Y2X0	Q9Y2X0		MED16	0	0.013608667728280049	-0.2026593438040338	False	0.018733578560168156	True	False	Human	True	False	False	True	msfragger	directlfq	min	0.5
P16467	8830605.161194416	98147961.17353389	132970914.82300033	91144381.91129304	88788358.12710899	118013127.39389925	95683169.01738912	98886821.8189718	109336524.08146216	60156730.49398659	59333094.5845851	72368631.1067538	39079130.66983302	47379890.33800635	62837480.79077037	53192636.38533394	59321816.20180452	59468843.91007637	P16467	P16467		PDC5	0	0.013673985813179107	0.7141331208733576	False	0.018740147136100893	True	True	Yeast	False	False	True	True	msfragger	directlfq	min	0.5
P13929	35498766.592953034	34599793.57665874	38994347.50262463	41034933.142409205	38254285.89893673	37469410.405343466	25873558.29563453	24697629.68145838	24503795.833687257	110409931.08582036	112136144.1313048	112150136.07935822	75227055.34668308	51679248.27255713	26223108.12000581	48360795.79860709	40139633.145711154	46954504.0440101	P13929	P13929		ENO3	0	0.013740403936174825	-1.0504704485597818	False	0.018746715712033634	True	True	Human	True	False	False	True	msfragger	directlfq	min	0.5
