Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML
P77717	P77717		ybaY		1.88166e+06	1.79844e+06	1.87014e+06	1.71718e+06	1.57373e+06	1.80844e+06
P77718	P77718		thiI		2.50925e+06	2.33632e+06	2.42256e+06	2.30117e+06	2.46672e+06	2.42898e+06
P77735	P77735		yajO		3.90163e+06	4.35947e+06	4.36512e+06	3.72188e+06	3.97398e+06	3.39972e+06
P77737	P77737		oppF		1.9536e+06	1.62917e+06	1.68252e+06	1.43413e+06	1.65568e+06	1.73645e+06
P77739	P77739		yniA		1.31864e+06	1.30674e+06	1.23977e+06	1.24567e+06	1.11223e+06	1.26285e+06
P77748	P77748		ydiJ		1.12503e+06	1.0382e+06	1.02385e+06	1.00557e+06	966808	1.07085e+06
P77756	P77756		queC		1.31081e+06	1.46705e+06	1.28011e+06	1.63916e+06	1.4818e+06	1.50317e+06
P77757	P77757		arnC		514876	528690		615538	532473	489653
P77774	P77774		bamB		1.43501e+07	1.34812e+07	1.37754e+07	1.34766e+07	1.37909e+07	1.36858e+07
P77781	P77781		ydiI		609278	557272	716171	549263	550026	491817
P77804	P77804		ydgA		9.59504e+06	9.28652e+06	9.54418e+06	9.92225e+06	9.67326e+06	9.78086e+06
P77808	P77808		yfaY		4.54292e+06	4.64717e+06	4.78704e+06	4.59919e+06	4.57685e+06	4.79588e+06
