Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_25fmol_inj2.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj3.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj1.mzML	/home/lerost/DIA_tools_manuscript/input_files/PXD026600/RD139_Wide_UPS1_2_5fmol_inj2.mzML	isna	pval	log2_FC	Bonf_pass	BH_thr	BH_pass	FC_pass	Organism	Human	Ecoli	Yeast	FDR_pass	Search Engine	Quantitation	Imputation	FC_thr
P64467	P64467		cnu		2949720.0	2875220.0	3024080.0	2719230.0	2851840.0	2881980.0	0	0.11740626548267723	0.06604570677042516	False	0.01434155141310884	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AB83	P0AB83		nth		1600230.0	1604520.0	1548340.0	1462090.0	1501680.0	1565950.0	0	0.1176812472230365	0.06944384509050318	False	0.014371617558628985	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ADZ0	P0ADZ0		rplW		8841830.0	8281600.0	8683590.0	8824640.0	9144620.0	9066040.0	0	0.11776695202324426	-0.06708080601448839	False	0.01440168370414913	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P00490	P00490		malP		5864240.0	5675690.0	5685750.0	5921340.0	5831900.0	5920740.0	0	0.11901327135127411	-0.0370660208767414	False	0.014431749849669273	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A7T7	P0A7T7		rpsR		49859300.0	52413600.0	52807700.0	54501500.0	53943800.0	53623300.0	0	0.11909611408691369	-0.06358638087264674	False	0.014461815995189416	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P31550	P31550		thiB		1809420.0	1802200.0	1799760.0	1855660.0	1872260.0	1815010.0	0	0.11935638743954748	-0.034652234015461275	False	0.014491882140709561	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AE85	P0AE85		cpxP		963445.0	782946.0	960890.0	735852.0	738139.0	775680.0	0	0.11937028209181014	0.2671306067244747	False	0.014521948286229706	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A722	P0A722		lpxA		8425880.0	8419920.0	8509640.0	8490320.0	8608980.0	8700610.0	0	0.11973648706600906	-0.025070722872694285	False	0.014552014431749851	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P69874	P69874		potA		4342480.0	4085390.0	4334810.0	4540510.0	4430120.0	4407210.0	0	0.1201569985948945	-0.06791388726610216	False	0.014582080577269995	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A9W9	P0A9W9		yrdA		5184670.0	5086730.0	4961270.0	4878380.0	4945250.0	4929080.0	0	0.12146828323517174	0.04618884646835985	False	0.014612146722790138	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P00393	P00393		ndh		5766320.0	5797360.0	5758300.0	5804140.0	5823720.0	5895380.0	0	0.12212712980063466	-0.016665702370654494	False	0.014642212868310283	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P00968	P00968		carB		4489740.0	4527880.0	4413170.0	4574900.0	4556580.0	4555880.0	0	0.12222389928871999	-0.02730004162189499	False	0.014672279013830428	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0ACS7	P0ACS7		rpiR		744665.0	747441.0	708536.0	681336.0	664094.0	723891.0	0	0.12229270684187178	0.08876700873577736	False	0.014702345159350573	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P37655	P37655		bcsQ		990220.0	970927.0	940867.0	977963.0	1021180.0	1023790.0	0	0.12296444071937887	-0.05889452424146468	False	0.014732411304870716	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
Q46868	Q46868		yqiC		9477420.0	9544310.0	9983380.0	10060800.0	9853280.0	10298900.0	0	0.12312223344489058	-0.05886139791237693	False	0.01476247745039086	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A903	P0A903		bamC		21419500.0	21602700.0	21734200.0	21481400.0	21300400.0	21311600.0	0	0.1232672531253106	0.01484698080826878	False	0.014792543595911005	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AF67	P0AF67		yjeE		3722830.0	3759930.0	3787600.0	3829390.0	3770560.0	3827930.0	0	0.1234609319183699	-0.02002419316425452	False	0.01482260974143115	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P23893	P23893		hemL		26700000.0	26851400.0	26459200.0	25748100.0	26564400.0	25852400.0	0	0.12377437980584974	0.03367023464509282	False	0.014852675886951295	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P75915	P75915		ycdY		6357810.0	6489060.0	6336230.0	6701160.0	6582170.0	6440210.0	0	0.12655266598178105	-0.04008263170959887	False	0.014882742032471438	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AG27	P0AG27		yibN		22857300.0	22323900.0	22511700.0	23059600.0	23015300.0	22734800.0	0	0.12797159453264073	-0.02360742979263267	False	0.014912808177991581	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P30870	P30870		glnE		972306.0	929168.0	939581.0	891734.0	917575.0	816101.0	0	0.12803494151077954	0.11388402053093052	False	0.014942874323511726	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P62517	P62517		mdoH		510188.0	501455.0	467472.0	613683.0	548932.0	517065.0	0	0.12832955789411843	-0.18345218259874774	False	0.014972940469031871	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P25745	P25745		mnmA		4004590.0	4062680.0	4005130.0	4093860.0	4139270.0	4306860.0	0	0.12840535458171856	-0.054823684463095844	False	0.015003006614552016	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P00887	P00887		aroH		1597170.0	1660790.0	1432920.0	1302940.0	1488340.0	1396810.0	0	0.12841701821756846	0.16356614951417695	False	0.01503307276007216	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AAK1	P0AAK1		hycB		1565790.0	1580870.0	1512540.0	1628600.0	1757740.0	1606200.0	0	0.1286027988126519	-0.09969172587237123	False	0.015063138905592303	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P69503	P69503		apt		26616200.0	25458700.0	24930500.0	26325100.0	27310000.0	26870600.0	0	0.1295145374575899	-0.06413131489688088	False	0.015093205051112448	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P07862	P07862		ddlB		2428210.0	2173500.0	2301190.0	2515630.0	2439560.0	2475710.0	0	0.1295654766072645	-0.10633437003232998	False	0.015123271196632593	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0AEF4	P0AEF4		dpiA		1722590.0	1829600.0	1687900.0	1898100.0	1794330.0	1854250.0	0	0.12972407471291178	-0.08203290499474011	False	0.015153337342152738	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P07649	P07649		truA		2040800.0	1937120.0	2017150.0	2151640.0	2019550.0	2114920.0	0	0.12973476784954024	-0.06839091891024722	False	0.015183403487672881	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A6H1	P0A6H1		clpX		27365100.0	27660300.0	27448900.0	27404200.0	26792400.0	27030100.0	0	0.129751099106476	0.021990594830038356	False	0.015213469633193024	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P40874	P40874		solA		3632860.0	3628990.0	3458140.0	3443230.0	3492670.0	3380520.0	0	0.13029524785348146	0.05536114585396595	False	0.01524353577871317	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
P0A9Y6	P0A9Y6		cspC		174331000.0	180492000.0	182265000.0	173877000.0	173321000.0	172336000.0	0	0.13093413742753074	0.047940321250996044	False	0.015273601924233314	False	False	Ecoli	False	True	False	False	umpire	manual	min	1.660964047443681
